"Index" "Open" "High" "Low" "Price"
"2012-09-17" 22.85 23.08 22.450001 18.655807
"2012-09-18" 22.48 22.945 22.32 18.602015
"2012-09-19" 22.42 22.555 22.15 18.473721
"2012-09-20" 22.045 22.110001 21.795 18.291632
"2012-09-21" 22.32 22.655001 22.275 18.643394
"2012-09-24" 22.120001 22.125 21.73 18.175756
"2012-09-25" 22.145 22.200001 21.809999 18.064028
"2012-09-26" 21.785 22.25 21.525 18.213007
"2012-09-27" 22.225 22.700001 22.035 18.630974
"2012-09-28" 22.41 22.620001 22.045 18.581322
"2012-10-01" 22.815001 23.219999 22.705 18.912394
"2012-10-02" 22.85 22.92 22.245001 18.622704
"2012-10-03" 22.49 22.530001 21.584999 18.134373
"2012-10-04" 22.07 22.174999 21.815001 18.316462
"2012-10-05" 22.424999 22.565001 22 18.324741
"2012-10-08" 21.98 22.139999 21.860001 18.16748
"2012-10-09" 21.945 22.254999 21.795 18.270948
"2012-10-10" 21.934999 22.315001 21.875 18.196447
"2012-10-11" 22.23 22.735001 22.1 18.353708
"2012-10-12" 22.139999 22.360001 21.885 18.150928
"2012-10-15" 21.77 22.215 21.76 18.32888
"2012-10-16" 22.355 22.82 22.225 18.871
"2012-10-17" 22.955 23.105 22.684999 18.93722
"2012-10-18" 22.73 22.745001 22.290001 18.643394
"2012-10-19" 22.465 22.65 22.08 18.407505
"2012-10-22" 22.334999 22.334999 21.705 18.142653
"2012-10-23" 21.52 22 21.440001 18.09713
"2012-10-24" 21.969999 22.09 21.440001 17.770193
"2012-10-25" 21.715 21.870001 21.07 17.857103
"2012-10-26" 22.5 23.745001 22.315001 19.640743
"2012-10-31" 23.684999 23.9 23.41 19.442102
"2012-11-01" 23.540001 24.02 23.135 19.868351
"2012-11-02" 24.139999 24.334999 23.74 19.677992
"2012-11-05" 23.805 24.115 23.75 19.889046
"2012-11-06" 24.26 24.620001 24.17 20.199556
"2012-11-07" 24.014999 24.205 23.74 19.926308
"2012-11-08" 24.139999 24.290001 23.764999 19.706882
