"Index" "Open" "High" "Low" "Price"
"2012-09-17" 35.41 35.490002 34.459999 32.304577
"2012-09-18" 34.485001 34.619999 34.264999 32.140835
"2012-09-19" 34.57 34.595001 34.215 32.098732
"2012-09-20" 34.080002 34.240002 33.950001 31.9303
"2012-09-21" 34.459999 34.744999 34.244999 32.098732
"2012-09-24" 34.105 34.43 34.049999 32.028553
"2012-09-25" 34.419998 34.450001 33.900002 31.771246
"2012-09-26" 33.919998 34.139999 33.59 31.757202
"2012-09-27" 33.985001 34.52 33.985001 32.150192
"2012-09-28" 34.645 35.575001 34.580002 32.697567
"2012-10-01" 35.154999 35.705002 34.959999 33.333832
"2012-10-02" 35.740002 35.75 35.415001 33.277687
"2012-10-03" 35.674999 35.875 35.544998 33.469509
"2012-10-04" 35.779999 35.955002 35.555 33.605183
"2012-10-05" 36 36.365002 35.759998 33.60051
"2012-10-08" 35.685001 35.919998 35.395 33.380623
"2012-10-09" 35.535 35.77 34.985001 32.735001
"2012-10-10" 34.985001 35.080002 34.509998 32.449612
"2012-10-11" 34.990002 35.189999 34.75 32.669491
"2012-10-12" 34.465 35.040001 34.134998 32.533817
"2012-10-15" 35.005001 35.02 34.605 32.65546
"2012-10-16" 34.994999 35.235001 34.779999 32.865993
"2012-10-17" 34.924999 34.974998 34.060001 32.533817
"2012-10-18" 34.759998 34.794998 34.459999 32.454292
"2012-10-19" 34.689999 34.895 34.259998 32.173584
"2012-10-22" 34.514999 34.994999 34.224998 32.660137
"2012-10-23" 34.5 34.880001 34.41 32.557205
"2012-10-24" 34.955002 35 34.285 32.094055
"2012-10-25" 34.700001 34.82 33.950001 31.89287
"2012-10-26" 34.049999 34.220001 33.099998 31.219177
"2012-10-31" 33.445 33.685001 32.970001 31.181749
"2012-11-01" 33.439999 33.720001 33.290001 31.443748
"2012-11-02" 33.764999 33.994999 33.055 30.947838
"2012-11-05" 33.060001 33.34 32.755001 30.887014
"2012-11-06" 33.299999 33.695 33.02 31.509249
"2012-11-07" 34.055 34.404999 32.950001 31.317436
"2012-11-08" 33.075001 33.790001 32.619999 30.536129
"2012-11-09" 32.625 33.419998 32.544998 30.877655
"2012-11-12" 33.110001 33.27 32.700001 30.854259
"2012-11-13" 32.810001 32.959999 32.360001 30.540813
"2012-11-14" 32.650002 32.755001 32.099998 30.077648
"2012-11-15" 32.48 32.610001 32.279999 30.414494
"2012-11-16" 32.490002 32.970001 32.48 30.756016
"2012-11-19" 33.209999 33.400002 32.985001 30.947838
"2012-11-20" 32.895 33.049999 32.255001 30.568878
"2012-11-21" 32.830002 32.994999 32.639999 30.648422
"2012-11-23" 33.02 33.25 32.650002 31.102226
"2012-11-26" 33.049999 33.235001 32.549999 30.87298
"2012-11-27" 32.785 33.080002 32.605 30.662449
"2012-11-28" 32.549999 32.93 32.310001 30.727943
"2012-11-29" 33.075001 33.68 33.064999 31.401644
"2012-11-30" 33.459999 33.715 33.200001 31.453108
"2012-12-03" 33.764999 34.165001 33.470001 31.336145
"2012-12-04" 33.525002 33.650002 33.16 31.410995
"2012-12-05" 34.299999 35.075001 33.834999 32.632069
"2012-12-06" 34.865002 35.025002 34.564999 32.735001
"2012-12-07" 35.154999 35.185001 34.724998 32.898743
"2012-12-10" 34.985001 35.5 34.985001 33.202839
"2012-12-11" 35.5 36.345001 35.450001 33.811031
"2012-12-12" 36.174999 36.27 35.935001 33.778286
"2012-12-13" 35.884998 36.490002 35.805 33.726818
"2012-12-14" 36.025002 36.380001 35.974998 33.932678
"2012-12-17" 36.310001 36.5 36.165001 34.124477
"2012-12-18" 36.564999 37.305 36.455002 34.742039
"2012-12-19" 37.360001 37.435001 36.605 34.278873
"2012-12-20" 36.400002 36.889999 35.775002 34.48941
"2012-12-21" 36.5 37.055 35.93 34.494091
"2012-12-24" 36.610001 36.785 36.355 34.316307
"2012-12-26" 36.654999 36.855 36.395 34.222736
"2012-12-27" 36.560001 36.724998 35.93 34.152557
"2012-12-28" 36.240002 36.389999 36.07 33.829742
"2012-12-31" 36.139999 37.025002 36.075001 34.564262
"2013-01-02" 37.73 38.095001 37.23 35.621586
"2013-01-03" 38.285 38.285 37.540001 35.256676
"2013-01-04" 37.860001 37.860001 37.43 35.172451
"2013-01-07" 37.529999 37.82 37.200001 35.326855
"2013-01-08" 37.814999 37.825001 37.145 34.854336
"2013-01-09" 37.709999 37.75 37.055 34.812222
"2013-01-10" 37.360001 37.645 37.075001 35.111649
"2013-01-11" 38.825001 39.285 38.634998 36.711658
"2013-01-14" 39.035 39.470001 39.014999 36.702305
"2013-01-15" 39.009998 39.165001 38.865002 36.566635
"2013-01-16" 38.98 39.105 38.825001 36.501141
"2013-01-17" 39.040001 39.34 38.950001 36.735046
"2013-01-18" 39.115002 39.77 39.014999 37.109337
"2013-01-22" 39.59 39.715 38.860001 36.585342
"2013-01-23" 39.290001 39.455002 38.68 36.379498
"2013-01-24" 38.755001 39.139999 38.384998 35.991188
"2013-01-25" 38.740002 38.945 38.389999 36.318676
"2013-01-28" 38.875 39.084999 38.82 36.37014
"2013-01-29" 38.790001 38.990002 38.509998 36.444996
"2013-01-30" 38.915001 39.185001 38.724998 36.501141
"2013-01-31" 38.959999 39.27 38.75 36.575993
"2013-02-01" 39.48 39.525002 39.044998 36.950264
"2013-02-04" 39.424999 39.509998 38.884998 36.384163
"2013-02-05" 38.965 39.255001 38.605 36.650841
"2013-02-06" 38.869999 39 37.895 35.6824
"2013-02-07" 38.365002 39.314999 37.630001 36.73037
"2013-02-08" 39.490002 39.615002 39.049999 36.833298
"2013-02-11" 39.27 39.325001 38.494999 36.080063
"2013-02-12" 38.560001 38.575001 38.25 35.8368
"2013-02-13" 38.235001 38.43 37.950001 35.733868
"2013-02-14" 38.105 38.215 37.93 35.640293
"2013-02-15" 38.110001 38.615002 38.009998 35.953751
"2013-02-19" 38.474998 39.224998 38.294998 36.641491
"2013-02-20" 39.095001 39.119999 38.514999 36.047329
"2013-02-21" 38.490002 38.5 37.564999 35.167778
"2013-02-22" 37.740002 38.220001 37.700001 35.733868
"2013-02-25" 38.435001 38.799999 37.73 35.312817
"2013-02-26" 37.779999 38.125 37.634998 35.490593
"2013-02-27" 38.060001 38.77 37.849998 36.108135
"2013-02-28" 38.580002 38.709999 38.355 35.916328
"2013-03-01" 38.224998 39.035 37.875 36.463707
"2013-03-04" 38.895 39.345001 38.599998 36.767803
"2013-03-05" 39.419998 39.98 39.415001 37.352604
"2013-03-06" 40.235001 40.375 39.834999 37.754951
"2013-03-07" 40.310001 40.419998 40.014999 37.675419
"2013-03-08" 40.325001 40.540001 39.939999 37.666058
"2013-03-11" 39.599998 39.895 39.505001 37.324539
"2013-03-12" 39.860001 39.869999 39.27 36.968979
"2013-03-13" 39.625 39.625 39.060001 37.048512
"2013-03-14" 39.645 39.720001 39.16 36.809914
"2013-03-15" 39.224998 39.514999 39.119999 36.660198
"2013-03-18" 38.919998 39.145 38.555 36.309326
"2013-03-19" 38.880001 39.145 38.314999 36.070721
"2013-03-20" 38.900002 39.09 38.630001 36.309326
"2013-03-21" 38.435001 38.445 38.014999 35.621586
"2013-03-22" 38.200001 38.330002 37.240002 35.041477
"2013-03-25" 37.560001 37.84 37.014999 34.802864
"2013-03-26" 37.494999 37.705002 37.224998 34.910465
"2013-03-27" 37.169998 37.470001 37.035 34.718647
"2013-03-28" 37.125 38.365002 37.035 35.846153
"2013-04-01" 38.27 38.599998 38.134998 35.902294
"2013-04-02" 38.450001 38.945 38.130001 35.724518
"2013-04-03" 38.139999 38.215 37.424999 35.050816
"2013-04-04" 37.445 37.639999 37.005001 34.844971
"2013-04-05" 36.779999 36.889999 36.075001 34.461338
"2013-04-08" 36.814999 37.294998 36.610001 34.896427
"2013-04-09" 37.310001 37.564999 36.845001 34.816898
"2013-04-10" 37.41 38.474998 37.275002 35.696442
"2013-04-11" 38.244999 38.849998 38.125 36.33271
"2013-04-12" 37.790001 37.889999 37.055 35.350243
"2013-04-15" 37.75 37.75 36.525002 34.180622
"2013-04-16" 36.805 37.099998 36.294998 33.979458
"2013-04-17" 36.095001 36.095001 35.330002 33.193478
"2013-04-18" 35.619999 35.639999 35.150002 32.973595
"2013-04-19" 35.145 35.18 33.855 31.724451
"2013-04-22" 34.080002 34.27 33.200001 31.205143
"2013-04-23" 33.525002 33.59 32.435001 30.405134
"2013-04-24" 32.494999 32.595001 30.885 28.973537
"2013-04-25" 31.395 31.879999 30.645 28.702187
"2013-04-26" 30.655001 31.18 30.65 28.987566
"2013-04-29" 31.135 31.58 31.075001 29.441378
"2013-04-30" 31.450001 32.610001 31.415001 30.316242
"2013-05-01" 32.23 32.424999 31.705 29.703371
"2013-05-02" 31.799999 32.205002 31.469999 30.101028
"2013-05-03" 32.549999 33.334999 32.375 31.16304
"2013-05-06" 33.389999 33.389999 32.775002 30.713909
"2013-05-07" 32.869999 33.200001 32.080002 30.353668
"2013-05-08" 34 34.115002 32.580002 31.883524
"2013-05-09" 34.240002 34.334999 33.845001 32.02388
"2013-05-10" 34.355 34.365002 32.105 30.423841
"2013-05-13" 32.525002 32.59 31.315001 29.417988
"2013-05-14" 31.559999 31.815001 30.945 29.188745
"2013-05-15" 31.17 32.450001 31.004999 30.14782
"2013-05-16" 32.115002 32.285 31.57 29.577057
"2013-05-17" 31.860001 32.785 31.415001 30.643732
"2013-05-20" 32.75 33.215 32.025002 30.189922
"2013-05-21" 32.369999 32.445 32.035 30.227356
"2013-05-22" 31.945 33.200001 31.924999 30.479988
"2013-05-23" 32.445 32.599998 31.84 29.993433
"2013-05-24" 31.885 31.924999 31.455 29.834366
"2013-05-28" 32.345001 32.345001 31.75 29.82033
"2013-05-29" 31.645 32.355 31.43 30.072966
"2013-05-30" 32.185001 32.5 31.889999 30.316242
"2013-05-31" 32.360001 32.584999 32.064999 30.246071
"2013-06-03" 32.43 32.599998 32.099998 30.348988
"2013-06-04" 32.650002 32.945 32.365002 30.325605
"2013-06-05" 32.244999 32.380001 31.65 29.88583
"2013-06-06" 32.099998 32.68 31.719999 30.573557
"2013-06-07" 32.895 33.330002 32.799999 31.149004
"2013-06-10" 33.305 33.32 32 29.993433
"2013-06-11" 31.700001 32.365002 31.625 30.143143
"2013-06-12" 32.365002 32.57 31.924999 29.941973
"2013-06-13" 31.924999 32.134998 31.59 29.899868
"2013-06-14" 31.875 32.075001 31.245001 29.464769
"2013-06-17" 31.799999 32.105 31.684999 29.689335
"2013-06-18" 31.82 32.224998 31.625 29.960688
"2013-06-19" 32.084999 32.334999 31.695 29.726765
"2013-06-20" 31.290001 31.700001 31.205 29.338453
"2013-06-21" 31.379999 31.625 30.995001 29.151314
"2013-06-24" 30.934999 31.055 30.459999 28.865931
"2013-06-25" 31.059999 31.445 30.73 29.380562
"2013-06-26" 31.66 32.075001 31.475 29.871794
"2013-06-27" 32.064999 32.145 31.43 29.520914
"2013-06-28" 30.77 31.684999 30.735001 29.3057
"2013-07-01" 31.700001 32.415001 31.57 29.974722
"2013-07-02" 32.150002 32.285 31.84 30.105713
"2013-07-03" 32 32.599998 31.975 30.297531
