"Index" "Open" "High" "Low" "Price"
"2019-05-24" 29.75 32 28.5 27.640287
"2019-05-28" 29.25 30.5 28.51 27.416304
"2019-05-29" 29.9 29.9 27.66 27.163733
"2019-05-30" 28.99 29.16 28.219999 27.449663
"2019-05-31" 28.5 28.59 26.969999 25.70546
"2019-06-03" 26.540001 27 24.370001 23.646744
"2019-06-04" 24.35 27.940001 24.35 26.448893
"2019-06-05" 27.540001 28.219999 26.459999 26.696705
"2019-06-06" 27.690001 27.690001 26.23 25.638748
"2019-06-07" 26.17 26.93 25.715 25.076412
"2019-06-10" 26.07 26.74 25.120001 24.123299
"2019-06-11" 25.01 25.360001 24.530001 23.780176
"2019-06-12" 25.110001 25.450001 24.48 23.894552
"2019-06-13" 25.059999 25.190001 24.700001 23.799238
"2019-06-14" 24.76 25.24 24.549999 24.008923
"2019-06-17" 25.530001 26.9 25.450001 24.73329
"2019-06-18" 26.030001 27.57 25.75 26.019991
"2019-06-19" 27.48 27.48 26.870001 25.877024
"2019-06-20" 27.370001 27.6 26.42 25.886555
"2019-06-21" 26.870001 27.709999 26.870001 25.934214
"2019-06-24" 27.139999 28.450001 27.052999 26.696705
"2019-06-25" 28.02 28.09 27.48 26.372641
"2019-06-26" 27.93 29.375 27.85 27.888094
"2019-06-27" 29.379999 30.33 29.26 28.183559
"2019-06-28" 29.6 29.75 29.26 28.183559
"2019-07-01" 29.58 30.75 28.950001 28.288403
"2019-07-02" 29.5 29.6 28.139999 27.630754
"2019-07-03" 28.780001 28.9 28.200001 27.449663
"2019-07-05" 28.450001 29.32 28.26 27.297159
"2019-07-08" 28.389999 28.389999 27.639999 26.46796
"2019-07-09" 27.469999 27.77 26.83 25.724529
"2019-07-10" 26.809999 27 26.440001 25.257502
"2019-07-11" 26.549999 26.799999 25.959999 25.190784
"2019-07-12" 26.42 27.73 26.26 26.305927
"2019-07-15" 27.41 28.27 27.4 26.763422
"2019-07-16" 27.93 28.5 27.715 26.553738
"2019-07-17" 27.6 27.709999 26.85 25.619684
"2019-07-18" 26.58 26.98 26.413 25.400469
"2019-07-19" 26.790001 27.48 26.639999 26.105772
"2019-07-22" 27.34 27.85 27.209999 26.458424
"2019-07-23" 27.65 28.48 27.450001 26.801546
"2019-07-24" 27.77 28.52 27.629999 26.992167
"2019-07-25" 28.1 28.4 27.75 26.706236
"2019-07-26" 27.719999 28.525 27.65 27.144667
"2019-07-29" 28.360001 28.950001 28.32 27.430599
"2019-07-30" 28 29.290001 27.799999 27.890167
"2019-07-31" 29.1 30.15 28.709999 28.244425
"2019-08-01" 29.5 32.779999 29.309999 29.919937
"2019-08-02" 30.940001 31.540001 30.85 30.121002
"2019-08-05" 30.629999 30.969999 29.639999 28.627399
"2019-08-06" 30.059999 30.219999 29.469999 28.771013
"2019-08-07" 29.58 30.83 29.43 29.335901
"2019-08-08" 30.709999 31.790001 30.67 30.264616
"2019-08-09" 31.940001 32 31.219999 30.283768
"2019-08-12" 31.49 31.83 29.51 28.368893
"2019-08-13" 29.33 30.15 29.190001 28.340168
"2019-08-14" 29.120001 29.360001 28.280001 27.133795
"2019-08-15" 28.93 29.23 27.93 27.210388
"2019-08-16" 28.690001 30.309999 28.559999 28.952925
"2019-08-19" 30.75 30.84 30.25 29.268883
"2019-08-20" 30.620001 30.68 30.09 28.972076
"2019-08-21" 30.299999 30.98 30.280001 29.278456
"2019-08-22" 30.780001 30.950001 30.209999 29.000799
"2019-08-23" 29.799999 30.16 28.809999 27.813574
"2019-08-26" 29.35 29.475 28.67 27.784851
"2019-08-27" 29.15 29.43 28.535 27.507195
"2019-08-28" 28.48 29.530001 28.309999 27.928469
"2019-08-29" 29.549999 30.228001 29.52 28.445482
"2019-08-30" 30 30.030001 29.26 28.072084
"2019-09-03" 28.99 29.1 28 27.028479
"2019-09-04" 28.620001 28.84 28.17 27.219969
"2019-09-05" 28.74 28.99 27.950001 27.248686
"2019-09-06" 28.450001 28.809999 27.889999 27.181665
"2019-09-09" 28.35 28.82 28.02 27.526342
"2019-09-10" 28.700001 29.129999 28.139999 27.344429
"2019-09-11" 28.5 29.299999 28.110001 28.024212
"2019-09-12" 29.5 30.09 28.9 28.627399
"2019-09-13" 30.040001 30.35 29.9 28.838036
"2019-09-16" 30.049999 30.059999 28.84 28.148678
"2019-09-17" 29.32 29.469999 28.959999 27.746553
"2019-09-18" 28.75 29.459999 28.75 27.909317
"2019-09-19" 29.26 29.709999 29.059999 27.899744
"2019-09-20" 29.35 29.57 28.85 27.689108
"2019-09-23" 28.639999 29 28.445 27.650808
"2019-09-24" 28.709999 28.99 27.961 27.03805
"2019-09-25" 28.219999 28.5 27.77 26.999754
"2019-09-26" 28.110001 28.200001 27.49 26.463587
"2019-09-27" 27.549999 28.23 27.309999 26.616777
"2019-09-30" 27.9 28.35 27.76 26.808266
"2019-10-01" 28.030001 28.379999 27.23 26.377419
"2019-10-02" 27.15 27.67 26.620001 25.793383
"2019-10-03" 26.91 27.16 26.51 25.735935
"2019-10-04" 27 27.038 25.801001 24.788071
"2019-10-07" 26 26.469999 25.73 24.893391
"2019-10-08" 25.639999 26.43 25.59 25.104025
"2019-10-09" 26.790001 26.83 25.74 25.056156
"2019-10-10" 26.17 26.719999 25.709999 24.634882
"2019-10-11" 26.1 27.120001 25.99 25.525299
"2019-10-14" 26.4 26.77 26.200001 25.209345
"2019-10-15" 26.219999 27.09 26.065001 25.563599
"2019-10-16" 26.35 27.23 26.290001 25.726362
"2019-10-17" 27.049999 27.209999 26.66 25.630619
"2019-10-18" 26.6 26.639999 25.639999 24.931688
"2019-10-21" 26.290001 26.58 25.43 24.414675
"2019-10-22" 25.51 26.049999 25.23 24.874235
"2019-10-23" 25.889999 26.02 25.215 24.519989
"2019-10-24" 25.629999 26.549999 25.5 25.247644
"2019-10-25" 26.370001 26.959999 26.24 25.592319
"2019-10-28" 26.790001 27.139999 26.6 25.630619
"2019-10-29" 26.51 27.24 26.42 25.640194
"2019-10-30" 27.049999 27.59 26.91 26.3104
"2019-10-31" 26.5 27.48 25.25 25.257214
"2019-11-01" 26.18 26.6 25.51 25.065727
"2019-11-04" 26.17 26.42 25.65 24.644453
"2019-11-05" 25.48 26.030001 24.76 24.56786
"2019-11-06" 25.82 26.32 25.719999 25.017857
"2019-11-07" 26.469999 26.48 26.120001 25.037004
"2019-11-08" 26.1 26.363001 25.91 25.084879
"2019-11-11" 26.040001 26.74 25.690001 25.601896
"2019-11-12" 26.93 27.24 26.530001 25.582748
"2019-11-13" 26.5 26.540001 25.459999 24.625305
"2019-11-14" 25.709999 26.860001 25.709999 25.257214
"2019-11-15" 26.57 26.620001 25.434999 24.395523
"2019-11-18" 25.5 25.764999 25.360001 24.395523
"2019-11-19" 25.549999 25.924999 25.309999 24.606159
"2019-11-20" 25.620001 25.700001 24.915001 23.916803
"2019-11-21" 24.969999 25.41 24.93 24.041271
"2019-11-22" 25.030001 25.575001 25.030001 24.452969
"2019-11-25" 25.74 26.110001 25.65 24.82637
"2019-11-26" 25.780001 26.205 25.700001 24.778496
"2019-11-27" 25.77 26.219999 25.68 25.067179
"2019-11-29" 25.969999 26.08 25.549999 25.038311
"2019-12-02" 26.030001 26.139999 25.040001 24.230001
"2019-12-03" 24.82 24.870001 24.299999 23.719997
"2019-12-04" 24.9 25.212 24.620001 23.90283
"2019-12-05" 24.969999 25.09 24.1 23.883587
"2019-12-06" 25 25.559999 24.940001 24.306984
"2019-12-09" 25.469999 26.129999 25.395 24.797747
"2019-12-10" 25.690001 25.879999 25.42 24.89397
"2019-12-11" 25.889999 26.27 25.83 25.211519
"2019-12-12" 26.120001 27.075001 26 25.962091
"2019-12-13" 26.98 27.15 26.459999 25.490576
"2019-12-16" 26.940001 27.559999 26.85 26.510586
"2019-12-17" 27.26 27.549999 26.58 25.760017
"2019-12-18" 26.709999 27.940001 26.49 26.770399
"2019-12-19" 27.74 28.27 27.459999 26.664551
