"Index" "Open" "High" "Low" "Price"
"2012-09-17" 65.153687 65.273132 64.269791 61.996685
"2012-09-18" 64.397194 65.105911 64.022934 61.645519
"2012-09-19" 64.174232 64.970535 63.529224 62.088295
"2012-09-20" 64.51664 64.779427 63.871635 62.011959
"2012-09-21" 64.970535 65.782768 64.508682 61.981419
"2012-09-24" 62.334766 62.629398 60.415672 58.782726
"2012-09-25" 61.466793 61.936615 59.706959 57.462021
"2012-09-26" 59.826405 60.22456 58.544353 56.652798
"2012-09-27" 59.531773 60.606785 59.237141 57.881897
"2012-09-28" 60.025482 61.673832 60.009556 58.423916
"2012-10-01" 61.283646 61.968468 60.009556 57.935333
"2012-10-02" 60.726231 61.04475 59.667145 57.629967
"2012-10-03" 60.622711 60.726231 59.571587 57.416214
"2012-10-04" 58.815098 59.643253 58.082497 56.988705
"2012-10-05" 60.04937 60.208633 56.975632 54.637402
"2012-10-08" 56.959705 57.246376 55.311356 53.896885
"2012-10-09" 56.107658 56.115623 53.885967 52.018894
"2012-10-10" 54.276157 55.255615 54.220417 52.4464
"2012-10-11" 55.35117 55.940437 52.739288 51.621918
"2012-10-12" 54.960979 55.709507 53.264851 51.682999
"2012-10-15" 54.41153 54.618568 52.962254 50.988285
"2012-10-16" 53.129478 54.785793 52.87466 52.408226
"2012-10-17" 54.212456 54.379677 51.783726 49.659946
"2012-10-18" 51.735947 52.603916 51.122791 49.55307
"2012-10-19" 51.672241 52.532249 51.043159 48.980511
"2012-10-22" 51.242237 51.361683 49.864628 48.782032
"2012-10-23" 50.167225 51.075012 49.641663 48.713318
"2012-10-24" 51.505016 51.648354 50.183151 48.919441
"2012-10-25" 51.759834 51.759834 47.88979 48.163658
"2012-10-26" 50.015926 51.186497 49.657589 47.957542
"2012-10-31" 50.167225 50.525562 49.06036 47.163597
"2012-11-01" 49.39481 50.804268 48.956841 48.644608
"2012-11-02" 50.947601 50.963528 49.960186 47.919376
"2012-11-05" 49.960186 50.199078 49.21962 48.033882
"2012-11-06" 50.151299 52.150024 50.151299 49.133198
"2012-11-07" 50.891861 50.891861 49.442585 47.407883
"2012-11-08" 49.474438 49.769073 48.224239 46.232231
"2012-11-09" 47.220894 48.407391 47.220894 45.934502
"2012-11-12" 48.128681 48.240166 47.141266 45.262699
"2012-11-13" 46.822742 46.894409 45.85125 44.224453
"2012-11-14" 46.695335 47.467751 45.516804 43.77404
"2012-11-15" 45.668098 46.201626 45.046982 44.102306
"2012-11-16" 46.010509 47.380157 45.835323 45.201626
"2012-11-19" 48.0172 48.72591 47.770348 46.690273
"2012-11-20" 48.558689 48.694061 47.475712 45.926868
"2012-11-21" 47.897755 49.331104 47.88979 47.255207
"2012-11-23" 49.418697 49.458511 48.630356 47.15596
"2012-11-26" 49.068321 49.808887 48.813503 47.461323
"2012-11-27" 49.482403 49.562031 47.977386 46.018478
"2012-11-28" 47.96146 48.51091 46.464405 46.453617
"2012-11-29" 48.797581 49.928333 48.72591 47.751419
"2012-11-30" 49.856667 50.246857 48.487019 46.690273
"2012-12-03" 49.132027 49.331104 47.905716 45.995571
"2012-12-04" 48.080906 48.988693 47.977386 46.583408
"2012-12-05" 48.351646 48.550724 46.528111 45.728378
"2012-12-06" 47.57127 48.423317 47.396084 45.84288
"2012-12-07" 48.041088 49.753143 47.714603 47.354443
"2012-12-10" 49.243511 50.44593 49.235546 47.759052
"2012-12-11" 50.565376 52.492435 50.199078 50.06456
"2012-12-12" 52.460583 52.635769 50.812229 48.843102
