"Index" "Open" "High" "Low" "Price"
"2012-09-17" 52.849998 53.029999 52.439999 35.584564
"2012-09-18" 52.580002 52.689999 52.169998 35.341068
"2012-09-19" 52.450001 52.77 52.200001 35.415462
"2012-09-20" 52.540001 52.849998 52.209999 35.658962
"2012-09-21" 52.84 52.98 52.529999 35.645432
"2012-09-24" 52.68 53.200001 52.610001 35.922771
"2012-09-25" 53.27 53.459999 52.650002 35.611626
"2012-09-26" 52.810001 53.540001 52.790001 35.773952
"2012-09-27" 53.07 53.119999 52.68 35.719841
"2012-09-28" 52.779999 53.139999 52.57 35.807758
"2012-10-01" 53.130001 53.389999 52.740002 35.719841
"2012-10-02" 52.91 53.25 52.790001 36.003922
"2012-10-03" 53.400002 53.650002 53.32 36.07156
"2012-10-04" 53.560001 53.889999 53.369999 36.105377
"2012-10-05" 53.59 53.790001 53.220001 36.024212
"2012-10-08" 53.23 53.490002 52.709999 35.868649
"2012-10-09" 53.009998 53.189999 52.68 35.726604
"2012-10-10" 53.060001 53.380001 52.939999 35.997166
"2012-10-11" 53.43 53.450001 52.91 35.868649
"2012-10-12" 53.16 53.25 52.599998 35.631908
"2012-10-15" 52.66 52.830002 52.41 35.686012
"2012-10-16" 52.959999 52.98 52.439999 35.618382
"2012-10-17" 52.799999 53.380001 52.720001 36.085079
"2012-10-18" 53.32 53.639999 53.119999 36.240662
"2012-10-19" 53.529999 53.700001 53.34 36.193302
"2012-10-22" 53.41 53.57 52.650002 35.821278
"2012-10-23" 52.599998 52.959999 52.439999 35.63868
"2012-10-24" 52.669998 52.799999 52.299999 35.476357
"2012-10-25" 52.360001 52.360001 51.02 35.138157
"2012-10-26" 51.900002 52.169998 51.5 35.219315
"2012-10-31" 52.330002 52.849998 52 35.699547
"2012-11-01" 52.880001 52.91 51.950001 35.185497
"2012-11-02" 52.34 52.34 51.599998 34.969051
"2012-11-05" 51.459999 51.529999 50.66 34.448235
"2012-11-06" 50.93 51.220001 50.75 34.475285
"2012-11-07" 50.68 50.75 49.529999 33.72451
"2012-11-08" 49.799999 50.5 49.43 33.433655
"2012-11-09" 49.23 49.560001 49.029999 33.366024
"2012-11-12" 49.299999 49.389999 48.970001 33.271328
"2012-11-13" 49.049999 50.360001 48.939999 33.961239
"2012-11-14" 50.220001 50.43 49.799999 33.744801
"2012-11-15" 49.860001 50.169998 49.290001 33.60276
"2012-11-16" 49.740002 50.240002 49.5 33.920658
"2012-11-19" 50.459999 50.459999 49.919998 34.008591
"2012-11-20" 50.279999 50.360001 49.75 34.049168
"2012-11-21" 50.349998 50.490002 49.639999 33.927418
