"Index" "Open" "High" "Low" "Price"
"2012-09-17" 38.779999 39.209999 38.57 31.703535
"2012-09-18" 38.73 38.93 38.34 31.523449
"2012-09-19" 38.77 38.950001 38.360001 31.523449
"2012-09-20" 38.380001 38.610001 38.040001 31.23695
"2012-09-21" 38.310001 38.98 38.299999 31.613478
"2012-09-24" 38.540001 38.869999 38.25 31.621672
"2012-09-25" 38.630001 38.959999 37.450001 30.811293
"2012-09-26" 37.59 37.790001 37 30.303762
"2012-09-27" 38.25 39.880001 37.560001 32.505741
"2012-09-28" 39.630001 40.279999 39.060001 32.522118
"2012-10-01" 40.049999 40.23 39.459999 32.677635
"2012-10-02" 40 40 39.25 32.406853
"2012-10-03" 39.27 39.700001 39.189999 32.579166
"2012-10-04" 39.970001 40.599998 39.91 33.161812
"2012-10-05" 40.709999 40.810001 40.209999 33.145401
"2012-10-08" 40.169998 40.450001 40 33.063343
"2012-10-09" 40.169998 40.5 39.68 32.636616
"2012-10-10" 40 40.080002 39.07 32.365791
"2012-10-11" 39.810001 40.07 39.59 32.488907
"2012-10-12" 39.549999 39.619999 38.66 31.832396
"2012-10-15" 39 39.619999 38.75 32.324764
"2012-10-16" 39.59 40.18 39.59 32.86639
"2012-10-17" 40.34 40.860001 40.330002 33.481857
"2012-10-18" 40.720001 40.830002 40 33.178219
"2012-10-19" 40.259998 40.459999 39.360001 32.513508
"2012-10-22" 39.639999 40 39.400002 32.784336
"2012-10-23" 39.32 39.84 39.189999 32.497108
"2012-10-24" 39.709999 40.290001 39.709999 32.685841
"2012-10-25" 40.18 40.32 39.689999 32.702267
"2012-10-26" 39.849998 40.540001 39.849998 33.030514
"2012-10-31" 40.32 41.02 40.119999 33.645992
"2012-11-01" 41.07 41.389999 40.82 33.908596
"2012-11-02" 41.639999 41.77 40.950001 33.629578
"2012-11-05" 40.740002 40.91 39.959999 33.038723
"2012-11-06" 40.380001 41.810001 40.349998 33.990658
"2012-11-07" 41.029999 41.400002 40.580002 33.31773
"2012-11-08" 40.709999 41.23 40.560001 33.449036
"2012-11-09" 40.560001 41.41 40.5 33.711639
"2012-11-12" 41.200001 41.43 40.990002 33.777298
"2012-11-13" 40.790001 41.700001 40.68 33.793701
"2012-11-14" 41.279999 41.529999 39.869999 32.808941
"2012-11-15" 39.950001 40.07 37.900002 31.463116
"2012-11-16" 38.380001 39.599998 38.380001 32.382202
"2012-11-19" 39.93 40.830002 39.93 33.490067
"2012-11-20" 40.810001 41.509998 40.59 33.883991
"2012-11-21" 41.470001 41.5 40.619999 33.752678
"2012-11-23" 41.380001 41.490002 41.200001 34.023487
"2012-11-26" 41.299999 41.419998 41 33.925003
"2012-11-27" 41.240002 41.400002 40.549999 33.30954
"2012-11-28" 40.299999 41.279999 40.299999 33.851158
"2012-11-29" 41.389999 41.869999 41.189999 34.089138
"2012-11-30" 41.529999 41.790001 41.389999 34.14658
"2012-12-03" 41.810001 42.080002 41.209999 33.834732
"2012-12-04" 41.209999 41.34 40.900002 33.645992
"2012-12-05" 41.150002 41.27 40.549999 33.539307
"2012-12-06" 40.869999 40.91 40.110001 33.284912
"2012-12-07" 40.860001 41.310001 40.82 33.769085
"2012-12-10" 40.91 41.110001 40.470001 33.46545
"2012-12-11" 40.98 40.98 40.16 33.128979
"2012-12-12" 40.619999 41.220001 40.360001 33.645992
"2012-12-13" 41 41 40.09 33.137188
"2012-12-14" 40.279999 40.380001 39.400002 32.447857
"2012-12-17" 39.650002 40.759998 39.650002 32.973068
"2012-12-18" 40.799999 40.880001 39.599998 33.260288
"2012-12-19" 40.700001 40.700001 39.650002 32.636616
"2012-12-20" 38.549999 38.98 37.57 31.52054
"2012-12-21" 38.110001 39.43 37.82 31.594416
