"Index" "Open" "High" "Low" "Price"
"2012-09-17" 49.970001 50.259998 49.779999 46.33791
"2012-09-18" 50.040001 50.259998 49.93 46.467361
"2012-09-19" 50.240002 51.439999 50.240002 47.32737
"2012-09-20" 51.32 52.790001 51.16 48.501759
"2012-09-21" 52.77 52.939999 52.549999 48.95488
"2012-09-24" 52.400002 52.720001 52.349998 48.557236
"2012-09-25" 52.52 52.900002 52.43 48.732944
"2012-09-26" 52.5 53.360001 52.459999 48.880909
"2012-09-27" 51.009998 52.490002 51.009998 48.08564
"2012-09-28" 51.830002 51.990002 51.5 47.660259
"2012-10-01" 52 52.150002 51.490002 47.725002
"2012-10-02" 51.75 51.75 51.200001 47.669502
"2012-10-03" 51.799999 51.849998 51.459999 47.669502
"2012-10-04" 51.75 52.32 51.610001 48.150364
"2012-10-05" 52.290001 52.459999 51.529999 47.798969
"2012-10-08" 51.779999 51.799999 51.040001 47.207142
"2012-10-09" 51.049999 51.18 50.189999 46.430374
"2012-10-10" 50.549999 51.150002 50.279999 46.66156
"2012-10-11" 50.759998 51.169998 49.02 45.838551
"2012-10-12" 49.439999 49.810001 48.900002 45.542645
"2012-10-15" 49.560001 49.720001 49.049999 45.616623
"2012-10-16" 49.41 50.419998 49.240002 46.504353
"2012-10-17" 50.34 50.82 45.580002 44.608673
"2012-10-18" 48.580002 48.900002 46.060001 43.730198
"2012-10-19" 47.330002 48.400002 47.080002 43.619221
"2012-10-22" 47.200001 47.66 46.560001 43.415771
"2012-10-23" 46.759998 47.380001 46.52 43.563732
"2012-10-24" 47.360001 47.529999 46.849998 43.665459
"2012-10-25" 47.419998 47.650002 47.049999 43.739437
"2012-10-26" 47.299999 47.959999 47.279999 44.04459
"2012-10-31" 48.400002 49 47.919998 44.960064
"2012-11-01" 48.400002 48.75 48.029999 44.849098
"2012-11-02" 48.459999 48.650002 47.669998 44.174057
"2012-11-05" 47.5 47.860001 47.380001 44.137066
"2012-11-06" 47.889999 48.310001 47.490002 44.386726
"2012-11-07" 48.009998 48.279999 47.400002 44.36824
"2012-11-08" 47.68 48.18 47.68 44.497692
"2012-11-09" 47.869999 48.060001 46.869999 43.452763
"2012-11-12" 46.830002 46.959999 46.459999 43.193851
"2012-11-13" 46.73 47.470001 46.450001 43.092125
"2012-11-14" 46.93 47.73 46.810001 43.628475
"2012-11-15" 47.400002 48.099998 47.25 44.349751
"2012-11-16" 47.82 48.810001 47.810001 45.034042
"2012-11-19" 48.700001 48.950001 48.310001 44.821354
"2012-11-20" 48.43 48.57 47.349998 44.007607
"2012-11-21" 47.470001 48.060001 47.419998 44.386726
"2012-11-23" 48.099998 49.470001 47.939999 45.690582
"2012-11-26" 49.310001 49.450001 48.610001 45.598125
"2012-11-27" 50.360001 50.549999 49.119999 45.78307
"2012-11-28" 49.509998 49.84 49.299999 45.847794
"2012-11-29" 49.709999 50.34 49.619999 46.106731
"2012-11-30" 50.68 50.799999 49.77 46.236176
"2012-12-03" 50.040001 50.240002 48.720001 45.089535
"2012-12-04" 48.650002 48.650002 47.400002 44.331261
"2012-12-05" 48.080002 48.240002 46.560001 43.092125
"2012-12-06" 46.580002 46.599998 45.779999 42.934914
"2012-12-07" 46.560001 47.009998 46.43 43.277069
"2012-12-10" 46.799999 46.900002 46.279999 43.064381
"2012-12-11" 45.650002 45.900002 42.77 39.707634
"2012-12-12" 42.75 44.509998 42.25 41.048492
"2012-12-13" 44.32 45.279999 44.279999 41.566338
"2012-12-14" 44.900002 44.959999 43.82 40.530643
"2012-12-17" 43.790001 44.23 43.330002 40.808056
"2012-12-18" 44.049999 44.34 43.84 40.872787
"2012-12-19" 44.040001 44.130001 43.240002 40.022041
"2012-12-20" 43.220001 44 43.200001 40.660107
"2012-12-21" 43.709999 44.099998 43.389999 40.345692
"2012-12-24" 43.580002 43.889999 43.41 40.188492
"2012-12-26" 43.400002 43.419998 42.599998 39.716888
"2012-12-27" 42.959999 43.299999 42.650002 39.874096
"2012-12-28" 43.099998 43.209999 42.689999 39.485703
"2012-12-31" 42.599998 44.119999 42.599998 40.771061
"2013-01-02" 44.41 44.599998 42.889999 39.689152
"2013-01-03" 40.759998 42.869999 39.73 39.143555
"2013-01-04" 42.41 44.75 42.220001 41.242683
"2013-01-07" 44.439999 44.459999 42.84 40.428917
"2013-01-08" 43.630001 43.720001 43.34 40.096012
"2013-01-09" 43.18 43.349998 42.59 39.75388
"2013-01-10" 42.990002 43.380001 42.68 40.114506
"2013-01-11" 43.310001 43.490002 42.990002 40.07753
"2013-01-14" 43.240002 43.84 42.869999 39.781612
"2013-01-15" 43 44.689999 42.779999 41.279671
"2013-01-16" 44.529999 44.860001 44.07 41.270428
"2013-01-17" 44.580002 45.240002 44.580002 41.473854
"2013-01-18" 44.740002 44.98 44.52 41.288925
"2013-01-22" 44.830002 45.119999 44.610001 41.584827
"2013-01-23" 44.73 45.16 44.669998 41.668045
"2013-01-24" 45.16 46.830002 45.099998 42.879433
"2013-01-25" 46.419998 46.849998 46.279999 43.31406
