"Index" "Open" "High" "Low" "Price"
"2012-09-17" 61.580002 62.09 61.299999 50.588856
"2012-09-18" 61.950001 62.759998 61.759998 50.842285
"2012-09-19" 62.299999 62.580002 61.880001 51.071198
"2012-09-20" 62.290001 62.73 62.029999 51.15295
"2012-09-21" 62.68 63.25 62.650002 51.504475
"2012-09-24" 62.869999 63.060001 62.34 51.422733
"2012-09-25" 62.939999 63.41 62.860001 51.561714
"2012-09-26" 63.009998 63.169998 62.459999 51.112064
"2012-09-27" 62.549999 63.779999 62.470001 52.062984
"2012-09-28" 63.27 63.540001 62.830002 51.997406
"2012-10-01" 63.549999 63.779999 63.060001 51.964626
"2012-10-02" 63.650002 63.860001 63.009998 52.153164
"2012-10-03" 63.75 64.089996 63.439999 52.464672
"2012-10-04" 64.019997 64.160004 63.369999 52.52206
"2012-10-05" 64.260002 64.559998 63.98 52.604031
"2012-10-08" 64.239998 64.870003 64.019997 53.022106
"2012-10-09" 64.470001 64.730003 63.389999 52.120377
"2012-10-10" 63.700001 63.860001 63.200001 51.98101
"2012-10-11" 63.779999 64.760002 63.669998 52.661419
"2012-10-12" 64.410004 64.43 63.299999 51.964626
"2012-10-15" 63.41 64 63.259998 52.423683
"2012-10-16" 63.860001 64.07 62.939999 51.948235
"2012-10-17" 61.779999 62.009998 59.75 48.980698
"2012-10-18" 59.560001 61.029999 59.049999 49.6283
"2012-10-19" 60.369999 60.380001 59.110001 48.505226
"2012-10-22" 59.049999 59.540001 58.720001 48.693783
"2012-10-23" 58.959999 58.959999 58.279999 47.816631
"2012-10-24" 58.549999 58.849998 58.330002 47.898621
"2012-10-25" 58.689999 58.790001 58.150002 48.037964
"2012-10-26" 58.610001 58.759998 57.950001 47.816631
"2012-10-31" 58.529999 58.639999 57.470001 47.316582
"2012-11-01" 57.73 58.459999 57.610001 47.906807
"2012-11-02" 58.599998 58.669998 57.93 47.496922
"2012-11-05" 57.540001 58.490002 57.470001 47.890411
"2012-11-06" 58.389999 59.150002 58.060001 48.308491
"2012-11-07" 58.720001 59.189999 57.959999 47.595295
"2012-11-08" 58.009998 58.32 57.32 46.996868
"2012-11-09" 57.290001 58.049999 57.009998 46.8657
"2012-11-12" 57.32 57.799999 57.040001 46.898499
"2012-11-13" 57.110001 57.349998 56.66 46.455822
"2012-11-14" 56.689999 57.02 56.169998 46.160721
"2012-11-15" 56.369999 56.639999 55.98 46.31646
"2012-11-16" 56.77 57.950001 56.599998 47.382168
"2012-11-19" 57.990002 58.240002 57.689999 47.45594
"2012-11-20" 57.709999 57.779999 56.849998 47.00507
"2012-11-21" 57.25 57.549999 56.880001 46.914898
"2012-11-23" 57.43 58 57.290001 47.529705
"2012-11-26" 57.650002 57.869999 56.59 46.923088
"2012-11-27" 57.02 57.5 56.860001 46.824726
