"Index" "Open" "High" "Low" "Price"
"2012-09-17" 21.99 21.99 21.540001 19.37859
"2012-09-18" 21.639999 21.99 21.290001 19.172058
"2012-09-19" 21.370001 22.360001 21.309999 19.953306
"2012-09-20" 22.1 22.309999 21.860001 19.926365
"2012-09-21" 22.450001 22.790001 22.25 20.088003
"2012-09-24" 22.459999 22.540001 21.75 19.791662
"2012-09-25" 21.860001 22.370001 21.700001 19.522278
"2012-09-26" 21.780001 21.98 20.440001 18.76796
"2012-09-27" 20.77 21.23 20.65 18.803881
"2012-09-28" 20.83 20.879999 20.530001 18.525505
"2012-10-01" 20.799999 20.98 20.5 18.58836
"2012-10-02" 20.719999 20.860001 20.549999 18.597342
"2012-10-03" 20.82 22.030001 20.799999 19.746765
"2012-10-04" 22.030001 22.25 21.709999 19.755751
"2012-10-05" 22.25 22.32 21.57 19.441454
"2012-10-08" 21.66 21.66 21.09 19.010416
"2012-10-09" 21.09 21.139999 20.379999 18.507544
"2012-10-10" 20.559999 21.059999 20.52 18.615303
"2012-10-11" 20.83 20.84 20.1 18.175287
"2012-10-12" 20.209999 20.24 19.73 17.923849
"2012-10-15" 19.99 20.709999 19.77 18.552441
"2012-10-16" 20.73 20.799999 20.309999 18.5704
"2012-10-17" 21.26 22.030001 21.040001 19.342674
"2012-10-18" 21.5 21.790001 21.43 19.351646
"2012-10-19" 21.530001 21.860001 21.299999 19.288794
"2012-10-22" 21.49 21.700001 21.18 19.243895
"2012-10-23" 21.1 21.27 20.85 18.938578
"2012-10-24" 21.129999 21.57 21.09 19.225931
"2012-10-25" 21.85 21.860001 20.700001 18.956535
"2012-10-26" 21.049999 21.059999 20.42 18.642241
"2012-10-31" 20.9 21.389999 20.620001 18.821835
"2012-11-01" 21.1 21.870001 21.059999 19.61207
"2012-11-02" 21.93 22.299999 21.040001 18.893677
"2012-11-05" 21.01 21.75 21 19.495329
"2012-11-06" 21.82 22.07 21.389999 19.243895
"2012-11-07" 21.299999 21.85 20.99 19.234917
"2012-11-08" 21.379999 21.469999 20.719999 18.830822
"2012-11-09" 20.82 21.059999 20.1 18.498566
"2012-11-12" 21.25 21.360001 19.370001 17.420979
"2012-11-13" 19.08 19.74 18.85 17.286278
"2012-11-14" 19.41 19.42 18.290001 16.514008
"2012-11-15" 18.299999 19.08 17.709999 16.585846
"2012-11-16" 18.370001 19.18 18.299999 16.971985
"2012-11-19" 19.32 19.59 18.780001 17.079739
"2012-11-20" 19.35 19.66 19.16 17.456892
"2012-11-21" 19.49 19.790001 19.26 17.465879
"2012-11-23" 19.549999 19.75 19.219999 17.53772
"2012-11-26" 19.48 19.629999 19.280001 17.510778
"2012-11-27" 19.5 19.99 19.41 17.582611
"2012-11-28" 19.5 19.610001 18.940001 17.438938
"2012-11-29" 19.690001 20 19.389999 17.643167
"2012-11-30" 19.620001 19.65 19.18 17.508213
"2012-12-03" 19.559999 19.610001 19.309999 17.427238
"2012-12-04" 19.610001 19.76 18.940001 17.040369
"2012-12-05" 18.99 19.049999 18.360001 16.72547
"2012-12-06" 18.530001 18.809999 18.299999 16.815443
"2012-12-07" 18.83 19.120001 18.52 16.959393
"2012-12-10" 18.639999 18.77 18.27 16.554529
"2012-12-11" 18.540001 18.74 18.360001 16.698479
"2012-12-12" 18.620001 19.42 18.52 17.283291
"2012-12-13" 19.110001 19.379999 18.799999 17.120068
"2012-12-14" 18.870001 18.940001 18.59 16.993118
"2012-12-17" 18.83 19.73 18.799999 17.854561
"2012-12-18" 19.690001 20.18 19.629999 18.208206
"2012-12-19" 20.15 20.26 19.65 18.090319
"2012-12-20" 19.93 20.299999 19.75 18.226343
"2012-12-21" 19.860001 19.860001 19.280001 17.90897
"2012-12-24" 19.76 20 19.57 17.763887
"2012-12-26" 19.65 19.860001 19.4 17.627863
"2012-12-27" 19.440001 19.620001 19.059999 17.664141
"2012-12-28" 19.34 19.459999 19.08 17.446508
"2012-12-31" 19.190001 19.809999 19.049999 17.936174
"2013-01-02" 20.34 20.48 20.02 18.489313
"2013-01-03" 20.620001 20.799999 20.200001 18.480242
"2013-01-04" 20.379999 20.74 20.25 18.788548
"2013-01-07" 20.59 20.889999 20.5 18.870155
"2013-01-08" 20.799999 20.879999 20.559999 18.797617
"2013-01-09" 20.93 21.41 20.82 19.178467
"2013-01-10" 21.25 21.25 20.700001 18.915497
"2013-01-11" 21.139999 21.389999 20.700001 18.99711
"2013-01-14" 21 21.299999 20.790001 18.942703
"2013-01-15" 20.75 21.110001 20.629999 19.11499
"2013-01-16" 20.959999 21.25 20.85 19.04245
"2013-01-17" 21.18 21.620001 21.18 19.523045
"2013-01-18" 21.59 21.67 21.379999 19.513977
"2013-01-22" 21.65 21.700001 21.16 19.541178
"2013-01-23" 21.68 21.85 21.43 19.786011
"2013-01-24" 21.85 22.15 21.530001 19.695333
"2013-01-25" 21.780001 21.83 21.57 19.731613
"2013-01-28" 21.85 22 21.110001 19.323551
"2013-01-29" 22.24 24.030001 22.16 21.599579
"2013-01-30" 23.540001 23.68 22.92 20.910419
"2013-01-31" 23.030001 23.67 22.860001 21.454493
"2013-02-01" 23.860001 24.290001 23.290001 21.173391
"2013-02-04" 23.15 23.389999 22.809999 20.729065
"2013-02-05" 23.129999 23.91 22.77 21.508898
"2013-02-06" 23.559999 23.940001 23.379999 21.255001
"2013-02-07" 23.450001 23.52 22.870001 21.010168
"2013-02-08" 23.209999 23.35 22.879999 20.928558
"2013-02-11" 23.120001 23.450001 22.889999 20.783474
"2013-02-12" 23.049999 24.66 23.040001 21.808136
"2013-02-13" 24.030001 24.450001 23.73 21.608641
"2013-02-14" 23.780001 23.98 23.719999 21.563311
"2013-02-15" 23.74 24.08 23.540001 21.454493
"2013-02-19" 23.76 24.1 22.950001 21.118988
"2013-02-20" 22.98 23.08 21.75 19.885759
"2013-02-21" 22 22.42 21.530001 20.103392
"2013-02-22" 22.26 22.49 22.15 20.230331
"2013-02-25" 22.440001 22.58 21.35 19.377956
"2013-02-26" 21.58 22.309999 21.530001 20.17593
"2013-02-27" 22.25 22.77 22.110001 20.538643
"2013-02-28" 22.67 22.959999 22.290001 20.22127
"2013-03-01" 22.139999 22.700001 21.75 20.41169
"2013-03-04" 22.4 23.34 22.32 21.073641
"2013-03-05" 23.309999 23.99 23.290001 21.581442
"2013-03-06" 23.9 24.299999 23.65 21.499832
"2013-03-07" 23.700001 23.870001 23.360001 21.599579
"2013-03-08" 24.02 24.18 23.57 21.826273
"2013-03-11" 24.07 24.24 23.870001 21.726528
"2013-03-12" 23.9 24.030001 23.530001 21.42729
"2013-03-13" 23.610001 24.190001 23.42 21.780935
"2013-03-14" 24.200001 24.58 24.16 22.243395
"2013-03-15" 24.42 24.76 24.299999 22.071102
"2013-03-18" 24.059999 24.5 23.969999 21.989492
"2013-03-19" 24.48 24.719999 24.129999 22.043903
"2013-03-20" 24.540001 25.559999 24.48 23.059494
"2013-03-21" 25.34 25.34 24.450001 22.560768
"2013-03-22" 25.01 25.07 24.639999 22.415686
"2013-03-25" 24.790001 25.219999 24.33 22.198055
"2013-03-26" 24.639999 24.809999 24.059999 21.953226
"2013-03-27" 24.09 24.42 23.9 22.116442
"2013-03-28" 24.389999 24.5 24.02 22.034834
"2013-04-01" 24.32 24.41 23.74 21.626783
"2013-04-02" 24.059999 24.190001 23.35 21.227793
"2013-04-03" 23.450001 23.57 22.1 20.710926
"2013-04-04" 22.889999 23.040001 22.6 20.747198
"2013-04-05" 22.43 23.120001 22.16 20.928558
"2013-04-08" 23.1 23.530001 22.9 21.291271
"2013-04-09" 23.51 23.629999 23.15 21.100845
"2013-04-10" 23.440001 23.440001 22.940001 20.992031
"2013-04-11" 23.030001 23.59 23.030001 21.155251
"2013-04-12" 23.219999 23.93 23.16 21.23686
"2013-04-15" 23.209999 23.219999 21.85 19.858549
"2013-04-16" 22.42 22.559999 21.709999 20.357288
"2013-04-17" 22.200001 22.23 21.639999 20.076181
"2013-04-18" 22.1 22.139999 21.24 19.477703
"2013-04-19" 21.58 22.209999 21.540001 19.931093
"2013-04-22" 22.01 22.459999 21.469999 20.275671
"2013-04-23" 22.84 23.969999 22.84 21.354742
"2013-04-24" 23.59 24.110001 23.48 21.780935
"2013-04-25" 24.209999 24.790001 24.01 22.243395
"2013-04-26" 25.83 26.92 25.6 24.174843
"2013-04-29" 26.610001 27.32 26.469999 24.047882
"2013-04-30" 26.219999 26.49 25.52 23.648909
"2013-05-01" 25.969999 26.040001 25.389999 23.195518
"2013-05-02" 25.83 26.530001 25.639999 23.95722
"2013-05-03" 26.780001 27.02 26.24 23.984423
"2013-05-06" 26.459999 26.639999 26.16 24.020685
"2013-05-07" 26.68 26.84 26.41 24.256451
"2013-05-08" 26.65 26.98 26.41 24.446877
"2013-05-09" 26.860001 27.309999 26.780001 24.319929
"2013-05-10" 26.870001 27.16 26.85 24.619167
"2013-05-13" 27.07 27.389999 26.969999 24.800516
"2013-05-14" 27.370001 27.610001 27.23 25.027218
"2013-05-15" 27.49 27.75 27.200001 24.873062
"2013-05-16" 27.280001 27.559999 26.5 24.301792
"2013-05-17" 26.950001 27.35 26.879999 24.691704
"2013-05-20" 27.200001 27.610001 26.709999 24.247385
"2013-05-21" 26.82 26.99 25.91 23.85747
"2013-05-22" 26.52 27.17 25.91 23.685177
"2013-05-23" 25.700001 26.43 25.459999 23.585432
"2013-05-24" 25.879999 25.879999 25.33 23.349669
"2013-05-28" 26.129999 26.530001 25.48 23.295259
"2013-05-29" 25.459999 25.52 24.309999 22.234322
"2013-05-30" 24.629999 25.049999 24.32 22.433821
"2013-05-31" 24.58 24.93 24.34 22.089235
"2013-06-03" 24.4 24.530001 23.139999 21.563311
"2013-06-04" 23.709999 24.059999 22.83 20.783474
