"Index" "Open" "High" "Low" "Price"
"2012-09-17" 41.455647 41.713421 41.35709 39.672222
"2012-09-18" 41.432903 42.312359 41.432903 40.265427
"2012-09-19" 42.266869 42.539803 41.736164 40.171368
"2012-09-20" 41.751328 41.827141 41.394997 39.802441
"2012-09-21" 42.069752 42.115238 41.455647 39.715622
"2012-09-24" 41.387417 41.599697 41.190296 39.599884
"2012-09-25" 41.501137 41.637604 41.266109 39.469658
"2012-09-26" 41.228203 41.993935 41.084156 39.82793
"2012-09-27" 41.758907 42.259289 41.50872 40.131897
"2012-09-28" 41.819561 41.978771 41.432903 39.914783
"2012-10-01" 41.811977 43.328278 41.811977 40.710884
"2012-10-02" 42.797573 42.88097 42.092495 40.428635
"2012-10-03" 42.554966 42.97953 42.388172 40.848419
"2012-10-04" 42.964367 43.108414 42.585293 40.92802
"2012-10-05" 43.062927 43.244881 42.638363 40.862885
"2012-10-08" 42.77483 43.237301 42.608036 41.130665
"2012-10-09" 43.070507 43.070507 41.933285 40.117428
"2012-10-10" 41.956028 42.335102 41.880211 40.045044
"2012-10-11" 42.160728 42.858227 42.031841 40.479301
"2012-10-12" 42.532223 42.83548 42.198635 40.479301
"2012-10-15" 42.494312 42.767246 42.357845 40.73983
"2012-10-16" 42.843063 43.199394 42.812737 40.964203
"2012-10-17" 43.153904 43.206974 42.403336 40.602348
"2012-10-18" 40.485214 40.940105 39.84079 38.684391
"2012-10-19" 40.303261 40.758148 40.083397 38.604782
"2012-10-22" 40.424564 40.803638 39.643669 38.228447
"2012-10-23" 39.545109 39.878696 39.044731 37.917217
"2012-10-24" 39.969673 40.416985 39.529945 37.815899
"2012-10-25" 38.43821 39.825626 38.385139 37.815899
"2012-10-26" 39.689159 39.711903 39.120544 37.468498
"2012-10-31" 39.833206 40.523125 39.166035 37.439545
"2012-11-01" 39.423805 39.742229 39.378319 37.852077
"2012-11-02" 39.969673 40.197121 39.347992 37.598766
"2012-11-05" 39.363155 39.742229 39.272175 37.779697
"2012-11-06" 39.689159 40.265354 39.628506 38.213963
"2012-11-07" 39.598179 39.673996 39.294922 37.613258
"2012-11-08" 39.423805 39.628506 39.310081 37.540874
"2012-11-09" 39.203941 39.780136 39.150871 37.649433
"2012-11-12" 39.469296 39.719482 39.340408 37.685627
"2012-11-13" 39.241852 39.84079 39.188778 37.714573
"2012-11-14" 39.643669 39.764973 38.923428 37.207951
"2012-11-15" 38.968918 39.203941 38.908264 37.330997
"2012-11-16" 39.203941 39.552692 39.014404 37.62772
"2012-11-19" 39.749809 40.10614 39.689159 38.286339
"2012-11-20" 39.871113 39.909023 39.575436 38.098152
"2012-11-21" 39.939346 40.515541 39.810463 38.387665
"2012-11-23" 40.288097 40.561031 40.21228 38.713356
"2012-11-26" 40.21228 40.295677 39.863533 38.134346
"2012-11-27" 39.962093 40.022743 39.514786 37.786942
"2012-11-28" 39.636089 40.128887 39.461712 38.213963
"2012-11-29" 40.272934 40.765732 40.181957 38.821911
"2012-11-30" 40.674755 40.993176 40.507961 39.060741
"2012-12-03" 41.243366 41.288857 40.462471 38.662693
"2012-12-04" 40.538288 40.652008 40.235027 38.53965
"2012-12-05" 40.507961 40.811222 40.04549 38.612026
"2012-12-06" 40.280518 40.477634 40.09856 38.409374
"2012-12-07" 40.515541 40.674755 40.136467 38.72057
"2012-12-10" 40.576195 40.621681 40.363911 38.655453
"2012-12-11" 40.621681 40.940105 40.477634 38.742302
"2012-12-12" 40.818802 41.842304 40.568611 39.585861
"2012-12-13" 41.379833 41.857468 41.190296 39.745159
"2012-12-14" 41.531464 41.67551 41.3116 39.477257
"2012-12-17" 41.5163 42.016678 41.46323 40.114445
"2012-12-18" 41.956028 42.767246 41.887794 40.787849
"2012-12-19" 42.683849 42.752087 42.198635 40.309956
"2012-12-20" 42.312359 42.896133 42.274448 40.910938
"2012-12-21" 42.251705 42.630779 42.100075 40.592339
"2012-12-24" 42.448826 42.608036 42.244125 40.505451
"2012-12-26" 42.418499 42.592873 42.100075 40.302708
"2012-12-27" 42.130402 42.448826 41.819561 40.389591
"2012-12-28" 41.948444 42.160728 41.652767 39.839294
"2012-12-31" 41.56937 42.418499 41.372253 40.476486
"2013-01-02" 43.184231 43.578468 42.585293 41.620544
"2013-01-03" 43.487492 44.268387 43.487492 42.018791
"2013-01-04" 44.003033 44.3442 43.775589 42.062237
"2013-01-07" 45.337376 45.390446 43.828659 42.062237
"2013-01-08" 43.889309 44.260803 43.631538 41.765358
"2013-01-09" 45.489006 45.86808 44.988628 43.300415
"2013-01-10" 45.458679 45.481426 44.927975 43.437996
"2013-01-11" 45.420773 45.534496 45.132675 43.285946
"2013-01-14" 45.307053 45.451099 45.109932 43.148373
"2013-01-15" 45.056862 45.511749 44.897652 43.437996
"2013-01-16" 45.344959 45.6558 45.163002 43.495926
"2013-01-17" 45.784683 46.239574 45.504169 43.959347
"2013-01-18" 46.254738 46.254738 45.253979 43.814529
"2013-01-22" 45.777103 46.057617 45.640636 43.734871
"2013-01-23" 45.693707 45.86808 45.352539 43.778324
"2013-01-24" 45.875664 46.353298 45.799847 43.807297
"2013-01-25" 46.163761 46.254738 45.837757 43.836258
"2013-01-28" 46.118271 46.573162 45.724033 43.959347
"2013-01-29" 45.360123 46.618649 45.109932 44.169334
"2013-01-30" 46.118271 46.171341 45.375282 43.445232
"2013-01-31" 45.360123 45.670963 45.208492 43.394554
"2013-02-01" 45.724033 45.898407 45.511749 43.785568
"2013-02-04" 45.633057 45.76194 45.405609 43.416286
"2013-02-05" 45.746777 46.110691 45.670963 43.937618
"2013-02-06" 45.420773 45.890827 45.420773 43.756603
"2013-02-07" 45.928734 45.96664 45.382866 43.56834
"2013-02-08" 45.60273 46.103107 45.55724 44.031742
"2013-02-11" 46.080364 46.118271 45.739197 43.937618
"2013-02-12" 46.133434 46.376041 46.004547 44.147617
"2013-02-13" 46.398788 46.482182 45.92115 44.183819
"2013-02-14" 46.080364 46.520092 45.883244 44.285194
"2013-02-15" 46.383625 46.929493 46.125854 44.661701
"2013-02-19" 46.815769 47.111446 46.664139 44.748604
"2013-02-20" 46.90675 47.005306 46.163761 44.147617
"2013-02-21" 46.027294 46.398788 45.936314 44.162102
"2013-02-22" 46.330551 46.595905 46.254738 44.502422
"2013-02-25" 46.633812 46.777863 45.398029 43.365597
"2013-02-26" 45.595146 45.905991 45.579987 43.662479
"2013-02-27" 45.75436 46.618649 45.66338 44.343109
"2013-02-28" 46.550419 46.997726 46.345715 44.60379
"2013-03-01" 46.436695 46.823353 46.209248 44.582062
"2013-03-04" 46.641396 46.762699 46.163761 44.647232
"2013-03-05" 46.876423 47.33131 46.793026 45.052723
"2013-03-06" 47.247913 47.354057 46.755119 44.726891
"2013-03-07" 46.929493 47.005306 46.557999 44.473442
"2013-03-08" 46.876423 47.058376 46.656559 44.849968
"2013-03-11" 46.9674 47.232754 46.95982 45.081673
"2013-03-12" 47.232754 47.361637 46.899166 45.00927
"2013-03-13" 47.11903 47.179684 46.868839 44.980309
"2013-03-14" 47.194843 47.460197 47.1721 45.327862
"2013-03-15" 47.179684 47.687641 47.11903 45.364079
"2013-03-18" 46.982563 47.156937 46.755119 44.755844
"2013-03-19" 47.02047 47.187263 46.216831 44.372074
"2013-03-20" 46.603485 46.853676 46.315392 44.393803
"2013-03-21" 46.300228 46.777863 46.239574 44.306904
"2013-03-22" 46.459438 46.838512 46.330551 44.654465
"2013-03-25" 46.853676 47.01289 46.034874 44.198288
"2013-03-26" 46.565578 46.899166 46.451859 44.795921
"2013-03-27" 46.603485 46.90675 46.467018 44.795921
"2013-03-28" 46.884003 47.179684 46.694466 45.020477
"2013-04-01" 46.899166 47.081123 46.633812 44.759686
"2013-04-02" 47.005306 47.043217 46.671722 44.723484
"2013-04-03" 46.884003 46.929493 46.133434 44.252625
"2013-04-04" 46.376041 46.603485 45.959061 44.006332
"2013-04-05" 45.504169 45.936314 45.322212 43.861446
"2013-04-08" 45.890827 46.171341 45.784683 44.020817
"2013-04-09" 46.110691 46.133434 45.633057 43.854218
"2013-04-10" 46.050037 46.884003 45.845337 44.752441
"2013-04-11" 46.815769 47.096287 46.664139 44.868347
"2013-04-12" 46.838512 46.990143 46.368462 44.593094
"2013-04-15" 46.459438 46.686886 45.420773 43.397858
"2013-04-16" 45.670963 46.231995 45.542076 44.158459
"2013-04-17" 45.989388 46.034874 45.170586 43.2747
"2013-04-18" 43.942383 44.39727 43.677029 42.050495
"2013-04-19" 44.24564 44.852161 44.071266 42.811092
"2013-04-22" 44.821835 45.049278 44.351784 42.731419
"2013-04-23" 44.996208 45.125095 44.3442 42.80386
"2013-04-24" 44.927975 45.693707 44.753601 43.434071
"2013-04-25" 45.526913 46.186504 45.360123 43.781784
"2013-04-26" 45.777103 46.057617 45.435936 43.41959
"2013-04-29" 45.489006 45.799847 45.398029 43.629662
"2013-04-30" 45.70887 46.648975 45.54966 44.143967
"2013-05-01" 45.996967 46.535255 45.564823 43.564449
"2013-05-02" 45.739197 45.981804 45.564823 43.796261
"2013-05-03" 46.315392 46.467018 45.951477 44.042549
"2013-05-06" 46.087944 46.588326 45.898407 44.411983
"2013-05-07" 46.633812 46.830933 46.413952 44.571342
"2013-05-08" 46.626232 46.793026 46.512508 44.651039
"2013-05-09" 46.709629 47.096287 46.588326 44.723484
"2013-05-10" 46.793026 46.9674 46.648975 44.839378
"2013-05-13" 46.762699 46.974979 46.679302 44.622063
"2013-05-14" 46.770283 47.06596 46.717209 44.803169
"2013-05-15" 46.815769 47.111446 46.686886 44.955269
"2013-05-16" 46.823353 47.649734 46.808189 45.107403
"2013-05-17" 47.573921 48.021229 47.566338 45.817295
"2013-05-20" 47.899925 48.58984 47.839272 46.411293
"2013-05-21" 48.521606 48.817287 48.339649 46.244682
"2013-05-22" 48.392723 48.551933 47.369221 45.462341
"2013-05-23" 47.240334 47.543594 47.141773 45.194321
"2013-05-24" 47.005306 47.300987 46.785442 44.984257
"2013-05-28" 47.551174 47.922668 47.361637 45.339207
"2013-05-29" 47.081123 47.369221 46.929493 45.063942
"2013-05-30" 47.32373 47.687641 47.07354 45.273998
"2013-05-31" 47.16452 47.566338 46.868839 44.781418
"2013-06-03" 46.899166 47.32373 46.830933 45.179836
"2013-06-04" 47.179684 47.589085 46.580742 44.759686
"2013-06-05" 46.762699 46.838512 45.678543 43.781784
"2013-06-06" 45.86808 45.943897 45.223656 43.774532
"2013-06-07" 46.209248 47.134193 45.883244 44.984257
"2013-06-10" 47.1721 47.475361 46.982563 45.121891
"2013-06-11" 46.747536 47.369221 46.656559 45.063942
"2013-06-12" 47.33131 47.33131 46.520092 44.477188
"2013-06-13" 46.565578 47.520847 46.376041 45.259518
"2013-06-14" 47.32373 47.634571 47.096287 45.288494
"2013-06-17" 47.763458 48.286579 47.740711 45.904217
"2013-06-18" 48.006065 48.976498 47.824108 46.621368
"2013-06-19" 48.79454 49.128128 48.263836 46.12878
"2013-06-20" 47.755875 47.937832 47.081123 45.100155
"2013-06-21" 47.452618 47.672478 46.755119 44.991493
"2013-06-24" 46.732372 47.22517 46.421532 44.665531
"2013-06-25" 47.058376 47.338894 46.679302 45.12912
"2013-06-26" 47.626991 48.263836 47.543594 45.908157
"2013-06-27" 48.347233 48.445793 47.831692 46.118301
"2013-06-28" 48.089462 48.309326 47.786201 45.871922
"2013-07-01" 48.32449 49.393478 48.218346 46.886463
"2013-07-02" 48.968918 49.105385 48.112206 46.147297
"2013-07-03" 47.998486 48.453373 47.884762 46.111061
"2013-07-05" 48.650494 48.991661 48.53677 46.814014
"2013-07-08" 49.241852 49.325245 48.756634 46.698059
"2013-07-09" 49.537529 50.545868 49.537529 48.277843
"2013-07-10" 50.492798 51.50872 50.492798 49.13295
"2013-07-11" 51.993935 52.312359 51.402576 49.531517
"2013-07-12" 51.796818 51.880211 51.25853 49.415592
"2013-07-15" 51.940865 52.031841 51.652767 49.567764
"2013-07-16" 51.857468 52.153145 51.197876 49.328625
"2013-07-17" 51.766491 52.031841 51.660351 49.575016
"2013-07-18" 51.554207 52.069752 50.667171 49.096733
"2013-07-19" 51.554207 52.327522 51.304016 49.777924
"2013-07-22" 52.122822 52.221378 51.440483 49.401089
"2013-07-23" 51.743744 51.857468 51.432903 49.205429
"2013-07-24" 51.554207 51.652767 51.091736 49.009762
"2013-07-25" 50.909779 51.122063 50.667171 48.756138
"2013-07-26" 50.636845 50.796059 50.439728 48.350307
"2013-07-29" 50.394238 50.978016 50.2047 48.690899
"2013-07-30" 51.144806 51.448067 50.902199 48.676414
"2013-07-31" 50.947689 51.539043 50.924942 48.799606
"2013-08-01" 51.41774 51.698257 51.281273 49.01701
"2013-08-02" 51.273693 51.273693 50.773312 48.719887
"2013-08-05" 50.871872 50.993176 50.712662 48.640179
