"Index" "Open" "High" "Low" "Price"
"2012-09-17" 33.02 33.02 31.99 31.14533
"2012-09-18" 32.209999 32.450001 31.700001 31.116142
"2012-09-19" 31.75 32 30.49 30.50316
"2012-09-20" 31.08 31.370001 30.84 30.143156
"2012-09-21" 31.309999 31.940001 31.129999 31.048035
"2012-09-24" 31.690001 31.870001 31.299999 30.483702
"2012-09-25" 31.559999 31.67 31.08 30.298834
"2012-09-26" 31.059999 31.139999 30.1 29.588552
"2012-09-27" 30.709999 31.07 30.459999 30.133425
"2012-09-28" 30.93 31.16 30.58 29.783152
"2012-10-01" 30.639999 30.99 30.24 29.471794
"2012-10-02" 30.57 30.82 30.290001 29.860991
"2012-10-03" 30.809999 32.720001 30.610001 31.067493
"2012-10-04" 32 32.389999 32 31.39831
"2012-10-05" 32.299999 32.619999 32 31.252361
"2012-10-08" 31.969999 32.16 31.790001 31.252361
"2012-10-09" 32.02 32.48 31.9 31.281553
"2012-10-10" 32.389999 32.439999 31.809999 31.408039
"2012-10-11" 33.029999 34.16 32.900002 32.789684
"2012-10-12" 33.540001 33.82 33.34 32.488056
"2012-10-15" 33.509998 34.950001 33.470001 33.59726
"2012-10-16" 34.529999 34.779999 34.16 33.334553
"2012-10-17" 34.349998 34.529999 33.84 33.198334
"2012-10-18" 33.650002 36.009998 33.32 34.774578
"2012-10-19" 35.549999 35.73 35.099998 34.511871
"2012-10-22" 35.889999 36.68 35.889999 35.640537
"2012-10-23" 36.02 36.310001 34.970001 35.027554
"2012-10-24" 36.470001 36.490002 35.41 34.521599
"2012-10-25" 35.700001 36.02 35.52 34.803768
"2012-10-26" 35.48 35.939999 35.349998 34.589706
"2012-10-31" 35.700001 36.080002 35.330002 34.667549
"2012-11-01" 35.740002 36.380001 35.09 35.027554
"2012-11-02" 36.099998 36.419998 35.299999 34.434029
"2012-11-05" 35.110001 35.810001 34.509998 33.88916
"2012-11-06" 34.439999 36.580002 34.139999 35.027554
"2012-11-07" 35.75 35.900002 34.540001 34.161594
"2012-11-08" 35.029999 35.869999 34.73 34.511871
"2012-11-09" 35.110001 36.110001 35.110001 34.891335
"2012-11-12" 35.869999 36.040001 35.52 34.774578
"2012-11-13" 35.400002 35.77 35.16 34.219971
"2012-11-14" 35.23 35.48 34.029999 33.149689
"2012-11-15" 34.299999 35.110001 34.259998 33.694561
"2012-11-16" 35.349998 35.630001 34.700001 34.589706
"2012-11-19" 35.91 35.959999 34.720001 34.074024
"2012-11-20" 34.849998 35 34.619999 33.908615
"2012-11-21" 34.93 35.139999 34.509998 34.142136
"2012-11-23" 35.09 35.779999 35.029999 34.784306
"2012-11-26" 34.360001 35.41 34.360001 34.346462
"2012-11-27" 35.09 35.290001 34.299999 33.461044
"2012-11-28" 34.130001 34.689999 34 33.694561
"2012-11-29" 35 35.869999 34.889999 34.813496
"2012-11-30" 35.880001 37.220001 35.779999 36.039463
"2012-12-03" 35.91 36.810001 35.849998 35.591888
"2012-12-04" 36.490002 37.209999 36.48 36.195141
"2012-12-05" 37.130001 37.299999 36 35.154041
"2012-12-06" 36.330002 37.369999 36.259998 36.321629
"2012-12-07" 37.48 37.919998 37.110001 36.662174
"2012-12-10" 37.52 37.619999 37.150002 36.146492
"2012-12-11" 37.290001 37.389999 36.52 36.02
"2012-12-12" 36.34 37.16 36.119999 36.669998
"2012-12-13" 37.439999 37.439999 36.099998 36.209999
"2012-12-14" 36.32 36.490002 36.110001 36.279999
"2012-12-17" 36.459999 36.599998 36.060001 36.220001
"2012-12-18" 36.41 36.439999 35.25 35.790001
"2012-12-19" 35.77 35.830002 34.669998 35.610001
"2012-12-20" 35.830002 36.84 35.68 36.73
"2012-12-21" 36.110001 36.200001 35.450001 35.549999
"2012-12-24" 35.549999 35.59 35.080002 35.139999
"2012-12-26" 35.110001 35.439999 34.93 34.939999
"2012-12-27" 35 35.91 35 35.810001
"2012-12-28" 35.450001 35.990002 35.380001 35.43
"2012-12-31" 35.27 36.439999 35.16 36.400002
"2013-01-02" 36.950001 37.509998 36.599998 36.959999
"2013-01-03" 37.080002 37.240002 36.610001 36.93
"2013-01-04" 36.93 36.939999 36.41 36.889999
"2013-01-07" 36.490002 36.790001 36.279999 36.34
"2013-01-08" 36.540001 36.599998 35.57 35.970001
"2013-01-09" 36.32 37.349998 35.509998 36.849998
"2013-01-10" 37.169998 37.27 36.77 36.950001
"2013-01-11" 36.75 36.939999 36.07 36.209999
"2013-01-14" 36.209999 36.709999 35.779999 36.709999
"2013-01-15" 36.380001 37.099998 36.040001 37.060001
"2013-01-16" 36.939999 37.380001 36.650002 37.349998
"2013-01-17" 37.740002 37.93 37.419998 37.75
"2013-01-18" 37.610001 37.939999 37.450001 37.919998
"2013-01-22" 37.830002 38 36.990002 37.5
"2013-01-23" 37.25 37.560001 37.07 37.240002
"2013-01-24" 37.200001 37.279999 36.509998 36.630001
"2013-01-25" 36.860001 37.82 36.650002 37.73
"2013-01-28" 37.689999 37.849998 37.130001 37.509998
"2013-01-29" 37.639999 38.099998 37.310001 37.939999
"2013-01-30" 37.700001 37.990002 37.310001 37.66
"2013-01-31" 37.349998 37.599998 36.860001 37.259998
"2013-02-01" 37.419998 37.77 37.389999 37.68
