"Index" "Open" "High" "Low" "Price"
"2012-09-17" 47.200001 47.299999 46.73 46.93
"2012-09-18" 46.5 47.02 46.5 46.82
"2012-09-19" 46.799999 47.18 46.779999 47.060001
"2012-09-20" 47 49.57 46.970001 49.41
"2012-09-21" 49.509998 49.509998 48.5 48.549999
"2012-09-24" 48.450001 49.25 48.34 49.029999
"2012-09-25" 49.040001 49.259998 48.650002 48.720001
"2012-09-26" 48.849998 49.139999 48.310001 48.380001
"2012-09-27" 48.369999 48.98 48 48.57
"2012-09-28" 48.23 48.43 47.82 48.290001
"2012-10-01" 48.310001 48.68 48.080002 48.299999
"2012-10-02" 48.560001 48.66 47.299999 47.630001
"2012-10-03" 47.830002 47.950001 46.990002 47.02
"2012-10-04" 47.200001 47.509998 46.84 46.849998
"2012-10-05" 47.84 48.52 47.529999 48.07
"2012-10-08" 47.959999 47.959999 47.220001 47.27
"2012-10-09" 47.080002 47.25 45.759998 45.790001
"2012-10-10" 46.939999 47.549999 46.130001 46.91
"2012-10-11" 47.459999 47.459999 42.509998 43.279999
"2012-10-12" 42.169998 42.200001 40.84 41.110001
"2012-10-15" 41.200001 41.990002 40.220001 40.52
"2012-10-16" 40.52 41.34 40.41 40.52
"2012-10-17" 40.470001 40.889999 39.689999 40.369999
"2012-10-18" 40.349998 40.470001 39.23 39.360001
"2012-10-19" 39.200001 39.689999 38.77 39.150002
"2012-10-22" 38.880001 39.25 38.650002 38.98
"2012-10-23" 38.470001 39.619999 38.450001 39.189999
"2012-10-24" 40.299999 40.700001 39.290001 40.259998
"2012-10-25" 40.75 40.970001 39.779999 40.049999
"2012-10-26" 40.02 40.130001 39.509998 39.849998
"2012-10-31" 39.209999 40 39.200001 39.869999
"2012-11-01" 39.84 40.650002 39.52 40.380001
"2012-11-02" 40.59 40.82 39.529999 39.59
"2012-11-05" 39.580002 39.650002 38.759998 39.529999
"2012-11-06" 39.450001 39.48 38.950001 39.029999
"2012-11-07" 39 39.049999 38.18 38.830002
"2012-11-08" 38.709999 39.029999 38.09 38.130001
"2012-11-09" 38.029999 38.200001 37.119999 37.740002
"2012-11-12" 37.77 38.150002 37.509998 37.869999
"2012-11-13" 37.68 38.110001 37.669998 37.709999
"2012-11-14" 37.900002 38.200001 37.52 37.759998
"2012-11-15" 39 40.009998 38.450001 39.700001
"2012-11-16" 39.790001 39.98 38.599998 38.82
"2012-11-19" 38.990002 40.459999 38.990002 40.450001
"2012-11-20" 40.23 41.630001 40.110001 41.610001
"2012-11-21" 41.509998 42 41.279999 41.470001
"2012-11-23" 41.549999 42.040001 41.389999 42.029999
"2012-11-26" 42.009998 42.27 41.790001 42.18
"2012-11-27" 42.049999 42.66 40.990002 41.130001
"2012-11-28" 41.130001 41.450001 40.830002 41.419998
"2012-11-29" 41.650002 41.939999 41.32 41.73
"2012-11-30" 41.779999 42.040001 41.529999 41.740002
"2012-12-03" 41.91 41.990002 41.279999 41.34
"2012-12-04" 41.880001 41.919998 40.700001 41.360001
"2012-12-05" 41.279999 41.529999 40.450001 40.549999
"2012-12-06" 40.560001 40.720001 39.900002 40.389999
"2012-12-07" 40.639999 40.639999 39.68 39.82
"2012-12-10" 39.799999 39.98 39.299999 39.439999
"2012-12-11" 39.619999 39.720001 37.470001 37.98
"2012-12-12" 38.139999 39.150002 37.880001 38.650002
"2012-12-13" 38.48 39.48 38.439999 38.84
"2012-12-14" 38.900002 38.950001 38.59 38.630001
"2012-12-17" 38.650002 39.48 38.630001 39.470001
"2012-12-18" 39.459999 40.34 39.419998 40.259998
"2012-12-19" 40.299999 40.619999 39.5 39.549999
"2012-12-20" 39.5 40.169998 39.34 39.990002
"2012-12-21" 39.490002 40.119999 39 40.029999
"2012-12-24" 39.849998 40.450001 39.779999 40.049999
"2012-12-26" 40.119999 40.380001 39.34 39.720001
"2012-12-27" 39.889999 39.900002 39.18 39.73
"2012-12-28" 39.48 40.169998 39.459999 39.599998
"2012-12-31" 39.470001 40.580002 39.27 40.560001
"2013-01-02" 41.07 41.369999 39.790001 39.900002
"2013-01-03" 38.490002 39.990002 37.919998 39.48
"2013-01-04" 39.450001 40.18 39.330002 39.619999
"2013-01-07" 39.439999 40.009998 38.880001 39.959999
"2013-01-08" 39.790001 39.889999 38.939999 39.009998
"2013-01-09" 38.950001 39.040001 37.950001 38.18
"2013-01-10" 38.419998 38.48 38.029999 38.139999
"2013-01-11" 38.23 38.23 37.759998 38.119999
"2013-01-14" 38.07 38.139999 37.849998 38.040001
"2013-01-15" 37.720001 38.82 37.700001 38.599998
"2013-01-16" 38.810001 39.02 38.330002 38.82
"2013-01-17" 38.950001 39.169998 38.740002 38.98
"2013-01-18" 38.880001 39.16 38.360001 38.52
"2013-01-22" 38.5 39.669998 38.380001 39.529999
"2013-01-23" 39.619999 40.139999 39.27 39.959999
"2013-01-24" 40.060001 41.34 40.060001 41.060001
"2013-01-25" 41.099998 41.310001 40.77 41.049999
"2013-01-28" 41.240002 41.529999 40.869999 40.98
"2013-01-29" 40.77 40.869999 40.389999 40.619999
"2013-01-30" 40.57 40.810001 39.66 39.810001
"2013-01-31" 39.93 40.290001 39.93 39.990002
"2013-02-01" 40.25 40.349998 39.810001 40.119999
"2013-02-04" 39.91 40.369999 39.509998 39.580002
"2013-02-05" 39.849998 39.93 39.450001 39.59
"2013-02-06" 39.639999 39.93 39.43 39.560001
"2013-02-07" 39.650002 39.900002 39.009998 39.400002
"2013-02-08" 39.41 41.330002 39.330002 41.060001
"2013-02-11" 41.259998 41.360001 40.349998 40.959999
"2013-02-12" 40.830002 40.959999 40 40.23
"2013-02-13" 40.23 40.529999 39.459999 39.720001
"2013-02-14" 39.470001 40.119999 38.43 39.93
"2013-02-15" 39.900002 41.860001 39.66 41.119999
"2013-02-19" 41.119999 41.200001 39.860001 40.400002
"2013-02-20" 40.349998 40.700001 39.98 40.290001
"2013-02-21" 40.25 41.939999 40.099998 41.459999
"2013-02-22" 41.689999 41.93 41.18 41.889999
"2013-02-25" 41.91 41.98 40.82 40.82
"2013-02-26" 40.759998 41.25 40.650002 41.080002
"2013-02-27" 43.5 46.709999 43.5 45.389999
"2013-02-28" 45.25 45.98 45.009998 45.189999
"2013-03-01" 45.02 46.16 44.619999 46.110001
"2013-03-04" 45.849998 46.5 45.689999 46.48
"2013-03-05" 46.75 46.759998 45.560001 46
"2013-03-06" 46.310001 46.450001 45.189999 45.470001
"2013-03-07" 45.459999 45.580002 44.880001 45.099998
"2013-03-08" 45.470001 45.5 44.869999 45.029999
"2013-03-11" 44.889999 45.540001 44.810001 45.009998
"2013-03-12" 44.880001 45.169998 44.529999 44.639999
"2013-03-13" 45.439999 45.439999 44.66 45.049999
"2013-03-14" 45.009998 45.209999 44.790001 44.959999
"2013-03-15" 44.799999 45.099998 44.130001 44.240002
"2013-03-18" 44.73 44.919998 43.68 44.91
"2013-03-19" 44.639999 45.349998 44.150002 44.369999
"2013-03-20" 44.810001 46.330002 44.77 46.16
"2013-03-21" 45.68 46.639999 45.509998 46.34
"2013-03-22" 46.32 47.23 45.939999 46.84
"2013-03-25" 47.48 48.610001 46.66 47.02
"2013-03-26" 47.189999 48.389999 47.049999 48.349998
"2013-03-27" 47.77 48.240002 47.599998 47.860001
"2013-03-28" 47.77 48.470001 47.330002 48.43
"2013-04-01" 48.560001 48.57 47.400002 47.599998
"2013-04-02" 47.93 48 47.049999 47.32
"2013-04-03" 48.349998 48.439999 47.16 47.259998
"2013-04-04" 47.25 47.709999 47.119999 47.669998
"2013-04-05" 46.849998 47.25 46.630001 46.970001
"2013-04-08" 47.060001 47.380001 46.509998 47.029999
"2013-04-09" 46.919998 46.959999 45.57 45.990002
"2013-04-10" 45.689999 46.810001 45.669998 46.119999
"2013-04-11" 46.349998 47.400002 46.349998 47.279999
"2013-04-12" 47.330002 47.849998 47.119999 47.82
