"Index" "Open" "High" "Low" "Price"
"2019-03-20" 52.75 53.5 49.5 41.373936
"2019-03-21" 49.990002 50 48.200001 40.692677
"2019-03-22" 48.799999 49.950001 48.16 40.376976
"2019-03-25" 48.599998 49.400002 48 40.83392
"2019-03-26" 49 49.75 48.18 40.584679
"2019-03-27" 49 50.779999 49 41.623177
"2019-03-28" 50.900002 51 49.915001 42.246281
"2019-03-29" 49.52 52.48 49.18 42.894314
"2019-04-01" 52.299999 54.389999 51.25 44.447906
"2019-04-02" 55.119999 57.389999 54.299999 46.732613
"2019-04-03" 57.080002 57.200001 55.509998 47.256016
"2019-04-04" 57.200001 60.52 57.099998 49.607189
"2019-04-05" 58.389999 58.98 56.27 47.555107
"2019-04-08" 56.5 58.389999 56.27 47.480339
"2019-04-09" 56.799999 57.200001 56.080002 46.749229
"2019-04-10" 55.990002 56.41 55.099998 46.283981
"2019-04-11" 55.700001 56.209999 54.830002 45.602718
"2019-04-12" 55.93 58.330002 55.93 48.43576
"2019-04-15" 58.57 58.849998 57.290001 48.003731
"2019-04-16" 58.709999 58.990002 57.84 48.601917
"2019-04-17" 58.950001 59.049999 58.200001 48.452377
"2019-04-18" 58.360001 58.610001 57.549999 47.99543
"2019-04-22" 57.48 58.41 57.259998 48.095119
"2019-04-23" 57.290001 57.84 57 47.887421
"2019-04-24" 57.490002 57.889999 55.865002 46.508297
"2019-04-25" 55.759998 55.98 54.82 45.968273
"2019-04-26" 55.299999 55.599998 54.950001 45.90181
"2019-04-29" 55.049999 55.685001 54.799999 46.109509
"2019-04-30" 55.759998 57.205002 55.599998 47.131401
"2019-05-01" 56.82 57.48 55.880001 46.632912
"2019-05-02" 55.540001 56.490002 52.029999 43.783276
"2019-05-03" 53.200001 53.349998 51.720001 44.281738
"2019-05-06" 52.150002 54.029999 51.700001 44.414669
"2019-05-07" 52.860001 53.325001 52.650002 43.990967
"2019-05-08" 53.330002 53.395 52.310001 43.600487
"2019-05-09" 52.259998 53.139999 51.549999 43.974346
"2019-05-10" 52.939999 53.714001 52.490002 44.09066
