"Index" "Open" "High" "Low" "Price"
"2012-09-17" 33.990002 34.470001 33.779999 30.875784
"2012-09-18" 34.25 34.279999 33.669998 30.640997
"2012-09-19" 33.93 34.580002 33.720001 31.101557
"2012-09-20" 34.299999 34.630001 33.900002 31.155739
"2012-09-21" 35.02 35.060001 34.619999 31.327328
"2012-09-24" 34.540001 35.43 34.5 31.959465
"2012-09-25" 35.669998 36.68 35.52 32.410988
"2012-09-26" 35.860001 36.470001 35.580002 32.790291
"2012-09-27" 36.369999 37.759998 36.299999 34.090698
"2012-09-28" 37.450001 37.73 37.139999 34.045559
"2012-10-01" 37.740002 38.290001 37.68 34.533203
"2012-10-02" 38.450001 38.450001 37.5 34.08168
"2012-10-03" 37.849998 38.060001 37.52 34.126816
"2012-10-04" 37.830002 37.880001 37.360001 34.153923
"2012-10-05" 38.040001 38.369999 37.580002 34.117794
"2012-10-08" 37.549999 37.889999 37.189999 34.13586
"2012-10-09" 37.740002 38.25 37.689999 34.38871
"2012-10-10" 38.099998 38.360001 37.169998 33.693363
"2012-10-11" 37.59 37.880001 37.5 34.08168
"2012-10-12" 37.720001 38.099998 37.529999 34.045559
"2012-10-15" 38 38.57 37.919998 34.533203
"2012-10-16" 40.919998 41.509998 40.029999 37.170155
"2012-10-17" 41.490002 41.490002 40.970001 37.206268
"2012-10-18" 41.080002 41.240002 40.689999 37.115978
"2012-10-19" 40.689999 40.98 39.849998 36.276127
"2012-10-22" 40.419998 40.75 39.990002 36.52898
"2012-10-23" 40.110001 40.599998 39.34 36.465771
"2012-10-24" 40.509998 40.540001 40.099998 36.402546
"2012-10-25" 40.639999 40.98 40.32 36.655403
"2012-10-26" 40.48 40.68 39.93 36.565105
"2012-10-31" 40.369999 40.619999 39.990002 36.682514
"2012-11-01" 40.73 40.880001 40.209999 36.808918
"2012-11-02" 40.509998 41.610001 40.509998 36.59219
"2012-11-05" 40.450001 41.349998 40.279999 37.125
"2012-11-06" 41.16 41.34 40.720001 37.034702
"2012-11-07" 40.610001 40.939999 40.349998 36.583149
"2012-11-08" 40.349998 40.450001 39.889999 36.032291
"2012-11-09" 39.619999 40.139999 38.98 35.978119
"2012-11-12" 39.939999 40.279999 39.580002 36.221943
"2012-11-13" 39.75 40.580002 39.34 36.339344
"2012-11-14" 40.650002 40.650002 39.759998 35.951015
"2012-11-15" 39.669998 40.080002 39.34 35.941986
"2012-11-16" 39.700001 40.349998 39.099998 36.122597
"2012-11-19" 40.279999 40.900002 39.860001 36.926323
"2012-11-20" 40.709999 41.189999 40.540001 37.007607
"2012-11-21" 41.080002 41.259998 40.810001 37.26046
"2012-11-23" 41.380001 41.740002 41.049999 37.648777
"2012-11-26" 41.41 41.68 40.860001 37.495247
"2012-11-27" 41.369999 41.84 41.110001 37.350777
"2012-11-28" 41.18 41.830002 40.700001 37.73909
"2012-11-29" 41.990002 42.630001 41.799999 37.92873
"2012-11-30" 41.860001 41.990002 41.349998 37.567505
"2012-12-03" 41.939999 42 41.529999 37.567505
"2012-12-04" 41.439999 41.509998 40.810001 37.070812
"2012-12-05" 41.18 41.25 40.299999 36.826992
"2012-12-06" 40.82 41.57 40.650002 37.350777
"2012-12-07" 41.419998 41.84 41.169998 37.721027
"2012-12-10" 41.639999 42.060001 41.470001 37.766171
"2012-12-11" 41.93 42.470001 41.549999 38.289963
"2012-12-12" 42.529999 42.580002 41.939999 37.982918
"2012-12-13" 42 42.689999 41.849998 38.055157
"2012-12-14" 42.040001 42.32 41.93 38.055157
"2012-12-17" 42.240002 42.68 42.130001 38.434448
"2012-12-18" 42.549999 43 42.43 38.696346
"2012-12-19" 42.830002 43 42.59 38.506687
"2012-12-20" 42.610001 43.459999 42.549999 39.247204
"2012-12-21" 42.689999 43.41 42.52 38.741486
"2012-12-24" 42.73 42.98 42.16 38.578949
"2012-12-26" 42.720001 43.049999 42.599998 38.66021
"2012-12-27" 42.959999 43.740002 42.900002 39.084641
"2012-12-28" 43.080002 43.25 42.560001 38.497673
"2012-12-31" 42.380001 43.669998 42.380001 39.328472
"2013-01-02" 44.18 45.529999 43.810001 41.071388
"2013-01-03" 45.700001 45.98 44.5 40.285728
"2013-01-04" 44.779999 45.41 44.720001 40.917877
"2013-01-07" 45.009998 45.580002 44.990002 41.080437
"2013-01-08" 45.419998 45.93 45.27 41.20686
"2013-01-09" 45.68 45.790001 44.93 41.008183
"2013-01-10" 45.720001 45.720001 44.810001 40.601803
"2013-01-11" 44.93 45.23 44.459999 40.782417
"2013-01-14" 45.209999 45.68 45.060001 40.809498
"2013-01-15" 44.91 45.240002 44.849998 40.710163
"2013-01-16" 44.889999 45.049999 44.380001 40.592773
"2013-01-17" 45.240002 45.630001 44.540001 41.053337
"2013-01-18" 45.48 46.27 45.02 41.58614
"2013-01-22" 46.16 47.119999 45.48 42.389866
"2013-01-23" 46.77 47.25 46.5 42.137012
"2013-01-24" 46.5 47.240002 46.369999 42.127995
"2013-01-25" 46.169998 46.470001 45.900002 41.90221
"2013-01-28" 46.540001 46.619999 45.98 41.721607
"2013-01-29" 46.23 46.639999 46.080002 41.965446
"2013-01-30" 46.41 46.689999 46.189999 41.875126
"2013-01-31" 46.369999 47.029999 46.290001 42.05574
"2013-02-01" 46.91 47.91 46.610001 43.139423
"2013-02-04" 47.439999 47.490002 46.580002 42.155087
"2013-02-05" 46.82 47.110001 46.66 42.191185
"2013-02-06" 46.580002 47.209999 46.16 42.227322
"2013-02-07" 46.790001 46.939999 46.220001 41.992527
"2013-02-08" 46.439999 47.240002 46.439999 42.200222
"2013-02-11" 46.709999 47.43 46.540001 42.272469
"2013-02-12" 46.93 46.950001 46.400002 42.019619
"2013-02-13" 46.52 46.619999 45.290001 41.062378
"2013-02-14" 45.43 45.580002 44.759998 40.448273
"2013-02-15" 44.880001 46.150002 44.880001 40.972057
"2013-02-19" 45.380001 45.57 44.93 41.053337
"2013-02-20" 45.439999 45.939999 44.950001 40.601803
"2013-02-21" 44.880001 45.52 44.450001 40.294758
"2013-02-22" 45.32 46.139999 45.080002 41.604198
"2013-02-25" 46.169998 46.290001 45.130001 40.782417
"2013-02-26" 45.360001 46.139999 45.220001 41.540993
"2013-02-27" 45.830002 47.259998 45.779999 42.290546
"2013-02-28" 48.25 48.720001 47.299999 43.00396
"2013-03-01" 47.490002 48.5 47.16 43.590939
"2013-03-04" 48.279999 48.849998 47.939999 43.916046
"2013-03-05" 48.950001 49.669998 48.939999 44.810081
"2013-03-06" 49.580002 50.189999 49.580002 44.972645
"2013-03-07" 49.790001 49.959999 49.5 44.846203
"2013-03-08" 49.91 49.950001 49.619999 44.918449
"2013-03-11" 49.5 49.880001 49.5 45.044888
"2013-03-12" 49.93 50.130001 49.450001 44.864277
"2013-03-13" 49.450001 49.919998 49.34 45.172546
"2013-03-14" 49.970001 49.970001 49.439999 45.29948
"2013-03-15" 49.919998 49.990002 49.560001 45.172546
"2013-03-18" 49.330002 50.150002 49.009998 45.29948
"2013-03-19" 50.220001 50.5 49.689999 45.607769
"2013-03-20" 50.759998 50.990002 50.119999 46.188068
"2013-03-21" 50.540001 51.049999 50.419998 46.097393
"2013-03-22" 50.900002 51.25 50.900002 46.414749
"2013-03-25" 51.360001 51.389999 50.619999 46.342224
"2013-03-26" 51.290001 51.369999 50.57 46.405689
"2013-03-27" 50.869999 51.220001 50.470001 46.405689
"2013-03-28" 51.310001 51.669998 51.150002 46.641434
"2013-04-01" 51.439999 51.900002 50.82 46.097393
"2013-04-02" 51 51.200001 50.049999 45.41737
"2013-04-03" 50.040001 50.419998 49.189999 45.018417
"2013-04-04" 49.279999 51.299999 49.25 46.44194
"2013-04-05" 50.299999 50.720001 50.139999 45.834454
"2013-04-08" 50.650002 51.150002 50.299999 46.360344
"2013-04-09" 51.139999 51.139999 50.419998 45.943253
"2013-04-10" 50.700001 51.91 50.630001 46.922508
"2013-04-11" 51.66 52.91 51.610001 47.24894
"2013-04-12" 51.939999 52.099998 51.32 47.022263
"2013-04-15" 51.709999 51.939999 50.209999 45.689369
"2013-04-16" 50.68 51.060001 50.459999 46.106464
"2013-04-17" 50.389999 50.560001 49.43 45.109081
"2013-04-18" 49.880001 50.049999 49.09 45.24509
"2013-04-19" 49.990002 50.790001 49.970001 45.861649
"2013-04-22" 50.779999 51.080002 50.369999 46.133663
"2013-04-23" 51.07 51.459999 50.57 46.251534
"2013-04-24" 51 51.720001 50.880001 46.632362
"2013-04-25" 51.73 52.580002 51.43 47.076641
"2013-04-26" 51.900002 52.630001 51.650002 47.49374
"2013-04-29" 52.700001 53.5 52.290001 48.010567
"2013-04-30" 54.98 56.450001 54.150002 50.050671
"2013-05-01" 55.220001 55.349998 54.25 49.542923
"2013-05-02" 54.77 55.75 54.700001 50.313629
"2013-05-03" 55.790001 56.009998 55.259998 50.757927
"2013-05-06" 55.990002 56.889999 55.950001 51.492367
"2013-05-07" 57.34 57.919998 57.009998 52.408127
"2013-05-08" 57.5 58.25 57.41 52.634819
"2013-05-09" 57.869999 58.290001 57.490002 52.281193
"2013-05-10" 57.630001 58.209999 57.57 52.607609
"2013-05-13" 58 58.740002 57.889999 52.816154
"2013-05-14" 58.259998 59 58.259998 53.496197
"2013-05-15" 57.849998 58.540001 57.450001 52.263058
"2013-05-16" 57.5 57.540001 56.619999 51.646503
"2013-05-17" 57.060001 57.630001 56.959999 52.199593
"2013-05-20" 57.5 57.68 56.689999 51.428883
"2013-05-21" 56.91 57.23 56.849998 51.637436
"2013-05-22" 57.009998 57.790001 56.450001 51.329132
"2013-05-23" 57.639999 59.450001 57.509998 53.686607
"2013-05-24" 58.720001 59 58.310001 53.242321
"2013-05-28" 59.139999 60.209999 58.919998 54.094624
"2013-05-29" 59.200001 59.689999 58.759998 53.75008
"2013-05-30" 59.450001 59.889999 59.049999 54.212509
"2013-05-31" 59.279999 59.77 59.060001 53.741009
"2013-06-03" 59.189999 59.75 58.73 54.149036
"2013-06-04" 59.610001 60.689999 59.5 54.566105
"2013-06-05" 60.200001 60.27 58.220001 52.906818
"2013-06-06" 58.27 59.48 57.91 53.904221
"2013-06-07" 59.93 60.66 59.389999 54.88348
"2013-06-10" 60.950001 61.240002 60.43 55.055748
"2013-06-11" 59.869999 60.240002 59.299999 54.221569
"2013-06-12" 59.799999 60.16 59.09 54.066914
"2013-06-13" 59.25 60.23 58.889999 54.603668
"2013-06-14" 60.07 60.099998 59.380001 54.212475
"2013-06-17" 59.939999 60.34 59.16 54.176083
"2013-06-18" 59.720001 60.669998 59.720001 54.985752
"2013-06-19" 60.419998 60.830002 59.75 54.376228
"2013-06-20" 59.150002 59.23 57.369999 52.338367
"2013-06-21" 57.700001 57.91 56.810001 52.311081
"2013-06-24" 56.5 57.23 55.75 51.865288
"2013-06-25" 57.470001 57.970001 56.970001 52.37476
"2013-06-26" 58.110001 58.27 57.610001 52.483925
"2013-06-27" 58.27 58.880001 58.119999 53.493771
"2013-06-28" 58.77 59.220001 58.060001 52.90242
"2013-07-01" 58.599998 60.349998 58.41 54.503586
"2013-07-02" 59.990002 60.540001 59.869999 54.712841
"2013-07-03" 59.73 60.610001 59.709999 54.794716
"2013-07-05" 60.950001 61.32 60.25 55.504333
"2013-07-08" 61.27 61.48 60.860001 55.658985
"2013-07-09" 61.57 62.259998 60.98 56.532341
"2013-07-10" 62.040001 62.41 61.560001 56.623333
"2013-07-11" 62.889999 63.23 62.34 57.314743
"2013-07-12" 62.880001 63.790001 62.799999 57.614964
"2013-07-15" 63.700001 64.07 63.240002 57.869694
"2013-07-16" 63.959999 64.150002 62.990002 57.460308
"2013-07-17" 63.259998 63.369999 62.950001 57.360229
"2013-07-18" 63.049999 63.959999 63.040001 58.179024
"2013-07-19" 63.799999 64.029999 63.389999 57.8424
"2013-07-22" 63.5 63.880001 63.330002 57.869694
"2013-07-23" 64.32 64.449997 58.669998 54.066914
"2013-07-24" 60.130001 61.240002 59.939999 55.504333
"2013-07-25" 61.040001 61.549999 60.619999 55.950111
"2013-07-26" 61.349998 62.619999 61.259998 56.732502
"2013-07-29" 62.02 62.279999 61.650002 56.295822
"2013-07-30" 62.080002 62.459999 61.630001 56.523251
"2013-07-31" 62.23 62.900002 62.139999 56.932652
"2013-08-01" 63 64.699997 62.849998 58.051647
"2013-08-02" 63.700001 63.849998 63.009998 57.451218
"2013-08-05" 63.150002 64.400002 63.080002 58.22451
"2013-08-06" 63.939999 64.139999 62.82 57.269249
"2013-08-07" 62.889999 63.150002 62.48 56.859875
"2013-08-08" 62.919998 63.200001 62.619999 57.041824
"2013-08-09" 62.709999 63.07 62.310001 57.105492
"2013-08-12" 62.490002 63.169998 62.369999 56.777996
"2013-08-13" 62.419998 62.509998 61.220001 56.514164
"2013-08-14" 61.970001 62.619999 61.540001 56.850773
"2013-08-15" 61.880001 62.130001 61.369999 56.04108
"2013-08-16" 61.59 61.59 61 55.913708
"2013-08-19" 61.459999 61.73 60.990002 55.522526
"2013-08-20" 61.150002 62.23 61 56.323086
"2013-08-21" 61.779999 62.09 61.360001 55.950111
"2013-08-22" 61.580002 62.75 61.580002 56.92355
"2013-08-23" 62.639999 62.860001 61.82 56.605141
"2013-08-26" 62.290001 62.619999 61.709999 56.286713
"2013-08-27" 61.23 61.470001 60.93 55.6408
"2013-08-28" 61.07 62.040001 60.860001 56.22303
"2013-08-29" 61.73 62.23 61.41 56.450474
"2013-08-30" 61.990002 62.029999 61.349998 55.895515
"2013-09-03" 61.619999 62.169998 60.950001 55.913708
