"Index" "Open" "High" "Low" "Price"
"2012-09-17" 15.75 15.89 15.64 11.071426
"2012-09-18" 15.61 15.63 15.4 10.95831
"2012-09-19" 15.46 15.56 15.37 10.873471
"2012-09-20" 15.26 15.34 15.03 10.696723
"2012-09-21" 15.23 15.28 15.12 10.717934
"2012-09-24" 15.1 15.21 15.05 10.696723
"2012-09-25" 15.2 15.21 14.71 10.43514
"2012-09-26" 14.76 14.87 14.57 10.392721
"2012-09-27" 14.75 14.87 14.68 10.413927
"2012-09-28" 14.62 14.8 14.6 10.392721
"2012-10-01" 14.77 14.77 14.37 10.322023
"2012-10-02" 14.66 14.73 14.52 10.392721
"2012-10-03" 14.75 14.92 14.67 10.413927
"2012-10-04" 14.8 14.87 14.5 10.279601
"2012-10-05" 14.63 14.75 14.5 10.392721
"2012-10-08" 14.65 14.71 14.58 10.34323
"2012-10-09" 14.62 14.74 14.54 10.307882
"2012-10-10" 14.55 14.65 14.48 10.314952
"2012-10-11" 14.68 14.78 14.59 10.406863
"2012-10-12" 14.67 14.75 14.55 10.35737
"2012-10-15" 14.62 14.79 14.48 10.420998
"2012-10-16" 14.82 14.95 14.79 10.548258
"2012-10-17" 14.89 15 14.83 10.576535
"2012-10-18" 14.91 15.16 14.91 10.710864
"2012-10-19" 15.14 15.22 14.92 10.654304
"2012-10-22" 14.95 15.05 14.78 10.541186
"2012-10-23" 14.74 14.8 14.47 10.392721
"2012-10-24" 14.72 14.81 14.55 10.314952
"2012-10-25" 14.69 14.82 14.33 10.166485
"2012-10-26" 14.38 14.4 14.16 10.074573
"2012-10-31" 14.31 14.48 14.2 10.237182
"2012-11-01" 14.08 15.93 13.67 10.074573
"2012-11-02" 14.27 14.4 14.17 10.046299
"2012-11-05" 14.23 14.27 13.96 9.94025
"2012-11-06" 14.13 14.2 13.97 9.975599
"2012-11-07" 14 14.12 13.92 9.862481
"2012-11-08" 14.03 14.03 13.74 9.728153
"2012-11-09" 13.95 14.13 13.39 9.663725
"2012-11-12" 13.53 13.57 13.36 9.592145
"2012-11-13" 13.35 13.53 13.33 9.592145
"2012-11-14" 13.43 13.48 12.83 9.23423
"2012-11-15" 12.89 13.04 12.71 9.141169
"2012-11-16" 12.78 12.91 12.73 9.227069
"2012-11-19" 13.01 13.24 12.97 9.434663
"2012-11-20" 13.19 13.34 13.13 9.527721
"2012-11-21" 13.3 13.38 13.17 9.506242
"2012-11-23" 13.38 13.47 13.33 9.61362
"2012-11-26" 13.36 13.58 13.36 9.713835
"2012-11-27" 13.49 13.55 13.33 9.606461
"2012-11-28" 13.4 13.44 13.27 9.606461
"2012-11-29" 13.5 13.56 13.4 9.599302
"2012-11-30" 13.42 13.54 13.39 9.663725
"2012-12-03" 13.57 13.65 13.45 9.663725
"2012-12-04" 13.48 13.56 13.42 9.606461
"2012-12-05" 13.46 13.46 13.23 9.534876
"2012-12-06" 13.36 13.42 13.31 9.563512
"2012-12-07" 13.41 13.51 13.36 9.663725
"2012-12-10" 13.57 13.72 13.56 9.728153
"2012-12-11" 13.66 13.67 13.55 9.720992
"2012-12-12" 13.59 13.68 13.45 9.663725
"2012-12-13" 13.56 13.56 13.39 9.649412
"2012-12-14" 13.47 13.59 13.35 9.627938
"2012-12-17" 13.52 13.64 13.42 9.763944
"2012-12-18" 13.63 13.85 13.58 9.907111
"2012-12-19" 13.83 13.88 13.72 9.914268
"2012-12-20" 13.85 13.97 13.72 9.993011
"2012-12-21" 13.75 13.99 13.75 9.964375
"2012-12-24" 13.85 13.96 13.81 9.928585
"2012-12-26" 13.88 13.93 13.78 9.892793
"2012-12-27" 13.82 13.87 13.69 9.885633
"2012-12-28" 13.71 13.87 13.71 9.835528
"2012-12-31" 13.7 13.91 13.65 9.928585
"2013-01-02" 14.19 14.19 13.94 10.050276
"2013-01-03" 14.06 14.23 14.03 10.1147
"2013-01-04" 14.16 14.3 14.11 10.21492
"2013-01-07" 14.26 14.36 14.24 10.272182
"2013-01-08" 14.35 14.46 14.26 10.31513
"2013-01-09" 14.43 14.56 14.37 10.422509
"2013-01-10" 14.43 14.81 14.32 10.558517
"2013-01-11" 14.73 14.76 14.53 10.494092
"2013-01-14" 14.63 14.67 14.54 10.472617
"2013-01-15" 14.67 14.84 14.61 10.608624
"2013-01-16" 14.76 14.83 14.7 10.579992
"2013-01-17" 14.87 15.08 14.83 10.766109
"2013-01-18" 15.04 15.04 14.91 10.723156
"2013-01-22" 15 15.21 14.95 10.887797
"2013-01-23" 15.18 15.23 15.14 10.88064
"2013-01-24" 15.24 15.3 15.17 10.894959
"2013-01-25" 15.31 15.33 15.2 10.937908
"2013-01-28" 15.39 15.39 15.2 10.916432
"2013-01-29" 15.21 15.29 15.17 10.916432
"2013-01-30" 15.29 15.32 15.02 10.83053
"2013-01-31" 15.1 15.41 15.05 11.030968
"2013-02-01" 15.48 15.57 15.37 11.13118
"2013-02-04" 15.47 15.73 15.41 11.238559
"2013-02-05" 15.71 15.74 15.57 11.252872
"2013-02-06" 15.61 15.79 15.58 11.302979
"2013-02-07" 15.83 15.94 15.77 11.388881
"2013-02-08" 15.9 16.1 15.9 11.503416
"2013-02-11" 15.87 15.95 15.78 11.474473
"2013-02-12" 15.91 15.95 15.86 11.517884
"2013-02-13" 15.97 16.059999 15.91 11.546822
"2013-02-14" 15.96 16.09 15.89 11.510649
"2013-02-15" 15.86 15.95 15.75 11.452769
"2013-02-19" 15.88 16.030001 15.87 11.554057
"2013-02-20" 15.97 16.049999 15.75 11.394892
"2013-02-21" 15.59 15.64 15.38 11.19955
"2013-02-22" 15.56 15.76 15.5 11.358718
"2013-02-25" 15.78 15.83 15.42 11.163377
"2013-02-26" 15.53 15.69 15.52 11.293601
"2013-02-27" 15.58 16.059999 15.57 11.61917
"2013-02-28" 15.99 16.219999 15.98 11.691517
"2013-03-01" 16.08 16.139999 15.94 11.662582
"2013-03-04" 16.049999 16.32 16.049999 11.756631
"2013-03-05" 16.27 16.5 16.209999 11.908565
"2013-03-06" 16.49 16.5 16.32 11.894095
"2013-03-07" 16.48 16.5 16.290001 11.843453
"2013-03-08" 16.42 16.65 16.360001 12.038794
"2013-03-11" 16.58 16.65 16.5 12.002622
"2013-03-12" 16.620001 16.629999 16.379999 11.879628
"2013-03-13" 16.459999 16.59 16.4 11.995383
"2013-03-14" 16.549999 16.83 16.549999 12.161786
"2013-03-15" 16.84 17.02 16.700001 12.313717
"2013-03-18" 16.809999 16.93 16.74 12.169023
"2013-03-19" 16.799999 16.82 16.549999 12.060499
"2013-03-20" 16.73 16.85 16.690001 12.176255
"2013-03-21" 16.809999 16.950001 16.74 12.140079
"2013-03-22" 16.83 17 16.790001 12.226901
"2013-03-25" 16.9 17.1 16.780001 12.169023
"2013-03-26" 16.9 16.98 16.85 12.255841
"2013-03-27" 16.799999 17.059999 16.799999 12.342657
"2013-03-28" 17.09 17.16 16.969999 12.284778
"2013-04-01" 17.02 17.110001 16.91 12.36436
"2013-04-02" 17.15 17.32 17.110001 12.487352
"2013-04-03" 17.389999 17.389999 17.16 12.443946
"2013-04-04" 17.200001 17.6 17.18 12.726099
"2013-04-05" 17.34 17.459999 17.219999 12.472884
"2013-04-08" 17.280001 17.440001 17.200001 12.603109
"2013-04-09" 17.5 17.5 17.280001 12.588644
"2013-04-10" 17.440001 17.52 17.33 12.559702
"2013-04-11" 17.4 17.82 17.4 12.73334
"2013-04-12" 17.58 17.73 17.52 12.827394
"2013-04-15" 17.620001 17.75 17.209999 12.480118
"2013-04-16" 17.360001 17.74 17.26 12.827394
"2013-04-17" 17.559999 17.59 17.17 12.501826
"2013-04-18" 17.290001 17.34 17.08 12.443946
"2013-04-19" 17.25 17.559999 17.18 12.682696
"2013-04-22" 17.540001 17.559999 17.35 12.624818
"2013-04-23" 17.57 17.639999 17.34 12.67546
"2013-04-24" 17.59 17.68 17.33 12.595873
"2013-04-25" 17.34 17.5 16.940001 12.36436
"2013-04-26" 16.879999 17.139999 16.780001 12.248605
"2013-04-29" 16.98 17.25 16.870001 12.443946
"2013-04-30" 17.24 17.639999 17.200001 12.762276
"2013-05-01" 17.57 17.68 17.51 12.697164
"2013-05-02" 17.620001 17.799999 17.58 12.849095
"2013-05-03" 17.860001 18.08 17.84 13.066143
"2013-05-06" 18.09 18.23 17.969999 13.189135
"2013-05-07" 18.25 18.43 18.219999 13.275949
"2013-05-08" 18.299999 18.42 18.190001 13.283187
"2013-05-09" 18.35 18.4 18.27 13.239782
"2013-05-10" 18.309999 18.41 18.16 13.297658
"2013-05-13" 18.379999 18.51 18.309999 13.377241
"2013-05-14" 18.33 18.51 18.299999 13.457561
"2013-05-15" 18.360001 18.709999 18.24 13.662015
"2013-05-16" 18.629999 18.790001 18.540001 13.610902
"2013-05-17" 18.67 18.799999 18.5 13.618207
"2013-05-20" 18.549999 18.73 18.469999 13.494071
"2013-05-21" 18.559999 18.73 18.5 13.552486
"2013-05-22" 18.620001 18.66 17.83 13.08516
"2013-05-23" 17.799999 17.82 17.379999 12.924518
"2013-05-24" 17.629999 17.629999 17.290001 12.712762
"2013-05-28" 17.620001 17.639999 17.17 12.610532
"2013-05-29" 17.129999 17.139999 16.620001 12.30385
"2013-05-30" 16.85 16.98 16.59 12.187019
"2013-05-31" 16.66 16.85 16.549999 12.099393
"2013-06-03" 16.59 16.75 16.26 12.128599
"2013-06-04" 16.620001 16.66 16.16 11.836518
"2013-06-05" 16.200001 16.280001 15.84 11.632065
"2013-06-06" 15.87 16.27 15.71 11.880333
"2013-06-07" 16.24 16.35 15.91 11.807314
"2013-06-10" 16.17 16.25 15.98 11.705088
"2013-06-11" 15.85 15.98 15.63 11.420307
"2013-06-12" 15.76 15.76 15.27 11.164738
"2013-06-13" 15.27 15.67 15.26 11.376495
"2013-06-14" 15.54 15.87 15.39 11.347289
"2013-06-17" 15.68 15.77 15.58 11.486027
"2013-06-18" 15.73 16.219999 15.68 11.756198
"2013-06-19" 16.139999 16.190001 15.5 11.347289
"2013-06-20" 15.39 15.43 14.62 10.733918
"2013-06-21" 14.74 14.92 14.42 10.821546
"2013-06-24" 14.56 15.05 14.29 10.646298
"2013-06-25" 14.75 15 14.52 10.872658
"2013-06-26" 15.06 15.41 15.05 11.186644
"2013-06-27" 15.48 15.81 15.47 11.522535
"2013-06-28" 15.72 15.77 15.53 11.383794
"2013-07-01" 15.69 15.74 15.48 11.325382
"2013-07-02" 15.51 15.78 15.42 11.45682
"2013-07-03" 15.68 15.78 15.52 11.46412
"2013-07-05" 15.82 15.82 15.43 11.507933
"2013-07-08" 15.78 15.97 15.72 11.493328
"2013-07-09" 15.81 16.07 15.73 11.653969
"2013-07-10" 15.93 16.08 15.81 11.71239
"2013-07-11" 16.27 16.559999 16.27 12.084786
"2013-07-12" 16.440001 16.59 16.360001 12.077486
"2013-07-15" 16.540001 16.75 16.43 12.16511
"2013-07-16" 16.709999 16.799999 16.57 12.201617
"2013-07-17" 16.75 16.940001 16.629999 12.354962
"2013-07-18" 16.959999 17.25 16.879999 12.588626
"2013-07-19" 17.24 17.35 17.120001 12.501005
"2013-07-22" 17.1 17.389999 17.1 12.654338
"2013-07-23" 17.35 17.51 17.23 12.763874
