"Index" "Open" "High" "Low" "Price"
"2012-09-17" 48.324234 48.735428 48.163334 35.702061
"2012-09-18" 48.529831 49.137684 48.386806 35.944542
"2012-09-19" 49.012535 49.682961 48.485134 36.239437
"2012-09-20" 49.164501 49.200256 48.610283 35.859337
"2012-09-21" 50.827152 51.783627 50.666252 37.491108
"2012-09-24" 50.308693 51.014874 50.094154 37.111027
"2012-09-25" 50.809277 50.809277 49.915375 36.599869
"2012-09-26" 50.013706 50.210361 49.647205 36.54744
"2012-09-27" 50.049461 50.362328 49.843864 36.62608
"2012-09-28" 49.682961 49.915375 49.182377 36.534336
"2012-10-01" 49.960072 50.219303 49.566753 36.442585
"2012-10-02" 49.977947 50.004765 49.396915 36.350838
"2012-10-03" 49.709778 50.103096 49.450546 36.488468
"2012-10-04" 50.058399 50.183544 49.62933 36.724365
"2012-10-05" 49.933254 49.969009 48.97678 36.426819
"2012-10-08" 49.173439 49.575695 48.994659 36.433437
"2012-10-09" 49.325401 49.495243 48.780125 36.195404
"2012-10-10" 49.253891 49.61145 48.81588 36.15572
"2012-10-11" 48.985722 48.985722 48.520893 35.997036
"2012-10-12" 48.806938 49.06617 48.529831 35.937515
"2012-10-15" 48.735428 48.851635 48.234844 35.825104
"2012-10-16" 48.833755 49.504181 48.681793 36.532619
"2012-10-17" 49.548878 49.969009 49.236012 36.433437
"2012-10-18" 49.075111 49.432671 48.923145 36.506184
"2012-10-19" 49.084049 49.084049 47.689564 35.593678
"2012-10-22" 48.109699 48.154392 47.492908 35.481266
"2012-10-23" 47.314129 47.91304 47.153225 35.342422
"2012-10-24" 47.948795 47.948795 46.295082 34.502666
"2012-10-25" 46.983383 47.340942 46.429165 34.820049
"2012-10-26" 47.144287 47.144287 46.688396 34.740704
"2012-10-31" 47.287312 47.501846 46.590069 34.793594
"2012-11-01" 47.314129 47.778954 47.090652 35.177109
"2012-11-02" 47.796833 47.93092 46.983383 34.800217
"2012-11-05" 46.885056 47.412457 46.509617 35.051476
"2012-11-06" 47.591236 48.458321 47.421394 35.752392
"2012-11-07" 47.966675 48.038185 47.063835 34.872955
"2012-11-08" 47.02808 47.153225 45.722984 33.953861
"2012-11-09" 45.848129 46.295082 45.544205 34.125763
"2012-11-12" 46.223568 46.223568 45.597839 33.967068
"2012-11-13" 45.705109 46.30402 45.454815 33.887718
"2012-11-14" 45.919643 46.169933 44.918476 33.286011
"2012-11-15" 44.918476 45.624657 44.873779 33.378578
"2012-11-16" 45.222401 45.571022 44.695 33.669518
"2012-11-19" 45.937523 46.491737 45.722984 34.31752
"2012-11-20" 46.402348 47.135345 46.339775 34.707638
"2012-11-21" 46.929749 47.27837 46.706276 34.760544
"2012-11-23" 47.162163 47.93092 47.162163 35.395317
"2012-11-26" 47.591236 47.778954 47.02808 35.203564
"2012-11-27" 47.618053 47.805771 47.197922 35.011803
"2012-11-28" 47.269432 48.136517 46.572189 35.606911
"2012-11-29" 48.225906 48.440441 47.84153 35.474659
"2012-11-30" 47.618053 47.662746 47.090652 34.965508
"2012-12-03" 47.501846 47.662746 46.813541 34.661362
"2012-12-04" 42.9072 43.425663 41.637863 31.342022
"2012-12-05" 42.049057 42.326164 41.700436 31.209772
"2012-12-06" 42.013302 42.326164 41.780888 31.103973
"2012-12-07" 42.129505 42.290409 41.459084 30.852707
"2012-12-10" 41.718311 42.138447 41.619984 30.951891
"2012-12-11" 42.013302 42.075874 41.19091 30.621267
"2012-12-12" 41.646801 41.646801 40.591999 30.284058
"2012-12-13" 40.654572 41.217728 40.457912 30.363409
