"Index" "Open" "High" "Low" "Price"
"2012-09-17" 50.025532 50.229786 49.62553 35.448929
"2012-09-18" 49.804256 49.863831 49.412766 35.412579
"2012-09-19" 49.753193 49.974468 49.676598 35.473164
"2012-09-20" 49.736172 50.136169 49.659573 35.606419
"2012-09-21" 50.14468 50.14468 49.812767 35.62458
"2012-09-24" 50.034042 50.723404 49.965958 36.072853
"2012-09-25" 50.731915 51.140427 50.502129 36.169785
"2012-09-26" 50.936169 51.829788 50.893616 36.345451
"2012-09-27" 51.157448 51.157448 50.570213 36.200054
"2012-09-28" 50.799999 51.140427 50.493618 36.309105
"2012-10-01" 51.004253 51.200001 50.612766 36.048637
"2012-10-02" 50.757446 51.04681 50.646809 36.224289
"2012-10-03" 50.995747 51.276596 50.902126 36.48476
"2012-10-04" 51.429787 51.880852 51.33617 36.696789
"2012-10-05" 51.702129 51.982979 51.548935 36.751305
"2012-10-08" 51.608513 51.821278 51.404255 36.757355
"2012-10-09" 51.540424 51.812767 51.463829 36.781605
"2012-10-10" 51.761703 51.923405 51.404255 36.702839
"2012-10-11" 51.838299 51.940426 51.514893 36.805828
"2012-10-12" 51.863831 51.863831 51.276596 36.575645
"2012-10-15" 51.489361 51.753193 51.174469 36.817951
"2012-10-16" 51.838299 52.136169 51.634045 36.91486
"2012-10-17" 51.965958 52.502129 51.965958 37.308605
"2012-10-18" 52.391487 52.697872 52.348934 37.369183
"2012-10-19" 52.434044 52.740425 52.059574 37.199577
"2012-10-22" 52.272339 52.459576 52.008511 37.284374
"2012-10-23" 52.051064 52.204254 51.429787 36.793701
"2012-10-24" 52.025532 52.476597 51.838299 36.963329
"2012-10-25" 52.102127 52.442554 51.736172 37.314663
"2012-10-26" 52.434044 52.621277 52.068085 37.351009
"2012-10-31" 52.595745 53.18298 52.595745 37.617535
"2012-11-01" 52.936169 53.0383 52.365955 37.32679
"2012-11-02" 52.621277 52.842552 52.102127 37.120811
"2012-11-05" 52.025532 52.034042 51.387234 36.581696
"2012-11-06" 51.506382 52.076595 51.47234 36.805828
"2012-11-07" 51.438297 51.540424 50.127659 36.018345
"2012-11-08" 50.595745 51.148937 50.365955 35.927483
"2012-11-09" 50.289364 50.825531 50.280849 35.854801
"2012-11-12" 50.340427 50.442554 49.642551 35.473164
"2012-11-13" 49.642551 50.434044 49.61702 35.709404
"2012-11-14" 50.280849 50.38298 49.863831 35.594315
"2012-11-15" 49.982979 50.391487 49.531914 35.521618
"2012-11-16" 49.948936 50.502129 49.651066 35.921425
"2012-11-19" 50.740425 50.834042 50.085106 35.848724
"2012-11-20" 50.391487 50.536171 49.923405 35.915363
"2012-11-21" 50.544682 50.553192 49.744682 35.751804
"2012-11-23" 50.246807 50.348934 49.821278 35.666996
"2012-11-26" 50.017021 50.842552 49.982979 35.903244
"2012-11-27" 50.442554 50.834042 50.323402 35.897202
"2012-11-28" 50.434044 50.80851 50.221275 36.091026
"2012-11-29" 50.799999 50.978722 50.510639 36.278824
"2012-11-30" 51.446808 51.651066 50.987232 36.696789
"2012-12-03" 51.497871 51.702129 50.927662 36.696789
"2012-12-04" 51.582977 51.897873 51.446808 36.642273
"2012-12-05" 51.514893 52.680851 51.489361 37.29649
"2012-12-06" 52.493618 52.604256 51.957447 37.072361
"2012-12-07" 52.051064 52.306381 51.829788 36.981506
"2012-12-10" 51.880852 52.153191 51.727661 37.042068
"2012-12-11" 52.110638 52.297871 51.957447 37.126877
"2012-12-12" 52.161701 52.765957 52.034042 37.284374
"2012-12-13" 52.246807 52.323402 51.702129 36.91486
"2012-12-14" 51.804256 52.068085 51.514893 36.678612
"2012-12-17" 51.225533 52.102127 51.106384 37.461994
"2012-12-18" 52.093616 52.38298 51.85532 37.523209
"2012-12-19" 52.263828 52.263828 51.770214 37.272285
"2012-12-20" 51.889362 52.14468 51.710636 37.443642
"2012-12-21" 51.62553 52.153191 51.259575 37.41304
"2012-12-24" 51.948936 52.008511 51.557446 37.302891
"2012-12-26" 51.923405 52.042553 51.234043 36.89283
"2012-12-27" 51.225533 51.489361 50.553192 36.77042
"2012-12-28" 50.970215 51.293617 50.536171 36.360371
"2012-12-31" 50.391487 51.131916 50.093616 36.75206
"2013-01-02" 51.770214 52.323402 51.48085 37.627258
"2013-01-03" 52.297871 52.561703 52.076595 37.596649
"2013-01-04" 52.280849 52.570213 52.119148 37.725178
"2013-01-07" 52.238297 52.38298 51.795746 37.302891
"2013-01-08" 51.838299 52.076595 51.62553 37.155983
"2013-01-09" 51.693619 51.736172 51.344681 37.204956
"2013-01-10" 52.042553 52.323402 51.753193 37.584423
"2013-01-11" 52.229786 52.391487 52.102127 37.615013
"2013-01-14" 52.229786 52.417023 52.093616 37.523209
