"Index" "Open" "High" "Low" "Price"
"2012-09-17" 64.300003 64.660004 64.040001 41.962589
"2012-09-18" 64.059998 64.239998 63.029999 41.321434
"2012-09-19" 63.25 63.599998 63.169998 41.498085
"2012-09-20" 63.27 64.139999 63.27 41.825199
"2012-09-21" 64.059998 64.139999 63.669998 41.92334
"2012-09-24" 64.120003 64.739998 64.059998 42.296242
"2012-09-25" 64.639999 64.910004 64.32 42.093426
"2012-09-26" 64.470001 64.900002 64.290001 42.086895
"2012-09-27" 64.419998 64.459999 64.010002 41.910236
"2012-09-28" 64.029999 64.849998 63.950001 42.38784
"2012-10-01" 65.010002 65.160004 64.349998 42.11961
"2012-10-02" 64.589996 65.07 64.540001 42.368214
"2012-10-03" 64.760002 65.010002 64.480003 42.381294
"2012-10-04" 64.940002 65.449997 64.870003 42.780388
"2012-10-05" 65.5 65.589996 64.93 42.51215
"2012-10-08" 64.949997 65.370003 64.730003 42.675697
"2012-10-09" 65.129997 65.43 64.879997 42.714954
"2012-10-10" 65.290001 65.309998 64.709999 42.381294
"2012-10-11" 65.019997 65.07 64.400002 42.18504
"2012-10-12" 64.589996 64.75 64.029999 41.975677
"2012-10-15" 64.120003 64.610001 63.880001 42.237354
"2012-10-16" 64.809998 64.860001 64.129997 42.237354
"2012-10-17" 64.720001 65.580002 64.639999 42.70187
"2012-10-18" 65.290001 65.650002 65.209999 42.917763
"2012-10-19" 65.599998 65.900002 65.089996 42.858891
"2012-10-22" 65.339996 65.510002 64.870003 42.852352
"2012-10-23" 65.360001 65.639999 64.949997 42.518681
"2012-10-24" 65.019997 65.139999 64.260002 42.080353
"2012-10-25" 64.550003 64.760002 64.129997 42.361675
"2012-10-26" 64.75 65.290001 64.550003 42.597198
"2012-10-31" 65.019997 65.809998 65 42.976654
"2012-11-01" 65.639999 65.860001 65.220001 42.728046
"2012-11-02" 65.529999 65.75 64.870003 42.48597
"2012-11-05" 64.580002 64.709999 63.869999 41.910236
"2012-11-06" 64.220001 64.5 64 41.91679
"2012-11-07" 63.869999 64 62.459999 41.177509
"2012-11-08" 63.68 64.25 62.560001 40.928894
"2012-11-09" 62.5 62.59 61.669998 40.53635
"2012-11-12" 61.869999 61.98 60.759998 40.202698
"2012-11-13" 61.32 62.369999 61.259998 40.569073
"2012-11-14" 61.610001 61.610001 60.509998 40.234554
"2012-11-15" 60.57 61.009998 59.630001 39.65826
"2012-11-16" 59.91 60.93 59.779999 40.340546
"2012-11-19" 61.259998 61.310001 60.549999 40.400158
"2012-11-20" 61.040001 61.130001 60.34 40.267677
"2012-11-21" 60.75 60.91 59.849998 40.022579
"2012-11-23" 60.540001 60.610001 60 40.04245
"2012-11-26" 60.32 61.810001 60.32 40.612118
"2012-11-27" 61.450001 62 61.310001 40.797592
"2012-11-28" 61.619999 61.849998 61.040001 40.870461
"2012-11-29" 61.77 62.439999 61.540001 41.327534
"2012-11-30" 63.009998 64 63.009998 42.274765
"2012-12-03" 64.089996 64.489998 63.82 42.374126
"2012-12-04" 63.950001 64.150002 63.459999 42.129036
"2012-12-05" 63.549999 64.82 63.41 42.698708
"2012-12-06" 64.510002 64.589996 64 42.506603
"2012-12-07" 64.25 64.489998 63.970001 42.605976
"2012-12-10" 64.25 64.5 64.18 42.605976
"2012-12-11" 64.300003 64.669998 64.160004 42.579472
"2012-12-12" 64.410004 64.980003 64.220001 42.592716
"2012-12-13" 64.309998 64.360001 63.650002 42.341011
"2012-12-14" 63.849998 64 63.560001 42.26815
"2012-12-17" 63.98 64.809998 63.939999 42.897423
"2012-12-18" 64.940002 65.660004 64.889999 43.39423
"2012-12-19" 65.400002 65.400002 64.699997 42.890808
"2012-12-20" 64.75 65.239998 64.349998 43.089527
"2012-12-21" 65.07 65.459999 64.510002 42.731831
"2012-12-24" 64.480003 64.610001 64.110001 42.778194
"2012-12-26" 64.82 64.82 63.970001 42.440361
"2012-12-27" 64.010002 64.129997 63.09 42.201908
"2012-12-28" 63.369999 63.669998 62.970001 41.738216
"2012-12-31" 62.82 63.849998 62.599998 42.261509
"2013-01-02" 64.559998 65.220001 64.510002 43.063038
"2013-01-03" 64.790001 65.190002 64.5 42.970284
"2013-01-04" 64.900002 65.169998 64.790001 43.096142
"2013-01-07" 64.790001 64.889999 64.440002 42.890808
"2013-01-08" 64.709999 65.129997 64.489998 42.990166
"2013-01-09" 64.900002 65.019997 64.57 43.063038
"2013-01-10" 65.050003 65.379997 64.849998 43.301495
"2013-01-11" 65.379997 65.779999 65.260002 43.513462
"2013-01-14" 65.699997 65.699997 65.260002 43.314747
"2013-01-15" 65.389999 66.099998 65.110001 43.751923
"2013-01-16" 65.860001 65.989998 65.510002 43.539955
"2013-01-17" 66 66.389999 65.75 43.732063
"2013-01-18" 66.169998 66.809998 65.940002 44.255363
"2013-01-22" 66.620003 67.309998 66.540001 44.586548
"2013-01-23" 67.169998 67.470001 66.800003 44.652817
"2013-01-24" 67.480003 68.080002 67.260002 44.911148
"2013-01-25" 68 68.010002 67.330002 44.990627
"2013-01-28" 68.050003 68.099998 67.5 44.798523
"2013-01-29" 67.720001 68.150002 67.559998 45.030376
"2013-01-30" 68.339996 68.669998 67.949997 45.335083
"2013-01-31" 68.370003 68.919998 68.099998 45.533802
"2013-02-01" 68.970001 69.410004 68.790001 45.600044
"2013-02-04" 68.650002 68.949997 68.260002 45.275459
"2013-02-05" 68.5 69.050003 68.480003 45.626541
"2013-02-06" 68.75 69.120003 68.449997 45.778893
"2013-02-07" 68.93 69.230003 68.419998 45.732517
"2013-02-08" 68.879997 69.040001 68.730003 45.706036
"2013-02-11" 68.949997 69.199997 68.809998 45.798767
"2013-02-12" 69.099998 69.5 69.059998 46.037239
"2013-02-13" 68.809998 69.400002 68.510002 46.094173
"2013-02-14" 68.019997 69.110001 67.82 45.544937
"2013-02-15" 68 68.18 67.779999 45.585152
"2013-02-19" 68.239998 68.970001 68.239998 46.187927
"2013-02-20" 68.849998 69.32 68.720001 46.114254
"2013-02-21" 68.669998 69.07 68.620003 46.100861
"2013-02-22" 68.870003 69.489998 68.860001 46.522823
"2013-02-25" 69.529999 70.300003 69.099998 46.288395
"2013-02-26" 69.379997 69.949997 69.25 46.60989
"2013-02-27" 69.730003 70.260002 69.550003 46.971554
"2013-02-28" 70.07 70.099998 69.18 46.382168
"2013-03-01" 68.410004 69.269997 68.050003 46.382168
"2013-03-04" 68.900002 69.940002 68.690002 46.690262
"2013-03-05" 69.879997 70.370003 69.699997 46.99168
"2013-03-06" 70.199997 70.209999 69.650002 46.804134
"2013-03-07" 69.959999 69.959999 69.470001 46.583111
"2013-03-08" 69.589996 69.779999 69.07 46.643379
"2013-03-11" 69.529999 69.800003 69.519997 46.743843
"2013-03-12" 69.779999 69.800003 69.309998 46.576405
"2013-03-13" 69.550003 70.099998 69.419998 46.824234
"2013-03-14" 69.989998 70.169998 69.650002 46.837608
"2013-03-15" 69.440002 70 69.260002 46.851009
"2013-03-18" 69.580002 69.959999 69.5 46.629997
"2013-03-19" 69.769997 70.199997 69.550003 46.824234
"2013-03-20" 70.029999 70.629997 69.970001 47.152416
"2013-03-21" 70.18 70.5 69.879997 47.058632
"2013-03-22" 70.25 70.620003 70.07 47.293056
"2013-03-25" 70.699997 70.980003 70.080002 47.072037
"2013-03-26" 70.459999 71.040001 70.440002 47.520786
"2013-03-27" 70.650002 71.849998 70.540001 48.036518
"2013-03-28" 71.809998 72.68 71.660004 48.619221
"2013-04-01" 72.559998 72.57 72.07 48.438385
"2013-04-02" 72.5 72.660004 72.300003 48.639324
"2013-04-03" 72.309998 72.660004 71.57 48.029812
"2013-04-04" 71.620003 71.970001 71.620003 48.083401
"2013-04-05" 71.330002 72.110001 71.25 48.257545
"2013-04-08" 71.970001 73.080002 71.699997 48.900532
"2013-04-09" 73.089996 73.089996 72.529999 48.639324
"2013-04-10" 72.970001 73.279999 72.669998 48.753185
"2013-04-11" 72.93 73.449997 72.75 49.007702
"2013-04-12" 73 73.410004 72.779999 48.873749
"2013-04-15" 72.809998 73.589996 72.290001 48.418301
"2013-04-16" 72.769997 73.599998 72.449997 49.275604
"2013-04-17" 73.290001 73.360001 72.529999 48.994297
"2013-04-18" 73.25 73.529999 72.940002 49.054577
"2013-04-19" 73.440002 74.379997 73.239998 49.79134
"2013-04-22" 74.309998 74.470001 73.910004 49.751167
"2013-04-23" 74.639999 74.639999 73.849998 49.838226
"2013-04-24" 74.5 75.110001 74.019997 50.045853
"2013-04-25" 75.010002 75.360001 74.699997 50.327148
"2013-04-26" 75.099998 75.419998 74.82 50.139637
"2013-04-29" 75.040001 75.400002 74.860001 50.367371
"2013-04-30" 75.029999 75.279999 74.580002 50.367371
"2013-05-01" 75 75.459999 74.769997 50.159729
"2013-05-02" 74.870003 75.129997 74.220001 50.086029
"2013-05-03" 75.160004 75.25 74.139999 49.878407
"2013-05-06" 74.300003 74.400002 72.800003 48.826847
"2013-05-07" 72.910004 73.739998 72.75 49.362694
"2013-05-08" 73.699997 73.800003 72.709999 48.833565
"2013-05-09" 73.029999 73.120003 71.830002 48.257545
"2013-05-10" 71.889999 72.199997 71.410004 48.34462
"2013-05-13" 71.93 72.059998 71.379997 48.070015
"2013-05-14" 71.75 72.650002 71.75 48.277645
"2013-05-15" 71.349998 72.5 71.309998 48.903831
"2013-05-16" 72.120003 72.190002 71.110001 48.172718
"2013-05-17" 71.410004 71.68 71 48.484108
"2013-05-20" 71.610001 71.699997 71.18 48.2878
"2013-05-21" 71.330002 71.629997 70.709999 48.328419
"2013-05-22" 71.32 71.82 69.919998 47.51606
"2013-05-23" 69.75 70.110001 68.459999 47.224964
"2013-05-24" 69.489998 69.669998 68.68 46.629234
"2013-05-28" 69.089996 69.360001 67.419998 45.864265
"2013-05-29" 67.290001 67.389999 66.169998 45.458096
"2013-05-30" 67.519997 68.459999 67.300003 45.566387
"2013-05-31" 67.150002 68.5 66.93 45.309158
"2013-06-03" 66.959999 67.639999 66.18 45.491932
"2013-06-04" 67.190002 67.489998 66.82 45.458096
"2013-06-05" 66.959999 67.169998 66.559998 45.227913
"2013-06-06" 66.809998 67.529999 66.57 45.69503
"2013-06-07" 67.669998 68.18 67.080002 45.823647
"2013-06-10" 68.029999 68.419998 67.510002 45.959049
"2013-06-11" 67.529999 68.120003 67.099998 45.498692
"2013-06-12" 67.629997 67.790001 66.419998 45.078999
"2013-06-13" 66.690002 67.57 66.529999 45.688251
"2013-06-14" 67.489998 68.050003 67.449997 45.78981
"2013-06-17" 68.18 68.959999 67.43 45.796562
"2013-06-18" 67.730003 68.32 67.089996 46.189209
"2013-06-19" 68.199997 68.559998 66.699997 45.166985
"2013-06-20" 66.5 66.529999 65.010002 44.07032
"2013-06-21" 65.489998 66.190002 64.620003 44.39526
"2013-06-24" 65.190002 66 64.949997 44.314014
"2013-06-25" 65.68 66.440002 65.239998 44.760815
"2013-06-26" 66.599998 67.879997 66.550003 45.769493
"2013-06-27" 67.889999 68.190002 67.379997 45.708561
"2013-06-28" 67.440002 68.019997 67.110001 45.69503
"2013-07-01" 67.900002 68.050003 66.510002 45.248226
"2013-07-02" 66.800003 67.459999 66.730003 45.478401
"2013-07-03" 66.959999 67.400002 66.739998 45.620552
"2013-07-05" 67.480003 67.580002 66.5 45.539322
"2013-07-08" 67.300003 67.739998 67.099998 45.850723
"2013-07-09" 67.949997 68.18 67.68 46.141827
"2013-07-10" 68.050003 68.82 67.809998 46.432911
"2013-07-11" 69 70.029999 68.93 47.319748
"2013-07-12" 69.879997 70.25 69.410004 47.488983
"2013-07-15" 70.059998 71.190002 70 48.071178
"2013-07-16" 71.010002 71.199997 70.040001 47.719139
"2013-07-17" 70.879997 70.93 70.300003 47.868084
"2013-07-18" 70.910004 71.370003 70.779999 48.165939
"2013-07-19" 71.169998 71.260002 70.75 47.983158
"2013-07-22" 70.739998 70.93 70.610001 47.908684
"2013-07-23" 70.82 71.440002 70.669998 48.274246
"2013-07-24" 71.300003 71.300003 70.150002 47.725922
"2013-07-25" 70.300003 70.720001 70.110001 47.793606
"2013-07-26" 70.290001 70.82 70.080002 47.922226
"2013-07-29" 70.620003 71.480003 70.589996 48.213329
"2013-07-30" 71.5 71.910004 71.230003 48.396107
"2013-07-31" 71.410004 71.550003 70.769997 48.064411
"2013-08-01" 71.330002 71.660004 71 48.409649
"2013-08-02" 71.419998 71.800003 71.220001 48.572121
"2013-08-05" 72 72.010002 71.349998 48.31488
"2013-08-06" 71.400002 71.519997 70.870003 48.145645
"2013-08-07" 70.82 71.230003 70.550003 48.098251
"2013-08-08" 71.160004 71.5 70.849998 48.220097
"2013-08-09" 71.220001 71.360001 70.639999 47.908684
"2013-08-12" 70.75 70.830002 70.449997 47.908684
"2013-08-13" 70.68 70.940002 70.610001 47.942551
"2013-08-14" 70.190002 70.190002 68.699997 47.244347
"2013-08-15" 68.610001 68.970001 67.790001 46.484558
"2013-08-16" 67.699997 67.889999 66.699997 45.895885
"2013-08-19" 66.949997 67.190002 66.220001 45.403053
"2013-08-20" 66.300003 67.589996 66.290001 45.717926
"2013-08-21" 66.730003 66.730003 65.620003 45.047092
"2013-08-22" 65.940002 66.190002 65.550003 45.136086
"2013-08-23" 65.970001 66.440002 65.669998 45.416737
"2013-08-26" 66.410004 66.589996 65.790001 45.033409
"2013-08-27" 65.410004 66.410004 65.330002 45.07449
"2013-08-28" 65.910004 66.290001 65.589996 45.211384
"2013-08-29" 65.989998 66.040001 65.480003 44.944424
"2013-08-30" 65.790001 66.160004 65.330002 44.903351
"2013-09-03" 65.889999 66.080002 64.760002 44.465271
"2013-09-04" 64.989998 65 64.160004 44.28046
"2013-09-05" 64.690002 64.970001 64.419998 44.355751
"2013-09-06" 65.059998 65.769997 65.050003 44.800682
"2013-09-09" 65.5 65.68 65.190002 44.882832
"2013-09-10" 65.699997 65.959999 65.269997 45.142925
"2013-09-11" 66 66.010002 64.879997 44.704834
"2013-09-12" 65.449997 65.690002 64.75 44.472115
"2013-09-13" 65 65.599998 64.989998 44.869125
"2013-09-16" 67.489998 67.580002 65.760002 45.197685
"2013-09-17" 66 66.650002 65.980003 45.307224
"2013-09-18" 66.099998 68.639999 65.830002 46.614605
"2013-09-19" 68.080002 68.550003 67.57 46.498241
"2013-09-20" 67.980003 68.029999 66.849998 46.108082
"2013-09-23" 66.970001 68 66.699997 46.36134
"2013-09-24" 67.589996 67.949997 67.459999 46.333965
"2013-09-25" 68.080002 68.199997 67.260002 46.039619
"2013-09-26" 67.32 67.669998 67.300003 46.306576
"2013-09-27" 67.330002 67.75 66.690002 45.793213
"2013-09-30" 66.660004 67.199997 66.599998 45.711067
"2013-10-01" 67.449997 67.550003 66.910004 46.046471
"2013-10-02" 67.089996 67.330002 66.75 46.03278
"2013-10-03" 66.970001 67.019997 66.050003 45.403053
"2013-10-04" 66.300003 66.690002 66.139999 45.471497
"2013-10-07" 66.269997 66.860001 66.150002 45.409885
"2013-10-08" 66.279999 67.519997 66.25 45.998554
"2013-10-09" 67.309998 68.379997 67.059998 46.210743
"2013-10-10" 67.730003 68.300003 66.900002 46.744667
"2013-10-11" 68.230003 68.870003 68.019997 47.127983
"2013-10-14" 68.599998 68.739998 67.639999 46.943165
"2013-10-15" 68.349998 68.5 67.559998 46.443485
"2013-10-16" 68.019997 69.029999 67.889999 47.251198
"2013-10-17" 68.800003 69.940002 68.330002 47.778267
"2013-10-18" 69.970001 70.190002 69.720001 47.969925
"2013-10-21" 70 70.199997 69.559998 47.956242
"2013-10-22" 70.150002 71.400002 70.07 48.661274
"2013-10-23" 71.040001 72.489998 71.029999 49.085648
"2013-10-24" 71.82 71.910004 71.290001 49.030907
"2013-10-25" 71.610001 72.400002 71.32 49.537441
"2013-10-28" 72.309998 72.720001 72.059998 49.537441
"2013-10-29" 72.379997 72.800003 72.18 49.708565
"2013-10-30" 72.589996 73.059998 71.980003 49.291016
"2013-10-31" 72.029999 72.169998 70.940002 49.099361
