"Index" "Open" "High" "Low" "Price"
"2012-09-17" 63.27 63.720001 62.669998 47.996994
"2012-09-18" 62.950001 63 61.470001 47.100006
"2012-09-19" 62.130001 62.290001 60.700001 46.339836
"2012-09-20" 60.360001 61.07 60.009998 46.34745
"2012-09-21" 61.279999 61.490002 60.740002 46.469059
"2012-09-24" 60.57 60.849998 60 45.792519
"2012-09-25" 60.669998 60.98 59.43 45.214783
"2012-09-26" 59.279999 59.279999 58.400002 44.849892
"2012-09-27" 59.400002 60.830002 59.32 46.08897
"2012-09-28" 60.540001 61.049999 60.049999 45.99015
"2012-10-01" 61.16 61.720001 60.580002 46.202995
"2012-10-02" 61.43 61.84 60.580002 46.803535
"2012-10-03" 61.299999 61.43 59.880001 45.708897
"2012-10-04" 60.57 60.959999 60.029999 46.23341
"2012-10-05" 61 61.029999 59.689999 45.625271
"2012-10-08" 59.459999 60.310001 59.299999 45.594868
"2012-10-09" 60.009998 61.259998 60.009998 46.42345
"2012-10-10" 60.869999 61.400002 60.299999 45.974957
"2012-10-11" 61.049999 62.139999 60.720001 46.833939
"2012-10-12" 61.68 62.099998 60.880001 46.643898
"2012-10-15" 61.16 61.580002 60.490002 46.339836
"2012-10-16" 61.470001 61.75 61.119999 46.719917
"2012-10-17" 61.290001 62.950001 61.290001 47.74614
"2012-10-18" 62.470001 62.869999 62.16 47.624519
"2012-10-19" 62.580002 63 61.790001 47.130409
"2012-10-22" 61.849998 61.990002 60.389999 46.651505
"2012-10-23" 60.349998 60.59 59.470001 45.298405
"2012-10-24" 59.790001 60.02 58.700001 44.675064
"2012-10-25" 59.290001 59.529999 57.919998 44.75869
"2012-10-26" 58.82 59.27 58.099998 44.310192
"2012-10-31" 58.75 59.389999 58.099998 44.249374
"2012-11-01" 58.209999 58.889999 57.799999 44.485027
"2012-11-02" 59.009998 59.009998 57.470001 43.937698
"2012-11-05" 57.549999 58.209999 57.349998 43.96051
"2012-11-06" 58.240002 59.709999 58.169998 45.32122
"2012-11-07" 58.720001 58.720001 54.07 42.120895
"2012-11-08" 55.040001 55.310001 53.84 41.064266
"2012-11-09" 53.91 55.02 53.700001 40.919834
"2012-11-12" 53.939999 54.169998 53.779999 41.003456
"2012-11-13" 53.52 54.450001 53.349998 40.821014
"2012-11-14" 53.790001 54 52.93 40.334503
"2012-11-15" 53.369999 53.48 51.98 39.8936
"2012-11-16" 52.619999 52.860001 51.82 39.832806
"2012-11-19" 53.330002 53.689999 52.869999 40.661369
"2012-11-20" 53.290001 53.549999 52.48 40.091251
"2012-11-21" 52.75 53.209999 52.650002 40.205269
"2012-11-23" 53 53.240002 52.509998 40.463722
"2012-11-26" 52.59 52.93 52.419998 40.190071
"2012-11-27" 52.900002 53.290001 52.639999 40.380116
"2012-11-28" 52.639999 53.209999 52.279999 40.380116
"2012-11-29" 53.099998 53.529999 52.52 39.984829
"2012-11-30" 52.580002 52.700001 51.490002 39.277866
"2012-12-03" 52 52.380001 51.700001 39.452705
