"Index" "Open" "High" "Low" "Price"
"2012-09-17" 17.16988 17.219561 16.856888 11.054878
"2012-09-18" 17.060579 17.199688 16.692938 10.896399
"2012-09-19" 16.752556 16.777395 16.583639 10.847882
"2012-09-20" 16.439564 16.479307 16.111666 10.692635
"2012-09-21" 16.533958 16.628351 16.414722 10.699104
"2012-09-24" 16.409754 16.494213 16.305424 10.624715
"2012-09-25" 16.389881 16.419691 15.8881 10.346564
"2012-09-26" 15.94275 15.997399 15.778801 10.327159
"2012-09-27" 15.957654 16.05205 15.843387 10.420954
"2012-09-28" 15.94275 16.131538 15.878164 10.417719
"2012-10-01" 16.061985 16.146442 15.748992 10.265705
"2012-10-02" 15.833451 15.937781 15.619821 10.285111
"2012-10-03" 15.898036 16.007336 15.734088 10.278644
"2012-10-04" 15.818546 15.863259 15.684406 10.285111
"2012-10-05" 15.898036 16.007336 15.798674 10.310987
"2012-10-08" 15.763897 15.912941 15.644661 10.327159
"2012-10-09" 15.818546 15.853323 15.406191 10.116927
"2012-10-10" 15.520458 15.629757 15.470777 10.133101
"2012-10-11" 15.654598 15.773833 15.500585 10.204255
"2012-10-12" 15.709247 15.734088 15.535362 10.162208
"2012-10-15" 15.64963 15.788737 15.525426 10.268941
"2012-10-16" 15.843387 16.05205 15.823514 10.427424
"2012-10-17" 16.02224 16.191156 15.907973 10.48564
"2012-10-18" 16.081858 16.10173 15.863259 10.382143
"2012-10-19" 15.8881 15.927845 15.550267 10.175144
"2012-10-22" 15.619821 15.773833 15.555235 10.256002
"2012-10-23" 15.599948 15.639693 15.336637 10.081352
"2012-10-24" 15.535362 15.560203 15.277019 9.955215
"2012-10-25" 15.406191 15.470777 15.157784 9.942277
"2012-10-26" 15.197529 15.316764 15.053453 9.893761
"2012-10-31" 15.252179 15.252179 14.978931 9.84848
"2012-11-01" 15.16772 15.495617 15.16772 10.068416
"2012-11-02" 15.599948 15.599948 15.346573 10.065181
"2012-11-05" 15.386318 15.739056 15.316764 10.175144
"2012-11-06" 17.219561 18.779554 17.115231 11.90227
"2012-11-07" 18.173443 18.252934 17.626947 11.578841
"2012-11-08" 17.701469 17.920069 17.552425 11.426826
"2012-11-09" 17.522617 17.661724 17.403381 11.391249
"2012-11-12" 17.532553 17.621981 17.448095 11.397717
"2012-11-13" 17.388477 17.626947 17.338797 11.391249
"2012-11-14" 17.537521 17.636885 17.214592 11.255407
"2012-11-15" 17.308987 17.328859 17.065548 11.135736
"2012-11-16" 17.120197 17.14007 16.981091 11.148674
"2012-11-19" 17.621981 18.098921 17.621981 11.614415
"2012-11-20" 17.840578 18.416882 17.721342 11.937845
"2012-11-21" 18.337391 18.486435 18.20822 11.921674
"2012-11-23" 18.362232 18.839172 18.28771 12.258046
"2012-11-26" 18.719938 18.789492 18.625544 12.22246
"2012-11-27" 18.739811 18.948471 18.66032 12.157776
"2012-11-28" 18.536118 19.018026 18.436754 12.358306
"2012-11-29" 19.047834 19.216751 19.022993 12.426228
"2012-11-30" 19.077644 19.11739 18.819302 12.309793
"2012-12-03" 19.311146 20.041462 19.311146 12.701142
"2012-12-04" 19.549618 19.743374 18.873949 12.44887
"2012-12-05" 19.16707 19.316114 19.047834 12.484446
"2012-12-06" 19.092548 19.261465 18.685162 12.53943
"2012-12-07" 19.32605 19.360826 19.077644 12.571774
"2012-12-10" 19.226688 19.46019 19.226688 12.649396
"2012-12-11" 19.519808 19.62414 19.385668 12.704378
"2012-12-12" 19.589361 19.837769 19.589361 12.885497
"2012-12-13" 19.72847 19.922228 19.683756 12.879033
"2012-12-14" 19.59433 19.793055 19.549618 12.807877
"2012-12-17" 19.609234 20.160698 19.524776 13.124838
"2012-12-18" 20.135857 20.185537 19.817896 13.011637
"2012-12-19" 20.006685 20.125919 19.892418 12.95342
"2012-12-20" 19.867577 19.937132 19.614202 12.908144
"2012-12-21" 19.584394 19.584394 19.316114 12.629988
"2012-12-24" 19.410509 19.59433 19.390636 12.691441
"2012-12-26" 19.499935 19.718533 19.360826 12.75321
"2012-12-27" 19.465158 19.648979 19.276369 12.756458
"2012-12-28" 19.32605 19.629107 19.321081 12.691442
"2012-12-31" 19.40554 19.937132 19.385668 13.019779
"2013-01-02" 20.394199 20.622734 20.274963 13.491157
"2013-01-03" 20.622734 20.786682 20.528339 13.513911
"2013-01-04" 20.652542 20.796619 20.508467 13.543177
"2013-01-07" 20.548212 20.627703 20.394199 13.400137
"2013-01-08" 20.478659 20.478659 20.036493 13.12706
"2013-01-09" 20.269997 20.667446 20.215347 13.357872
"2013-01-10" 20.508467 20.71216 20.369358 13.549675
"2013-01-11" 20.771778 20.866173 20.672415 13.637447
"2013-01-14" 20.756874 21.015217 20.543243 13.653701
"2013-01-15" 20.722097 20.871141 20.637638 13.656948
"2013-01-16" 20.756874 20.806555 20.662479 13.536669
"2013-01-17" 20.796619 20.826427 20.702225 13.575679
"2013-01-18" 20.766809 20.801586 20.463755 13.611443
"2013-01-22" 21.164261 21.253687 20.871141 13.738225
"2013-01-23" 20.965534 21.059931 20.667446 13.669955
"2013-01-24" 20.766809 21.238783 20.717129 13.790239
"2013-01-25" 21.020185 21.144388 20.602861 13.796737
"2013-01-28" 21.099674 21.21891 21.059931 13.848753
"2013-01-29" 21.129484 21.194071 20.831396 13.845501
"2013-01-30" 21.184134 21.248718 20.940695 13.728473
"2013-01-31" 20.920822 21.040056 20.732033 13.588685
"2013-02-01" 20.900949 21.308336 20.841331 13.881261
"2013-02-04" 21.074835 21.362986 20.781713 13.624443
"2013-02-05" 21.641203 23.250877 21.32324 14.872783
"2013-02-06" 22.629862 22.813683 22.406296 14.872783
"2013-02-07" 22.734192 22.823618 22.386421 14.934548
"2013-02-08" 22.858395 23.067057 22.649734 14.85653
"2013-02-11" 22.704384 23.06209 22.654701 14.970306
"2013-02-12" 22.853428 23.176355 22.848459 15.129605
"2013-02-13" 23.151514 23.345272 23.096867 15.217377
"2013-02-14" 23.191261 23.663233 23.176355 15.477447
"2013-02-15" 24.001066 24.587307 23.50922 15.626987
"2013-02-19" 23.896736 24.314058 23.896736 15.864303
"2013-02-20" 24.224632 24.314058 23.772532 15.57172
"2013-02-21" 23.653297 23.757627 23.380051 15.311646
"2013-02-22" 23.524126 23.683105 23.325399 15.493702
"2013-02-25" 23.752661 23.787437 23.086929 15.106847
"2013-02-26" 23.231007 23.668201 23.126675 15.45469
"2013-02-27" 23.653297 24.01597 23.429731 15.662747
"2013-02-28" 23.941448 24.040812 23.847055 15.613983
"2013-03-01" 23.787437 23.991131 23.50922 15.692008
"2013-03-04" 23.837118 24.050749 23.802341 15.698506
"2013-03-05" 24.135206 24.646923 24.135206 16.124371
"2013-03-06" 24.716478 24.815842 24.487944 16.043095
"2013-03-07" 24.487944 24.830746 24.423359 16.205643
"2013-03-08" 24.835714 24.835714 24.373676 16.176386
"2013-03-11" 24.691639 25.099026 24.597242 16.41695
"2013-03-12" 25.004629 25.133802 24.791 16.251158
"2013-03-13" 24.890364 24.910236 24.398518 16.056099
"2013-03-14" 24.646923 24.949982 24.597242 16.248682
"2013-03-15" 24.632021 24.815842 24.135206 15.856995
"2013-03-18" 23.926544 24.3389 23.782469 15.772131
"2013-03-19" 24.130238 24.209728 23.737757 15.713372
"2013-03-20" 24.090492 24.691639 24.080557 16.02673
"2013-03-21" 24.189856 24.562466 24.055716 15.827616
"2013-03-22" 24.194824 24.28425 24.001066 15.817823
"2013-03-25" 24.169983 24.239536 23.852022 15.840672
"2013-03-26" 24.194824 24.527689 24.194824 16.02673
"2013-03-27" 24.184889 24.373676 24.135206 15.974504
"2013-03-28" 24.214697 24.497881 24.125271 16.069159
"2013-04-01" 24.458136 24.47304 24.040812 15.830878
"2013-04-02" 24.140175 24.289219 23.926544 15.759072
"2013-04-03" 24.090492 24.10043 23.608583 15.608923
"2013-04-04" 23.797373 23.861959 23.668201 15.618713
"2013-04-05" 23.464508 23.529095 23.221069 15.426134
"2013-04-08" 23.514189 23.688074 23.409859 15.563224
"2013-04-09" 23.732786 23.792404 23.434698 15.54364
"2013-04-10" 23.827183 24.189856 23.712915 15.866784
"2013-04-11" 24.135206 24.304123 23.931513 15.834147
"2013-04-12" 23.896736 23.921577 23.002472 15.24008
"2013-04-15" 22.967693 23.141579 22.475849 14.766782
"2013-04-16" 22.704384 23.06209 22.520561 15.145421
"2013-04-17" 22.808714 22.808714 22.247314 14.678651
"2013-04-18" 22.465914 22.475849 21.979034 14.512184
"2013-04-19" 22.09827 22.128078 21.705788 14.437112
"2013-04-22" 22.008844 22.142984 21.651138 14.463223
"2013-04-23" 22.2026 22.485785 22.09827 14.756989
"2013-04-24" 22.451008 22.694447 22.4212 14.819009
"2013-04-25" 22.629862 22.957758 22.570244 14.907141
"2013-04-26" 22.684511 22.868332 22.535467 14.884292
"2013-04-29" 22.669605 23.156485 22.629862 15.135629
"2013-04-30" 22.972664 23.330368 22.873301 15.292302
"2013-05-01" 23.146547 23.250877 22.778906 14.978948
"2013-05-02" 22.89814 23.240942 22.803745 15.262926
"2013-05-03" 23.479412 23.608583 23.419794 15.432659
"2013-05-06" 23.50922 23.817245 23.429731 15.612188
"2013-05-07" 23.757627 23.866926 23.653297 15.667677
"2013-05-08" 23.812279 24.229601 23.732786 15.896163
"2013-05-09" 24.095461 24.482977 23.951385 15.938594
"2013-05-10" 24.274315 24.497881 24.174952 16.088739
"2013-05-13" 24.378645 24.438263 24.125271 15.925545
"2013-05-14" 24.289219 24.701574 24.274315 16.154024
"2013-05-15" 24.969852 24.969852 21.636234 14.593786
"2013-05-16" 21.730627 21.919418 21.079803 13.901798
"2013-05-17" 21.253687 22.217506 21.228848 14.557878
"2013-05-20" 22.043621 22.4212 22.043621 14.574204
"2013-05-21" 22.142984 22.292028 21.984003 14.459961
"2013-05-22" 21.984003 22.073429 21.412668 14.185775
"2013-05-23" 21.497126 21.775343 21.427572 14.251058
"2013-05-24" 21.526936 21.526936 21.134453 14.120495
"2013-05-28" 21.661076 21.825024 21.372923 14.100912
