"Index" "Open" "High" "Low" "Price"
"2012-09-17" 3.355 3.3925 3.2575 3.38
"2012-09-18" 3.38 3.53 3.37 3.51
"2012-09-19" 3.51 3.6 3.5 3.57
"2012-09-20" 3.58 3.705 3.565 3.6825
"2012-09-21" 3.735 3.735 3.6425 3.725
"2012-09-24" 3.72 3.77 3.6625 3.7375
"2012-09-25" 3.7575 3.7625 3.7 3.715
"2012-09-26" 3.7175 3.7525 3.6975 3.7125
"2012-09-27" 3.7125 3.76 3.6675 3.75
"2012-09-28" 3.725 3.765 3.71 3.7575
"2012-10-01" 3.79 3.8325 3.705 3.7375
"2012-10-02" 3.7725 3.87 3.7025 3.7375
"2012-10-03" 3.7325 3.75 3.7 3.7125
"2012-10-04" 3.7375 3.7375 3.67 3.7
"2012-10-05" 3.7175 3.7575 3.68 3.69
"2012-10-08" 3.6875 3.7725 3.57 3.575
"2012-10-09" 3.575 3.575 3.4125 3.4525
"2012-10-10" 3.4475 3.5025 3.4125 3.4925
"2012-10-11" 3.51 3.5275 3.4225 3.445
"2012-10-12" 3.4375 3.485 3.3925 3.4
"2012-10-15" 3.415 3.44 3.3925 3.435
"2012-10-16" 3.46 3.5275 3.46 3.525
"2012-10-17" 3.5225 3.5725 3.5 3.5275
"2012-10-18" 3.515 3.5475 3.5 3.53
"2012-10-19" 3.505 3.545 3.41 3.42
"2012-10-22" 3.4125 3.425 3.3225 3.345
"2012-10-23" 3.315 3.36 3.255 3.345
"2012-10-24" 3.355 3.365 3.295 3.3625
"2012-10-25" 3.39 3.4125 3.3175 3.35
"2012-10-26" 3.36 3.4025 3.315 3.3425
"2012-10-31" 3.34 3.3625 3.2175 3.275
"2012-11-01" 3.2875 3.375 3.2625 3.2675
"2012-11-02" 3.2675 3.3175 3.165 3.2275
"2012-11-05" 3.2175 3.29 3.165 3.2525
"2012-11-06" 3.2725 3.335 3.2275 3.255
"2012-11-07" 3.2125 3.25 3.1425 3.1875
"2012-11-08" 3.19 3.235 3.1775 3.2025
"2012-11-09" 3.18 3.28 3.1675 3.1925
"2012-11-12" 3.1975 3.3 3.1825 3.2725
