"Index" "Open" "High" "Low" "Price"
"2012-09-17" 14.5 14.51 14.07 14.062082
"2012-09-18" 14.26 14.26 13.88 13.854267
"2012-09-19" 14.1 14.1 13.86 13.784999
"2012-09-20" 13.89 13.96 13.35 13.339681
"2012-09-21" 13.59 13.68 13.1 13.10218
"2012-09-24" 13.11 13.36 13.01 13.171453
"2012-09-25" 13.34 13.4 12.67 12.548008
"2012-09-26" 12.42 12.85 12.13 12.468842
"2012-09-27" 12.67 12.93 12.67 12.646967
"2012-09-28" 12.69 12.72 12.45 12.557905
"2012-10-01" 12.73 12.86 12.33 12.221444
"2012-10-02" 12.41 12.69 12.35 12.518321
"2012-10-03" 12.7 12.89 12.61 12.716241
"2012-10-04" 12.81 13.05 12.66 12.894366
"2012-10-05" 13.05 13.17 12.86 12.815199
"2012-10-08" 12.86 13.07 12.85 12.844885
"2012-10-09" 13.01 13.12 12.92 12.874575
"2012-10-10" 12.98 13.05 12.82 12.755823
"2012-10-11" 12.92 13.11 12.85 12.914157
"2012-10-12" 13.14 13.43 13.03 13.270411
"2012-10-15" 13.51 13.72 13.27 13.547495
"2012-10-16" 13.73 13.98 13.67 13.834477
"2012-10-17" 13.61 13.98 13.61 13.725622
"2012-10-18" 13.83 13.93 13.67 13.686038
"2012-10-19" 13.75 13.79 13 12.943845
"2012-10-22" 13.14 13.3 12.89 12.914157
"2012-10-23" 12.88 13.1 12.68 12.637074
"2012-10-24" 12.84 12.94 12.35 12.290716
"2012-10-25" 12.52 12.64 12.08 12.082903
"2012-10-26" 11.97 12.12 11.8 11.786024
"2012-10-31" 11.91 12.4 11.9 12.221444
"2012-11-01" 12.35 13.03 12.28 12.864677
"2012-11-02" 13.04 13.1 12.88 12.854783
"2012-11-05" 12.96 13.2 12.95 13.062596
"2012-11-06" 13.28 13.88 13.2 13.616768
"2012-11-07" 13.57 13.65 13.37 13.300098
"2012-11-08" 13.31 13.5 12.91 12.775615
"2012-11-09" 12.93 13.14 12.88 12.755823
"2012-11-12" 12.98 13.11 12.85 12.884472
"2012-11-13" 12.91 13.05 12.89 12.844885
"2012-11-14" 13.01 13.11 12.73 12.617281
"2012-11-15" 12.78 13.11 12.72 12.914157
"2012-11-16" 13.15 13.21 12.92 12.914157
"2012-11-19" 13.22 13.79 13.11 13.567287
"2012-11-20" 13.63 13.88 13.59 13.715726
"2012-11-21" 13.77 14.12 13.72 13.824582
"2012-11-23" 14.01 14.45 13.96 14.220417
"2012-11-26" 14.27 14.67 14.26 14.448025
"2012-11-27" 14.56 14.87 14.37 14.586566
"2012-11-28" 14.78 15.05 14.51 14.873548
"2012-11-29" 15.23 15.32 14.97 14.873548
"2012-11-30" 15.06 15.1 14.77 14.655838
"2012-12-03" 14.87 14.94 14.49 14.378752
"2012-12-04" 14.53 14.57 14.24 14.28969
"2012-12-05" 14.58 14.83 14.5 14.477711
"2012-12-06" 14.66 14.83 14.58 14.665733
"2012-12-07" 14.83 14.95 14.65 14.685525
"2012-12-10" 14.72 15.05 14.72 14.665733
"2012-12-11" 14.9 15.21 14.88 14.992297
"2012-12-12" 15.17 15.41 15.17 15.170425
"2012-12-13" 15.36 15.47 15.18 15.091258
"2012-12-14" 15.18 15.41 15.09 15.140737
"2012-12-17" 15.3 15.47 15.21 15.259487
"2012-12-18" 15.37 15.5 14.77 14.754795
"2012-12-19" 15 15.08 14.36 14.250104
"2012-12-20" 14.46 14.46 13.76 13.794891
"2012-12-21" 13.74 13.97 13.41 13.745415
"2012-12-24" 13.88 14.2 13.87 13.963124
"2012-12-26" 14.13 14.26 14.06 14.012603
"2012-12-27" 14.09 14.25 13.78 13.874061
"2012-12-28" 13.88 14.04 13.79 13.775102
"2012-12-31" 13.89 14.55 13.83 14.368857
"2013-01-02" 14.77 14.93 14.38 14.398543
"2013-01-03" 14.53 14.81 14.51 14.586566
"2013-01-04" 14.76 14.95 14.7 14.72511
"2013-01-07" 14.26 14.6 14.26 14.299583
"2013-01-08" 14.24 14.3 13.77 13.626664
"2013-01-09" 13.78 13.85 13.57 13.557391
"2013-01-10" 13.8 14.01 13.75 13.854267
"2013-01-11" 13.7 14.33 13.29 14.091771
"2013-01-14" 14.23 14.5 14.15 14.279794
"2013-01-15" 14.3 14.62 14.17 14.457919
"2013-01-16" 14.59 14.77 14.41 14.448025
"2013-01-17" 14.66 14.8 14.47 14.35896
"2013-01-18" 14.54 14.72 14.4 14.309481
"2013-01-22" 14.46 14.49 14.31 14.279794
"2013-01-23" 14.52 14.61 13.99 13.903749
"2013-01-24" 14.05 14.36 14.02 14.111563
"2013-01-25" 14.31 14.92 14.31 14.616254
"2013-01-28" 14.98 15.1 14.65 14.883443
"2013-01-29" 15.18 15.18 14.82 14.794382
"2013-01-30" 14.94 15.48 14.94 14.923027
"2013-01-31" 14.63 16.18 14.62 15.56626
"2013-02-01" 15.62 16.25 15.44 16.021475
"2013-02-04" 16.01 16.190001 15.94 15.833449
"2013-02-05" 16.25 17.25 16.16 16.714186
"2013-02-06" 17.18 17.18 16.799999 16.70429
"2013-02-07" 16.91 17.030001 16.719999 16.694395
"2013-02-08" 17.049999 17.51 16.860001 17.189192
"2013-02-11" 17.299999 17.6 17.129999 17.228771
"2013-02-12" 17.379999 17.59 17.280001 17.35742
"2013-02-13" 17.389999 17.549999 17.059999 16.99127
"2013-02-14" 17.129999 17.360001 16.98 16.971481
"2013-02-15" 17.15 17.18 16.83 16.793352
"2013-02-19" 17.049999 17.75 17 17.406902
"2013-02-20" 17.51 17.75 17.450001 17.298046
"2013-02-21" 17.65 17.92 17.16 17.456381
"2013-02-22" 17.67 17.870001 17.67 17.624609
"2013-02-25" 17.84 18.030001 17.690001 17.515753
"2013-02-26" 17.76 17.82 17.450001 17.505857
"2013-02-27" 17.65 18.200001 17.41 17.931383
"2013-02-28" 17.59 18 17.52 17.347525
"2013-03-01" 17.530001 18.08 17.42 17.852219
"2013-03-04" 17.969999 18.299999 17.93 18.010551
"2013-03-05" 18.34 18.9 18.299999 18.317324
"2013-03-06" 18.629999 18.870001 18.450001 18.426178
"2013-03-07" 18.559999 18.940001 18.440001 18.515238
"2013-03-08" 18.75 18.82 18.48 18.386593
"2013-03-11" 18.58 19.51 18.58 18.930866
"2013-03-12" 19.059999 19.25 18.99 19.049622
"2013-03-13" 19.040001 19.15 18.790001 18.742849
"2013-03-14" 19.07 19.360001 18.950001 19.138681
"2013-03-15" 19.33 19.34 18.870001 18.683472
