"Index" "Open" "High" "Low" "Price"
"2012-09-17" 59.880001 60.310001 59.400002 40.572121
"2012-09-18" 59.529999 59.740002 59.25 40.483627
"2012-09-19" 59.619999 59.779999 59.360001 40.470016
"2012-09-20" 59.34 59.740002 59.330002 40.483627
"2012-09-21" 59.59 59.630001 59.07 40.224991
"2012-09-24" 59.049999 59.610001 59.009998 40.483627
"2012-09-25" 59.57 59.82 59.369999 40.470016
"2012-09-26" 59.5 60.369999 59.5 40.898808
"2012-09-27" 60.150002 60.150002 59.540001 40.551689
"2012-09-28" 59.450001 59.970001 59.32 40.762688
"2012-10-01" 59.959999 60.02 59.41 40.483627
"2012-10-02" 59.240002 59.75 59.150002 40.599339
"2012-10-03" 59.700001 60.110001 59.630001 40.674194
"2012-10-04" 60.139999 60.529999 60.080002 41.130234
"2012-10-05" 60.720001 60.720001 60.09 40.987289
"2012-10-08" 60.169998 60.48 59.919998 40.932838
"2012-10-09" 60.119999 60.290001 59.700001 40.80352
"2012-10-10" 59.810001 60.16 59.689999 40.885189
"2012-10-11" 60.18 60.509998 59.91 40.953255
"2012-10-12" 60.34 60.57 59.73 40.721844
"2012-10-15" 59.93 59.959999 59.400002 40.715038
"2012-10-16" 59.900002 59.990002 59.560001 40.708233
"2012-10-17" 59.900002 60.77 59.799999 41.252731
"2012-10-18" 60.689999 60.830002 60.330002 41.334404
"2012-10-19" 60.57 60.720001 60.279999 41.15744
"2012-10-22" 60.310001 60.43 59.700001 40.769485
"2012-10-23" 59.610001 59.849998 59.349998 40.63335
"2012-10-24" 59.889999 59.889999 59.5 40.54488
"2012-10-25" 59.689999 60.009998 59.560001 40.844357
"2012-10-26" 60.09 60.16 59.709999 40.817131
"2012-10-31" 59.669998 60.560001 59.009998 41.096188
"2012-11-01" 60.439999 60.470001 59.5 40.653778
"2012-11-02" 59.98 60.060001 59.099998 40.293053
"2012-11-05" 59.099998 59.169998 57.77 39.476292
"2012-11-06" 58.110001 58.709999 57.68 39.312946
"2012-11-07" 57.48 57.540001 55.799999 38.292019
"2012-11-08" 56.369999 57.439999 56.369999 38.400902
"2012-11-09" 55.91 56.150002 55.529999 38.349312
"2012-11-12" 55.52 55.75 54.869999 37.922745
"2012-11-13" 54.860001 55.709999 54.860001 37.970909
"2012-11-14" 55.279999 55.400002 54.860001 37.998432
"2012-11-15" 55.209999 55.5 54.200001 37.448029
"2012-11-16" 54.360001 54.990002 54.360001 37.82642
"2012-11-19" 55.18 55.27 54.439999 37.668186
"2012-11-20" 54.799999 54.799999 54.169998 37.448029
"2012-11-21" 54.450001 54.549999 53.630001 37.296669
"2012-11-23" 54.27 54.279999 53.68 37.22097
"2012-11-26" 54 55.220001 53.98 37.757641
"2012-11-27" 54.970001 55.259998 54.68 37.730106
"2012-11-28" 54.799999 55.439999 54.5 38.094757
"2012-11-29" 55.459999 55.48 55 38.142902
"2012-11-30" 55.450001 55.790001 55.209999 38.383717
"2012-12-03" 55.799999 55.799999 54.98 38.025951
"2012-12-04" 55.279999 55.5 55.200001 38.087868
"2012-12-05" 55.360001 56.32 55.290001 38.583225
"2012-12-06" 56.07 56.349998 55.82 38.603878
"2012-12-07" 56.099998 56.299999 55.759998 38.548832
"2012-12-10" 56.009998 56.23 55.889999 38.576351
"2012-12-11" 56.220001 56.84 56.080002 38.775875
"2012-12-12" 56.41 56.810001 56.259998 38.762108
"2012-12-13" 56.25 56.400002 55.759998 38.500664
"2012-12-14" 55.779999 56.139999 55.610001 38.610756
"2012-12-17" 56.419998 57.009998 56.25 39.202435
