"Index" "Open" "High" "Low" "Price"
"2012-09-17" 61.34 61.75 60.700001 54.272518
"2012-09-18" 61 61.360001 60.700001 54.548363
"2012-09-19" 61.290001 61.919998 61.130001 54.78862
"2012-09-20" 61.27 61.639999 60.48 54.833118
"2012-09-21" 61.970001 62.240002 61.759998 55.011086
"2012-09-24" 61.419998 61.740002 60.810001 54.672947
"2012-09-25" 61.759998 61.93 61.139999 54.637356
"2012-09-26" 61.27 61.34 59.82 53.969948
"2012-09-27" 61 61.860001 60.849998 54.877621
"2012-09-28" 61.450001 61.799999 60.66 54.78862
"2012-10-01" 61.610001 63.540001 61.490002 56.203499
"2012-10-02" 63.349998 63.43 62.470001 55.794167
"2012-10-03" 62.759998 63.299999 62.400002 56.328091
"2012-10-04" 63.400002 64.029999 63.029999 56.328091
"2012-10-05" 63.75 64.190002 63.130001 56.950981
"2012-10-08" 63.59 63.970001 63.209999 56.45266
"2012-10-09" 63.34 63.740002 62.369999 55.651779
"2012-10-10" 62.610001 62.77 62.049999 55.509407
"2012-10-11" 62.93 63.459999 62.84 56.203499
"2012-10-12" 63.290001 63.540001 62.419998 56.070023
"2012-10-15" 63.16 63.52 62.700001 56.443775
"2012-10-16" 63.720001 65 63.619999 57.805248
"2012-10-17" 64.940002 65 64.129997 57.395908
"2012-10-18" 64.419998 64.849998 64.019997 57.209045
"2012-10-19" 63.970001 64.010002 62.650002 55.998837
"2012-10-22" 62.93 63.16 62.060001 55.696297
"2012-10-23" 62.09 62.32 61.549999 55.34034
"2012-10-24" 62.619999 62.619999 61.380001 54.753033
"2012-10-25" 62.139999 62.509998 60.93 54.548363
"2012-10-26" 61.389999 61.509998 60.669998 54.09454
"2012-10-31" 61.220001 61.82 60.57 54.833118
"2012-11-01" 59.470001 61.810001 58.400002 54.43269
"2012-11-02" 61.610001 61.610001 59.93 53.418243
"2012-11-05" 59.799999 59.91 58.77 52.857635
"2012-11-06" 59.400002 59.919998 59.389999 53.195786
"2012-11-07" 59.23 59.360001 58.439999 52.110142
"2012-11-08" 58.57 58.580002 57.290001 50.997829
"2012-11-09" 57.259998 58.32 57.23 51.158001
"2012-11-12" 57.549999 57.830002 57.299999 51.122395
"2012-11-13" 57.099998 58.040001 56.869999 50.68639
"2012-11-14" 56.919998 57.220001 56.189999 50.134647
"2012-11-15" 56.349998 56.860001 56.040001 50.19696
"2012-11-16" 56.66 56.900002 56.139999 50.383835
"2012-11-19" 57.349998 59.43 56.970001 51.344868
"2012-11-20" 57.689999 58.25 57.290001 51.638538
"2012-11-21" 57.860001 58.619999 57.860001 52.056759
"2012-11-23" 58.91 59.630001 58.52 53.053387
"2012-11-26" 59.18 59.349998 58.889999 52.78643
"2012-11-27" 59.439999 59.48 58.560001 52.225826
"2012-11-28" 57.98 58.330002 57.389999 52.297901
"2012-11-29" 58.290001 58.66 57.970001 52.261875
"2012-11-30" 58.200001 58.529999 57.77 52.478081
"2012-12-03" 58.59 60.02 58.509998 53.342957
"2012-12-04" 59.130001 59.209999 58.299999 53.207809
"2012-12-05" 59 59.68 58.84 53.451065
"2012-12-06" 59.110001 59.790001 58.470001 53.847477
"2012-12-07" 59.959999 60.75 59.68 54.658291
