"Index" "Open" "High" "Low" "Price"
"2012-09-17" 58.34 58.810001 57.93 50.711506
"2012-09-18" 58.810001 59.299999 58.700001 50.797745
"2012-09-19" 59.060001 59.299999 58.560001 50.901211
"2012-09-20" 58.860001 59.029999 58.150002 50.840847
"2012-09-21" 59.200001 59.310001 58.650002 51.099541
"2012-09-24" 58.860001 59.25 58.299999 50.435593
"2012-09-25" 58.669998 58.93 58.360001 50.426949
"2012-09-26" 58.5 58.540001 57.060001 49.702618
"2012-09-27" 57.84 58.290001 57.599998 50.073406
"2012-09-28" 57.849998 58.150002 57.5 50.021664
"2012-10-01" 57.98 58.279999 57.830002 49.995804
"2012-10-02" 58.18 60.459999 58.009998 52.134285
"2012-10-03" 60.84 60.889999 60.060001 51.8325
"2012-10-04" 60.779999 62.43 60.549999 53.600189
"2012-10-05" 62.060001 62.240002 60.889999 52.789635
"2012-10-08" 61.310001 62.139999 61.049999 53.246655
"2012-10-09" 61.580002 62.360001 61.529999 53.479473
"2012-10-10" 61.939999 62.400002 61.400002 53.065571
"2012-10-11" 61.93 63.099998 61.799999 54.143433
"2012-10-12" 62.869999 63.43 61.689999 53.315643
"2012-10-15" 61.900002 62.5 61.599998 53.789906
"2012-10-16" 61.509998 62.66 61.18 53.479473
"2012-10-17" 62.169998 62.349998 61.220001 53.238029
"2012-10-18" 61.630001 63.630001 61.619999 54.264156
"2012-10-19" 62.630001 62.799999 61.52 53.307011
"2012-10-22" 61.599998 63.099998 61.02 54.350376
"2012-10-23" 62.27 62.459999 61.299999 53.350117
"2012-10-24" 62.330002 62.57 61.490002 53.100052
"2012-10-25" 62.130001 62.700001 62.040001 53.660553
"2012-10-26" 62.009998 62.310001 61.02 52.850002
"2012-10-31" 61.290001 61.709999 60.799999 52.858616
"2012-11-01" 61.290001 62.049999 60.970001 53.229404
"2012-11-02" 62.009998 62.150002 61.130001 52.720654
"2012-11-05" 61.080002 61.23 60.290001 52.470592
"2012-11-06" 60.450001 61.23 59.950001 52.772373
"2012-11-07" 58.119999 59 57.700001 49.883701
"2012-11-08" 57.849998 58.029999 55.82 48.297092
"2012-11-09" 56 56.889999 55.849998 48.426426
"2012-11-12" 56.360001 56.759998 55.75 48.159096
"2012-11-13" 55.630001 56.970001 55.490002 47.857311
"2012-11-14" 55.509998 55.860001 54.150002 46.848438
"2012-11-15" 54.41 55.200001 54.25 47.115738
"2012-11-16" 54.889999 55.720001 53.689999 47.555523
"2012-11-19" 55.709999 56.02 55.27 48.236713
"2012-11-20" 55.900002 55.990002 55.380001 47.960793
"2012-11-21" 55.709999 55.93 55.209999 47.917679
"2012-11-23" 55.720001 56.23 55.549999 48.340206
"2012-11-26" 55.68 55.68 54.790001 47.745216
"2012-11-27" 55.209999 55.689999 54.860001 47.400307
"2012-11-28" 54.73 55.130001 54.5 47.227837
"2012-11-29" 54.959999 55.810001 54.82 47.978043
"2012-11-30" 55.77 56.099998 55.259998 48.202236
"2012-12-03" 56.02 56.290001 55.459999 48.357449
"2012-12-04" 56.009998 56.52 55.66 48.012531
"2012-12-05" 55.610001 56.450001 55.330002 48.62532
"2012-12-06" 56.119999 56.639999 55.880001 49.07605
"2012-12-07" 56.669998 57.779999 56.669998 50.08149
"2012-12-10" 57.57 58.360001 57.369999 50.454189
"2012-12-11" 57.279999 59.029999 57.279999 51.043587
"2012-12-12" 58.93 59.950001 58.93 51.346951
"2012-12-13" 59.209999 59.610001 58.669998 51.156269
"2012-12-14" 58.549999 58.959999 58.029999 50.696899
"2012-12-17" 58.509998 60.049999 58.509998 52.031708
"2012-12-18" 59.970001 60.599998 59.599998 52.499741
"2012-12-19" 60.619999 60.66 59.91 51.979683
"2012-12-20" 60.220001 61.52 60.099998 53.314499
"2012-12-21" 61.34 61.650002 60.68 53.141151
"2012-12-24" 61.380001 61.380001 60.68 52.933117
"2012-12-26" 61.07 61.529999 60.880001 53.002476
"2012-12-27" 61.060001 61.220001 59.939999 52.421741
"2012-12-28" 60.139999 60.810001 59.880001 51.910347
"2012-12-31" 59.759998 60.970001 59.48 52.80312
"2013-01-02" 61.080002 61.889999 60.439999 52.80312
"2013-01-03" 60.240002 60.240002 58.75 51.078255
"2013-01-04" 59.200001 59.689999 58.98 51.390297
"2013-01-07" 59.049999 59.84 58.830002 51.780331
"2013-01-08" 59.709999 60.610001 59.450001 52.066357
"2013-01-09" 60.169998 62.110001 59.990002 53.782566
"2013-01-10" 62.349998 62.369999 61.360001 53.947243
"2013-01-11" 62.560001 62.560001 61.52 53.522526
"2013-01-14" 61.459999 62.689999 61.07 54.120594
"2013-01-15" 62.419998 63.009998 61.779999 54.614651
"2013-01-16" 62.790001 62.849998 61.599998 53.609196
"2013-01-17" 62.130001 62.619999 61.919998 54.103268
"2013-01-18" 62.299999 62.75 62.02 54.389286
"2013-01-22" 62.759998 63.939999 62.639999 55.299389
"2013-01-23" 64.5 65 62.66 56.192158
"2013-01-24" 64.610001 65.900002 64.099998 56.937572
"2013-01-25" 65.779999 66.269997 65.080002 57.353611
"2013-01-28" 66.269997 66.309998 65.440002 57.258282
"2013-01-29" 66.209999 66.410004 65.720001 57.162922
"2013-01-30" 66.139999 66.300003 65.370003 56.677536
"2013-01-31" 65.220001 65.279999 64.709999 56.183479
"2013-02-01" 65.040001 65.370003 64.529999 56.616867
"2013-02-04" 65 65.989998 64.690002 56.183479
"2013-02-05" 65.279999 66.199997 65.279999 57.067577
"2013-02-06" 65.440002 66.029999 65.290001 56.694885
"2013-02-07" 65.559998 65.809998 64.949997 56.946236
"2013-02-08" 65.980003 66.620003 65.379997 57.448959
"2013-02-11" 66.059998 66.190002 65.400002 57.214939
"2013-02-12" 66 66.25 65.43 57.214939
"2013-02-13" 64.139999 64.839996 62.849998 54.605988
"2013-02-14" 63.07 64.019997 62.630001 54.85733
"2013-02-15" 63.18 63.810001 62.57 54.345951
