"Index" "Open" "High" "Low" "Price"
"2012-09-17" 49.740002 50.299999 49.599998 37.444237
"2012-09-18" 50.169998 50.610001 50.119999 37.667843
"2012-09-19" 50.619999 50.950001 50.25 37.682732
"2012-09-20" 50.310001 50.700001 49.849998 37.578396
"2012-09-21" 50.68 50.790001 50.040001 37.339882
"2012-09-24" 49.860001 50.23 49.75 37.287731
"2012-09-25" 49.09 49.560001 48.290001 35.998341
"2012-09-26" 48.450001 48.549999 47.779999 35.700218
"2012-09-27" 48.25 48.630001 48.02 36.03561
"2012-09-28" 48.049999 48.549999 47.790001 35.975983
"2012-10-01" 47.75 48.689999 47.66 35.722591
"2012-10-02" 48.060001 48.299999 47.84 35.797115
"2012-10-03" 48.220001 48.759998 47.950001 36.19212
"2012-10-04" 48.799999 49.459999 48.68 36.557323
"2012-10-05" 49.380001 49.860001 49.049999 36.661652
"2012-10-08" 49 49.189999 48.810001 36.609501
"2012-10-09" 49.110001 49.200001 48.549999 36.520054
"2012-10-10" 48.849998 48.959999 48.060001 35.990887
"2012-10-11" 48.849998 49 48.32 36.013241
"2012-10-12" 48.540001 48.82 48.02 36.03561
"2012-10-15" 48.459999 48.59 48.169998 36.072857
"2012-10-16" 48.630001 49 48.540001 36.430618
"2012-10-17" 49.18 49.369999 48.970001 36.751102
"2012-10-18" 49.18 49.740002 49.09 36.967243
"2012-10-19" 49.220001 49.48 48 35.961075
"2012-10-22" 48.040001 48.560001 47.880001 35.938713
"2012-10-23" 47.66 48 47.099998 35.267944
"2012-10-24" 47.59 47.639999 47.169998 35.282848
"2012-10-25" 47.830002 48.099998 47.66 35.744926
"2012-10-26" 47.880001 48.150002 47.619999 35.65551
"2012-10-31" 48.32 48.900002 48.049999 36.095238
"2012-11-01" 48.84 50.689999 48.580002 37.54858
"2012-11-02" 50.689999 50.889999 49.73 37.123764
"2012-11-05" 49.91 50.57 49.599998 37.63802
"2012-11-06" 52.299999 52.810001 51.330002 38.3535
"2012-11-07" 50.91 51.189999 50.209999 37.474041
"2012-11-08" 50.209999 50.459999 49.650002 37.101387
"2012-11-09" 49.549999 50.919998 49.48 37.377174
"2012-11-12" 50.200001 50.700001 50.07 37.51878
