"Index" "Open" "High" "Low" "Price"
"2012-09-17" 5.16 5.18 4.99 4.99
"2012-09-18" 5.01 5.14 4.95 4.97
"2012-09-19" 5.01 5.25 4.98 5.11
"2012-09-20" 5.05 5.21 5.05 5.12
"2012-09-21" 5.21 5.22 5.11 5.11
"2012-09-24" 5.09 5.17 4.66 4.88
"2012-09-25" 4.92 4.92 4.7 4.75
"2012-09-26" 4.79 4.88 4.68 4.75
"2012-09-27" 4.81 4.81 4.58 4.6
"2012-09-28" 4.5 4.51 4.05 4.14
"2012-10-01" 4.2 4.29 3.88 3.89
"2012-10-02" 3.94 4.07 3.81 3.84
"2012-10-03" 3.89 4.09 3.85 3.94
"2012-10-04" 3.95 3.95 3.78 3.85
"2012-10-05" 3.85 3.92 3.62 3.65
"2012-10-08" 3.66 3.75 3.55 3.64
"2012-10-09" 3.64 3.69 3.22 3.33
"2012-10-10" 3.37 3.37 3.08 3.15
"2012-10-11" 3.2 3.35 3.08 3.32
"2012-10-12" 3.34 3.68 3.25 3.63
"2012-10-15" 3.68 3.87 3.63 3.8
"2012-10-16" 3.84 3.87 3.59 3.62
"2012-10-17" 3.67 3.85 3.51 3.76
"2012-10-18" 3.79 3.81 3.66 3.7
"2012-10-19" 3.65 3.84 3.4 3.7
"2012-10-22" 3.7 3.7 3.49 3.51
"2012-10-23" 3.48 3.48 3.3 3.42
"2012-10-24" 3.46 3.59 3.37 3.49
"2012-10-25" 3.55 3.69 3.53 3.64
"2012-10-26" 3.63 3.64 3.5 3.51
"2012-10-31" 3.57 3.77 3.46 3.67
"2012-11-01" 3.74 3.79 3.41 3.5
"2012-11-02" 3.64 3.64 3.31 3.33
"2012-11-05" 3.27 3.51 3.26 3.43
"2012-11-06" 3.6 3.75 3.3 3.52
"2012-11-07" 3.57 3.57 3.2 3.28
"2012-11-08" 3.32 3.72 2.37 2.45
"2012-11-09" 2.63 2.8 2.49 2.65
"2012-11-12" 2.7 2.7 2.37 2.42
"2012-11-13" 2.43 2.43 2.1 2.21
"2012-11-14" 2.86 2.86 2.06 2.11
"2012-11-15" 2.11 2.27 1.94 2
"2012-11-16" 2.02 2.2 1.92 1.99
"2012-11-19" 2.04 2.26 2.02 2.22
"2012-11-20" 2.31 2.65 2.25 2.59
"2012-11-21" 2.62 2.83 2.43 2.73
"2012-11-23" 2.78 2.78 2.55 2.58
"2012-11-26" 2.58 2.86 2.58 2.81
"2012-11-27" 2.86 2.86 2.68 2.71
"2012-11-28" 2.7 2.72 2.54 2.58
"2012-11-29" 2.55 2.77 2.55 2.6
"2012-11-30" 2.6 2.83 2.55 2.79
"2012-12-03" 2.85 3.09 2.8 2.98
"2012-12-04" 2.98 3.09 2.83 2.88
"2012-12-05" 3.01 3.08 2.73 2.8
"2012-12-06" 2.76 3.3 2.6 2.72
"2012-12-07" 2.75 3 2.6 2.67
"2012-12-10" 2.65 2.67 2.53 2.54
"2012-12-11" 2.57 2.93 2.51 2.91
"2012-12-12" 2.91 3.39 2.91 3.03
"2012-12-13" 3.03 3.11 2.91 2.95
"2012-12-14" 2.95 3.36 2.95 3.22
"2012-12-17" 3.32 3.39 3.21 3.35
"2012-12-18" 3.36 3.44 3.22 3.38
"2012-12-19" 3.47 3.47 3.04 3.18
"2012-12-20" 3.2 3.29 3.1 3.15
"2012-12-21" 3.09 3.1 2.9 3.03
"2012-12-24" 3 3.12 2.94 3.09
"2012-12-26" 3.08 3.13 2.93 3.03
"2012-12-27" 3.08 3.97 3.08 3.51
"2012-12-28" 3.52 3.64 3.35 3.6
"2012-12-31" 3.57 3.83 3.51 3.65
"2013-01-02" 3.87 3.89 3.69 3.79
"2013-01-03" 3.84 3.88 3.66 3.73
"2013-01-04" 3.76 3.98 3.7 3.9
"2013-01-07" 3.9 3.9 3.64 3.75
"2013-01-08" 3.8 3.81 3.7 3.71
"2013-01-09" 3.81 3.81 3.6 3.75
"2013-01-10" 3.74 3.8 3.69 3.72
"2013-01-11" 3.72 3.82 3.67 3.78
"2013-01-14" 3.8 3.83 3.72 3.78
"2013-01-15" 3.78 3.92 3.75 3.84
"2013-01-16" 3.87 3.89 3.81 3.85
"2013-01-17" 3.84 3.93 3.8 3.91
"2013-01-18" 3.91 3.97 3.75 3.78
"2013-01-22" 3.8 3.84 3.71 3.78
"2013-01-23" 3.78 3.79 3.72 3.72
"2013-01-24" 3.7 3.8 3.5 3.71
"2013-01-25" 3.75 3.75 3.65 3.68
"2013-01-28" 3.7 3.72 3.51 3.67
"2013-01-29" 3.66 3.85 3.57 3.77
"2013-01-30" 3.75 3.85 3.67 3.79
"2013-01-31" 3.77 3.84 3.69 3.77
"2013-02-01" 3.84 4.12 3.72 4.08
"2013-02-04" 4.11 4.11 3.81 3.91
"2013-02-05" 3.97 4.5 3.91 4.33
"2013-02-06" 4.04 4.29 3.51 4.11
"2013-02-07" 4.07 4.45 4.07 4.24
"2013-02-08" 4.2 4.33 4 4.23
"2013-02-11" 4.24 4.32 4.14 4.27
"2013-02-12" 4.25 4.5 4.17 4.48
"2013-02-13" 4.45 4.61 4.31 4.33
"2013-02-14" 4.33 5.22 4.28 5.1
"2013-02-15" 5.1 5.15 4.9 5.03
"2013-02-19" 5.1 5.48 4.97 5.21
"2013-02-20" 5.16 5.38 4.92 4.99
"2013-02-21" 4.96 5.26 4.82 5.24
"2013-02-22" 5.29 5.37 5.01 5.24
"2013-02-25" 5.36 5.36 4.82 4.84
"2013-02-26" 4.81 5.25 4.5 5.05
"2013-02-27" 5 5 4.51 4.63
"2013-02-28" 4.64 4.96 4.5 4.93
"2013-03-01" 5.03 5.07 4.62 4.75
"2013-03-04" 4.75 4.92 4.56 4.67
"2013-03-05" 4.66 4.95 4.66 4.88
"2013-03-06" 4.88 5.17 4.84 4.92
"2013-03-07" 4.9 5.05 4.74 4.76
"2013-03-08" 4.77 5.32 4.73 5.24
"2013-03-11" 5.06 5.25 4.86 5.2
"2013-03-12" 5.18 6.3 5.11 5.88
"2013-03-13" 5.9 6.25 5.4 5.5
"2013-03-14" 5.5 5.98 5.5 5.92
"2013-03-15" 5.94 6 5.76 5.87
"2013-03-18" 5.9 5.97 5.5 5.6
"2013-03-19" 5.7 5.9 5.51 5.8
"2013-03-20" 5.83 6.17 5.65 6.02
"2013-03-21" 5.93 6.45 5.9 6.04
"2013-03-22" 6.14 6.14 5.9 5.96
"2013-03-25" 6.05 6.55 6.01 6.46
"2013-03-26" 6.53 6.7 6.28 6.52
"2013-03-27" 6.14 6.68 5.76 6.42
"2013-03-28" 6.45 6.45 6.11 6.2
"2013-04-01" 6.13 6.13 5.74 5.86
"2013-04-02" 5.9 6.24 5.8 5.9
"2013-04-03" 5.9 5.9 5.54 5.68
"2013-04-04" 5.69 6.17 5.69 6.15
"2013-04-05" 6.15 6.28 6.07 6.1
"2013-04-08" 6.1 6.21 5.66 5.78
"2013-04-09" 5.81 6.25 5.68 6.15
"2013-04-10" 6.19 6.36 5.92 6.1
"2013-04-11" 6.11 6.17 5.8 5.97
"2013-04-12" 5.89 5.98 5.75 5.88
"2013-04-15" 5.9 5.99 5.17 5.24
"2013-04-16" 5.39 5.99 5.26 5.94
"2013-04-17" 5.91 5.91 5.5 5.57
"2013-04-18" 5.63 5.89 5.43 5.47
"2013-04-19" 5.5 5.7 5.5 5.55
"2013-04-22" 5.68 5.9 5.55 5.81
"2013-04-23" 5.89 6.1 5.75 5.97
"2013-04-24" 5.97 6.28 5.9 6.2
"2013-04-25" 6.24 6.77 6.04 6.7
"2013-04-26" 6.7 7.4 6.7 7.25
"2013-04-29" 7.32 7.58 7 7.11
"2013-04-30" 7.19 7.21 6.56 7.04
"2013-05-01" 6.92 7.01 6.56 6.95
"2013-05-02" 7 7.55 6.98 7.5
"2013-05-03" 7.59 7.9 7.38 7.74
"2013-05-06" 7.76 8 7.73 7.85
"2013-05-07" 7.9 7.95 7.52 7.63
"2013-05-08" 7.91 7.95 7.15 7.44
"2013-05-09" 7.45 7.95 7.29 7.89
"2013-05-10" 7.95 8.07 7.63 7.92
"2013-05-13" 8 9 7.68 8.91
"2013-05-14" 9 10 8.72 9.66
"2013-05-15" 9.65 9.65 9.21 9.4
"2013-05-16" 9.27 9.27 8.55 8.94
"2013-05-17" 9.05 9.25 8.86 9.05
"2013-05-20" 9.09 9.4 8.9 9.1
"2013-05-21" 9.36 9.74 8.95 8.99
"2013-05-22" 9 9.1 8.15 8.43
"2013-05-23" 8.12 8.45 7.84 8.22
"2013-05-24" 8.07 8.33 8.07 8.15
"2013-05-28" 8.3 8.69 8.26 8.38
"2013-05-29" 8.31 8.33 7.81 7.9
"2013-05-30" 8.05 8.23 7.69 7.79
"2013-05-31" 7.81 7.96 7.71 7.72
"2013-06-03" 7.71 7.84 7.27 7.42
"2013-06-04" 7.38 7.49 6.87 7.04
"2013-06-05" 6.96 7.27 6.54 6.94
"2013-06-06" 6.94 7.14 6.76 6.96
"2013-06-07" 7.05 7.68 6.83 6.98
"2013-06-10" 6.99 7.39 6.9 7
"2013-06-11" 6.89 6.95 6.7 6.8
"2013-06-12" 6.85 6.85 6.14 6.17
"2013-06-13" 6.15 6.69 6.15 6.66
"2013-06-14" 6.71 7.05 6.4 6.6
"2013-06-17" 6.64 6.89 6.59 6.7
"2013-06-18" 6.7 7 6.5 6.91
"2013-06-19" 6.91 7.02 6.56 6.64
"2013-06-20" 6.49 6.6 6.31 6.53
"2013-06-21" 6.58 7.25 6.33 7.19
"2013-06-24" 7 7 6.54 6.65
"2013-06-25" 6.73 7.04 6.63 6.82
"2013-06-26" 6.97 7.1 6.71 6.94
"2013-06-27" 7.04 7.92 6.94 7.57
"2013-06-28" 7.53 8.04 7.36 7.73
"2013-07-01" 7.85 7.95 7.66 7.68
"2013-07-02" 7.65 7.84 7.18 7.32
"2013-07-03" 7.19 7.53 7.19 7.43
"2013-07-05" 7.57 7.65 7.29 7.5
"2013-07-08" 7.65 8.2 7.65 8.01
"2013-07-09" 8.04 8.38 8 8.15
"2013-07-10" 8.12 8.23 7.97 7.98
"2013-07-11" 8.25 8.31 7.78 7.91
"2013-07-12" 7.94 8.15 7.6 7.62
"2013-07-15" 7.74 8.15 7.6 8.08
"2013-07-16" 8.13 8.33 7.9 8.2
"2013-07-17" 8.25 8.25 7.81 7.95
"2013-07-18" 8.06 8.22 7.72 7.83
"2013-07-19" 7.8 7.98 7.27 7.4
"2013-07-22" 7.51 7.51 6.95 7.07
"2013-07-23" 7.15 7.52 7.04 7.24
"2013-07-24" 7.25 7.34 6.15 6.4
"2013-07-25" 6.62 6.87 6.45 6.71
"2013-07-26" 6.63 6.73 6.52 6.6
"2013-07-29" 6.7 6.89 6.28 6.3
"2013-07-30" 6.37 6.4 6.19 6.31
"2013-07-31" 6.35 6.48 6.3 6.35
