"Index" "Open" "High" "Low" "Price"
"2012-09-17" 58.705002 59.115002 57.939999 47.819141
"2012-09-18" 58.115002 58.41 57.285 47.605503
"2012-09-19" 57.830002 57.895 56.75 46.656513
"2012-09-20" 56.455002 57.040001 55.744999 46.648308
"2012-09-21" 57.285 57.369999 56.625 46.81263
"2012-09-24" 56.299999 56.869999 56.080002 46.508621
"2012-09-25" 56.849998 57.205002 56.130001 46.184086
"2012-09-26" 55.935001 56.040001 55.200001 45.436382
"2012-09-27" 55.880001 56.884998 55.75 46.504517
"2012-09-28" 56.299999 56.5 55.57 46.032082
"2012-10-01" 56.494999 57.345001 56.455002 46.911228
"2012-10-02" 57.395 57.639999 56.935001 47.301502
"2012-10-03" 57.415001 57.5 55.400002 45.633591
"2012-10-04" 55.965 56.125 55.325001 45.77327
"2012-10-05" 55.755001 56.200001 54.75 45.152931
"2012-10-08" 54.43 54.985001 54.32 45.115952
"2012-10-09" 54.955002 55.900002 54.639999 45.621254
"2012-10-10" 55.424999 55.674999 54.595001 44.984497
"2012-10-11" 55.205002 55.634998 54.799999 45.120068
"2012-10-12" 54.985001 55.154999 53.935001 44.688709
"2012-10-15" 54.330002 55.290001 53.880001 45.363503
"2012-10-16" 55.855 56.945 55.755001 46.799507
"2012-10-17" 57.27 57.825001 56.785 47.416683
"2012-10-18" 57.27 57.540001 56.869999 47.215073
"2012-10-19" 57.264999 57.724998 56.285 46.523811
"2012-10-22" 56.389999 56.470001 55.215 46.12883
"2012-10-23" 55.035 55.450001 54.514999 45.326466
"2012-10-24" 55.439999 55.77 54.884998 45.548653
"2012-10-25" 56.025002 56.220001 55.455002 46.256367
"2012-10-26" 56.145 57.25 56.005001 46.943504
"2012-10-31" 57.125 58.285 57.119999 47.931011
"2012-11-01" 58.244999 59.299999 58.02 48.091488
"2012-11-02" 58.884998 59.255001 57.345001 47.40023
"2012-11-05" 57.275002 58.535 57.275002 48.062679
"2012-11-06" 61.695 62.244999 60.650002 50.18993
"2012-11-07" 60 60.474998 59.665001 49.375233
"2012-11-08" 59.935001 60.384998 57.855 47.634754
"2012-11-09" 57.814999 58.384998 57.224998 47.120441
"2012-11-12" 57.544998 57.799999 56.720001 47.219196
"2012-11-13" 56.950001 58.57 56.845001 47.433147
"2012-11-14" 57.689999 57.950001 56.5 46.643139
"2012-11-15" 56.720001 58.275002 56.66 47.79525
"2012-11-16" 58.625 58.73 57.395 48.005081
"2012-11-19" 59.105 60.400002 58.91 48.803322
"2012-11-20" 59.195 59.27 58.275002 48.305447
"2012-11-21" 58.895 59.27 58.700001 48.609932
"2012-11-23" 59.25 59.575001 58.825001 48.95966
"2012-11-26" 58.724998 58.915001 57.799999 47.996849
"2012-11-27" 57.77 58.029999 57.220001 47.350864
"2012-11-28" 57.044998 58.294998 56.360001 47.873405
"2012-11-29" 58.799999 59.209999 58.404999 48.404198
"2012-11-30" 58.700001 59.205002 58.525002 48.395969
"2012-12-03" 59.119999 59.549999 58.564999 48.239601
"2012-12-04" 58.470001 59 58.345001 48.214916
"2012-12-05" 58.75 59.775002 58.669998 48.848576
"2012-12-06" 59.145 59.375 58.5 48.700447
"2012-12-07" 59.355 59.355 58.465 48.284866
"2012-12-10" 58.599998 58.93 58.285 48.441231
"2012-12-11" 59.16 59.75 58.985001 48.852676
"2012-12-12" 59.599998 60.685001 59.360001 49.679707
"2012-12-13" 60.154999 60.325001 59.174999 48.762177
"2012-12-14" 59.189999 59.900002 59.02 48.95966
"2012-12-17" 59.695 60.490002 59.389999 49.774361
"2012-12-18" 60.540001 62.125 60.5 50.988163
"2012-12-19" 61.799999 62.009998 61.220001 50.383312
"2012-12-20" 61.395 62.25 61.200001 51.173325
"2012-12-21" 61.209999 62.080002 60.939999 50.844151
"2012-12-24" 61.555 62.099998 61.34 50.514988
"2012-12-26" 61.57 61.575001 60.610001 50.013012
"2012-12-27" 60.990002 61.075001 59.779999 50.045914
"2012-12-28" 60.279999 60.465 59.25 48.803322
"2012-12-31" 59.055 60.490002 59 49.700298
"2013-01-02" 61.700001 61.84 60.720001 50.889412
"2013-01-03" 61.744999 62.744999 61.235001 51.095142
"2013-01-04" 62.115002 63.125 61.974998 51.761711
"2013-01-07" 62.605 63.049999 62.075001 51.839897
"2013-01-08" 62.875 62.994999 61.59 51.078693
"2013-01-09" 62.18 62.584999 61.845001 51.280296
"2013-01-10" 62.700001 63.064999 62.279999 51.885147
"2013-01-11" 63.029999 63.224998 62.5 51.691772
"2013-01-14" 62.825001 63.139999 62.115002 51.292645
"2013-01-15" 62.005001 62.75 61.875 51.54398
"2013-01-16" 62.415001 62.75 62.195 51.655224
"2013-01-17" 63 63.275002 62.445 51.927155
"2013-01-18" 63.169998 63.540001 62.610001 52.240299
"2013-01-22" 63.474998 63.669998 62.450001 52.1208
"2013-01-23" 63.080002 63.294998 62.25 51.399757
"2013-01-24" 62.450001 63.200001 62.395 51.498646
"2013-01-25" 62.685001 63.27 62.27 51.614017
"2013-01-28" 62.904999 62.904999 61.775002 51.173157
"2013-01-29" 62.330002 63.595001 62.005001 52.302094
"2013-01-30" 63.584999 64.714996 63.084999 52.046638
"2013-01-31" 62.75 62.985001 62.25 51.494534
"2013-02-01" 63.32 64.394997 62.494999 52.986057
"2013-02-04" 63.834999 63.895 63.299999 52.446304
"2013-02-05" 64.324997 64.635002 63.950001 53.076702
"2013-02-06" 63.865002 64.959999 63.764999 53.426922
"2013-02-07" 64.860001 65.055 64.025002 53.468128
"2013-02-08" 65.07 66.695 65.07 54.914322
"2013-02-11" 66.644997 66.839996 66.059998 54.939034
"2013-02-12" 66.75 67.345001 66.400002 55.252171
"2013-02-13" 67.050003 67.199997 66.349998 55.046173
"2013-02-14" 69.035004 69.099998 66.540001 54.934925
"2013-02-15" 66.629997 67 63.889999 53.229153
"2013-02-19" 65.279999 65.790001 65.019997 54.139729
"2013-02-20" 65.714996 65.870003 63.66 52.487507
"2013-02-21" 63.244999 63.529999 61.775002 51.107239
