"Index" "Open" "High" "Low" "Price"
"2012-09-17" 194.759995 195.279999 193.220001 154.607712
"2012-09-18" 192.550003 198.759995 190.809998 157.35817
"2012-09-19" 197.520004 199.710007 197.130005 157.310501
"2012-09-20" 196.460007 197.220001 194.580002 155.187973
"2012-09-21" 197.330002 201.279999 196.350006 158.574417
"2012-09-24" 201.850006 201.850006 199.5 159.027542
"2012-09-25" 200.169998 202 197.270004 157.238937
"2012-09-26" 198.149994 200.5 197.779999 158.622116
"2012-09-27" 199.759995 204.479996 199.570007 162.485519
"2012-09-28" 203.479996 207.660004 203.179993 163.79715
"2012-10-01" 206.429993 207.770004 203.050003 161.555435
"2012-10-02" 203.699997 204.889999 200.199997 160.21199
"2012-10-03" 202.669998 203.089996 200 160.323303
"2012-10-04" 201.839996 204.330002 200.649994 160.816147
"2012-10-05" 203.149994 204.610001 199 158.804962
"2012-10-08" 200 203.889999 198.270004 159.735016
"2012-10-09" 200.300003 200.300003 196.509995 157.453568
"2012-10-10" 198.119995 199.119995 190.759995 152.199005
"2012-10-11" 193.490005 194 187.210007 149.981094
"2012-10-12" 188.279999 190.820007 187.940002 151.189438
"2012-10-15" 191.160004 194.830002 190.190002 152.310303
"2012-10-16" 192.179993 193.960007 191.330002 153.34375
"2012-10-17" 192.5 192.899994 189.320007 152.405701
"2012-10-18" 191.119995 192.320007 185.770004 148.073273
"2012-10-19" 186.270004 187.470001 181.220001 145.346619
"2012-10-22" 182.520004 185.440002 181.830002 146.173416
"2012-10-23" 181.320007 187.289993 180.970001 147.683792
"2012-10-24" 186.100006 187.809998 184 147.159103
"2012-10-25" 189.75 191.990005 176.720001 146.109802
"2012-10-26" 184.570007 187.669998 178.710007 144.543747
"2012-10-31" 181.669998 182 178.520004 143.55806
"2012-11-01" 179.960007 187.160004 179.729996 145.934906
"2012-11-02" 191.839996 196.979996 189.880005 151.038452
"2012-11-05" 189.210007 190 179.690002 145.632782
"2012-11-06" 184.399994 185 180.240005 143.891907
"2012-11-07" 179.320007 180.309998 174.25 139.448212
"2012-11-08" 175.559998 176.389999 172.009995 137.444962
"2012-11-09" 172.190002 177.539993 171.75 139.352783
"2012-11-12" 175.020004 178.080002 173.899994 139.805908
"2012-11-13" 174.399994 178.830002 174.399994 139.750229
"2012-11-14" 176.020004 177.630005 173 138.064987
"2012-11-15" 173.559998 175.850006 170.710007 139.249451
