"Index" "Open" "High" "Low" "Price"
"2012-09-17" 60.119999 60.599998 60.119999 37.02792
"2012-09-18" 60.029999 60.549999 59.439999 36.739033
"2012-09-19" 59.279999 59.779999 58.869999 36.539959
"2012-09-20" 58.860001 58.880001 57.459999 35.57563
"2012-09-21" 57.689999 57.689999 57.25 35.501438
"2012-09-24" 56.939999 58.119999 56.759998 35.693077
"2012-09-25" 57.810001 57.93 56.959999 35.229439
"2012-09-26" 56.869999 57.830002 56.869999 35.470543
"2012-09-27" 57.48 58.610001 57.27 35.693077
"2012-09-28" 57.450001 57.790001 57.27 35.563259
"2012-10-01" 57.630001 57.799999 56.5 35.365444
"2012-10-02" 57.419998 57.549999 56.689999 35.563259
"2012-10-03" 57.509998 57.970001 56.98 35.315998
"2012-10-04" 57.369999 57.5 56.380001 34.914185
"2012-10-05" 56.73 57.27 56.509998 35.161461
"2012-10-08" 56.84 56.889999 56.220001 34.864735
"2012-10-09" 56.450001 56.66 55.830002 34.518559
"2012-10-10" 55.93 56.389999 55.66 34.827637
"2012-10-11" 56.619999 56.799999 56.119999 34.734921
"2012-10-12" 56.259998 56.93 55.880001 34.629822
"2012-10-15" 56.130001 56.299999 55.759998 34.747276
"2012-10-16" 56.369999 56.639999 56.209999 34.846191
"2012-10-17" 57.080002 57.080002 56.130001 34.858555
"2012-10-18" 56.380001 57.52 56.299999 35.532352
"2012-10-19" 57.5 58.119999 56.950001 35.315998
"2012-10-22" 56.290001 56.790001 55.939999 34.809097
"2012-10-23" 55.849998 56.52 55.639999 34.79673
"2012-10-24" 56.48 56.639999 55.799999 34.691639
"2012-10-25" 56.93 57.049999 55.810001 34.877098
"2012-10-26" 56.419998 56.490002 55.57 34.65456
"2012-10-31" 56.799999 57.529999 56.16 35.48909
"2012-11-01" 57.240002 58.150002 57.07 35.946533
"2012-11-02" 58.48 59.610001 58.220001 36.533791
"2012-11-05" 58.82 58.849998 58.139999 36.199982
"2012-11-06" 58.560001 58.849998 57.950001 36.218525
"2012-11-07" 58.459999 58.599998 57.939999 35.853798
"2012-11-08" 57.82 58.150002 57.130001 35.315998
"2012-11-09" 56.939999 57.330002 56.619999 35.025463
"2012-11-12" 56.810001 56.830002 56.049999 34.802921
"2012-11-13" 56.009998 56.349998 55.880001 34.592739
"2012-11-14" 56.139999 56.139999 54.310001 33.696388
"2012-11-15" 54.349998 54.700001 53.990002 33.554203
"2012-11-16" 54.450001 54.700001 53.700001 33.572765
"2012-11-19" 54.779999 55.240002 54.52 33.813847
"2012-11-20" 54.68 54.68 54.07 33.752026
"2012-11-21" 54.349998 54.720001 53.93 33.418213
"2012-11-23" 54.439999 54.52 54.009998 33.665485
"2012-11-26" 54.099998 54.990002 53.84 33.646942
"2012-11-27" 53.5 56.68 53.25 34.153839
"2012-11-28" 54.759998 55.310001 54.200001 34.110573
"2012-11-29" 55.790001 56.099998 55.119999 34.462921
"2012-11-30" 55.939999 55.98 55.07 34.314556
"2012-12-03" 55.759998 55.869999 55.049999 34.129108
"2012-12-04" 55.34 55.5 54.970001 33.986931
"2012-12-05" 55.310001 55.310001 54.34 33.646942
"2012-12-06" 54.669998 55.560001 54.43 34.34547
"2012-12-07" 55.48 55.73 54.91 34.067295
"2012-12-10" 54.91 55.48 54.900002 34.054924
"2012-12-11" 55.25 55.34 54.77 33.99931
"2012-12-12" 55.119999 55.630001 54.790001 34.22802
"2012-12-13" 55.259998 55.700001 54.900002 34.079659
"2012-12-14" 55.16 55.580002 55.130001 34.302185
"2012-12-17" 55.709999 55.91 55.16 34.450569
"2012-12-18" 55.77 56.240002 55.689999 34.759636
"2012-12-19" 55.549999 55.740002 55.360001 34.713879
"2012-12-20" 55.360001 56.5 55.189999 35.409546
"2012-12-21" 55.639999 56.970001 55.639999 35.478497
"2012-12-24" 56.59 56.900002 56.259998 35.522369
"2012-12-26" 56.779999 56.810001 55.84 35.127529
"2012-12-27" 56.110001 56.529999 55.849998 35.365669
"2012-12-28" 56.189999 56.709999 55.880001 35.033516
"2012-12-31" 55.860001 56.669998 55.75 35.51609
"2013-01-02" 57.540001 57.630001 56.669998 35.729168
"2013-01-03" 57.080002 57.48 56.779999 35.879585
"2013-01-04" 57.279999 58.169998 56.959999 35.867054
"2013-01-07" 57.27 57.75 56.869999 36.136547
"2013-01-08" 57.91 58.200001 57.630001 36.26815
"2013-01-09" 58.02 58.200001 57.73 36.349625
"2013-01-10" 58.209999 58.369999 57.900002 36.581505
"2013-01-11" 58.450001 58.450001 57.709999 36.443638
"2013-01-14" 58.150002 58.610001 58.080002 36.61285
"2013-01-15" 58.32 58.799999 58.119999 36.813393
