"Index" "Open" "High" "Low" "Price"
"2012-09-17" 37.669998 37.810001 37.099998 27.415697
"2012-09-18" 37.25 37.279999 36.82 27.165663
"2012-09-19" 36.84 37.09 36.68 27.217136
"2012-09-20" 36.889999 37.32 36.810001 27.334799
"2012-09-21" 37.080002 37.540001 36.790001 27.526005
"2012-09-24" 37.419998 38.09 37.34 28.004025
"2012-09-25" 38.029999 38.330002 37.959999 27.974607
"2012-09-26" 38.150002 38.540001 38.049999 28.018721
"2012-09-27" 38.220001 38.279999 37.779999 27.886343
"2012-09-28" 37.919998 38.32 37.799999 28.114326
"2012-10-01" 38.400002 38.709999 38.240002 28.423195
"2012-10-02" 38.66 38.900002 38.580002 28.511448
"2012-10-03" 38.740002 38.91 38.669998 28.562914
"2012-10-04" 38.869999 39.07 38.709999 28.533495
"2012-10-05" 39.16 39.490002 38.93 28.783541
"2012-10-08" 39.130001 39.220001 38.91 28.754126
"2012-10-09" 39.009998 39.490002 38.75 28.996809
"2012-10-10" 39.459999 39.48 38.939999 28.710003
"2012-10-11" 39.220001 39.23 38.810001 28.584984
"2012-10-12" 38.869999 38.98 38.48 28.44525
"2012-10-15" 38.759998 39.139999 38.540001 28.754126
"2012-10-16" 39.240002 39.490002 38.93 28.754126
"2012-10-17" 39.23 39.779999 39.09 29.048286
"2012-10-18" 39.5 39.830002 39.41 29.2689
"2012-10-19" 39.900002 40.049999 39.700001 29.202709
"2012-10-22" 39.619999 39.849998 39.290001 29.092411
"2012-10-23" 39.299999 39.380001 38.990002 28.717354
"2012-10-24" 39.150002 39.189999 38.799999 28.555573
"2012-10-25" 39.02 39.290001 38.66 28.687933
"2012-10-26" 39.080002 39.150002 38.66 28.651175
"2012-10-31" 39.860001 40.380001 38.720001 28.901205
"2012-11-01" 39.16 39.400002 38.959999 28.857084
"2012-11-02" 39.52 39.669998 39.299999 28.982098
"2012-11-05" 39.32 39.32 38.75 28.702641
"2012-11-06" 39.060001 39.400002 38.970001 28.812952
"2012-11-07" 39 39 38.189999 28.217281
"2012-11-08" 38.290001 38.830002 38.220001 28.106977
"2012-11-09" 38.09 38.389999 38.049999 28.048141
"2012-11-12" 38.200001 38.209999 37.830002 27.915768
"2012-11-13" 37.830002 38.439999 37.75 28.114326
"2012-11-14" 38.290001 38.389999 37.689999 27.937828
"2012-11-15" 38 38.34 37.639999 27.842228
"2012-11-16" 37.860001 38.369999 37.639999 28.180515
"2012-11-19" 38.5 38.57 37.950001 28.070202
"2012-11-20" 38.220001 38.529999 37.689999 28.011366
"2012-11-21" 38.110001 38.18 37.549999 27.864292
"2012-11-23" 37.93 38.16 37.529999 27.746624
"2012-11-26" 37.709999 38.290001 37.709999 28.026079
"2012-11-27" 38.18 38.650002 38.119999 28.231991
"2012-11-28" 38.07 38.169998 37.700001 28.263897
"2012-11-29" 38.16 38.27 37.810001 28.315842
"2012-11-30" 38.220001 38.77 38.200001 28.746216
"2012-12-03" 38.740002 38.790001 38.139999 28.612644
