"Index" "Open" "High" "Low" "Price"
"2012-09-17" 47.25 47.41 46.939999 35.876011
"2012-09-18" 47.540001 47.959999 47.130001 36.172062
"2012-09-19" 47.790001 49.18 47.259998 36.832512
"2012-09-20" 48.209999 48.209999 47.220001 36.414993
"2012-09-21" 48.130001 48.419998 47.599998 36.536438
"2012-09-24" 47.720001 48.009998 47.330002 36.232803
"2012-09-25" 47.630001 47.740002 46.169998 35.09412
"2012-09-26" 46.23 46.709999 45.759998 35.132069
"2012-09-27" 46.73 47.139999 46.470001 35.754562
"2012-09-28" 46.73 47.360001 46.400002 35.883591
"2012-10-01" 47.080002 47.990002 46.849998 35.784924
"2012-10-02" 47.240002 47.419998 46.330002 35.405354
"2012-10-03" 46.939999 47.139999 46.349998 35.405354
"2012-10-04" 46.66 46.880001 46.220001 35.711498
"2012-10-05" 47.119999 47.720001 46.98 36.186028
"2012-10-08" 46.990002 47.119999 46.509998 35.826302
"2012-10-09" 46.799999 46.869999 46.23 35.428329
"2012-10-10" 45.580002 46.119999 44.68 34.333862
"2012-10-11" 45.169998 45.450001 44.360001 34.173134
"2012-10-12" 44.66 45.349998 44.470001 34.418045
"2012-10-15" 44.98 45.299999 44.360001 34.594078
"2012-10-16" 45.509998 46.029999 45.349998 35.206371
"2012-10-17" 46.110001 46.77 45.700001 35.772728
"2012-10-18" 46.52 46.630001 46.009998 35.596684
"2012-10-19" 46.07 46.220001 45.299999 35.060947
"2012-10-22" 46.849998 46.990002 45.740002 35.282894
"2012-10-23" 45.509998 45.849998 44.849998 34.861954
"2012-10-24" 46.040001 46.169998 44.91 34.433357
"2012-10-25" 45.66 46.169998 44.709999 34.762463
"2012-10-26" 45.459999 45.75 44.66 34.532856
"2012-10-31" 44.959999 47.98 44.959999 36.140095
"2012-11-01" 47.740002 49.790001 47.740002 37.953995
"2012-11-02" 49.880001 50.330002 49.040001 37.655506
"2012-11-05" 48.98 50.610001 48.84 38.642807
"2012-11-06" 50.439999 50.830002 50.299999 38.58923
"2012-11-07" 49.439999 50.110001 48.880001 37.923378
"2012-11-08" 49.310001 49.580002 48.700001 37.41058
"2012-11-09" 48.400002 49.830002 48.099998 37.540703
"2012-11-12" 49.07 49.880001 48.93 37.923378
"2012-11-13" 48.93 49.889999 48.130001 37.862152
"2012-11-14" 48.900002 49.75 48.32 37.081497
"2012-11-15" 48.299999 49 47.93 36.936073
"2012-11-16" 48.790001 49.150002 48.240002 37.456509
"2012-11-19" 49.52 50.299999 49.5 38.459114
"2012-11-20" 50.080002 50.939999 49.810001 38.818848
"2012-11-21" 50.790001 51.040001 50.209999 38.826508
"2012-11-23" 50.77 51.66 50.619999 39.477055
"2012-11-26" 52.32 52.68 51.049999 39.163242
"2012-11-27" 51.380001 51.849998 50.970001 39.071411
"2012-11-28" 50.869999 52.169998 50.5 39.821457
"2012-11-29" 52.110001 52.43 51.639999 39.790852
"2012-11-30" 51.93 52.25 51.639999 39.920948
"2012-12-03" 51.48 52.189999 51.119999 39.147949
"2012-12-04" 51.189999 51.68 50.900002 39.247444
"2012-12-05" 51.220001 51.799999 50.75 39.17091
"2012-12-06" 51.130001 51.52 50.740002 39.339275
"2012-12-07" 52.119999 52.509998 51.720001 40.158211
"2012-12-10" 52.209999 52.419998 51.490002 40.058723
"2012-12-11" 52.48 52.75 52.169998 40.14291
"2012-12-12" 52.580002 52.810001 51.91 39.829109
"2012-12-13" 52.040001 52.360001 51.540001 39.553581
"2012-12-14" 51.529999 52.759998 51.529999 40.234749
"2012-12-17" 52.740002 52.970001 52.139999 40.14291
"2012-12-18" 52.529999 54.09 52.529999 41.237366
"2012-12-19" 54.25 54.720001 54.119999 41.421062
"2012-12-20" 54.23 54.700001 54.029999 41.834347
"2012-12-21" 53.939999 54.75 53.759998 41.206757
