"Index" "Open" "High" "Low" "Price"
"2012-09-17" 68.25 68.769997 68.040001 44.657822
"2012-09-18" 68.230003 68.5 67.949997 44.566322
"2012-09-19" 68.279999 68.650002 68.169998 44.814686
"2012-09-20" 68.290001 68.919998 68.290001 44.971527
"2012-09-21" 69.029999 69.029999 67.959999 44.73624
"2012-09-24" 68.480003 69.580002 68.300003 45.278721
"2012-09-25" 69.349998 69.940002 69.150002 45.200275
"2012-09-26" 69.199997 69.849998 69.199997 45.344063
"2012-09-27" 69.449997 69.599998 68.959999 45.193733
"2012-09-28" 69 69.459999 68.699997 45.291779
"2012-10-01" 69.589996 69.839996 69.110001 45.246037
"2012-10-02" 69.589996 69.690002 69.019997 45.357132
"2012-10-03" 69.5 70.230003 69.400002 45.605499
"2012-10-04" 69.989998 70.949997 69.93 46.213291
"2012-10-05" 70.900002 71 70.309998 46.062988
"2012-10-08" 70.410004 70.75 70.089996 46.154488
"2012-10-09" 70.459999 70.849998 70.290001 46.200233
"2012-10-10" 70.650002 70.760002 70.089996 45.938801
"2012-10-11" 70.669998 71.440002 70.18 46.161015
"2012-10-12" 70.510002 70.769997 69.639999 45.716595
"2012-10-15" 69.5 70.110001 69.279999 45.75581
"2012-10-16" 70.25 70.699997 70.019997 46.043377
"2012-10-17" 70.68 71.32 70.120003 46.520473
"2012-10-18" 71.160004 71.809998 70.940002 46.89954
"2012-10-19" 71.760002 71.900002 71.07 46.553146
"2012-10-22" 70.709999 71.18 70.459999 46.487782
"2012-10-23" 70.629997 70.720001 69.970001 45.951878
"2012-10-24" 70.309998 70.410004 69.860001 45.710068
"2012-10-25" 70.379997 70.550003 69.800003 46.023758
"2012-10-26" 70.349998 72.110001 69.910004 47.12175
"2012-10-31" 72.470001 72.980003 72 47.435471
"2012-11-01" 72.790001 72.849998 72.150002 47.285133
"2012-11-02" 72.800003 72.839996 71.099998 46.553146
"2012-11-05" 68.970001 70.220001 65.879997 44.376785
"2012-11-06" 67.489998 67.489998 65.690002 44.264317
"2012-11-07" 66.779999 66.779999 65.18 43.179207
"2012-11-08" 65.300003 65.989998 64.919998 43.007175
"2012-11-09" 64.849998 65.160004 64.599998 42.941017
"2012-11-12" 65.010002 65.129997 64.169998 42.477867
"2012-11-13" 64.110001 65.080002 63.869999 42.537415
"2012-11-14" 64.309998 64.410004 63.23 41.915447
"2012-11-15" 63.349998 63.709999 62.529999 41.683884
"2012-11-16" 63.099998 63.48 62.32 41.591255
"2012-11-19" 63.150002 63.389999 62.279999 41.386143
"2012-11-20" 62.619999 62.73 61.950001 41.353054
"2012-11-21" 62.5 62.790001 61.73 41.207493
"2012-11-23" 62.349998 62.490002 61.549999 41.048691
"2012-11-26" 61.779999 62.82 61.560001 41.353054
"2012-11-27" 62.650002 62.889999 62.209999 41.174416
"2012-11-28" 62.310001 63.459999 62.200001 41.975018
"2012-11-29" 63.610001 63.619999 62.939999 42.027931
"2012-11-30" 63.41 63.740002 63.209999 42.041172
"2012-12-03" 63.549999 63.66 62.540001 41.941925
