"Index" "Open" "High" "Low" "Price"
"2012-09-17" 55.630001 55.790001 54.41 50.770779
"2012-09-18" 55.09 55.5 54.450001 50.604576
"2012-09-19" 54.810001 56.369999 54.709999 51.851006
"2012-09-20" 55.889999 57.18 55.700001 52.709633
"2012-09-21" 58.98 60.290001 58.93 54.814697
"2012-09-24" 58.759998 59 57.57 54.066856
"2012-09-25" 58 59 57.950001 53.679077
"2012-09-26" 58.200001 58.48 57.029999 53.226673
"2012-09-27" 57.82 58.619999 57.509998 53.752941
"2012-09-28" 58.099998 58.59 57.48 53.402107
"2012-10-01" 57.869999 58.299999 56.759998 52.571148
"2012-10-02" 57.349998 57.77 56.169998 52.321865
"2012-10-03" 56.990002 58.490002 56.990002 53.872959
"2012-10-04" 58.619999 59.419998 58.09 54.029919
"2012-10-05" 59.470001 59.900002 57.450001 53.180504
"2012-10-08" 57.799999 58.060001 56.349998 52.441895
"2012-10-09" 56.630001 56.77 55.02 51.223171
"2012-10-10" 55.470001 56.139999 55.119999 51.038521
"2012-10-11" 55.75 55.75 53.330002 50.087543
"2012-10-12" 53.580002 54.540001 53.310001 50.087543
"2012-10-15" 54.490002 54.57 53.669998 50.309132
"2012-10-16" 54.610001 55.02 54.099998 50.466076
"2012-10-17" 54.540001 55.23 54.09 50.161407
"2012-10-18" 54.200001 55.720001 53.610001 50.115246
"2012-10-19" 54.150002 54.150002 51.41 48.102505
"2012-10-22" 52.23 53.41 51.880001 48.342567
"2012-10-23" 52.049999 54.220001 51.619999 49.570515
"2012-10-24" 54.43 54.43 52.25 48.259468
"2012-10-25" 52.799999 53.009998 50.709999 47.317722
"2012-10-26" 58.950001 60 56.02 54.528488
"2012-10-31" 58.310001 60.040001 57.880001 54.611572
"2012-11-01" 59.110001 59.889999 58.959999 55.100922
"2012-11-02" 60.759998 61.380001 59.060001 54.537724
"2012-11-05" 58.82 59.91 58.299999 55.276329
"2012-11-06" 59.799999 60.990002 59.799999 55.913387
"2012-11-07" 59.84 60 58.139999 54.380753
"2012-11-08" 59.150002 59.41 57.75 53.725231
"2012-11-09" 56.16 58.610001 56 53.309772
"2012-11-12" 57.91 58.580002 57.220001 53.171272
"2012-11-13" 57.389999 57.939999 57.049999 52.801971
"2012-11-14" 57.490002 57.75 55.290001 51.330627
"2012-11-15" 55.630001 55.950001 54.959999 51.710022
"2012-11-16" 55.779999 58.32 55.619999 53.884666
"2012-11-19" 59.040001 59.290001 58.029999 53.949425
"2012-11-20" 59.07 60.16 58.349998 54.86557
"2012-11-21" 59.27 60.450001 58.689999 55.541084
"2012-11-23" 60.16 60.650002 59.509998 56.068542
"2012-11-26" 60.34 61.48 60.110001 56.392418
"2012-11-27" 60.98 61.580002 60.099998 56.290627
"2012-11-28" 60.860001 61.77 60 57.123474
"2012-11-29" 61.84 62.799999 61.029999 56.993916
"2012-11-30" 61.509998 62.209999 61 57.243774
"2012-12-03" 61.93 61.950001 60.650002 56.244366
"2012-12-04" 60.509998 60.599998 59.52 55.448547
"2012-12-05" 60.119999 60.619999 59.349998 55.605862
"2012-12-06" 59.939999 60.259998 59.32 55.226463
"2012-12-07" 59.889999 60.82 59.75 55.41153
"2012-12-10" 59.810001 60.110001 57.34 53.403458
"2012-12-11" 59.389999 60.349998 58.830002 55.522568
"2012-12-12" 59.650002 60.709999 58.990002 56.05003
"2012-12-13" 60.110001 60.470001 58.400002 55.387333
"2012-12-14" 59.23 59.380001 58.549999 55.060661
"2012-12-17" 59.290001 60.720001 59 56.6194
"2012-12-18" 60.540001 61.970001 60 57.347439
"2012-12-19" 61.700001 61.91 60.73 56.731411
"2012-12-20" 60.889999 61.200001 59.959999 56.852753
"2012-12-21" 60.049999 60.599998 59.209999 55.620674
"2012-12-24" 59.16 59.900002 59.130001 55.620674
"2012-12-26" 59.75 59.799999 57.84 54.071251
"2012-12-27" 57.98 60.73 57.98 56.283379
"2012-12-28" 59.709999 60.299999 59.330002 55.405994
"2012-12-31" 59.27 61.709999 58.900002 57.347439
"2013-01-02" 62.610001 63.25 62.150002 59.03688
"2013-01-03" 63.110001 64.510002 62.689999 58.644859
"2013-01-04" 62.830002 64.690002 62.610001 60.166279
"2013-01-07" 63.900002 64.660004 63.549999 60.119629
"2013-01-08" 64.43 64.769997 63.900002 60.436962
"2013-01-09" 64.790001 64.809998 63.540001 59.447567
"2013-01-10" 64.370003 64.489998 62.25 58.588856
"2013-01-11" 62.709999 62.98 62.25 58.439514
"2013-01-14" 62.610001 63.349998 62 58.691544
"2013-01-15" 62.580002 64.080002 62.150002 59.288895
"2013-01-16" 64.199997 64.199997 62.580002 58.514179
"2013-01-17" 62.84 63.330002 62.18 58.672874
"2013-01-18" 63.119999 63.119999 61.990002 58.094166
"2013-01-22" 62.5 62.810001 61.220001 57.860817
"2013-01-23" 62.16 62.740002 61.73 58.439514
"2013-01-24" 63.389999 64.25 62.900002 59.158226
"2013-01-25" 63.41 66.860001 63.41 62.061054
"2013-01-28" 66.589996 66.839996 65.910004 62.219738
"2013-01-29" 66.68 66.769997 65.339996 62.135735
"2013-01-30" 66.699997 66.839996 65.440002 61.28635
"2013-01-31" 65.32 65.5 64.400002 60.90366
"2013-02-01" 65.949997 68.089996 65.440002 62.789108
"2013-02-04" 66.489998 66.489998 64.82 60.819656
"2013-02-05" 65.419998 68.089996 65.300003 63.003792
"2013-02-06" 66.410004 67.940002 65.010002 61.323685
"2013-02-07" 65.68 66.18 63.110001 61.043682
"2013-02-08" 65.5 66.349998 65.160004 61.277012
"2013-02-11" 65.239998 65.489998 64.370003 60.483639
"2013-02-12" 64.910004 65.919998 64.790001 61.183678
"2013-02-13" 65.699997 65.830002 64.849998 61.109005
"2013-02-14" 64.980003 65.43 64.510002 60.828999
"2013-02-15" 65.25 65.790001 64.230003 60.278294
"2013-02-19" 64.900002 65.129997 64.059998 60.128948
"2013-02-20" 64.519997 64.949997 62.82 58.906212
"2013-02-21" 63.27 63.900002 62.689999 59.512909
"2013-02-22" 63.860001 64.639999 63.790001 60.194283
"2013-02-25" 64.660004 64.919998 62.029999 58.000816
"2013-02-26" 62.279999 63.119999 61.490002 58.635521
"2013-02-27" 63.41 64.919998 62.110001 59.90493
"2013-02-28" 63.93 64.540001 63.189999 59.643593
"2013-03-01" 63.5 64.150002 62.860001 59.494244
"2013-03-04" 63.200001 64.510002 63.119999 60.128948
"2013-03-05" 64.989998 66.220001 64.82 61.519707
"2013-03-06" 65.889999 66.099998 64.589996 60.623642
"2013-03-07" 64.800003 65.410004 64.199997 60.15601
"2013-03-08" 64.809998 65 63.709999 60.530121
"2013-03-11" 64.419998 65.050003 63.93 60.773281
"2013-03-12" 64.75 66 64.510002 60.763924
"2013-03-13" 65.139999 66.099998 64.349998 61.493435
"2013-03-14" 65.75 66.5 65.660004 62.054592
"2013-03-15" 66.089996 66.830002 65.650002 61.933029
"2013-03-18" 65.32 65.610001 64.32 60.268257
"2013-03-19" 64.779999 64.860001 61.43 58.594135
"2013-03-20" 63.349998 63.509998 62.790001 59.183338
"2013-03-21" 62.790001 63.610001 61.630001 57.920742
"2013-03-22" 62.389999 63.060001 61.779999 58.865349
"2013-03-25" 63.189999 63.650002 61.959999 58.341621
"2013-03-26" 62.779999 63.450001 61.880001 58.070377
"2013-03-27" 61.470001 61.68 60.759998 56.95742
"2013-03-28" 60.919998 60.919998 59.5 56.134388
"2013-04-01" 60.490002 60.91 59.82 56.583321
"2013-04-02" 61.130001 62.369999 60.610001 57.864624
"2013-04-03" 61.82 61.869999 60.68 56.863888
"2013-04-04" 60.740002 61.75 60.07 57.219292
"2013-04-05" 60.029999 61.639999 59.709999 57.630806
"2013-04-08" 61.470001 62.349998 61.150002 58.2855
"2013-04-09" 62.27 62.68 61.48 58.388382
"2013-04-10" 62.869999 64.349998 62.709999 60.184074
"2013-04-11" 64.349998 65.389999 64.059998 60.801338
"2013-04-12" 64.699997 65.150002 63.970001 60.258896
"2013-04-15" 63.889999 64.309998 61.299999 57.481167
"2013-04-16" 61.849998 63.360001 61.82 59.043053
"2013-04-17" 62.299999 62.880001 61.099998 57.771103
"2013-04-18" 61.959999 62.43 60.25 56.583321
"2013-04-19" 60.459999 62.34 60.16 57.677574
"2013-04-22" 61.77 63.650002 61.380001 59.23946
"2013-04-23" 63.75 64.400002 63.259998 60.043777
