"Index" "Open" "High" "Low" "Price"
"2012-09-17" 34.669998 35.049999 34.389999 24.519062
"2012-09-18" 34.369999 34.369999 33.950001 24.198778
"2012-09-19" 34.02 34.16 33.849998 24.099142
"2012-09-20" 33.709999 33.889999 33.23 23.778862
"2012-09-21" 33.630001 33.650002 33.279999 23.693457
"2012-09-24" 33.110001 33.490002 33.009998 23.679226
"2012-09-25" 33.41 33.59 33.16 23.600929
"2012-09-26" 33.220001 33.450001 33.119999 23.650753
"2012-09-27" 33.360001 33.529999 33.23 23.743275
"2012-09-28" 33.18 33.389999 33.110001 23.664986
"2012-10-01" 33.299999 33.330002 32.59 23.437235
"2012-10-02" 32.98 33.060001 32.689999 23.494173
"2012-10-03" 33.040001 33.540001 33.02 23.686335
"2012-10-04" 33.459999 33.759998 33.110001 23.800217
"2012-10-05" 33.5 33.950001 33.369999 24.056438
"2012-10-08" 33.669998 33.91 33.52 24.127611
"2012-10-09" 33.889999 34.060001 33.639999 24.198778
"2012-10-10" 33.950001 34.139999 33.810001 24.291311
"2012-10-11" 34.25 34.349998 33.950001 24.163198
"2012-10-12" 33.970001 34.130001 33.84 24.156075
"2012-10-15" 33.950001 34.330002 33.830002 24.419426
"2012-10-16" 34.349998 34.57 34.099998 24.334013
"2012-10-17" 34.23 34.34 33.709999 24.127611
"2012-10-18" 33.91 33.950001 33.630001 23.963907
"2012-10-19" 33.630001 34.040001 33.389999 23.800217
"2012-10-22" 33.880001 33.900002 33.07 23.693457
"2012-10-23" 33.18 33.34 32.740002 23.657873
"2012-10-24" 33.32 33.470001 33.029999 23.729046
"2012-10-25" 33.450001 33.619999 32.889999 23.572458
"2012-10-26" 33.139999 33.27 32.700001 23.558228
"2012-10-31" 34.150002 34.490002 33.299999 24.547537
"2012-11-01" 34.5 34.849998 34.310001 24.71834
"2012-11-02" 34.880001 35.139999 34.700001 24.853573
"2012-11-05" 34.889999 35.07 34.470001 24.803755
"2012-11-06" 34.709999 35.349998 34.630001 24.832222
"2012-11-07" 34.689999 35.389999 34.599998 25.180967
"2012-11-08" 35.299999 35.700001 35.200001 25.059967
"2012-11-09" 35.529999 35.540001 35.07 25.116913
"2012-11-12" 35.290001 35.34 34.810001 25.081322
"2012-11-13" 35.23 35.5 34.869999 25.145382
"2012-11-14" 35.389999 35.5 34.5 24.682762
"2012-11-15" 34.700001 35.09 34.27 24.632942
"2012-11-16" 34.580002 34.869999 33.93 24.426537
"2012-11-19" 34.709999 35.27 34.470001 25.081322
"2012-11-20" 35.259998 35.639999 35.119999 25.366018
"2012-11-21" 35.700001 35.900002 35.529999 25.522596
"2012-11-23" 36 36.150002 35.669998 25.615122
"2012-11-26" 35.990002 36.509998 35.650002 25.593777
"2012-11-27" 35.75 35.959999 35.060001 25.301958
"2012-11-28" 35.529999 35.560001 35.040001 25.202322
"2012-11-29" 35.549999 35.900002 34.939999 25.245024
"2012-11-30" 35.450001 35.75 35.080002 25.017275
"2012-12-03" 35.279999 35.880001 35.189999 25.487015
"2012-12-04" 35.810001 35.950001 35.529999 25.358906
"2012-12-05" 35.639999 35.700001 35.099998 25.003044
"2012-12-06" 35.029999 35.25 34.869999 25.232428
"2012-12-07" 35.220001 35.299999 35.049999 25.25392
"2012-12-10" 35.27 35.68 35.169998 25.468983
"2012-12-11" 35.599998 35.639999 35.150002 25.239584
"2012-12-12" 35.25 35.5 35 25.175076
"2012-12-13" 35.119999 35.18 34.91 25.117725
"2012-12-14" 34.93 35.220001 34.810001 25.189413
"2012-12-17" 35.119999 35.48 35 25.433138
"2012-12-18" 35.529999 35.779999 35.470001 25.641022
"2012-12-19" 35.709999 36.16 35.610001 25.891903
"2012-12-20" 36.130001 36.560001 36.130001 26.049606
"2012-12-21" 36.099998 36.5 35.900002 25.827385
"2012-12-24" 36.02 36.259998 36.009998 25.877567
"2012-12-26" 36.150002 36.259998 35.880001 25.83457
"2012-12-27" 36.07 36.25 35.73 25.91342
"2012-12-28" 35.919998 36.110001 35.77 25.684029
"2012-12-31" 35.849998 36.400002 35.779999 26.085449
"2013-01-02" 36.810001 37.139999 36.639999 26.415192
"2013-01-03" 36.880001 37.419998 36.880001 26.630243
"2013-01-04" 37.150002 37.360001 36.959999 26.759268
"2013-01-07" 36.950001 37.599998 36.950001 26.80945
"2013-01-08" 37.310001 37.450001 37 26.630243
"2013-01-09" 37.290001 37.810001 37.119999 27.103357
"2013-01-10" 37.869999 37.970001 37.700001 27.09618
"2013-01-11" 37.810001 37.82 37.450001 26.981482
"2013-01-14" 37.599998 37.669998 37.549999 26.981482
"2013-01-15" 37.639999 37.75 37.57 27.031668
"2013-01-16" 37.900002 37.990002 37.68 27.182192
"2013-01-17" 38.150002 38.509998 38.110001 27.361416
"2013-01-18" 38.360001 38.529999 38.07 27.619463
"2013-01-22" 38.450001 38.630001 38.310001 27.655313
"2013-01-23" 38.630001 38.720001 38.330002 27.533451
"2013-01-24" 38.580002 39.57 38.459999 27.920536
"2013-01-25" 39.07 39.330002 38.830002 28.185774
"2013-01-28" 39.209999 39.400002 39 28.092573
"2013-01-29" 39.259998 40.049999 39.209999 28.422312
"2013-01-30" 39.639999 39.75 39.419998 28.386478
"2013-01-31" 39.57 39.880001 39.490002 28.558512
"2013-02-01" 39.959999 40.5 39.799999 28.959938
"2013-02-04" 40.360001 40.59 40.189999 28.959938
"2013-02-05" 40.630001 40.970001 40.130001 28.780729
"2013-02-06" 40.25 40.360001 39.959999 28.787903
"2013-02-07" 40.34 40.41 39.919998 28.651703
"2013-02-08" 40.060001 40.279999 39.849998 28.873922
"2013-02-11" 40.349998 40.740002 40.349998 28.96711
"2013-02-12" 40.48 40.610001 40.32 28.924099
"2013-02-13" 40.490002 40.66 39.869999 28.716217
"2013-02-14" 40.040001 40.040001 39.529999 28.343472
"2013-02-15" 39.16 39.330002 37.950001 27.741331
"2013-02-19" 38.57 38.82 38.060001 27.597963
"2013-02-20" 38.490002 38.84 38.369999 27.526283
"2013-02-21" 38.27 38.310001 37.560001 27.110523
"2013-02-22" 37.799999 38.279999 37.400002 27.325567
"2013-02-25" 38.400002 38.490002 37.139999 26.658922
"2013-02-26" 37.18 37.310001 36.5 26.730604
"2013-02-27" 37.279999 37.580002 37.139999 26.902628
"2013-02-28" 37.560001 37.77 37.41 26.838121
"2013-03-01" 37.389999 37.619999 36.889999 26.89547
"2013-03-04" 37.540001 38.509998 37.529999 27.554955
"2013-03-05" 38.549999 39.459999 38.48 28.286125
"2013-03-06" 39.59 39.599998 39.080002 28.078238
"2013-03-07" 39.18 39.5 38.93 27.977882
"2013-03-08" 39.130001 39.23 38.77 28.106905
"2013-03-11" 39.16 39.16 38.540001 27.856031
"2013-03-12" 38.73 39.07 38.669998 27.891865
"2013-03-13" 38.790001 39.419998 38.09 27.502275
"2013-03-14" 38.060001 38.41 37.880001 27.502275
"2013-03-15" 38.150002 38.200001 37.830002 27.509485
"2013-03-18" 38 38.41 37.880001 27.7115
"2013-03-19" 38.470001 38.57 37.970001 27.567194
"2013-03-20" 38.380001 38.66 38.240002 27.877441
"2013-03-21" 38.529999 39.029999 38.419998 27.718704
"2013-03-22" 38.43 39.09 38.310001 28.202093
"2013-03-25" 39.16 39.450001 38.830002 28.238161
"2013-03-26" 39.240002 39.529999 39.200001 28.490681
"2013-03-27" 39.259998 39.389999 39.009998 28.418537
"2013-03-28" 39.459999 39.610001 39.189999 28.331953
"2013-04-01" 39.240002 39.439999 38.869999 28.454607
"2013-04-02" 39.57 39.860001 39.419998 28.577259
"2013-04-03" 39.650002 39.740002 39.049999 28.274242
"2013-04-04" 39.279999 39.509998 39.130001 28.490681
"2013-04-05" 39.169998 39.759998 39.009998 28.678267
"2013-04-08" 39.830002 40.240002 39.560001 28.945204
"2013-04-09" 40.240002 40.68 40.009998 29.241005
"2013-04-10" 40.540001 41.150002 40.459999 29.645025
"2013-04-11" 41.080002 41.689999 41.02 29.933607
"2013-04-12" 41.330002 41.57 41.27 29.969683
"2013-04-15" 41.25 41.5 40.810001 29.493519
"2013-04-16" 41.02 41.720001 40.66 30.085119
"2013-04-17" 41.349998 41.57 40.900002 29.724382
"2013-04-18" 41.330002 41.380001 40.98 29.738821
"2013-04-19" 41.34 42.049999 41.049999 30.308771
"2013-04-22" 42.110001 42.110001 41.450001 29.955256
"2013-04-23" 41.599998 41.84 41.32 30.04904
"2013-04-24" 41.77 41.950001 41.490002 30.200563
"2013-04-25" 41.990002 41.990002 41.5 30.07069
"2013-04-26" 41.799999 42.23 41.740002 30.294327
"2013-04-29" 42.77 43.130001 42.32 30.994152
"2013-04-30" 42.849998 43.580002 42.849998 31.441484
"2013-05-01" 43.48 43.959999 43.32 31.369328
"2013-05-02" 43.650002 44.130001 43.48 31.744492
"2013-05-03" 44.360001 44.450001 43.990002 31.794994
"2013-05-06" 44.150002 44.360001 43.77 31.939287
"2013-05-07" 44.360001 44.419998 44.139999 31.881567
"2013-05-08" 44.189999 44.240002 43.900002 31.910433
"2013-05-09" 44.360001 44.5 44.040001 31.924854
"2013-05-10" 44.259998 44.41 43.650002 31.542484
"2013-05-13" 43.73 43.84 43.380001 31.629059
"2013-05-14" 43.82 44.130001 43.720001 31.629059
"2013-05-15" 43.830002 44.330002 43.630001 31.982571
"2013-05-16" 44.18 44.639999 43.82 31.766136
"2013-05-17" 44.130001 44.5 43.919998 32.083584
"2013-05-20" 44.48 44.700001 44.150002 32.047504
"2013-05-21" 44.540001 44.990002 44.540001 32.429878
"2013-05-22" 44.98 45.290001 43.450001 31.463127
"2013-05-23" 43.540001 43.689999 42.700001 31.297188
"2013-05-24" 43.200001 43.529999 42.68 31.340466
"2013-05-28" 43.950001 44.119999 42.740002 31.08074
"2013-05-29" 42.709999 42.740002 41.799999 30.438633
"2013-05-30" 42.099998 42.560001 42 30.655085
"2013-05-31" 42.259998 42.650002 41.880001 30.222193
"2013-06-03" 41.990002 42.529999 41.5 30.474701
"2013-06-04" 42.290001 42.59 41.34 30.186119
"2013-06-05" 41.68 42.27 41.580002 30.229412
"2013-06-06" 41.77 42.720001 41.540001 30.821016
"2013-06-07" 42.709999 42.990002 42.040001 30.965303
"2013-06-10" 43.049999 43.049999 42.400002 30.720015
"2013-06-11" 42.25 42.549999 41.939999 30.380922
"2013-06-12" 41.830002 42.09 40.950001 29.871054
"2013-06-13" 40.98 42.029999 40.959999 30.570297
"2013-06-14" 42.009998 42.669998 41.849998 30.817963
"2013-06-17" 42.889999 43.560001 42.740002 31.203985
"2013-06-18" 42.889999 43.889999 42.630001 31.830412
"2013-06-19" 43.77 43.849998 42 30.657698
"2013-06-20" 41.98 41.98 40.220001 29.492289
