"Index" "Open" "High" "Low" "Price"
"2012-10-12" 17.82 18.280001 17.5 15.552214
"2012-10-15" 17.549999 17.83 17.5 15.774391
"2012-10-16" 17.57 17.950001 17.25 15.80994
"2012-10-17" 17.700001 18.07 17.5 15.729957
"2012-10-18" 17.6 17.870001 17.52 15.729957
"2012-10-19" 17.719999 17.799999 17.41 15.472232
"2012-10-22" 17.5 17.51 16.93 15.13453
"2012-10-23" 16.85 17.299999 16.75 15.223397
"2012-10-24" 16.92 17.469999 16.92 15.45446
"2012-10-25" 17.98 17.98 16.25 15.13453
"2012-10-26" 17.51 17.51 16.6 15.232284
"2012-10-31" 16.5 17.030001 16.5 15.13453
"2012-11-01" 17.1 17.48 16.51 15.312264
"2012-11-02" 16.99 17.23 16.559999 15.107869
"2012-11-05" 16.790001 17 16.5 14.850144
"2012-11-06" 16.52 17.48 16.09 15.116753
"2012-11-07" 16.75 17.4 16.75 15.161189
"2012-11-08" 16.290001 17.27 16.290001 14.885694
"2012-11-09" 16.33 16.940001 16.33 14.707953
"2012-11-12" 16.459999 16.549999 16.360001 14.66352
"2012-11-13" 16.52 16.76 15.97 14.254719
"2012-11-14" 15.97 16.469999 15.65 14.263604
"2012-11-15" 16.379999 17.26 15.71 14.841259
"2012-11-16" 16.91 17.690001 16.27 14.947904
"2012-11-19" 16.85 17.25 16.5 15.214513
"2012-11-20" 17.139999 17.290001 16.83 15.223397
"2012-11-21" 17.120001 17.48 16.85 15.285607
"2012-11-23" 17.25 17.549999 17.059999 15.392252
"2012-11-26" 17.299999 17.42 17.059999 15.33893
"2012-11-27" 17.07 17.33 16.93 15.312264
"2012-11-28" 17.450001 17.49 16.98 15.33004
"2012-11-29" 17.459999 18.35 17.200001 16.138758
"2012-11-30" 18.440001 18.48 17.77 15.996565
"2012-12-03" 18.01 18.5 17.389999 16.085436
"2012-12-04" 18.23 18.23 17.41 15.845489
"2012-12-05" 17.58 18.1 17.58 15.978789
"2012-12-06" 17.76 17.780001 17.32 15.658862
"2012-12-07" 17.68 17.85 17.6 15.774391
"2012-12-10" 17.889999 17.92 17.360001 15.658862
"2012-12-11" 17.41 17.84 17.200001 15.587766
"2012-12-12" 17.469999 17.780001 17.469999 15.676632
"2012-12-13" 17.41 17.98 17.290001 15.889923
"2012-12-14" 17.43 17.65 17.25 15.614429
"2012-12-17" 17.66 18.5 17.5 15.978789
"2012-12-18" 17.93 19.25 17.700001 16.707525
"2012-12-19" 18.799999 19.889999 18.129999 17.045231
"2012-12-20" 18.950001 19.02 18.440001 16.903034
"2012-12-21" 18.620001 19.18 17.68 16.867489
"2012-12-24" 19.049999 19.450001 18.01 16.565332
"2012-12-26" 18.75 19 18.27 16.574215
"2012-12-27" 18.57 19.49 18.389999 16.476461
"2012-12-28" 18.41 18.92 18.309999 16.689751
"2012-12-31" 18.74 19.219999 18.57 16.991905
"2013-01-02" 19.459999 19.92 18.6 17.098551
"2013-01-03" 19.24 19.459999 18.65 17.00968
"2013-01-04" 19.25 20.49 18.969999 17.818392
"2013-01-07" 19.889999 21.24 19.639999 18.458258
"2013-01-08" 20.690001 21.1 20.379999 18.307178
"2013-01-09" 20.709999 20.969999 20.4 18.19165
"2013-01-10" 20.540001 21.99 20.34 19.22254
"2013-01-11" 21.6 21.780001 20.549999 19.258089
"2013-01-14" 21.68 22.469999 21.68 19.373621
"2013-01-15" 21.67 22.9 21.17 19.302521
"2013-01-16" 21.08 21.52 20.059999 18.911497
"2013-01-17" 21.370001 21.809999 20.76 18.769302
"2013-01-18" 21.17 21.790001 20.309999 18.253859
"2013-01-22" 20.6 21.889999 20.6 19.364733
"2013-01-23" 21.74 21.74 20.950001 19.044804
"2013-01-24" 21.24 22.59 21.190001 19.044804
"2013-01-25" 21.549999 22.709999 21.549999 19.551357
"2013-01-28" 22.200001 22.25 21.34 19.23143
"2013-01-29" 21.68 22.16 21.629999 19.666887
"2013-01-30" 22.040001 22.879999 22.040001 20.146786
"2013-01-31" 22.530001 22.530001 21.549999 19.924612
"2013-02-01" 22.559999 22.950001 22.360001 20.173449
"2013-02-04" 22.65 22.709999 21.85 20.031256
"2013-02-05" 22.58 22.65 22.16 20.111238
"2013-02-06" 22.49 22.83 22.209999 20.111238
"2013-02-07" 22.059999 22.690001 22 19.924612
"2013-02-08" 22.389999 22.75 22.040001 19.595793
"2013-02-11" 22.129999 22.129999 21.299999 19.160332
"2013-02-12" 21.52 21.76 21.049999 19.169216
"2013-02-13" 21.549999 22.01 21.23 19.160332
"2013-02-14" 21.549999 22.93 21.549999 19.551357
"2013-02-15" 22.07 22.65 21.700001 19.817966
"2013-02-19" 22.32 22.82 22.23 20.280088
"2013-02-20" 22.809999 23.280001 21.209999 18.911497
"2013-02-21" 21.290001 21.290001 20.549999 18.422714
"2013-02-22" 22.25 22.629999 20.23 18.644886
"2013-02-25" 21 21.08 19.57 17.542898
"2013-02-26" 19.84 20.52 19.700001 17.818392
"2013-02-27" 20.09 21.5 19.85 18.627111
"2013-02-28" 20.98 23.309999 20.200001 20.182333
"2013-03-01" 22.5 22.809999 21.91 19.853514
"2013-03-04" 22.370001 22.870001 21.83 19.897947
"2013-03-05" 22.41 23.879999 22.389999 21.062147
"2013-03-06" 23.83 24.030001 23.379999 20.928841
"2013-03-07" 23.5 24.889999 22.530001 21.781994
"2013-03-08" 24.77 24.959999 23.889999 22.128582
"2013-03-11" 24.92 24.99 24.08 21.764212
