"Index" "Open" "High" "Low" "Price"
"2012-09-17" 22.040001 22.200001 21.825001 16.847923
"2012-09-18" 21.945 22.02 21.605 16.595091
"2012-09-19" 21.73 22.02 21.51 16.748314
"2012-09-20" 21.82 22.055 21.594999 16.821104
"2012-09-21" 21.99 22.23 21.690001 16.717672
"2012-09-24" 21.76 21.895 21.575001 16.675529
"2012-09-25" 21.795 22.15 21.629999 16.583591
"2012-09-26" 21.674999 21.855 21.24 16.311607
"2012-09-27" 21.33 21.620001 21.145 16.411205
"2012-09-28" 21.344999 21.545 21.139999 16.468668
"2012-10-01" 21.709999 22.535 21.5 17.085428
"2012-10-02" 22.424999 22.610001 22 16.970499
"2012-10-03" 22.174999 22.315001 22.004999 16.985832
"2012-10-04" 22.309999 22.639999 22.184999 17.047113
"2012-10-05" 22.365 22.469999 22.02 16.924534
"2012-10-08" 22.065001 22.094999 21.85 16.840256
"2012-10-09" 21.9 21.965 21.334999 16.38822
"2012-10-10" 21.48 21.725 21.120001 16.212006
"2012-10-11" 22.344999 23.584999 22 17.579601
"2012-10-12" 22.92 23.025 22.42 17.361244
"2012-10-15" 22.790001 22.93 22.514999 17.449358
"2012-10-16" 22.5 22.809999 22.334999 17.208015
"2012-10-17" 22.469999 22.799999 22.360001 17.407213
"2012-10-18" 22.66 22.690001 22.370001 17.139067
"2012-10-19" 22.33 22.52 21.780001 16.76363
"2012-10-22" 21.889999 22.415001 21.809999 17.00881
"2012-10-23" 21.985001 22.235001 21.865 16.897717
"2012-10-24" 22.125 22.315001 21.84 16.748314
"2012-10-25" 21.91 22.084999 21.455 16.571245
"2012-10-26" 21.525 21.719999 21.42 16.644384
"2012-10-31" 21.75 22.705 21.700001 17.206381
"2012-11-01" 22.469999 22.565001 22.355 17.344959
"2012-11-02" 22.625 22.625 21.9 16.859941
"2012-11-05" 21.370001 21.67 21.139999 16.625135
"2012-11-06" 21.655001 21.715 21.290001 16.621294
"2012-11-07" 21.440001 21.57 21.049999 16.40958
"2012-11-08" 21.225 21.389999 20.965 16.163225
"2012-11-09" 21.43 21.52 21.110001 16.2864
"2012-11-12" 21.184999 21.26 20.865 16.074682
"2012-11-13" 20.77 20.995001 20.645 15.932257
"2012-11-14" 20.719999 20.75 20.059999 15.474197
