"Index" "Open" "High" "Low" "Price"
"2012-09-17" 28.09 28.219999 27.549999 24.630226
"2012-09-18" 27.629999 28 26.969999 24.20434
"2012-09-19" 27.35 27.700001 27.110001 24.34631
"2012-09-20" 27.4 27.629999 27.18 24.443901
"2012-09-21" 27.719999 29.120001 27.65 25.419882
"2012-09-24" 28.33 28.73 28.049999 25.127094
"2012-09-25" 28.440001 28.51 27.5 24.461645
"2012-09-26" 27.6 27.65 26.6 23.9914
"2012-09-27" 27.129999 27.57 26.799999 24.390665
"2012-09-28" 27.4 27.639999 26.940001 23.964787
"2012-10-01" 27.02 27.32 26.629999 23.760719
"2012-10-02" 26.98 27.24 26.780001 24.044632
"2012-10-03" 27.200001 27.959999 26.870001 24.630226
"2012-10-04" 27.76 28 27.68 24.825422
"2012-10-05" 28.1 28.74 27.969999 24.887539
"2012-10-08" 27.84 27.92 27.639999 24.656845
"2012-10-09" 27.82 27.92 26.889999 23.867195
"2012-10-10" 26.860001 27.290001 26.74 23.867195
"2012-10-11" 27.1 27.219999 26.549999 23.947044
"2012-10-12" 26.98 27.209999 26.780001 23.982531
"2012-10-15" 27.129999 27.33 26.9 24.168856
"2012-10-16" 27.49 27.99 27.370001 24.7367
"2012-10-17" 28.040001 28.99 28.01 25.481985
"2012-10-18" 28.6 29.309999 28.379999 25.96999
"2012-10-19" 29.200001 29.41 28.98 26.005474
"2012-10-22" 29.24 29.299999 27.98 24.967382
"2012-10-23" 27.77 28.01 26.790001 23.929295
"2012-10-24" 28.23 30.27 28.23 25.907873
"2012-10-25" 29.43 29.620001 28.120001 25.233562
"2012-10-26" 28.530001 28.9 27.6 24.585863
"2012-10-31" 27.870001 28.9 27.219999 25.233562
"2012-11-01" 29.059999 30.030001 28.940001 26.608803
"2012-11-02" 30.15 30.5 29.33 26.103079
"2012-11-05" 29.370001 29.9 29.120001 26.271652
"2012-11-06" 29.84 30.09 29.23 26.023222
"2012-11-07" 28.91 29.24 28.309999 25.757042
"2012-11-08" 28.92 28.959999 27.959999 24.816555
"2012-11-09" 27.799999 28.059999 26.93 24.834297
"2012-11-12" 28.129999 28.35 27.610001 24.781063
"2012-11-13" 27.700001 28.6 27.65 25.029497
"2012-11-14" 28.110001 28.290001 27.299999 24.301941
"2012-11-15" 27.26 27.43 26.32 23.849443
"2012-11-16" 26.870001 27.25 26.65 23.867195
"2012-11-19" 27.280001 28.76 27.26 24.834297
"2012-11-20" 28 29.120001 28 25.77479
"2012-11-21" 29.07 29.719999 28.879999 25.721554
"2012-11-23" 29.940001 29.950001 29.18 26.120817
"2012-11-26" 29.24 29.370001 28.719999 25.50861
"2012-11-27" 28.790001 29.110001 28.33 25.269056
"2012-11-28" 28.41 28.84 27.9 25.552967
"2012-11-29" 28.940001 29.700001 28.4 26.316008
