"Index" "Open" "High" "Low" "Price"
"2012-09-17" 42.080002 42.52 41.209999 33.653942
"2012-09-18" 41.110001 41.759998 40.779999 33.710831
"2012-09-19" 41.77 41.98 41.279999 33.759598
"2012-09-20" 40.360001 41.040001 40.02 33.263844
"2012-09-21" 41.799999 41.799999 40.549999 33.036289
"2012-09-24" 40.110001 40.599998 40.049999 32.735588
"2012-09-25" 40.630001 40.849998 39.220001 31.947266
"2012-09-26" 39.040001 39.889999 37.860001 31.922892
"2012-09-27" 39.790001 40.240002 39.150002 32.597439
"2012-09-28" 39.880001 40.09 39.150002 32.166698
"2012-10-01" 40.209999 40.59 39.720001 32.386127
"2012-10-02" 39.950001 40.34 39.099998 32.247971
"2012-10-03" 39.889999 39.900002 39.049999 32.028538
"2012-10-04" 39.790001 40.849998 39.66 32.873745
"2012-10-05" 40.790001 41.349998 40.32 32.922508
"2012-10-08" 40 41 39.950001 33.117554
"2012-10-09" 40.709999 41.560001 40.630001 33.052536
"2012-10-10" 40.580002 40.650002 39.82 32.686825
"2012-10-11" 40.279999 41.330002 40.209999 33.377308
"2012-10-12" 40.75 41 39.959999 32.877674
"2012-10-15" 40 40.360001 39.5 33.000542
"2012-10-16" 40.549999 41.639999 40.459999 33.967049
"2012-10-17" 41.84 42.799999 41.48 34.655064
"2012-10-18" 42.290001 42.889999 42.16 34.753349
"2012-10-19" 42.16 42.48 41.110001 33.729511
"2012-10-22" 40.110001 41.200001 39.919998 33.238068
"2012-10-23" 39.610001 39.700001 38.66 31.927551
"2012-10-24" 39.220001 39.560001 38.720001 31.771929
"2012-10-25" 39.310001 39.619999 38.84 32.099545
"2012-10-26" 39.299999 39.599998 38.740002 32.001255
"2012-10-31" 39.459999 39.580002 38.84 31.845638
"2012-11-01" 39.23 40.549999 39.049999 33.172543
"2012-11-02" 40.669998 40.84 39.220001 32.156887
"2012-11-05" 39.09 39.889999 39.080002 32.320698
"2012-11-06" 39.630001 40.689999 39.509998 33.049686
"2012-11-07" 39.68 39.849998 38.450001 32.181461
"2012-11-08" 39.25 39.450001 38.41 31.67363
"2012-11-09" 38.290001 39.119999 38.060001 31.411528
"2012-11-12" 38.540001 38.830002 38.400002 31.649057
"2012-11-13" 38.18 39.099998 38.07 31.427906
"2012-11-14" 38.5 38.66 37.200001 30.641594
"2012-11-15" 37.389999 37.66 36.84 30.535124
"2012-11-16" 37.080002 37.279999 36.360001 30.13378
"2012-11-19" 37.799999 38.330002 37.560001 31.354195
"2012-11-20" 37.970001 38.900002 37.77 31.337811
"2012-11-21" 38.25 38.369999 38.02 31.346006
"2012-11-23" 38.720001 39 38.41 31.845638
"2012-11-26" 38.630001 38.889999 38.23 31.812866
"2012-11-27" 38.73 39.09 38.41 31.526197
"2012-11-28" 37.77 38.560001 37.580002 31.583525
"2012-11-29" 39.279999 39.540001 38.91 32.156887
"2012-11-30" 39.080002 39.400002 38.75 31.952127
"2012-12-03" 39.25 39.299999 38.360001 31.452494
"2012-12-04" 38.16 38.799999 38.060001 31.354195
"2012-12-05" 32.099998 33.709999 31.719999 26.341454
"2012-12-06" 31.27 31.33 30.540001 25.235703
"2012-12-07" 31.17 32.599998 31.1 25.964684
"2012-12-10" 32.080002 32.240002 31.379999 26.243166
"2012-12-11" 32.369999 32.41 31.75 26.202213
"2012-12-12" 32.189999 32.740002 31.91 26.636332
"2012-12-13" 32.380001 32.740002 32.200001 26.603558
"2012-12-14" 32.759998 33.950001 32.580002 27.668354
"2012-12-17" 33.880001 33.889999 33.259998 27.553688
"2012-12-18" 33.82 34.240002 33.57 27.84037
"2012-12-19" 33.919998 34.200001 33.810001 27.807604
"2012-12-20" 34.169998 34.240002 33.439999 27.832169
"2012-12-21" 33.560001 33.619999 33.200001 27.504541
"2012-12-24" 33.41 33.540001 33.18 27.439016
"2012-12-26" 33.610001 34.150002 33.610001 27.783022
"2012-12-27" 34.040001 34.049999 33.27 27.586452
"2012-12-28" 33.439999 33.599998 33 27.14415
"2012-12-31" 33.150002 34.330002 33.02 28.012373
"2013-01-02" 35.349998 35.400002 34.75 28.80687
"2013-01-03" 35.09 35.580002 34.630001 28.544765
"2013-01-04" 34.869999 35.549999 34.720001 29.068972
"2013-01-07" 35.310001 35.5 35.009998 28.9625
"2013-01-08" 35.220001 35.490002 34.740002 28.643055
"2013-01-09" 35.099998 35.279999 34.880001 28.847822
"2013-01-10" 35.66 35.740002 35.220001 29.159065
"2013-01-11" 35.169998 35.41 34.799999 28.921911
"2013-01-14" 35 35.27 34.529999 28.69054
"2013-01-15" 34.540001 34.860001 34.380001 28.59964
"2013-01-16" 34.380001 34.490002 34.139999 28.302158
"2013-01-17" 34.560001 34.630001 33.919998 28.161678
"2013-01-18" 34.349998 34.43 33.57 27.798092
"2013-01-22" 34.029999 35.5 34 29.078922
"2013-01-23" 35.169998 35.23 34.799999 28.938444
"2013-01-24" 34.869999 35.220001 34.52 28.632692
"2013-01-25" 34.939999 35.09 34.349998 28.814491
"2013-01-28" 34.93 34.990002 34.400002 28.566586
"2013-01-29" 34.5 35.189999 34.5 28.930178
"2013-01-30" 35.369999 35.740002 35.029999 29.054131
"2013-01-31" 35.080002 35.380001 34.919998 29.128498
"2013-02-01" 35.84 35.880001 35.330002 29.52515
"2013-02-04" 35.48 35.82 35.259998 29.202869
"2013-02-05" 35.5 35.950001 35.34 29.500347
"2013-02-06" 35.459999 36.259998 35.450001 29.822628
"2013-02-07" 35.939999 36.049999 35.509998 29.492088
"2013-02-08" 35.75 35.900002 35.540001 29.450768
"2013-02-11" 35.5 35.549999 35.099998 29.194613
"2013-02-12" 35.32 35.889999 35.119999 29.475557
"2013-02-13" 35.779999 35.93 35.490002 29.450768
"2013-02-14" 35.599998 35.860001 35.400002 29.359875
"2013-02-15" 35.59 35.639999 34.869999 28.954966
"2013-02-19" 34.98 35.169998 34.130001 28.310427
"2013-02-20" 34.060001 34.09 32.009998 26.624687
"2013-02-21" 32.040001 32.93 31.690001 26.723848
"2013-02-22" 32.599998 32.669998 31.65 26.814741
"2013-02-25" 32.59 32.630001 31.459999 26.037987
"2013-02-26" 31.940001 32 31.35 26.38505
"2013-02-27" 31.940001 32.41 31.9 26.666004
"2013-02-28" 32.23 32.279999 31.73 26.376783
"2013-03-01" 31.67 31.74 31.32 26.02146
"2013-03-04" 31.290001 31.469999 30.719999 25.94709
"2013-03-05" 31.690001 32.200001 31.5 26.06278
"2013-03-06" 32.27 33.169998 32.040001 27.137018
"2013-03-07" 32.919998 33.259998 32.720001 27.335342
"2013-03-08" 33.490002 33.490002 33 27.500608
"2013-03-11" 33.27 33.540001 32.860001 27.517136
"2013-03-12" 33.57 34.119999 33.41 27.632824
"2013-03-13" 33.41 33.529999 32.91 27.335342
"2013-03-14" 32.959999 33.349998 32.77 27.401449
"2013-03-15" 33.549999 34.080002 33.529999 27.930304
"2013-03-18" 33.09 33.650002 33.09 27.707197
"2013-03-19" 33.490002 33.529999 32.650002 27.252703
"2013-03-20" 33.200001 33.419998 33 27.467558
"2013-03-21" 33.060001 33.279999 32.900002 27.260973
"2013-03-22" 33.139999 33.299999 32.860001 27.269236
"2013-03-25" 33.139999 33.150002 32.419998 26.930433
"2013-03-26" 32.740002 32.82 32.450001 27.103964
"2013-03-27" 32.48 33.470001 32.369999 27.566715
"2013-03-28" 33.240002 33.330002 32.900002 27.35186
"2013-04-01" 32.990002 33.02 32.110001 26.756905
"2013-04-02" 32.380001 32.650002 31.780001 26.376783
"2013-04-03" 31.809999 32.169998 31.15 26.071035
"2013-04-04" 31.57 32.18 31.25 26.194992
"2013-04-05" 31.48 32.18 31.17 26.525528
"2013-04-08" 32.150002 32.529999 31.799999 26.789953
"2013-04-09" 32.639999 34 32.639999 27.897255
"2013-04-10" 33.939999 33.970001 33.32 27.839403
"2013-04-11" 33.310001 33.41 32.68 27.349796
"2013-04-12" 32.540001 32.919998 31.82 26.624138
"2013-04-15" 30.059999 30.280001 29.030001 24.413805
"2013-04-16" 29.73 30.09 29.16 24.397118
"2013-04-17" 28.98 29.030001 27.52 23.354506
"2013-04-18" 27.58 28.700001 27.24 23.396204
"2013-04-19" 28.4 28.51 27.42 23.554693
"2013-04-22" 28.34 28.610001 27.6 23.821596
"2013-04-23" 28.58 28.790001 27.91 23.788233
"2013-04-24" 28.98 29.85 28.91 24.83919
"2013-04-25" 30.799999 30.83 29.639999 24.90591
"2013-04-26" 29.83 29.83 29.059999 24.538914
"2013-04-29" 29.75 30.190001 29.440001 24.939274
"2013-04-30" 29.76 30.459999 29.23 25.381348
"2013-05-01" 30.24 30.52 29.77 25.322962
"2013-05-02" 30.66 30.66 29.9 25.306278
