"Index" "Open" "High" "Low" "Price"
"2012-09-17" 103.330002 103.68 102.779999 92.100945
"2012-09-18" 103 103.269997 102.209999 91.80584
"2012-09-19" 102.790001 102.989998 102.160004 91.734291
"2012-09-20" 101.970001 102.43 100.760002 90.357117
"2012-09-21" 101.980003 102.699997 99.989998 89.918922
"2012-09-24" 100.559998 104.730003 100.510002 91.93103
"2012-09-25" 99.980003 101.279999 97.080002 88.076706
"2012-09-26" 97.239998 98.18 96.5 87.101959
"2012-09-27" 97.410004 98.300003 96.93 87.209297
"2012-09-28" 97.059998 97.059998 95 86.225586
"2012-10-01" 96.43 96.660004 94.650002 85.215065
"2012-10-02" 95.389999 95.389999 93.120003 83.730576
"2012-10-03" 93.830002 95.019997 93.599998 84.3834
"2012-10-04" 94.5 94.919998 93.620003 84.821587
"2012-10-05" 95.089996 95.730003 94.790001 85.009392
"2012-10-08" 94.720001 95.169998 94.099998 84.776886
"2012-10-09" 94.599998 95.010002 93.639999 84.016731
"2012-10-10" 94.18 95.860001 93.910004 84.150871
"2012-10-11" 94.660004 95 93.75 83.837883
"2012-10-12" 93.709999 95.169998 93.010002 83.417587
"2012-10-15" 93.639999 94.059998 92.75 83.158249
"2012-10-16" 93.790001 94.360001 93.150002 83.533829
"2012-10-17" 93.019997 93.5 92.029999 83.301331
"2012-10-18" 93.269997 93.400002 92.160004 82.666397
"2012-10-19" 92.489998 92.529999 90.699997 81.441238
"2012-10-22" 91.360001 92.110001 91.019997 82.290802
"2012-10-23" 91.300003 92.110001 90.150002 82.281883
"2012-10-24" 92.519997 92.809998 91.610001 82.14772
"2012-10-25" 92.339996 92.800003 89.93 82.09404
"2012-10-26" 91.599998 91.980003 89.860001 81.244499
"2012-10-31" 91.150002 91.150002 90.040001 80.976227
"2012-11-01" 89.860001 92.57 89.839996 82.46965
"2012-11-02" 92.599998 93 90.5 81.128235
"2012-11-05" 90.779999 90.900002 89.949997 80.976227
"2012-11-06" 91.040001 91.489998 90.489998 81.038834
"2012-11-07" 89.959999 90.309998 88.830002 80.001465
"2012-11-08" 89.459999 89.830002 89.080002 79.858376
"2012-11-09" 89.400002 90.459999 89.330002 80.332336
"2012-11-12" 89.860001 90.330002 88.209999 79.393364
"2012-11-13" 88.32 89.699997 87.400002 79.196632
"2012-11-14" 88.43 88.639999 87.699997 78.508018
"2012-11-15" 87.589996 91.290001 87.089996 81.342888
"2012-11-16" 91.269997 91.919998 88.68 81.083519
"2012-11-19" 90.949997 91.790001 90.190002 81.128235
"2012-11-20" 90.790001 91.059998 89.989998 81.405464
"2012-11-21" 91.5 91.940002 90.639999 81.441238
"2012-11-23" 91.550003 91.989998 90.82 81.727409
"2012-11-26" 90.760002 93.25 90.760002 83.301331
"2012-11-27" 93.309998 93.489998 91.989998 82.95256
"2012-11-28" 91.989998 92.379997 91.110001 82.800034
"2012-11-29" 92.809998 93.720001 91.709999 82.844894
"2012-11-30" 92.339996 92.699997 91.32 82.89872
"2012-12-03" 93.010002 93.349998 91.849998 82.925652
"2012-12-04" 92.019997 92.519997 91.099998 82.494957
"2012-12-05" 91.910004 93.519997 91.559998 83.769081
"2012-12-06" 93.080002 94.010002 93.080002 84.029305
"2012-12-07" 94 94.269997 92.690002 83.67038
"2012-12-10" 93.519997 95.949997 92.769997 84.343338
"2012-12-11" 94.400002 96.32 94.360001 86.308334
"2012-12-12" 96.440002 96.5 94.279999 84.675316
"2012-12-13" 94.57 95.059998 93.230003 84.388184
"2012-12-14" 93.830002 94.910004 93.660004 84.343338
"2012-12-17" 94.419998 96.400002 93.959999 86.487793
"2012-12-18" 90.110001 93.57 90 82.719276
"2012-12-19" 91.82 92.050003 90.370003 81.328491
"2012-12-20" 90.610001 91.25 89.779999 80.897812
"2012-12-21" 89.300003 90.269997 88.029999 79.524994
"2012-12-24" 88.389999 89.150002 87.25 79.722382
"2012-12-26" 88.540001 89.110001 87.43 78.502083
"2012-12-27" 87.589996 87.970001 86.910004 78.466202
"2012-12-28" 88.57 89.260002 87.18 78.672569
"2012-12-31" 87.440002 88.510002 87.269997 79.01355
"2013-01-02" 89.389999 90.169998 88.860001 80.503014
"2013-01-03" 89.849998 90.209999 89.410004 80.763222
"2013-01-04" 88.599998 89.800003 86.879997 80.081284
"2013-01-07" 88.910004 89.379997 88.379997 79.77623
"2013-01-08" 89.040001 89.239998 88.309998 79.381416
"2013-01-09" 88.870003 89.050003 88.230003 79.785225
"2013-01-10" 89.059998 89.610001 88.379997 79.345535
"2013-01-11" 88.5 89.150002 88.059998 79.740326
"2013-01-14" 88.860001 89.110001 88.169998 79.937721
"2013-01-15" 88.959999 91.230003 88.650002 81.705353
"2013-01-16" 91.059998 91.099998 90.010002 80.888855
