"Index" "Open" "High" "Low" "Price"
"2012-09-17" 89.709999 90.089996 88.919998 80.673279
"2012-09-18" 86.949997 88.330002 86.360001 78.206459
"2012-09-19" 86.510002 87.080002 85.900002 78.522713
"2012-09-20" 86.300003 86.580002 84.900002 76.959473
"2012-09-21" 85.889999 85.889999 84.150002 76.254677
"2012-09-24" 84 85.5 83.919998 76.950447
"2012-09-25" 85.589996 85.849998 84.529999 76.390205
"2012-09-26" 84.269997 84.949997 83.980003 76.254677
"2012-09-27" 84.959999 85.800003 84.559998 77.50164
"2012-09-28" 85.379997 85.470001 84.169998 76.462509
"2012-10-01" 84.93 85.940002 84.529999 76.823959
"2012-10-02" 85.18 85.809998 84.209999 76.354088
"2012-10-03" 84.800003 85.879997 84.400002 77.366142
"2012-10-04" 85.919998 86.620003 85.610001 78.188385
"2012-10-05" 86.849998 87.480003 86.389999 78.134155
"2012-10-08" 86.339996 86.82 85.900002 78.043816
"2012-10-09" 86.529999 86.779999 85.550003 77.329971
"2012-10-10" 88.309998 90.93 88.190002 81.314827
"2012-10-11" 91.699997 92.5 90 81.32386
"2012-10-12" 90.279999 91.089996 90.010002 81.685295
"2012-10-15" 90.510002 91.199997 90.209999 81.911201
"2012-10-16" 91 91.959999 90.279999 83.058784
"2012-10-17" 91.989998 93.089996 91.830002 83.989487
"2012-10-18" 92.489998 94.260002 92.489998 84.47744
"2012-10-19" 93.239998 93.449997 91.480003 83.230446
"2012-10-22" 92.120003 92.25 90.860001 82.661209
"2012-10-23" 91.550003 92.099998 91.019997 82.941292
"2012-10-24" 92.110001 92.110001 90.650002 82.07383
"2012-10-25" 91.18 91.720001 90.07 82.335907
"2012-10-26" 90.790001 91.559998 90.139999 81.94735
"2012-10-31" 90.940002 92.110001 90.620003 83.122025
"2012-11-01" 91.540001 93.199997 91.540001 84.043694
"2012-11-02" 93.370003 93.980003 92.370003 83.709358
"2012-11-05" 92.470001 92.940002 92.139999 83.890068
"2012-11-06" 92.889999 93.790001 92.550003 84.387054
"2012-11-07" 92.709999 92.730003 91 82.688309
"2012-11-08" 91.410004 91.739998 90 81.350983
"2012-11-09" 89.949997 90.410004 89.32 81.079918
"2012-11-12" 89.730003 90.580002 89.580002 81.396164
"2012-11-13" 89.669998 91.5 89.25 81.73951
"2012-11-14" 90.489998 90.660004 86.940002 78.721497
"2012-11-15" 87.120003 87.769997 85.93 78.197403
"2012-11-16" 86.230003 86.739998 85.150002 77.826912
"2012-11-19" 87.050003 87.389999 85.800003 78.741066
"2012-11-20" 87.25 87.839996 86.809998 79.057838
"2012-11-21" 87.900002 88.059998 87.220001 79.329369
"2012-11-23" 87.800003 87.949997 86.849998 79.401772
"2012-11-26" 87.120003 88.480003 87.120003 80.062477
"2012-11-27" 88.790001 89.660004 88.419998 80.279678
"2012-11-28" 88.32 89.519997 87.940002 80.994682
"2012-11-29" 89.970001 91.160004 89.809998 82.180328
"2012-11-30" 90.849998 90.940002 89.040001 81.030876
"2012-12-03" 89.980003 89.980003 87.989998 79.763786
"2012-12-04" 88.150002 89.07 88.019997 79.999077
"2012-12-05" 88.559998 89.93 88.07 80.940384
"2012-12-06" 89.300003 89.5 88.650002 80.786507
"2012-12-07" 89.540001 89.910004 88.800003 80.877022
"2012-12-10" 89.389999 90.589996 89.220001 81.935951
"2012-12-11" 90.650002 91.489998 89.690002 81.682549
"2012-12-12" 89.089996 90.529999 89.019997 81.193802
"2012-12-13" 89.580002 90.5 89.290001 81.193802
"2012-12-14" 89.760002 90.93 89.349998 81.53772
"2012-12-17" 90.400002 91.150002 90.360001 82.379433
"2012-12-18" 90.889999 93.209999 90.410004 83.592239
"2012-12-19" 93.120003 95.440002 93.050003 84.352493
"2012-12-20" 93 93.629997 91.540001 84.415855
"2012-12-21" 92.07 93.290001 91.839996 83.93615
"2012-12-24" 92.709999 92.800003 91.940002 83.393105
"2012-12-26" 92.339996 92.970001 91.739998 83.329765
"2012-12-27" 91.959999 91.970001 90.150002 82.813889
"2012-12-28" 91 91.480003 90.349998 81.809242
"2012-12-31" 90.330002 91.800003 90.050003 83.013
"2013-01-02" 93.459999 95.190002 93.370003 85.302811
"2013-01-03" 94.120003 95.169998 94.120003 85.619591
"2013-01-04" 94.800003 95.050003 94.360001 85.900169
"2013-01-07" 94.410004 94.75 94.25 85.728195
"2013-01-08" 94.419998 95.540001 94.160004 86.081192
"2013-01-09" 95.040001 96.910004 94.779999 87.583595
"2013-01-10" 97.339996 97.699997 96.660004 88.425316
"2013-01-11" 97.550003 97.779999 97.110001 88.153778
"2013-01-14" 97.360001 98.739998 97.209999 89.07695
"2013-01-15" 98.120003 98.790001 97.739998 89.303238
"2013-01-16" 98.489998 99.620003 98.489998 90.090645
"2013-01-17" 99.93 100.57 99.419998 90.443604
"2013-01-18" 100 100.18 98.410004 90.344048
"2013-01-22" 99.540001 100.699997 99.410004 91.050011
"2013-01-23" 100.290001 100.550003 99.260002 90.181145
"2013-01-24" 100 102.610001 99.93 92.072731
"2013-01-25" 101.769997 102.860001 101.209999 92.832985
"2013-01-28" 102.839996 103.139999 102.169998 93.231232
"2013-01-29" 102.639999 103.110001 102.190002 92.76963
"2013-01-30" 102.019997 102.139999 101.059998 91.746902
