"Index" "Open" "High" "Low" "Price"
"2012-09-17" 43.290001 43.610001 43.16 28.007238
"2012-09-18" 43.279999 43.419998 43.02 28.02018
"2012-09-19" 43.580002 43.650002 43.169998 28.175486
"2012-09-20" 43.330002 44.299999 43.330002 28.596107
"2012-09-21" 44.25 44.25 43.630001 28.596107
"2012-09-24" 44.18 44.549999 44 28.732008
"2012-09-25" 44.5 44.759998 44.299999 28.667299
"2012-09-26" 44.360001 44.740002 44.32 28.744951
"2012-09-27" 44.439999 44.48 44.060001 28.51199
"2012-09-28" 44.060001 44.23 43.799999 28.537868
"2012-10-01" 44.27 44.41 43.959999 28.51199
"2012-10-02" 44.290001 44.349998 43.990002 28.667299
"2012-10-03" 44.299999 44.720001 44.25 28.932613
"2012-10-04" 44.790001 45.060001 44.720001 29.036148
"2012-10-05" 44.959999 45 44.73 29.003788
"2012-10-08" 44.73 44.959999 44.509998 28.939079
"2012-10-09" 44.709999 45.009998 44.509998 29.081448
"2012-10-10" 44.959999 45 44.57 28.88084
"2012-10-11" 44.830002 45.560001 44.48 29.249706
"2012-10-12" 45.310001 45.43 44.720001 29.062031
"2012-10-15" 44.880001 45.110001 44.43 29.191454
"2012-10-16" 44.709999 45.459999 44.709999 29.417944
"2012-10-17" 45.5 45.93 45.290001 29.625025
"2012-10-18" 45.779999 46.279999 45.639999 29.948582
"2012-10-19" 46.389999 46.549999 45.790001 29.754442
"2012-10-22" 45.860001 46.060001 45.509998 29.663857
"2012-10-23" 45.529999 45.720001 45.400002 29.463242
"2012-10-24" 45.529999 45.700001 45.360001 29.392063
"2012-10-25" 45.700001 45.889999 45.52 29.696201
"2012-10-26" 45.950001 46.040001 45.59 29.527966
"2012-10-31" 45.73 46.369999 45.619999 29.586199
"2012-11-01" 45.639999 45.759998 44.869999 29.062031
"2012-11-02" 45.189999 45.240002 44.41 28.77083
"2012-11-05" 43.73 43.75 42.459999 27.879732
"2012-11-06" 42.599998 43.310001 42.549999 28.30562
"2012-11-07" 42.939999 42.939999 42.110001 27.715931
"2012-11-08" 42.400002 43.419998 42.400002 28.115614
"2012-11-09" 42.73 43.040001 42.400002 27.83386
"2012-11-12" 42.43 42.470001 41.740002 27.440733
"2012-11-13" 41.689999 42.400002 41.580002 27.584871
"2012-11-14" 42.119999 42.23 41.240002 27.067251
"2012-11-15" 41.310001 41.619999 40.759998 26.968973
"2012-11-16" 41.209999 41.57 40.900002 27.106562
"2012-11-19" 41.669998 41.709999 41.169998 27.231066
"2012-11-20" 41.599998 41.619999 41.09 27.15243
"2012-11-21" 41.490002 41.630001 40.709999 26.995176
"2012-11-23" 41.299999 41.360001 40.84 26.909992
"2012-11-26" 41 42.040001 41 27.368654
"2012-11-27" 41.84 42.16 41.740002 27.499701
"2012-11-28" 41.990002 42.509998 41.700001 27.84697
"2012-11-29" 42.610001 42.75 42.400002 27.83386
"2012-11-30" 42.52 42.869999 42.330002 27.820765
"2012-12-03" 42.549999 42.599998 41.77 27.702829
"2012-12-04" 42.299999 42.43 41.669998 27.329344
"2012-12-05" 41.82 42.400002 41.52 27.532461
"2012-12-06" 42.049999 42.16 41.52 27.231066
"2012-12-07" 41.610001 41.759998 41.349998 27.158983
"2012-12-10" 41.369999 41.549999 41.119999 27.224506
"2012-12-11" 41.580002 41.869999 41.27 27.191744
"2012-12-12" 41.52 41.810001 41.189999 26.995176
"2012-12-13" 41.169998 41.209999 40.5 26.680677
"2012-12-14" 40.669998 40.779999 40.470001 26.706882
"2012-12-17" 40.779999 41.240002 40.779999 27.014833
"2012-12-18" 40.959999 41.57 40.799999 27.198288
