"Index" "Open" "High" "Low" "Price"
"2012-09-17" 31.709999 32.290001 31.549999 27.827984
"2012-09-18" 32.240002 32.450001 32.080002 28.017992
"2012-09-19" 32.439999 32.580002 32.330002 27.931625
"2012-09-20" 32.290001 32.650002 32.139999 28.121637
"2012-09-21" 32.66 32.799999 32.470001 28.190735
"2012-09-24" 32.27 32.689999 32.18 28.035265
"2012-09-25" 32.599998 32.830002 32.259998 27.86253
"2012-09-26" 32.279999 32.369999 31.74 27.473867
"2012-09-27" 31.9 31.969999 31.66 27.361597
"2012-09-28" 31.610001 31.709999 31.200001 26.964296
"2012-10-01" 31.33 31.41 30.889999 26.679277
"2012-10-02" 30.780001 31.129999 30.76 26.75701
"2012-10-03" 30.98 31.139999 30.82 26.77429
"2012-10-04" 31.08 31.33 30.959999 26.895195
"2012-10-05" 32.220001 32.389999 31.49 27.206125
"2012-10-08" 31.389999 31.469999 31.190001 27.076578
"2012-10-09" 31.25 31.33 30.99 26.765646
"2012-10-10" 30.9 31.219999 30.9 26.895195
"2012-10-11" 31.379999 31.629999 31.26 27.18022
"2012-10-12" 31.5 32.02 31.48 27.534327
"2012-10-15" 31.950001 32.43 31.75 27.94026
"2012-10-16" 32.41 32.59 32.369999 28.09572
"2012-10-17" 32.529999 32.66 32.48 28.173462
"2012-10-18" 32.540001 32.700001 32.419998 28.069813
"2012-10-19" 32.580002 32.580002 32.240002 27.992083
"2012-10-22" 32.240002 32.669998 32.240002 28.173462
"2012-10-23" 32.380001 32.650002 32.080002 28.13891
"2012-10-24" 32.630001 32.73 32.299999 28.268459
"2012-10-25" 32.93 33 32.450001 28.104359
"2012-10-26" 32.560001 32.77 32.360001 28.173462
"2012-10-31" 32.639999 33.07 32.630001 28.389381
"2012-11-01" 32.860001 33.299999 32.68 28.622572
"2012-11-02" 33.299999 33.73 33.150002 28.950775
"2012-11-05" 33.439999 33.52 32.799999 28.743484
"2012-11-06" 34.189999 35.439999 34.02 29.995831
"2012-11-07" 34.34 34.91 34.25 29.840368
"2012-11-08" 34.5 34.560001 34.119999 29.65036
"2012-11-09" 34.220001 34.709999 34.110001 29.814461
"2012-11-12" 34.540001 35.060001 34.369999 30.134018
"2012-11-13" 34.68 35.080002 34.43 30.17721
"2012-11-14" 34.080002 35.220001 33.619999 29.693548
"2012-11-15" 34.459999 34.740002 34.07 29.65036
"2012-11-16" 34.369999 35.200001 34.369999 30.229025
"2012-11-19" 35.240002 35.27 34.919998 30.367218
"2012-11-20" 35.18 35.740002 35.07 30.67815
"2012-11-21" 35.529999 35.720001 35.419998 30.738605
"2012-11-23" 35.639999 35.84 35.540001 30.9027
"2012-11-26" 35.68 35.900002 35.48 30.937246
"2012-11-27" 35.759998 35.900002 35.509998 30.82497
"2012-11-28" 35.459999 36.130001 35.450001 31.179073
"2012-11-29" 36.110001 36.43 36 31.196362
"2012-11-30" 36.119999 36.389999 36.099998 31.179073
"2012-12-03" 36.139999 36.439999 35.759998 30.928612
"2012-12-04" 35.880001 36.349998 35.880001 31.282719
"2012-12-05" 36.360001 36.91 35.950001 31.697306
"2012-12-06" 36.73 37.009998 36.459999 31.9305
"2012-12-07" 36.93 37.139999 35.919998 31.230907
"2012-12-10" 36.16 36.650002 36.060001 31.472738
"2012-12-11" 36.470001 36.73 36.18 31.403641
"2012-12-12" 36.32 36.610001 36.049999 31.360226
"2012-12-13" 35.990002 36.099998 35.200001 30.865192
"2012-12-14" 35.599998 35.700001 35.400002 30.813087
"2012-12-17" 35.689999 35.77 34.919998 30.396225
"2012-12-18" 34.950001 35.259998 34.91 30.543859
"2012-12-19" 35.139999 35.169998 34.689999 30.457022
"2012-12-20" 35 35.709999 34.740002 30.795713
"2012-12-21" 35.380001 35.75 34.740002 30.300701
"2012-12-24" 34.939999 35.110001 34.709999 30.352808
"2012-12-26" 34.93 34.98 34.310001 29.831718
"2012-12-27" 34.27 34.689999 34.02 30.031471
"2012-12-28" 34.32 34.689999 34.259998 29.753563
"2012-12-31" 34.200001 34.830002 33.990002 30.231222
"2013-01-02" 35.169998 35.84 35.130001 31.108366
"2013-01-03" 35.860001 35.919998 35.52 30.891251
"2013-01-04" 35.669998 36.02 35.509998 31.247322
"2013-01-07" 35.75 35.950001 35.48 31.091003
"2013-01-08" 35.68 35.77 35.509998 30.986786
"2013-01-09" 35.82 36.049999 35.669998 31.282059
"2013-01-10" 36.110001 36.540001 35.84 31.733664
"2013-01-11" 36.630001 37.360001 36.560001 32.133152
"2013-01-14" 36.880001 37.290001 36.779999 32.298145
"2013-01-15" 36.880001 36.91 36.18 31.92473
"2013-01-16" 36.630001 37.029999 36.540001 32.133152
"2013-01-17" 37.09 37.25 36.950001 32.176579
"2013-01-18" 37.18 37.240002 36.82 32.185257
"2013-01-22" 37 37.77 36.939999 32.723717
"2013-01-23" 37.779999 37.93 37.540001 32.749763
"2013-01-24" 37.720001 37.82 37.189999 32.332905
"2013-01-25" 37.279999 37.389999 37.09 32.30685
"2013-01-28" 37.189999 37.310001 36.77 31.994192
"2013-01-29" 36.799999 36.959999 36.470001 32.046307
"2013-01-30" 36.900002 37.220001 36.790001 32.2808
"2013-01-31" 37.220001 37.349998 36.790001 32.228683
"2013-02-01" 37.310001 37.75 37.27 32.706345
"2013-02-04" 37.419998 37.66 36.939999 32.098419
"2013-02-05" 37.18 37.490002 37.09 32.376328
"2013-02-06" 37.16 37.509998 36.970001 32.480537
"2013-02-07" 37.310001 37.400002 36.959999 32.202629
"2013-02-08" 37.209999 37.619999 37.150002 32.671604
"2013-02-11" 37.529999 37.720001 37.34 32.619492
"2013-02-12" 36.040001 37.099998 35.209999 31.698925
"2013-02-13" 36.630001 37.490002 36.599998 32.30685
"2013-02-14" 37.060001 37.07 36.560001 32.115788
"2013-02-15" 36.900002 36.939999 36.400002 31.690243
"2013-02-19" 36.5 36.990002 36.360001 32.124474
