"Index" "Open" "High" "Low" "Price"
"2012-09-17" 44.549999 44.549999 43.799999 43.799999
"2012-09-18" 43.82 44.18 43.450001 43.959999
"2012-09-19" 44 44.700001 43.849998 44.610001
"2012-09-20" 44.389999 44.540001 43.880001 43.959999
"2012-09-21" 44.220001 45.599998 44.220001 45.599998
"2012-09-24" 45.450001 45.450001 44.810001 45.220001
"2012-09-25" 45.43 45.459999 43.82 43.970001
"2012-09-26" 44 44.450001 43.060001 43.98
"2012-09-27" 43.98 44.389999 43.389999 44.389999
"2012-09-28" 44.18 44.869999 43.82 44.799999
"2012-10-01" 44.84 44.990002 43.880001 44.380001
"2012-10-02" 44.630001 44.889999 44.209999 44.799999
"2012-10-03" 45.060001 45.279999 44.700001 45.240002
"2012-10-04" 45.68 45.849998 45.220001 45.540001
"2012-10-05" 45.82 45.830002 45.5 45.650002
"2012-10-08" 45.470001 45.650002 45.220001 45.310001
"2012-10-09" 45.389999 45.669998 45.07 45.639999
"2012-10-10" 45.52 45.869999 45.279999 45.66
"2012-10-11" 45.82 46.400002 45.700001 46
"2012-10-12" 45.119999 45.790001 45 45.599998
"2012-10-15" 45.470001 45.84 45.150002 45.84
"2012-10-16" 46.18 46.18 45.650002 45.82
"2012-10-17" 45.900002 46.419998 45.779999 46.32
"2012-10-18" 46.419998 47.25 46.220001 47.200001
"2012-10-19" 47 47.200001 46.799999 47.07
"2012-10-22" 46.700001 47.540001 46.650002 47.52
"2012-10-23" 47.040001 47.150002 46.299999 46.700001
"2012-10-24" 46.75 46.900002 46.439999 46.599998
"2012-10-25" 46.889999 46.889999 46.049999 46.32
"2012-10-26" 46.279999 46.689999 45.66 46.639999
"2012-10-31" 46.970001 47.549999 46.41 47.41
"2012-11-01" 47.5 47.880001 47.360001 47.630001
"2012-11-02" 47.970001 47.970001 47.060001 47.419998
"2012-11-05" 47.549999 47.549999 46.889999 47.209999
"2012-11-06" 46.73 47.830002 46.73 47.529999
"2012-11-07" 47.080002 47.220001 46.189999 46.220001
