"Index" "Open" "High" "Low" "Price"
"2012-09-17" 50.34692 50.780571 50.34692 44.097214
"2012-09-18" 50.494362 50.494362 49.826538 43.877678
"2012-09-19" 50.043365 50.450996 49.904598 43.91552
"2012-09-20" 49.878578 50.303555 49.731136 43.900391
"2012-09-21" 50.624458 50.849957 50.008675 43.665703
"2012-09-24" 49.679096 50 49.340851 43.120647
"2012-09-25" 49.65308 49.783173 48.751083 42.59827
"2012-09-26" 48.707718 48.768429 48.14397 42.135754
"2012-09-27" 48.594971 48.594971 48.039894 42.26466
"2012-09-28" 47.875107 48.117954 47.198612 41.991695
"2012-10-01" 48.117954 49.019947 48.117954 42.712021
"2012-10-02" 48.941891 49.271465 47.77103 41.931026
"2012-10-03" 47.944492 47.979183 47.406765 41.779388
"2012-10-04" 48.187336 48.378143 47.831741 42.249493
"2012-10-05" 48.568951 49.141369 48.525585 42.621033
"2012-10-08" 48.48222 48.664352 48.169991 42.279812
"2012-10-09" 48.447529 48.629662 47.588898 41.642887
"2012-10-10" 47.510841 47.510841 46.565479 40.7785
"2012-10-11" 47.068516 47.241978 46.816998 40.93013
"2012-10-12" 46.877708 47.137901 46.383347 40.664738
"2012-10-15" 46.565479 47.155247 46.400696 41.203114
"2012-10-16" 47.41544 48.169991 47.3634 42.082672
"2012-10-17" 48.1353 48.785774 48.065914 42.605854
"2012-10-18" 48.56028 49.019947 48.369473 42.423878
"2012-10-19" 48.334778 48.542931 47.666958 41.80212
"2012-10-22" 47.614918 47.875107 47.155247 41.673225
"2012-10-23" 46.608845 47.163921 46.478752 41.066616
"2012-10-24" 47.294018 47.3634 46.27927 40.566189
"2012-10-25" 46.73027 46.929749 46.348656 40.626842
"2012-10-26" 46.556808 47.241978 46.35733 41.157608
"2012-10-31" 46.938423 47.41544 45.004337 40.581364
"2012-11-01" 46.374676 47.45013 46.201214 41.453335
"2012-11-02" 47.649609 47.823071 46.903728 41.036301
"2012-11-05" 46.773636 47.623592 46.634865 41.567066
"2012-11-06" 47.528187 47.753685 47.259323 41.423004
"2012-11-07" 46.843018 46.938423 46.149178 40.566189
"2012-11-08" 46.400696 46.548134 45.420643 40.065742
"2012-11-09" 45.646141 46.756287 45.628796 40.353882
"2012-11-12" 46.244579 46.322636 45.784908 40.042984
"2012-11-13" 45.576756 46.097137 45.325237 39.625965
"2012-11-14" 45.333912 45.628796 44.46661 38.973869
"2012-11-15" 44.553337 44.709454 44.024284 39.0042
"2012-11-16" 44.527321 45.221161 44.336514 39.155846
"2012-11-19" 45.394623 46.903728 45.325237 40.748165
"2012-11-20" 46.444057 47.294018 46.426712 41.05146
"2012-11-21" 47.0425 47.267998 46.721596 40.854317
"2012-11-23" 47.02515 47.684303 47.02515 41.551907
"2012-11-26" 47.441456 48.1353 47.285343 42.082672
"2012-11-27" 47.970512 48.473549 47.892452 42.052345
"2012-11-28" 47.753685 48.265396 47.068516 42.075104
"2012-11-29" 48.378143 48.525585 47.918472 42.082672
"2012-11-30" 48.152645 48.490894 47.805725 42.052345
"2012-12-03" 48.395489 48.525585 46.686905 40.861904
"2012-12-04" 46.790981 47.233303 46.444057 40.839149
"2012-12-05" 46.738941 47.02515 46.097137 40.93013
"2012-12-06" 46.591499 46.643539 45.802254 40.232563
"2012-12-07" 46.218559 46.235905 45.750217 40.247719
"2012-12-10" 46.062447 46.712921 45.724197 40.748165
"2012-12-11" 46.756287 47.02515 46.634865 41.104542
"2012-12-12" 47.259323 49.835213 47.02515 43.068409
"2012-12-13" 49.193409 49.930614 48.794449 43.068409
"2012-12-14" 49.011276 49.644405 48.898525 43.06081
"2012-12-17" 49.436253 49.739807 49.098003 43.470264
"2012-12-18" 49.722462 50.546402 49.644405 44.107197
"2012-12-19" 50.529057 50.633129 50.156113 43.993458
"2012-12-20" 50.251518 50.910667 49.895924 44.425659
"2012-12-21" 50.286209 50.581093 50.156113 43.985878
"2012-12-24" 50.294884 50.954033 50.086731 44.418076
"2012-12-26" 50.988724 51.240242 49.904598 43.75082
"2012-12-27" 50.130096 50.598438 49.739807 44.035828
"2012-12-28" 49.826538 50.147442 49.62706 43.526611
"2012-12-31" 49.583694 50.763226 49.540329 44.476643
"2013-01-02" 51.743279 52.029488 51.188206 45.160671
"2013-01-03" 51.587166 51.89072 50.901997 44.773056
"2013-01-04" 51.101475 51.405029 51.014744 44.940254
"2013-01-07" 51.205551 52.020817 50.997398 45.56348
"2013-01-08" 52.107548 52.445793 51.283607 45.913082
"2013-01-09" 52.593235 53.625324 52.471813 46.817524
"2013-01-10" 53.677364 53.712055 52.775368 47.015118
"2013-01-11" 53.712055 53.712055 52.966175 46.665508
"2013-01-14" 53.183002 53.564613 53.044231 46.597107
"2013-01-15" 53.009541 53.443192 52.888119 46.483101
"2013-01-16" 52.766697 52.89679 52.133564 46.232304
"2013-01-17" 52.914139 53.035561 52.515179 46.232304
"2013-01-18" 52.515179 52.870773 52.038162 46.065079
"2013-01-22" 52.888119 53.529922 52.57589 46.642708
"2013-01-23" 52.992195 53.243713 52.679966 46.270298
"2013-01-24" 52.97485 53.339115 52.723331 46.574306
"2013-01-25" 53.451866 53.66869 52.9575 47.02272
"2013-01-28" 53.824806 53.824806 52.645271 46.650318
"2013-01-29" 53.078926 53.625324 52.931484 46.961918
"2013-01-30" 53.469212 53.74675 53.29575 46.771908
"2013-01-31" 53.148308 53.512577 52.931484 46.718697
"2013-02-01" 53.755421 54.319168 53.287079 47.440754
"2013-02-04" 53.963573 54.06765 53.599304 47.21273
"2013-02-05" 54.111015 54.770164 53.920208 47.577549
"2013-02-06" 54.024284 54.371204 53.373806 47.007523
"2013-02-07" 53.512577 53.512577 51.51778 45.42667
"2013-02-08" 51.786644 52.116219 51.222897 45.464668
"2013-02-11" 51.977451 52.142239 51.326973 44.993462
"2013-02-12" 51.691238 51.691238 50.312229 44.180237
"2013-02-13" 50.520382 51.17086 50.520382 44.697033
"2013-02-14" 50.815266 51.240242 50.520382 44.849049
"2013-02-15" 51.188206 51.942757 51.17086 45.198658
"2013-02-19" 51.803989 52.22897 51.448395 45.08466
"2013-02-20" 51.431049 51.630527 50.442326 44.256237
"2013-02-21" 50.234173 50.234173 49.436253 43.671013
"2013-02-22" 49.930614 50.962708 49.895924 44.621048
"2013-02-25" 51.11882 51.326973 49.878578 43.709019
"2013-02-26" 50.121422 50.928013 50.008675 44.476643
"2013-02-27" 50.797916 52.020817 50.711189 45.33548
"2013-02-28" 51.760624 52.619255 51.708588 45.799084
"2013-03-01" 52.012142 52.220295 51.292282 45.525482
"2013-03-04" 51.639202 52.272331 51.326973 45.783882
"2013-03-05" 52.428448 52.914139 52.185604 46.163895
"2013-03-06" 52.801388 53.200348 52.558544 46.414692
"2013-03-07" 52.9575 53.32177 52.723331 46.277897
"2013-03-08" 53.104942 53.34779 52.740677 46.452709
"2013-03-11" 53.052906 53.34779 52.792713 46.657913
"2013-03-12" 53.191673 53.486557 52.914139 46.566715
"2013-03-13" 53.183002 53.183002 52.60191 46.475506
"2013-03-14" 53.235039 53.434521 52.862099 46.483101
"2013-03-15" 52.784042 53.070251 51.977451 45.601475
"2013-03-18" 51.630527 52.064178 51.448395 45.229065
"2013-03-19" 51.708588 51.777969 50.676495 45.046658
"2013-03-20" 51.621857 51.85603 51.110146 44.963066
"2013-03-21" 50.962708 51.032089 49.514309 43.465801
"2013-03-22" 49.869904 50.121422 49.62706 43.663414
"2013-03-25" 49.869904 49.965309 49.037292 43.055401
"2013-03-26" 49.193409 49.62706 49.002602 43.394417
"2013-03-27" 49.002602 49.193409 48.794449 43.08968
"2013-03-28" 49.089333 49.531658 48.941891 43.447739
"2013-04-01" 49.635735 49.635735 48.603642 42.769699
