"Index" "Open" "High" "Low" "Price"
"2019-03-13" 38.599998 39.299999 38 37.067257
"2019-03-14" 39.5 40.650002 39.32 37.785908
"2019-03-15" 40.549999 41.049999 40.5 38.788239
"2019-03-18" 41.73 41.73 40.470001 38.636944
"2019-03-19" 41.400002 41.400002 39.049999 37.398216
"2019-03-20" 39.849998 39.851002 37.459999 35.554306
"2019-03-21" 38 38.91 37.84 36.764668
"2019-03-22" 38.759998 38.84 36.549999 35.421925
"2019-03-25" 37.57 37.810001 36.349998 34.466877
"2019-03-26" 36.459999 37.349998 36.459999 34.71273
"2019-03-27" 36.75 37.169998 36.060001 34.230484
"2019-03-28" 36.139999 36.470001 35.549999 33.729309
"2019-03-29" 35.880001 36.169998 35.389999 33.927887
"2019-04-01" 36.169998 36.34 35.939999 34.183189
"2019-04-02" 36.209999 36.459999 35.209999 33.757679
"2019-04-03" 35.779999 35.889999 35.299999 33.568565
"2019-04-04" 35.560001 36.07 35.389999 34.069729
"2019-04-05" 35.990002 37.09 35.939999 34.96804
"2019-04-08" 36.939999 36.939999 36.650002 34.845108
"2019-04-09" 36.810001 37.07 36.59 34.882938
"2019-04-10" 36.91 37.049999 35.860001 33.975166
"2019-04-11" 35.98 36.5 35.529999 34.429054
"2019-04-12" 36.470001 37.080002 35.919998 34.939678
"2019-04-15" 36.91 36.990002 36.470001 34.96804
"2019-04-16" 37.110001 37.279999 36.93 35.185528
"2019-04-17" 37.18 38.25 37.18 36.131115
"2019-04-18" 38.34 38.369999 37.919998 35.856899
"2019-04-22" 37.84 37.880001 37.110001 35.213894
"2019-04-23" 37.220001 37.82 37.07 35.554306
"2019-04-24" 37.509998 37.759998 37.330002 35.412464
"2019-04-25" 37.48 37.68 37.040001 35.592136
"2019-04-26" 37.799999 37.939999 37.400002 35.847443
"2019-04-29" 37.740002 38.91 37.689999 36.622829
"2019-04-30" 38.59 38.779999 37.889999 36.405342
"2019-05-01" 38.66 38.799999 38.09 36.632286
"2019-05-02" 38.75 38.799999 36.5 34.835655
"2019-05-03" 36.860001 37.259998 36.639999 35.005867
"2019-05-06" 36.720001 37.400002 36.470001 35.280083
"2019-05-07" 36.970001 37.220001 36.575001 34.703278
"2019-05-08" 36.560001 37.080002 36.27 34.816746
"2019-05-09" 38.080002 38.630001 36.950001 35.904179
"2019-05-10" 37.900002 38.25 36.98 35.979828
"2019-05-13" 37.48 38.150002 37.220001 35.459755
