"Index" "Open" "High" "Low" "Price"
"2016-07-05" 41.338913 45.472801 40.49791 39.640663
"2016-07-06" 39.389122 40.669456 38.736401 38.947353
"2016-07-07" 39.849373 40.167362 39.619247 38.93919
"2016-07-08" 40.133892 42.351463 39.774059 40.945702
"2016-07-11" 41.179916 42.870293 40.98745 41.69611
"2016-07-12" 42.677822 42.728031 42.058578 41.247501
"2016-07-13" 42.317993 42.761505 41.698746 41.288273
"2016-07-14" 42.117153 43.29707 41.799164 42.063145
"2016-07-15" 43.330544 43.439331 42.351463 41.785824
"2016-07-18" 42.485355 43.163181 42.26778 41.834766
"2016-07-19" 42.711296 43.146442 42.209206 42.046841
"2016-07-20" 43.380753 43.447701 41.849373 41.059895
"2016-07-21" 42.175732 42.359833 41.832638 40.978329
"2016-07-22" 41.841003 42.083683 41.246861 40.293175
"2016-07-25" 41.188286 41.380753 40.050209 39.950611
"2016-07-26" 40.635983 41.355648 40.401672 40.195297
"2016-07-27" 41.071129 41.422592 40.76569 39.901657
"2016-07-28" 40.78661 41.079498 40.456066 39.68145
"2016-07-29" 40.552299 40.836819 40.175732 39.322559
"2016-08-01" 40.259415 40.594143 39.824268 38.988152
"2016-08-02" 39.748955 40.184101 39.481171 38.743443
"2016-08-03" 39.748955 41.405857 39.623432 40.195297
"2016-08-04" 41.49791 41.933056 41.405857 40.807049
"2016-08-05" 42.058578 42.661087 42.058578 41.255657
"2016-08-08" 42.368202 42.569038 41.790794 40.82336
"2016-08-09" 40.778244 42.284519 40.519665 41.15778
"2016-08-10" 42.23431 42.51046 41.924686 41.14962
"2016-08-11" 42.451881 44.108788 42.426777 42.862484
"2016-08-12" 43.514645 44.24268 43.347279 42.992992
"2016-08-15" 44.309624 44.995815 44.23431 43.767853
"2016-08-16" 44.836819 45.146442 44.577408 43.678127
"2016-08-17" 44.912132 44.962341 44.635983 43.56395
"2016-08-18" 44.535564 44.78661 44.292889 43.360031
"2016-08-19" 44.309624 44.309624 43.271969 42.348633
"2016-08-22" 43.447701 43.548119 42.74477 41.810299
"2016-08-23" 42.97908 43.598328 42.794979 42.332314
"2016-08-24" 42.895397 43.330544 42.346443 41.956608
"2016-08-25" 42.828453 43.422592 42.661087 42.160793
"2016-08-26" 43.21339 43.799164 43.121338 42.364979
"2016-08-29" 43.330544 44.175732 43.146442 42.806023
"2016-08-30" 43.673641 44.74477 43.673641 42.969372
"2016-08-31" 43.907951 44.200836 43.514645 43.018375
"2016-09-01" 44.317993 44.443516 43.631798 42.985703
"2016-09-02" 44.368202 44.74477 44.192471 43.59827
"2016-09-06" 44.769875 44.811714 43.75732 43.067383
"2016-09-07" 43.874477 44.451881 43.53138 43.238911
"2016-09-08" 44.083683 44.317993 43.740585 42.740688
"2016-09-09" 43.322178 43.523014 42.301254 41.286869
"2016-09-12" 41.857742 43.046024 41.72385 41.825939
"2016-09-13" 42.560669 43.01255 41.815899 40.870319
"2016-09-14" 41.882847 42.259415 41.539749 40.853992
"2016-09-15" 41.824268 42.343098 41.422592 41.237862
"2016-09-16" 41.933056 42.167362 41.355648 41.050014
"2016-09-19" 42.184101 43.016735 42.158997 41.47472
"2016-09-20" 42.493725 42.74477 42.016735 41.04184
"2016-09-21" 42.23431 42.686192 42.025105 41.638069
"2016-09-22" 42.970711 43.506275 42.920502 42.177132
"2016-09-23" 42.928871 43.163181 42.384937 41.556393
"2016-09-26" 42.393307 43.087868 42.092049 41.834087
"2016-09-27" 42.761505 43.330544 42.719666 42.152626
"2016-09-28" 43.29707 43.322178 42.970711 42.242466
"2016-09-29" 42.753139 43.188286 42.368202 41.409378
"2016-09-30" 42.778244 42.903767 42.075314 41.572739
"2016-10-03" 42.351463 43.230125 42.351463 41.972935
"2016-10-04" 42.895397 43.054394 42.309624 41.499222
"2016-10-05" 42.694561 42.924686 42.343098 41.605404
"2016-10-06" 42.535564 42.652721 42.259415 41.409378
"2016-10-07" 42.259415 42.518829 41.73222 40.780487
"2016-10-10" 42.033474 42.108788 41.75732 40.796814
"2016-10-11" 41.774059 41.974895 41.02092 40.200588
"2016-10-12" 41.338913 41.338913 40.711296 40.01273
"2016-10-13" 40.694561 41.573223 40.167362 39.873886
"2016-10-14" 41.062763 41.78661 40.845188 40.396606
"2016-10-17" 41.472801 41.49791 40.928871 40.069904
"2016-10-18" 41.548119 42.108788 41.004185 40.094406
"2016-10-19" 41.230125 41.670292 40.552299 40.339432
"2016-10-20" 41.121338 41.154812 40.535564 39.775867
"2016-10-21" 40.351463 40.912132 40.27615 39.751366
"2016-10-24" 40.895397 41.221756 40.46862 39.653362
"2016-10-25" 40.585773 40.585773 40.050209 39.138802
"2016-10-26" 40 40.26778 39.782429 39.016289
"2016-10-27" 39.907951 39.907951 39.171547 38.787598
"2016-10-28" 42.033474 43.25523 41.615063 41.009171
"2016-10-31" 42.016735 42.970711 41.874477 41.695248
"2016-11-01" 42.627617 42.694561 41.832638 41.237862
"2016-11-02" 42.217571 42.803349 42.075314 41.09901
"2016-11-03" 42.083683 42.845188 41.832638 41.638069
"2016-11-04" 42.694561 43.230125 42.292889 41.744247
"2016-11-07" 43.154812 43.573223 42.707111 42.299644
"2016-11-08" 43.414227 44.184101 42.98745 43.002041
"2016-11-09" 43.506275 45.129707 43.434311 43.663616
"2016-11-10" 45.146442 46.309624 44.933056 44.268017
"2016-11-11" 45.263599 45.807529 44.585773 43.614609
"2016-11-14" 44.903767 45.238495 44.761505 43.957661
"2016-11-15" 45.138077 45.564854 44.928871 44.202663
"2016-11-16" 45.01255 45.569038 44.945606 44.464035
"2016-11-17" 45.506275 45.740585 45.121338 44.513035
"2016-11-18" 45.589958 45.815899 45.263599 44.619217
"2016-11-21" 45.397491 46.158997 45.188286 44.78257
"2016-11-22" 45.807529 46.669456 45.656902 45.281422
"2016-11-23" 46.535564 46.803349 46.251045 45.633076
"2016-11-25" 46.928871 46.98745 46.401672 45.772106
"2016-11-28" 46.928871 47.062763 46.292889 45.461338
"2016-11-29" 46.326359 46.845188 46.200836 45.207817
"2016-11-30" 46.569038 46.991631 45.857742 44.970665
"2016-12-01" 46.142258 46.200836 45.188286 44.316425
"2016-12-02" 45.430962 46.050209 45.196651 44.553589
"2016-12-05" 45.832638 45.933056 44.828453 44.087437
"2016-12-06" 45.163181 45.288704 44.803349 44.161045
"2016-12-07" 45.188286 45.527199 44.694561 44.357315
"2016-12-08" 45.49791 45.573223 44.715481 43.899345
"2016-12-09" 44.778244 45.322178 44.619247 44.161045
"2016-12-12" 45.087868 45.49791 44.970711 44.152866
"2016-12-13" 45.422592 45.564854 44.560669 44.038372
"2016-12-14" 45.096233 46.305439 45.079498 44.365494
"2016-12-15" 45.364017 46.26778 45.129707 44.823456
"2016-12-16" 45.907951 46.04184 45.523014 44.839817
"2016-12-19" 45.866108 46.050209 45.514645 44.946129
"2016-12-20" 46.225941 46.410042 45.866108 45.019718
"2016-12-21" 46 46 45.121338 44.259167
"2016-12-22" 45.288704 46.008369 44.928871 44.234642
"2016-12-23" 45.464436 45.824268 44.995815 44.578117
"2016-12-27" 45.815899 45.891212 45.280334 44.537231
"2016-12-28" 45.740585 45.740585 44.74477 43.956585
"2016-12-29" 45.179916 45.305439 44.845188 44.169216
"2016-12-30" 45.355648 45.589958 44.677822 43.858456
"2017-01-03" 45.096233 45.342258 44.343098 43.940243
"2017-01-04" 45.288704 45.631798 45.163181 44.365494
"2017-01-05" 45.464436 45.774059 44.945606 44.111977
"2017-01-06" 45.104603 45.355648 44.677822 44.054726
"2017-01-09" 45.205021 45.355648 44.845188 43.940243
"2017-01-10" 44.962341 45.25523 44.753139 43.997486
"2017-01-11" 45.004185 45.087868 44.569038 43.882988
"2017-01-12" 44.74477 45.096233 44.652721 43.891171
"2017-01-13" 45.523014 46.158997 45.523014 44.782566
"2017-01-17" 45.556484 45.631798 44.912132 44.267345
"2017-01-18" 45.280334 45.523014 45.062763 44.275524
"2017-01-19" 45.380753 45.75732 45.188286 44.381847
"2017-01-20" 45.539749 45.75732 45.364017 44.586296
"2017-01-23" 45.456066 45.866108 44.845188 44.250999
"2017-01-24" 45.447701 46.016735 45.26276 44.733505
"2017-01-25" 45.974895 46.309624 45.774059 45.117855
"2017-01-26" 46.025105 46.845188 45.824268 45.543114
"2017-01-27" 46.635983 46.861923 46.485355 45.739391
"2017-01-30" 46.803349 46.803349 45.815899 45.338676
"2017-01-31" 46.225941 46.476986 45.949791 45.232353
"2017-02-01" 46.418411 46.569038 45.861923 45.085148
"2017-02-02" 45.857742 46.443516 45.606693 45.150574
"2017-02-03" 46.493725 47.405857 46.083683 45.812992
"2017-02-06" 46.610878 46.811714 46.451881 45.641251
"2017-02-07" 46.861923 46.962341 46.493725 45.502224
"2017-02-08" 46 47.188286 45.928032 45.94384
"2017-02-09" 46.995815 47.824268 46.995815 46.630783
"2017-02-10" 47.857742 48.050209 47.430962 46.737106
"2017-02-13" 48.083683 48.569038 48.016735 47.047871
"2017-02-14" 48.117153 48.142258 47.631798 46.851585
"2017-02-15" 47.899582 48.326359 47.766525 47.088764
"2017-02-16" 48.251045 48.736401 47.53138 46.933384
"2017-02-17" 48.04184 48.301254 47.807529 47.178711
"2017-02-21" 48.27615 48.74477 48.142258 47.538536
"2017-02-22" 48.343098 48.677822 48.158997 47.235592
"2017-02-23" 48.543934 48.661087 47.799164 46.883511
"2017-02-24" 47.774059 48.451881 47.472801 47.317474
"2017-02-27" 48.23431 48.435146 48.092049 47.20285
"2017-02-28" 48.259415 48.443516 47.95816 47.20285
"2017-03-01" 48.719666 49.573223 48.602509 48.23452
"2017-03-02" 49.29707 49.380753 48.803349 48.005253
"2017-03-03" 49.046024 49.271969 48.845188 48.087132
"2017-03-06" 48.803349 49.087868 48.539749 47.759617
"2017-03-07" 48.845188 48.995815 48.543934 47.653179
"2017-03-08" 48.711296 48.928871 48.552299 47.628609
"2017-03-09" 48.602509 48.928871 48.393307 47.505791
"2017-03-10" 48.769875 48.995815 48.518829 47.743248
"2017-03-13" 48.912132 49.347279 48.610878 48.119888
"2017-03-14" 48.937237 49.079498 48.74477 47.939751
"2017-03-15" 49.188286 50.108788 49.188286 48.881344
"2017-03-16" 49.983265 50.142258 49.707111 48.72578
"2017-03-17" 49.983265 50.054394 49.740585 48.783092
"2017-03-20" 49.874477 50.083683 49.338913 48.308197
"2017-03-21" 49.606693 49.76569 48.820084 47.906994
"2017-03-22" 48.962341 49.221756 48.778244 47.890621
"2017-03-23" 48.794979 49.238495 48.778244 47.923382
"2017-03-24" 50.359833 50.359833 49.322178 48.562027
"2017-03-27" 49.138077 49.623432 48.661087 48.373699
"2017-03-28" 49.405857 50.016735 49.163181 48.791279
"2017-03-29" 50.092049 50.552299 49.799164 48.840416
"2017-03-30" 49.974895 50.200836 49.748955 48.815838
"2017-03-31" 49.849373 50.543934 49.690376 49.307117
"2017-04-03" 50.393307 50.753139 49.824268 49.233433
"2017-04-04" 50.309624 50.460251 50.046024 49.143368
"2017-04-05" 50.426777 50.870293 50.259415 49.331676
"2017-04-06" 50.435146 50.861923 50.334728 49.593689
"2017-04-07" 50.694561 50.794979 50.50209 49.51181
"2017-04-10" 50.627617 51.138077 50.602509 49.945766
"2017-04-11" 50.761505 51.02092 50.552299 49.75745
"2017-04-12" 50.870293 50.995815 50.401672 49.536377
"2017-04-13" 50.627617 50.97908 50.451881 49.397175
"2017-04-17" 50.627617 50.686192 50.263599 49.519997
"2017-04-18" 50.309624 50.614227 50.205021 49.348049
"2017-04-19" 50.451881 50.78661 50.108788 49.135166
"2017-04-20" 50.426777 50.920502 50.108788 49.626438
"2017-04-21" 50.70293 50.794979 50.188286 49.135166
"2017-04-24" 50.870293 51.49791 50.778244 50.297848
"2017-04-25" 51.707111 52.334728 51.631798 51.034748
"2017-04-26" 52.133892 52.493725 51.974895 50.969234
"2017-04-27" 52.083683 52.728031 51.941422 51.026562
"2017-04-28" 52.686192 53.782429 52.301254 51.796219
"2017-05-01" 53.230125 53.263599 51.974895 51.042938
"2017-05-02" 51.740585 52.150627 51.129707 50.911938
"2017-05-03" 51.841003 52.485355 51.698746 51.313137
"2017-05-04" 52.410042 52.811714 52.351463 51.435959
"2017-05-05" 52.602509 52.853558 52.284519 51.697948
"2017-05-08" 52.794979 53.02092 52.49791 51.493256
"2017-05-09" 52.669456 53.079498 52.26778 51.337692
"2017-05-10" 52.326359 52.560669 52.083683 51.231258
"2017-05-11" 52.033474 52.46862 51.949791 51.27219
"2017-05-12" 52.251045 52.324684 51.882847 50.911938
"2017-05-15" 52.133892 52.418411 52.04184 50.944672
"2017-05-16" 52.259415 52.259415 51.924686 51.034748
"2017-05-17" 52.158997 52.158997 51.154812 50.10952
"2017-05-18" 50.836819 51.539749 50.543934 50.076782
"2017-05-19" 51.447701 51.899582 51.04184 50.633545
"2017-05-22" 51.95816 52.301254 51.799164 51.092052
"2017-05-23" 52.209206 52.46862 51.991631 51.264011
"2017-05-24" 52.50209 52.903767 52.410042 51.706638
"2017-05-25" 52.820084 53.447701 52.51046 52.165672
"2017-05-26" 53.288704 53.472801 53.037659 52.059109
"2017-05-30" 52.920502 53.380753 52.74477 51.927963
"2017-05-31" 53.071129 53.188286 51.715481 51.190231
"2017-06-01" 52.493725 53.079498 52.280334 51.632866
"2017-06-02" 52.635983 53.414227 52.589958 51.977146
"2017-06-05" 52.920502 53.188286 52.903767 51.903378
"2017-06-06" 52.920502 53.096233 52.753139 51.805012
"2017-06-07" 52.928871 53.355648 52.778244 51.936157
"2017-06-08" 53.02092 53.347279 52.560669 52.214867
"2017-06-09" 53.556484 53.556484 52.351463 51.714844
"2017-06-12" 52.753139 53.008369 52.048534 51.198421
"2017-06-13" 52.451881 52.962341 52.24268 51.862385
"2017-06-14" 52.953976 53.121338 52.661087 51.600086
"2017-06-15" 52.435146 52.937237 52.200836 51.673855
"2017-06-16" 52.861923 53.606693 52.610878 52.501759
"2017-06-19" 53.815899 54.251045 53.715481 53.108318
"2017-06-20" 53.974895 54.569038 53.807529 52.846027
"2017-06-21" 53.991631 54.142258 53.790794 52.764046
"2017-06-22" 53.841003 54 53.481171 52.542736
"2017-06-23" 53.514645 53.690376 53.280334 52.542736
"2017-06-26" 53.807529 54.158997 53.506275 52.550926
"2017-06-27" 53.380753 53.631798 53.029289 51.944355
"2017-06-28" 53.380753 54.016735 53.217571 52.796844
"2017-06-29" 53.866108 53.866108 52.51046 51.526306
"2017-06-30" 52.652721 53.288704 52.635983 51.927963
"2017-07-03" 53.263599 53.330544 52.878662 51.911572
"2017-07-05" 53.246861 53.539749 52.874477 52.141083
"2017-07-06" 53.054394 53.372383 52.903767 51.911572
