"Index" "Open" "High" "Low" "Price"
"2012-09-17" 66.57 67.099998 66.419998 52.947922
"2012-09-18" 66.580002 66.849998 66.410004 52.971764
"2012-09-19" 66.550003 66.75 66 52.8605
"2012-09-20" 66.139999 66.379997 65.849998 52.677696
"2012-09-21" 66.480003 66.830002 66.050003 52.574375
"2012-09-24" 65.720001 66.459999 65.239998 52.749226
"2012-09-25" 66.5 66.93 66.169998 52.828712
"2012-09-26" 66.589996 67.190002 66.529999 52.939964
"2012-09-27" 66.769997 66.889999 66.110001 52.820744
"2012-09-28" 66.110001 66.470001 65.669998 52.550514
"2012-10-01" 66.029999 67.699997 66 53.58374
"2012-10-02" 67.449997 67.739998 66.93 53.488365
"2012-10-03" 67.169998 67.169998 66.309998 53.224072
"2012-10-04" 66.739998 67.269997 66.650002 53.512394
"2012-10-05" 67.18 67.879997 67.110001 53.888771
"2012-10-08" 67 67.059998 66.410004 53.216084
"2012-10-09" 66.519997 66.889999 65.940002 52.807655
"2012-10-10" 65.919998 66.059998 65.059998 52.182995
"2012-10-11" 65.57 66.040001 65.529999 52.527348
"2012-10-12" 65.830002 66.639999 65.779999 52.935783
"2012-10-15" 66.25 66.360001 65.900002 52.983822
"2012-10-16" 66.540001 67.379997 66.339996 53.832722
"2012-10-17" 67.410004 67.910004 66.910004 54.185108
"2012-10-18" 67.510002 68.730003 67.269997 54.921871
"2012-10-19" 68.260002 68.349998 67.059998 53.792686
"2012-10-22" 67.099998 67.68 66.540001 53.776665
"2012-10-23" 66.389999 66.480003 65.029999 53.023865
"2012-10-24" 65.580002 68.75 65.480003 54.289223
"2012-10-25" 68.230003 68.559998 66.959999 54.145054
"2012-10-26" 67.559998 67.68 66.75 53.912796
"2012-10-31" 67.790001 68.5 67.519997 54.521461
"2012-11-01" 68.290001 69.739998 68.019997 55.594563
"2012-11-02" 69.739998 69.879997 68.650002 55.106056
"2012-11-05" 68.809998 68.809998 67.970001 54.753696
"2012-11-06" 68.599998 69.949997 68.300003 55.466461
"2012-11-07" 68.07 68.099998 65.769997 53.32819
"2012-11-08" 66.449997 66.580002 64.139999 51.518295
"2012-11-09" 64.309998 65.160004 64.139999 51.614388
"2012-11-12" 64.480003 64.559998 63.869999 51.398174
"2012-11-13" 63.650002 64.639999 63.599998 51.053802
"2012-11-14" 63.919998 63.939999 62.02 49.812492
"2012-11-15" 62.099998 62.549999 61.84 49.764435
"2012-11-16" 62.18 62.59 61.700001 49.756432
"2012-11-19" 62.810001 63.91 62.639999 51.181915
"2012-11-20" 63.830002 63.849998 63.119999 51.053802
"2012-11-21" 63.799999 64.57 63.59 51.542309
"2012-11-23" 64.589996 65.410004 64.339996 52.383217
"2012-11-26" 65 65.190002 64.639999 52.102898
"2012-11-27" 64.970001 65.5 64.730003 52.022823
"2012-11-28" 64.480003 65.720001 64.410004 52.623463
"2012-11-29" 66 66.610001 65.5 53.280144
"2012-11-30" 66.5 66.610001 66.099998 53.256104
"2012-12-03" 66.779999 66.980003 65.290001 52.60743
"2012-12-04" 65.68 66.519997 65.580002 53.208069
"2012-12-05" 66.449997 67.150002 65.739998 53.560432
"2012-12-06" 66.800003 66.849998 65.870003 53.416275
"2012-12-07" 67.080002 67.220001 66.400002 53.808723
"2012-12-10" 67.190002 68.300003 66.910004 54.657593
"2012-12-11" 68.5 69.199997 68.300003 55.234196
"2012-12-12" 69.129997 69.57 68.790001 55.178154
"2012-12-13" 68.900002 68.989998 67.900002 54.457397
"2012-12-14" 67.660004 67.970001 67.360001 54.45739
"2012-12-17" 67.629997 68.379997 67.5 54.868908
"2012-12-18" 68.080002 69.050003 67.82 55.683868
"2012-12-19" 68.940002 69.769997 68.769997 56.095367
"2012-12-20" 69.610001 70.279999 69.169998 56.708626
"2012-12-21" 69.339996 70.43 69.309998 56.805435
"2012-12-24" 70.589996 70.589996 68.940002 56.055042
"2012-12-26" 69.610001 70.18 69 55.708054
"2012-12-27" 69.139999 69.470001 68.209999 55.691933
"2012-12-28" 68.419998 68.790001 67.839996 54.772079
"2012-12-31" 67.540001 69.309998 67.139999 55.893669
"2013-01-02" 70.669998 71.209999 70.239998 57.45903
"2013-01-03" 71.120003 71.75 70.589996 57.684986
"2013-01-04" 71.650002 71.660004 71 57.346066
"2013-01-07" 70.779999 72.010002 70.760002 57.983524
"2013-01-08" 71.5 71.68 70.279999 56.813534
"2013-01-09" 70.529999 70.959999 70.209999 57.031376
"2013-01-10" 71.029999 71.650002 70.919998 57.814075
"2013-01-11" 71.93 71.93 70.739998 57.079788
"2013-01-14" 70.599998 70.82 70.139999 56.765102
