"Index" "Open" "High" "Low" "Price"
"2012-09-17" 35.106667 35.173332 34.746666 31.862892
"2012-09-18" 34.453335 35.126667 34.453335 31.771397
"2012-09-19" 34.779999 34.919998 34.686668 31.795794
"2012-09-20" 34.540001 34.833332 34.513332 31.856785
"2012-09-21" 35.16 35.306667 34.193333 31.667711
"2012-09-24" 34.540001 34.799999 34.406666 31.704296
"2012-09-25" 34.700001 34.853333 34.200001 31.295654
"2012-09-26" 34.16 34.193333 33.806667 30.99679
"2012-09-27" 34.099998 34.233334 33.826668 31.198061
"2012-09-28" 34 34.273335 33.84 31.320045
"2012-10-01" 34.293331 34.5 34.080002 31.295654
"2012-10-02" 34.286667 34.439999 33.740002 31.124863
"2012-10-03" 33.939999 34.139999 33.900002 31.216623
"2012-10-04" 34.193333 34.493332 34.046665 31.620377
"2012-10-05" 34.66 34.84 34.473331 31.767187
"2012-10-08" 34.533333 34.586666 34.393333 31.657078
"2012-10-09" 34.400002 34.486668 34.033333 31.253325
"2012-10-10" 34.026669 34.060001 33.759998 31.118744
"2012-10-11" 34.113335 34.386665 33.993332 31.332861
"2012-10-12" 34.133331 34.426666 33.773335 31.057575
"2012-10-15" 34.02 34.02 33.673332 31.045332
"2012-10-16" 33.973331 34.366669 33.866669 31.436844
"2012-10-17" 34.439999 34.846668 34.326668 31.865057
"2012-10-18" 34.779999 34.906666 34.606667 31.77331
"2012-10-19" 34.599998 34.639999 33.939999 31.259443
"2012-10-22" 34.006668 34.240002 33.080002 31.314508
"2012-10-23" 33.706669 34.013332 33.613335 31.100386
"2012-10-24" 33.919998 34.253334 33.799999 31.19216
"2012-10-25" 33.993332 34.046665 33.259998 30.690548
"2012-10-26" 33.486668 33.746666 33.413334 30.867949
"2012-10-31" 33.526669 33.740002 33.393333 30.947466
"2012-11-01" 33.799999 34.026669 33.333332 31.19828
"2012-11-02" 34.02 34.333332 33.666668 30.929111
"2012-11-05" 33.486668 33.853333 33.333332 30.978037
"2012-11-06" 33.766666 34.166668 33.766666 31.075932
"2012-11-07" 33.573334 33.673332 33.099998 30.476431
"2012-11-08" 33.119999 33.446667 33.119999 30.445847
"2012-11-09" 33.073334 33.646667 33.033333 30.721119
"2012-11-12" 33.506668 33.633331 33.326668 30.623249
"2012-11-13" 33.259998 33.733334 33.153332 30.592661
"2012-11-14" 33.393333 33.573334 32.806667 30.311266
"2012-11-15" 33.086666 33.393333 32.873333 30.482544
"2012-11-16" 33.166668 33.66 32.733334 30.874058
"2012-11-19" 33.946667 34.060001 33.779999 31.149324
"2012-11-20" 33.860001 34.106667 33.786667 31.296162
"2012-11-21" 34.200001 34.200001 33.966667 31.338972
"2012-11-23" 34.333332 34.560001 34.066666 31.712124
"2012-11-26" 34.299999 34.473331 34.193333 31.626488
"2012-11-27" 34.413334 34.560001 34.266666 31.553082
"2012-11-28" 34.273335 34.52 34.153332 31.669313
"2012-11-29" 34.626667 34.686668 34.413334 31.748833
"2012-11-30" 34.639999 34.713333 34.48 31.80389
"2012-12-03" 34.639999 34.773335 34.466667 31.693785
"2012-12-04" 34.613335 34.639999 34.400002 31.60813
"2012-12-05" 34.52 34.700001 34.253334 31.699903
"2012-12-06" 34.566666 34.593334 34.053333 31.583668
"2012-12-07" 34.526669 34.66 34.326668 31.669313
"2012-12-10" 34.439999 34.826668 34.366669 31.877306
"2012-12-11" 34.833332 34.860001 34.606667 31.810007
"2012-12-12" 34.766666 35.133331 34.66 31.865057
"2012-12-13" 34.686668 34.773335 34.066666 31.283913
"2012-12-14" 34.080002 34.119999 33.68 30.941351
"2012-12-17" 33.846668 34.546665 33.846668 31.693785
"2012-12-18" 34.573334 34.580002 34.253334 31.724371
"2012-12-19" 34.666668 34.993332 34.560001 31.730488
"2012-12-20" 34.599998 35.32 34.586666 32.403389
"2012-12-21" 34.959999 35.060001 34.526669 31.877306
"2012-12-24" 34.740002 34.98 34.506668 31.871176
"2012-12-26" 34.799999 34.799999 34.273335 31.565315
"2012-12-27" 34.439999 34.459999 33.786667 31.283913
"2012-12-28" 33.906666 34.200001 33.813332 31.173803
"2012-12-31" 33.986668 34.446667 33.733334 31.60813
"2013-01-02" 34.933334 35.040001 34.419998 32.240055
"2013-01-03" 35.013332 35.426666 34.886665 32.59589
"2013-01-04" 35.386665 35.793331 35.386665 32.798347
"2013-01-07" 35.413334 35.713333 35.240002 32.84129
"2013-01-08" 35.526669 35.593334 35.246666 32.546829
"2013-01-09" 35.34 35.66 35.32 32.534534
"2013-01-10" 34.786667 35.599998 34.786667 32.663372
"2013-01-11" 35.626667 35.686668 35.259998 32.792221
"2013-01-14" 35.646667 35.813332 35.433334 32.835152
"2013-01-15" 35.5 35.653332 35.366669 32.786087
"2013-01-16" 35.52 35.753334 35.346668 32.865826
"2013-01-17" 35.766666 36.02 35.706669 32.890377
"2013-01-18" 35.806667 35.880001 35.546665 32.982399
"2013-01-22" 35.84 36.293331 35.753334 33.393459
"2013-01-23" 36.166668 36.326668 36.066666 33.399597
"2013-01-24" 36.560001 37.18 36.560001 34.056046
"2013-01-25" 37.220001 37.406666 36.713333 34.344398
"2013-01-28" 37.32 37.34 36.906666 34.141941
"2013-01-29" 37.099998 37.173332 36.946667 34.148075
"2013-01-30" 37.066666 37.133331 36.846668 34.098995
"2013-01-31" 37.053333 37.173332 36.833332 34.178749
"2013-02-01" 37.506668 37.619999 37.299999 34.368946
"2013-02-04" 37.106667 37.299999 36.893333 33.976292
"2013-02-05" 36.653332 37.146667 36.333332 33.761566
"2013-02-06" 36.540001 37.240002 36.506668 34.221699
"2013-02-07" 37.259998 37.353333 36.700001 34.037643
"2013-02-08" 36.959999 37.133331 36.873333 34.080593
"2013-02-11" 37.053333 37.233334 36.880001 34.246231
"2013-02-12" 37.220001 37.353333 37.099998 34.356674
"2013-02-13" 37.313332 37.506668 37.226665 34.43642
"2013-02-14" 37.273335 37.353333 37.02 34.344398
"2013-02-15" 37.513332 37.613335 37.220001 34.485508
"2013-02-19" 37.706669 37.919998 37.299999 34.804527
"2013-02-20" 37.786667 37.82 37.233334 34.307583
"2013-02-21" 37.213333 37.333332 36.98 34.172626
"2013-02-22" 37.333332 37.419998 37.073334 34.43642
"2013-02-25" 37.546665 37.599998 36.66 33.74316
"2013-02-26" 36.846668 37.073334 36.580002 33.939472
"2013-02-27" 36.846668 37.453335 36.846668 34.418022
"2013-02-28" 37.34 37.66 37.166668 34.473232
"2013-03-01" 37.206669 37.633331 36.919998 34.540714
"2013-03-04" 37.380001 37.82 37.266666 34.804527
"2013-03-05" 38.006668 38.386665 37.993332 35.221725
"2013-03-06" 38.400002 38.626667 38.326668 35.479382
"2013-03-07" 38.573334 38.753334 38.419998 35.55302
"2013-03-08" 38.833332 39.106667 38.700001 35.79842
"2013-03-11" 38.786667 39.193333 38.746666 36.062241
"2013-03-12" 39.193333 39.253334 39.060001 36.056103
"2013-03-13" 39.193333 39.613335 39.139999 36.436481
"2013-03-14" 39.693333 39.833332 39.513332 36.58371
"2013-03-15" 39.626667 39.793331 39.313332 36.418053
"2013-03-18" 39.139999 39.493332 39.026669 35.988605
"2013-03-19" 39.200001 39.373333 38.933334 36.031544
"2013-03-20" 39.380001 39.759998 39.273335 36.30151
"2013-03-21" 39.240002 39.439999 39.080002 36.148109
"2013-03-22" 39.380001 39.526669 39.240002 36.375122
"2013-03-25" 39.646667 39.693333 39.213333 36.307648
"2013-03-26" 39.646667 39.646667 39.380001 36.393517
"2013-03-27" 39.306667 39.599998 39.240002 36.4058
"2013-03-28" 39.493332 39.906666 39.493332 36.688019
"2013-04-01" 39.886665 39.98 39.419998 36.479416
"2013-04-02" 39.773335 39.926666 39.540001 36.577591
"2013-04-03" 39.653332 39.653332 38.773335 35.888474
"2013-04-04" 39.006668 39.346668 38.926666 36.282272
"2013-04-05" 38.806667 38.860001 38.459999 35.771584
"2013-04-08" 38.786667 38.919998 38.473331 35.91309
"2013-04-09" 39 39.113335 38.793331 35.906952
"2013-04-10" 39.093334 40.006668 38.826668 36.903671
"2013-04-11" 39.973331 40.02 39.720001 36.811378
"2013-04-12" 39.700001 39.799999 39.586666 36.682186
"2013-04-15" 39.68 39.720001 38.826668 35.833111
"2013-04-16" 39.060001 39.68 39.053333 36.577576
"2013-04-17" 39.380001 39.493332 38.900002 36.017696
"2013-04-18" 39.086666 39.259998 38.786667 36.097675
"2013-04-19" 39.193333 39.553333 39.026669 36.485283
"2013-04-22" 39.553333 39.626667 39.040001 36.454533
"2013-04-23" 39.573334 40.186668 39.426666 36.98365
"2013-04-24" 40.286667 40.713333 39.813332 37.328197
"2013-04-25" 40.619999 41.16 40.299999 37.789658
"2013-04-26" 40.966667 41.119999 40.633331 37.721977
"2013-04-29" 40.933334 41.32 40.753334 38.084972
"2013-04-30" 41.153332 41.52 41.02 38.18959
"2013-05-01" 40.826668 41.433334 40.826668 37.721977
"2013-05-02" 41.040001 41.5 40.566666 38.28801
"2013-05-03" 41.933334 42.006668 41.706669 38.534126
"2013-05-06" 41.733334 42.106667 41.713333 38.76178
"2013-05-07" 41.993332 42.373333 41.959999 39.087864
"2013-05-08" 42.286667 42.799999 42.273335 39.500095
"2013-05-09" 42.806667 42.853333 42.526669 39.420109
"2013-05-10" 42.720001 42.833332 42.48 39.500095
"2013-05-13" 42.706669 42.893333 42.52 39.487789
"2013-05-14" 42.766666 43.259998 42.593334 39.924625
"2013-05-15" 43.18 43.66 43.026669 40.219948
"2013-05-16" 43.473331 43.506668 42.933334 39.721592
"2013-05-17" 43.119999 43.413334 43.119999 39.906158
"2013-05-20" 43.16 43.446667 42.986668 40.096905
"2013-05-21" 43.439999 43.553333 43.200001 40.096905
"2013-05-22" 43.233334 43.686668 42.813332 39.647755
"2013-05-23" 42.466667 43.026669 42.373333 39.586243
"2013-05-24" 42.700001 42.873333 42.286667 39.537014
"2013-05-28" 43.246666 43.586666 42.913334 39.795425
"2013-05-29" 42.873333 43.246666 42.706669 39.740044
"2013-05-30" 43.093334 43.759998 43.073334 40.232269
"2013-05-31" 43.473331 43.826668 43.006668 39.690834
"2013-06-03" 42.939999 43 42.093334 39.524712
"2013-06-04" 42.826668 43.099998 41.833332 38.927891
"2013-06-05" 42.02 42.166668 41.686668 38.607956
"2013-06-06" 41.846668 42.639999 41.673332 39.352417
"2013-06-07" 42.919998 43.333332 42.673332 39.967697
"2013-06-10" 43.360001 43.560001 43.279999 40.059986
"2013-06-11" 42.299999 43.353333 42.299999 39.604683
"2013-06-12" 43.119999 43.606667 42.913334 39.684669
"2013-06-13" 43.026669 43.626667 42.799999 40.170742
"2013-06-14" 43.493332 43.506668 42.846668 39.783127
"2013-06-17" 43.386665 43.706669 43.353333 40.232269
