"Index" "Open" "High" "Low" "Price"
"2012-09-17" 23.92 23.950001 23.73 18.35297
"2012-09-18" 24.290001 24.450001 24.02 18.838783
"2012-09-19" 24.360001 25.15 24.32 19.085545
"2012-09-20" 24.34 24.540001 23.91 18.831072
"2012-09-21" 24.540001 24.889999 24.5 19.1241
"2012-09-24" 24.51 24.68 24.120001 18.784805
"2012-09-25" 24.43 24.5 23.280001 18.137051
"2012-09-26" 23.25 23.73 22.85 18.036802
"2012-09-27" 23.67 23.700001 23.139999 17.874863
"2012-09-28" 23 23.1 22.709999 17.54328
"2012-10-01" 23 23.41 22.85 17.805464
"2012-10-02" 23.5 24.1 22.67 18.260435
"2012-10-03" 23.709999 24.610001 23.66 18.807938
"2012-10-04" 24.549999 24.67 24.32 19.008434
"2012-10-05" 24.879999 25.43 24.57 19.1241
"2012-10-08" 24.790001 24.809999 24.51 18.946739
"2012-10-09" 24.74 24.860001 24.27 18.792517
"2012-10-10" 24.41 24.58 24.1 18.684557
"2012-10-11" 24.41 24.99 24.23 19.016144
"2012-10-12" 24.559999 24.83 24.33 18.846491
"2012-10-15" 24.51 24.58 24.33 18.87734
"2012-10-16" 24.52 24.85 24.41 19.116394
"2012-10-17" 24.9 25.129999 24.6 19.324594
"2012-10-18" 25.09 25.719999 24.959999 19.710167
"2012-10-19" 25.43 25.5 24.549999 18.962158
"2012-10-22" 24.559999 24.85 24.280001 18.985296
"2012-10-23" 24.07 24.1 23.73 18.406952
"2012-10-24" 24.15 24.27 23.66 18.268145
"2012-10-25" 23.98 24.27 23.58 18.221878
"2012-10-26" 23.610001 23.9 23.190001 17.951982
"2012-10-31" 24.299999 25.719999 23.9 19.663897
"2012-11-01" 25.530001 25.85 24.91 19.802702
"2012-11-02" 25.809999 25.99 25.549999 19.887524
"2012-11-05" 25.440001 25.99 25.35 19.717871
"2012-11-06" 25.59 26.27 25.450001 20.195976
"2012-11-07" 25.639999 25.67 24.92 19.301464
"2012-11-08" 25.219999 25.5 24.700001 19.06241
"2012-11-09" 24.379999 25.280001 24.379999 19.309177
"2012-11-12" 25.049999 25.379999 25.049999 19.478825
"2012-11-13" 24.889999 25.18 24.75 19.139524
"2012-11-14" 24.93 24.99 24.1 18.638288
"2012-11-15" 24.18 24.190001 23.540001 18.41466
"2012-11-16" 23.92 23.98 23.389999 18.391527
"2012-11-19" 24.27 24.940001 24.129999 19.224356
"2012-11-20" 24.9 24.940001 24.379999 18.969872
"2012-11-21" 24.57 24.969999 24.43 18.969872
"2012-11-23" 24.959999 25.42 24.860001 19.440262
"2012-11-26" 25.17 25.41 24.950001 19.45569
"2012-11-27" 25.139999 25.35 25 19.286041
"2012-11-28" 24.690001 25.299999 24.639999 19.494253
"2012-11-29" 25.610001 26.24 25.51 20.118866
"2012-11-30" 25.889999 26.17 25.58 19.956928
"2012-12-03" 26.059999 26.360001 25.459999 19.671606
"2012-12-04" 25.34 25.5 24.52 19.59449
"2012-12-05" 25.370001 25.6 24.940001 19.278332
"2012-12-06" 24.91 25 24.459999 18.946739
"2012-12-07" 24.76 25.209999 24.57 19.424845
"2012-12-10" 25.059999 25.41 25.040001 19.494253
"2012-12-11" 25.309999 25.5 25.110001 19.625343
"2012-12-12" 25.540001 26.07 25.440001 19.764145
"2012-12-13" 25.559999 25.83 24.9 19.370857
"2012-12-14" 25.08 25.110001 24.4 18.977587
"2012-12-17" 24.67 24.9 24.65 19.162655
"2012-12-18" 24.98 25.540001 24.799999 19.656187
"2012-12-19" 27.440001 27.91 26.860001 20.9594
"2012-12-20" 27 27.48 26.870001 21.082787
"2012-12-21" 26.74 27.379999 26.540001 21.067358
"2012-12-24" 27.309999 27.74 27.309999 21.32954
"2012-12-26" 27.629999 27.950001 27.49 21.298698
"2012-12-27" 27.74 27.99 27.43 21.560883
"2012-12-28" 27.66 27.940001 27.549999 21.476055
"2012-12-31" 27.76 28.9 27.620001 22.23177
"2013-01-02" 29.41 29.5 28.629999 22.463108
"2013-01-03" 29.049999 30.23 28.84 22.99519
"2013-01-04" 29.74 29.860001 29.23 23.026039
"2013-01-07" 29.639999 29.860001 29.299999 22.871807
"2013-01-08" 29.66 29.85 29.049999 22.648188
"2013-01-09" 29.58 30.280001 29.559999 23.110859
"2013-01-10" 30.280001 30.450001 29.780001 23.473293
"2013-01-11" 30.379999 30.6 30.110001 23.411602
"2013-01-14" 30.15 30.389999 29.889999 23.388466
"2013-01-15" 30.110001 30.68 29.950001 23.596668
"2013-01-16" 29.57 29.73 28.83 22.601917
"2013-01-17" 29.48 29.65 29.190001 22.740715
"2013-01-18" 29.440001 29.530001 28.879999 22.578781
"2013-01-22" 29.190001 29.27 28.379999 22.077541
"2013-01-23" 28.58 28.84 26.620001 22.031271
"2013-01-24" 28.59 28.98 28.35 22.193214
"2013-01-25" 28.959999 29.16 28.870001 22.41684
"2013-01-28" 29.049999 29.15 28.610001 22.23177
"2013-01-29" 28.799999 28.82 28.16 21.938742
"2013-01-30" 28.280001 28.65 27.77 21.545458
"2013-01-31" 27.799999 28.139999 27.610001 21.661129
"2013-02-01" 28.389999 28.5 28.08 21.722822
"2013-02-04" 27.889999 28.200001 27.879999 21.560883
"2013-02-05" 28.030001 28.6 28.030001 22.046701
"2013-02-06" 28.35 28.6 28.219999 21.99272
"2013-02-07" 28.68 28.91 28.030001 21.954165
"2013-02-08" 28.540001 28.73 28.5 22.031271
"2013-02-11" 28.51 28.65 28.35 22.000429
"2013-02-12" 28.43 28.75 28.24 22.01585
"2013-02-13" 28.75 28.870001 28.440001 22.108391
"2013-02-14" 28.74 29.360001 27.67 21.398949
"2013-02-15" 27.59 27.92 27.219999 21.406654
"2013-02-19" 27.690001 27.799999 27.459999 21.344961
"2013-02-20" 27.809999 27.809999 27.049999 20.897709
"2013-02-21" 27.02 27.040001 26.33 20.442738
"2013-02-22" 26.4 27.120001 26.309999 20.905422
"2013-02-25" 27.110001 27.17 26.33 20.30394
"2013-02-26" 26.65 26.85 26.190001 20.689503
"2013-02-27" 26.799999 27.58 26.719999 21.129051
"2013-02-28" 27.5 27.57 26.889999 20.936262
"2013-03-01" 26.83 27.49 26.75 20.982533
"2013-03-04" 27.139999 27.290001 26.99 20.889996
"2013-03-05" 27.219999 27.790001 27.190001 21.267853
"2013-03-06" 27.76 27.959999 27.620001 21.522327
"2013-03-07" 27.860001 28.139999 27.790001 21.499193
"2013-03-08" 27.91 28.190001 27.889999 21.59173
"2013-03-11" 27.950001 28.389999 27.549999 21.83078
"2013-03-12" 28.26 28.639999 28.09 21.87705
"2013-03-13" 28.379999 28.379999 28.049999 21.645702
"2013-03-14" 28.049999 28.23 28.040001 21.715105
"2013-03-15" 27.959999 28.26 27.799999 21.753668
"2013-03-18" 27.950001 28.15 27.73 21.622574
"2013-03-19" 28.1 28.200001 27.9 21.66884
"2013-03-20" 28.25 29.299999 28.190001 22.517084
"2013-03-21" 28.91 29.17 28.57 22.077541
"2013-03-22" 28.620001 28.709999 27.959999 21.761379
"2013-03-25" 28.389999 28.48 28.02 21.715105
"2013-03-26" 28.280001 28.35 27.99 21.707399
"2013-03-27" 28.049999 28.27 27.959999 21.637995
"2013-03-28" 28.02 28.09 27.639999 21.452921
"2013-04-01" 27.65 28.09 27.65 21.437506
"2013-04-02" 27.959999 28.299999 27.530001 21.537748
"2013-04-03" 28 28.1 27.66 21.437506
"2013-04-04" 27.75 28 27.51 21.391235
"2013-04-05" 27.379999 27.559999 27.110001 21.221588
"2013-04-08" 27.5 27.639999 27.4 21.275566
"2013-04-09" 27.77 27.780001 27.5 21.229296
"2013-04-10" 27.690001 28.51 27.68 21.87705
"2013-04-11" 28.49 29.76 28.440001 22.918079
"2013-04-12" 29.57 29.84 29.549999 22.840967
"2013-04-15" 29.41 29.690001 28.84 22.293455
"2013-04-16" 29.17 29.52 29.17 22.725292
"2013-04-17" 29.030001 29.33 28.77 22.57107
"2013-04-18" 29.25 29.379999 28.75 22.347439
"2013-04-19" 29.1 29.26 28.91 22.478533
"2013-04-22" 29.200001 29.34 28.85 22.555643
"2013-04-23" 29.34 29.92 29.280001 23.018324
"2013-04-24" 29.91 30.799999 29.860001 23.481007
"2013-04-25" 30.059999 30.780001 30 23.681499
"2013-04-26" 30.790001 30.799999 30.030001 23.51956
"2013-04-29" 30.620001 30.9 30.42 23.743187
"2013-04-30" 30.77 30.969999 30.57 23.78175
"2013-05-01" 30.77 31.08 30.110001 23.2728
"2013-05-02" 31.309999 31.82 31.049999 24.028509
"2013-05-03" 31.74 32.439999 31.629999 24.753372
"2013-05-06" 32.02 32.220001 31.780001 24.537458
"2013-05-07" 31.92 32.130001 31.459999 24.406363
"2013-05-08" 31.41 32.189999 31.09 24.737955
"2013-05-09" 32.009998 32.16 31.620001 24.406363
"2013-05-10" 31.549999 31.700001 30.969999 24.229004
"2013-05-13" 31.16 31.35 30.870001 23.90513
"2013-05-14" 31.02 31.700001 31.01 24.32925
"2013-05-15" 31.549999 32.400002 31.51 24.915316
"2013-05-16" 32.09 32.669998 32 24.977003
"2013-05-17" 32.990002 33.77 32.810001 25.771271
"2013-05-20" 33.369999 34.009998 33.360001 25.98719
"2013-05-21" 33.59 33.959999 32.880001 25.755846
"2013-05-22" 33.220001 33.93 32.990002 25.62475
"2013-05-23" 32.330002 33.110001 32.099998 25.331722
"2013-05-24" 32.549999 33 32.509998 25.347143
"2013-05-28" 34 34.299999 33.75 26.187681
"2013-05-29" 33.709999 34.299999 33.450001 26.25708
"2013-05-30" 34.040001 34.91 33.869999 26.712053
"2013-05-31" 34.529999 34.779999 33.889999 26.133699
"2013-06-03" 34.57 34.689999 33.380001 26.542398
"2013-06-04" 35.400002 35.490002 34.75 26.958813
"2013-06-05" 35 35.07 34 26.233946
"2013-06-06" 34.119999 34.529999 33.779999 26.557825
"2013-06-07" 34.790001 35.099998 34 27.012794
"2013-06-10" 35.18 35.240002 34.52 26.789165
"2013-06-11" 34.369999 34.490002 33.59 26.164549
"2013-06-12" 34.279999 34.459999 33.240002 25.794411
"2013-06-13" 33.360001 34.509998 33.099998 26.60409
"2013-06-14" 34.459999 34.619999 34.09 26.442154
"2013-06-17" 34.5 34.560001 33.599998 26.010323
"2013-06-18" 33.799999 34.060001 33.439999 26.226236
"2013-06-19" 34.02 34.25 33.650002 25.956339
"2013-06-20" 33.41 33.41 32.279999 25.108097
"2013-06-21" 32.959999 32.970001 31.74 24.838198
"2013-06-24" 31.76 31.84 31.129999 24.229004
"2013-06-25" 31.75 32.02 31.540001 24.537458
"2013-06-26" 32.18 32.700001 32.029999 25.100384
"2013-06-27" 32.919998 33.5 32.779999 25.524502
"2013-06-28" 33.02 33.720001 32.799999 25.686445
"2013-07-01" 33.52 34.189999 33.41 26.218527
"2013-07-02" 34.040001 34.939999 33.82 26.295633
"2013-07-03" 33.939999 34.400002 33.759998 26.326485
"2013-07-05" 34.349998 34.830002 34.240002 26.735184
"2013-07-08" 34.779999 35.02 34.540001 26.712053
"2013-07-09" 34.900002 35.25 34.720001 26.927963
"2013-07-10" 34.900002 35.34 34.84 27.244137
"2013-07-11" 35.720001 36.200001 35.639999 27.86875
"2013-07-12" 36.09 36.580002 35.91 28.069246
"2013-07-15" 36.599998 36.720001 36.279999 28.146362
"2013-07-16" 36.869999 36.939999 35.759998 27.89959
"2013-07-17" 36.23 36.560001 36.080002 28.038397
"2013-07-18" 36.5 36.990002 36.330002 28.408546
"2013-07-19" 36.889999 36.889999 36.060001 28.231184
"2013-07-22" 36.619999 36.990002 36.48 28.346855
"2013-07-23" 36.889999 36.950001 36.52 28.231184
"2013-07-24" 37.110001 37.450001 36.869999 28.639883
"2013-07-25" 37.470001 37.709999 36.509998 28.593622
"2013-07-26" 36.93 37 36.459999 28.277456
"2013-07-29" 36.57 36.669998 36.150002 28.053823
"2013-07-30" 36.529999 36.779999 36.32 28.146362
"2013-07-31" 36.619999 36.720001 35.669998 27.660547
"2013-08-01" 36.389999 36.860001 36.009998 28.123222
"2013-08-02" 36.439999 37.18 36.34 28.493372
"2013-08-05" 37.029999 37.049999 36.650002 28.339151
"2013-08-06" 36.439999 36.490002 35.959999 27.72995
"2013-08-07" 36.009998 36.099998 35.43 27.359802
"2013-08-08" 35.610001 36.110001 35.57 27.768501
"2013-08-09" 35.959999 36.27 35.700001 27.776213
"2013-08-12" 35.759998 36.099998 35.599998 27.745365
"2013-08-13" 36.209999 36.209999 35.59 27.637407
"2013-08-14" 35.84 36.009998 35.209999 27.429201
"2013-08-15" 35.169998 35.18 34.41 26.642653
"2013-08-16" 34.59 34.91 34.18 26.511555
"2013-08-19" 34.560001 34.830002 34.419998 26.596382
"2013-08-20" 34.560001 34.91 34.049999 26.827715
"2013-08-21" 34.779999 34.950001 34.389999 26.627226
"2013-08-22" 34.66 35.049999 34.650002 26.981949
"2013-08-23" 35.139999 35.220001 34.860001 27.035929
"2013-08-26" 35.029999 35.52 34.849998 26.927963
"2013-08-27" 34.439999 34.610001 33.619999 25.979477
"2013-08-28" 33.57 34.16 33.5 26.156832
"2013-08-29" 33.82 34.689999 33.810001 26.565538
"2013-08-30" 34.5 34.540001 33.900002 26.280222
"2013-09-03" 34.68 34.77 33.959999 26.326485
"2013-09-04" 34.200001 35.900002 34.169998 27.645119
"2013-09-05" 36.009998 36.790001 35.869999 28.015272
"2013-09-06" 36.400002 36.619999 35.610001 27.876467
"2013-09-09" 36.34 36.700001 36.25 28.130932
"2013-09-10" 36.939999 37.27 36.720001 28.531931
"2013-09-11" 36.529999 36.599998 36.02 28.030685
"2013-09-12" 36.369999 36.560001 35.880001 28.046114
"2013-09-13" 36.490002 36.549999 35.990002 27.807062
"2013-09-16" 36.470001 36.619999 36.150002 27.930449
"2013-09-17" 36.32 36.98 36.32 28.308296
"2013-09-18" 36.759998 37.73 36.709999 28.979187
"2013-09-19" 37.84 37.880001 37.16 28.70929
"2013-09-20" 37.639999 37.68 36.830002 28.400843
"2013-09-23" 37.150002 37.5 36.549999 28.632175
"2013-09-24" 37.16 37.970001 37.060001 28.87122
"2013-09-25" 37.529999 37.779999 37.16 28.670738
"2013-09-26" 37.189999 37.349998 36.759998 28.493372
"2013-09-27" 36.77 36.900002 36.16 28.046114
"2013-09-30" 35.709999 36.310001 35.619999 27.737663
"2013-10-01" 36.040001 36.41 35.32 27.691387
"2013-10-02" 35.740002 36 35.23 27.714525
"2013-10-03" 35.759998 35.939999 35.130001 27.213285
"2013-10-04" 35.439999 35.799999 35.130001 27.529455
"2013-10-07" 35.23 35.52 35.02 27.128466
"2013-10-08" 35.25 35.27 34.169998 26.380465
"2013-10-09" 34.330002 34.389999 33.919998 26.341909
"2013-10-10" 34.740002 34.889999 34.610001 26.873985
"2013-10-11" 34.790001 35.52 34.66 27.259556
"2013-10-14" 34.830002 35.450001 34.810001 27.244137
"2013-10-15" 35.279999 35.380001 34.509998 26.75832
"2013-10-16" 35.02 35.209999 34.779999 27.089912
"2013-10-17" 35.16 35.790001 34.959999 27.498602
"2013-10-18" 36.209999 36.299999 35.68 27.675974
"2013-10-21" 36.259998 36.27 35.34 27.375225
"2013-10-22" 35.619999 36.130001 35.369999 27.305826
"2013-10-23" 35.380001 35.389999 34.529999 27.028219
"2013-10-24" 35.490002 36.029999 35.099998 27.475475
"2013-10-25" 35.669998 35.77 35.32 27.444626
"2013-10-28" 35.439999 35.970001 35.43 27.606569
"2013-10-29" 35.82 36.18 35.509998 27.807062
"2013-10-30" 37.200001 37.549999 36.779999 28.70929
"2013-10-31" 37.18 37.990002 36.950001 28.493372
"2013-11-01" 37.169998 38.209999 37.049999 28.832668
"2013-11-04" 37.5 37.799999 37.41 28.894356
"2013-11-05" 37.279999 37.509998 37.07 28.601328
"2013-11-06" 37.240002 37.400002 36.57 28.215761
"2013-11-07" 36.610001 36.75 35.91 27.699099
"2013-11-08" 36.150002 36.77 36.009998 28.269739
"2013-11-11" 36.68 37.09 36.5 28.285164
"2013-11-12" 36.669998 36.799999 36.369999 28.269739
"2013-11-13" 36.5 38.529999 36.48 29.642351
"2013-11-14" 38.700001 38.799999 38.150002 29.688625
"2013-11-15" 38.509998 39.080002 38.200001 29.896826
"2013-11-18" 38.810001 39.18 38.529999 29.742607
"2013-11-19" 38.57 38.740002 37.889999 29.310774
"2013-11-20" 38.110001 38.709999 37.599998 29.063999
"2013-11-21" 38.849998 39 38.040001 29.395597
"2013-11-22" 38.200001 38.5 37.580002 29.017748
"2013-11-25" 37.75 37.869999 37.389999 28.956043
"2013-11-26" 37.700001 37.939999 37.400002 29.048588
"2013-11-27" 37.709999 38.990002 37.599998 29.958517
"2013-11-29" 38.900002 39.150002 38.5 29.865984
"2013-12-02" 39.099998 39.389999 38.91 30.159021
"2013-12-03" 38.889999 39.09 37.68 29.411016
"2013-12-04" 38.529999 39.619999 38.119999 29.850567
"2013-12-05" 38.990002 39.34 38.549999 30.143595
"2013-12-06" 39.990002 40.380001 39.599998 30.976419
"2013-12-09" 40.380001 41.169998 40.310001 31.539349
"2013-12-10" 40.549999 41.130001 40.400002 31.153784
"2013-12-11" 40.759998 40.830002 40.07 30.9687
"2013-12-12" 40.099998 40.610001 40.009998 30.883886
"2013-12-13" 40.189999 40.349998 40.02 30.876175
"2013-12-16" 40.560001 41.549999 40.459999 31.955751
"2013-12-17" 41.66 41.849998 41.139999 32.025154
"2013-12-18" 41.169998 41.400002 39.860001 31.824669
"2013-12-19" 41.139999 41.27 40.080002 31.076654
"2013-12-20" 40.48 41.049999 40.18 31.608744
"2013-12-23" 40.900002 41.580002 40.610001 31.84009
"2013-12-24" 41.25 41.310001 40.830002 31.523933
"2013-12-26" 41.040001 41.849998 41.040001 32.017441
"2013-12-27" 41.310001 41.439999 40.860001 31.570198
"2013-12-30" 41 41.130001 40.650002 31.377403
"2013-12-31" 40.700001 41.040001 40.580002 31.516211
"2014-01-02" 40.68 41.060001 40.34 31.5779
"2014-01-03" 40.919998 40.950001 39 30.513741
"2014-01-06" 39.900002 40.59 39.639999 31.153784
"2014-01-07" 40.700001 40.939999 40.099998 30.999563
"2014-01-08" 40.330002 40.84 40.200001 31.169197
"2014-01-09" 40.880001 40.939999 40.279999 31.223181
"2014-01-10" 40.599998 40.68 39.84 30.868467
"2014-01-13" 40.16 40.639999 39.439999 30.521454
"2014-01-14" 39.77 40.16 39.57 30.860758
"2014-01-15" 39.630001 39.77 38.959999 30.367231
"2014-01-16" 39.310001 39.549999 38.759998 30.07419
"2014-01-17" 39.07 39.099998 38.330002 29.765739
"2014-01-21" 38.889999 39 37.900002 29.565248
"2014-01-22" 38.400002 38.82 38.119999 29.919971
"2014-01-23" 38.34 38.5 37.91 29.626938
"2014-01-24" 38.07 38.110001 36.700001 28.400843
"2014-01-27" 36.799999 37.279999 36.060001 28.346855
"2014-01-28" 37.16 37.200001 36.720001 28.38542
"2014-01-29" 36.060001 36.959999 36.009998 28.030685
"2014-01-30" 36.880001 37.07 36.48 28.408546
"2014-01-31" 36.220001 36.84 35.880001 27.822485
"2014-02-03" 36.27 36.310001 34.91 27.182444
"2014-02-04" 35.470001 35.98 35.25 27.621986
"2014-02-05" 35.84 35.84 34.959999 27.174738
"2014-02-06" 34.43 35.82 34.360001 27.167019
"2014-02-07" 35.970001 36.470001 35.419998 27.845617
"2014-02-10" 35.91 35.919998 34.619999 26.91255
"2014-02-11" 35.220001 35.740002 35.189999 27.182444
"2014-02-12" 35.490002 35.650002 35.130001 27.421499
"2014-02-13" 35.169998 35.220001 34.759998 27.143888
"2014-02-14" 35.369999 36.080002 35.25 27.722239
"2014-02-18" 36.43 36.490002 36 27.999842
"2014-02-19" 36.220001 36.720001 36 27.783932
"2014-02-20" 36.189999 36.599998 36 28.154062
"2014-02-21" 36.68 36.75 36.139999 28.292877
"2014-02-24" 36.700001 36.82 36.439999 28.18491
"2014-02-25" 36.669998 36.799999 35.990002 27.837896
"2014-02-26" 35.950001 37.130001 35.939999 28.400843
"2014-02-27" 36.560001 36.849998 35.970001 28.354576
"2014-02-28" 36.73 36.759998 35.889999 27.915016
"2014-03-03" 35.700001 36.59 35.700001 27.922728
"2014-03-04" 36.529999 36.990002 36.43 28.477951
"2014-03-05" 37.540001 38.049999 37.330002 28.932915
"2014-03-06" 37.869999 38.049999 37.540001 28.948334
"2014-03-07" 37.939999 38.009998 37.450001 29.063999
"2014-03-10" 37.560001 37.560001 36.759998 28.601328
"2014-03-11" 37 37.119999 35.02 27.128466
"2014-03-12" 34.759998 35.25 34.369999 26.881704
"2014-03-13" 35.040001 35.16 33.869999 26.287926
"2014-03-14" 33.849998 34.560001 33.57 26.52132
"2014-03-17" 34.139999 34.689999 33.709999 26.941431
"2014-03-18" 34.68 35.240002 34.5 27.361538
"2014-03-19" 35.279999 36 34.599998 27.159269
"2014-03-20" 34.790001 35.27 34.400002 27.431553
"2014-03-21" 35.389999 35.5 34.779999 27.237062
"2014-03-24" 34.689999 35.169998 34.279999 27.338202
"2014-03-25" 35.130001 35.18 34.189999 26.848068
"2014-03-26" 34.68 34.740002 34.200001 26.622461
"2014-03-27" 34.279999 34.990002 34.110001 26.848068
"2014-03-28" 34.639999 35.02 34.560001 27.019226
"2014-03-31" 34.529999 34.790001 33.950001 26.778057
"2014-04-01" 34.5 35.139999 34.32 26.715813
"2014-04-02" 34.650002 35.049999 34.380001 27.135923
"2014-04-03" 34.939999 35.5 34.73 27.571592
"2014-04-04" 35.580002 35.700001 34.650002 27.081463
"2014-04-07" 34.669998 34.73 33.82 26.536888
"2014-04-08" 34.150002 34.599998 33.849998 26.86363
"2014-04-09" 33.900002 34.240002 33.599998 26.155672
"2014-04-10" 33.709999 34.060001 33.299999 25.906717
"2014-04-11" 33 33.09 31.700001 24.840885
"2014-04-14" 32.290001 32.880001 32.150002 25.323231
"2014-04-15" 32.810001 33.439999 32.290001 25.9534
"2014-04-16" 33.689999 33.990002 33.32 26.427967
"2014-04-17" 33.830002 34.09 33.799999 26.435741
"2014-04-21" 33.950001 34.209999 33.75 26.435741
"2014-04-22" 34.029999 34.439999 34 26.630238
"2014-04-23" 34.290001 34.610001 34.099998 26.754713
"2014-04-24" 35.5 35.700001 33.52 26.583563
"2014-04-25" 33.549999 34.080002 33.549999 26.233471
"2014-04-28" 33.93 33.939999 33.52 26.264585
"2014-04-29" 33.700001 34.099998 33.619999 26.443521
"2014-04-30" 33.84 34.540001 33.84 26.824728
"2014-05-01" 34.669998 35.400002 34.540001 27.151485
"2014-05-02" 35.029999 35.330002 34.860001 27.205944
"2014-05-05" 34.84 34.889999 34.630001 27.03479
"2014-05-06" 35.07 35.139999 34.75 27.03479
"2014-05-07" 34.959999 35.110001 34.610001 27.283745
"2014-05-08" 34.98 35.43 34.73 27.112581
"2014-05-09" 34.799999 34.900002 34.150002 26.630238
"2014-05-12" 34.380001 34.939999 34.380001 27.089247
"2014-05-13" 34.84 35.189999 34.599998 27.345989
"2014-05-14" 35.099998 35.110001 34.799999 27.182608
"2014-05-15" 34.610001 34.75 33.830002 26.731379
"2014-05-16" 33.75 34.650002 33.490002 26.451303
"2014-05-19" 33.84 34.349998 33.799999 26.6458
"2014-05-20" 34.16 34.299999 32.959999 25.727781
"2014-05-21" 33.150002 33.619999 33.099998 26.031197
"2014-05-22" 33.389999 33.700001 33.310001 26.000082
"2014-05-23" 33.490002 33.689999 33.41 26.163458
"2014-05-27" 33.919998 33.98 33.77 26.404629
"2014-05-28" 34.09 34.619999 33.959999 26.910311
"2014-05-29" 34.599998 34.650002 34.25 26.801399
"2014-05-30" 34.299999 34.639999 34.200001 26.902531
"2014-06-02" 34.540001 34.900002 34.290001 27.120375
"2014-06-03" 35.119999 35.689999 34.75 27.431553
"2014-06-04" 35.5 36.880001 35.349998 28.411808
"2014-06-05" 36.959999 37.040001 36.16 28.217316
"2014-06-06" 36.07 36.75 35.75 28.672306
"2014-06-09" 36.470001 36.830002 36.34 28.633083
"2014-06-10" 36.279999 36.700001 36.18 28.554636
"2014-06-11" 36.23 36.290001 35.919998 28.334986
"2014-06-12" 36 36.279999 35.490002 27.864305
"2014-06-13" 35.380001 35.779999 35.380001 27.9506
"2014-06-16" 35.490002 36.18 35.490002 28.287926
"2014-06-17" 35.869999 36.380001 35.619999 28.52326
"2014-06-18" 36.360001 36.470001 35.93 28.4762
"2014-06-19" 36.349998 36.639999 36.200001 28.531109
"2014-06-20" 36.549999 36.580002 36.099998 28.413437
"2014-06-23" 36.209999 36.799999 36.189999 28.766447
"2014-06-24" 36.619999 37.07 36.470001 28.695848
"2014-06-25" 36.459999 37.18 36.450001 29.095921
"2014-06-26" 36.889999 36.970001 36.41 28.946877
"2014-06-27" 36.73 37.029999 36.619999 28.727219
"2014-06-30" 36.59 36.900002 35.98 28.4762
"2014-07-01" 36.25 37.639999 36.25 29.488155
"2014-07-02" 37.5 38.150002 37.369999 29.60582
"2014-07-03" 37.959999 38.110001 37.720001 29.60582
"2014-07-07" 37.91 37.91 37.169998 29.370481
"2014-07-08" 37.41 37.77 37.200001 29.48031
"2014-07-09" 37.66 38.130001 37.630001 29.786249
"2014-07-10" 37.48 37.900002 37.349998 29.613668
"2014-07-11" 37.720001 38.009998 37.59 29.770567
"2014-07-14" 38.099998 38.130001 37.560001 29.574453
"2014-07-15" 37.610001 37.950001 37.439999 29.48031
"2014-07-16" 37.77 37.91 37.459999 29.401867
"2014-07-17" 37.310001 37.669998 37.009998 29.103771
"2014-07-18" 37.34 37.419998 37.060001 29.346949
"2014-07-21" 37.380001 37.529999 37.049999 29.362644
"2014-07-22" 37.560001 37.900002 37.529999 29.621519
