"Index" "Open" "High" "Low" "Price"
"2012-09-17" 23.1 23.23 22.709999 20.181547
"2012-09-18" 22.99 22.99 22.77 20.093761
"2012-09-19" 23.280001 23.639999 23.030001 20.49757
"2012-09-20" 23.379999 23.9 23.219999 20.699472
"2012-09-21" 23.65 23.76 23.469999 20.848705
"2012-09-24" 24.200001 24.34 23.190001 20.769699
"2012-09-25" 23.73 23.74 23.030001 20.286888
"2012-09-26" 23.16 23.25 22.85 20.128876
"2012-09-27" 23.01 23.23 22.75 20.251774
"2012-09-28" 22.950001 23.059999 22.73 20.093761
"2012-10-01" 26.66 26.85 24.43 21.972342
"2012-10-02" 25.32 26 25.120001 22.762398
"2012-10-03" 25.959999 26.42 25.809999 22.753618
"2012-10-04" 26 26.200001 25.75 22.832624
"2012-10-05" 26.040001 26.16 25.48 22.621943
"2012-10-08" 25.809999 25.99 25.25 22.314699
"2012-10-09" 25.360001 25.780001 25.360001 22.42004
"2012-10-10" 25.5 25.5 24.950001 22.174244
"2012-10-11" 25.360001 25.469999 25.02 22.112795
"2012-10-12" 25.219999 25.93 25.219999 22.674612
"2012-10-15" 25.99 26.08 25.549999 22.815067
"2012-10-16" 26.16 26.41 26 23.087196
"2012-10-17" 26.299999 26.440001 26.07 23.104753
"2012-10-18" 26.24 26.360001 25.82 22.79751
"2012-10-19" 25.85 26.26 25.700001 22.867737
"2012-10-22" 25.780001 25.879999 25.33 22.499044
"2012-10-23" 25.49 26.1 25.280001 22.867737
"2012-10-24" 26.25 26.709999 26.1 23.411999
"2012-10-25" 26.860001 27.92 26.860001 24.166943
"2012-10-26" 27.690001 28.67 27.690001 24.869213
"2012-10-31" 32.950001 34.630001 32.5 29.846567
"2012-11-01" 34.060001 34.240002 33.200001 29.969465
"2012-11-02" 34.349998 34.849998 34 30.153811
"2012-11-05" 35.200001 39.18 34.91 33.884632
"2012-11-06" 38.720001 38.720001 36.369999 32.927784
"2012-11-07" 37.23 38.869999 37 32.602985
"2012-11-08" 37.200001 37.200001 34.599998 30.417166
"2012-11-09" 34.459999 35.799999 34.119999 30.610287
"2012-11-12" 34.950001 35.919998 34.700001 31.338896
"2012-11-13" 35.299999 35.790001 35.02 31.014097
"2012-11-14" 35.299999 35.299999 33.959999 29.855345
"2012-11-15" 34.02 35.029999 33.68 30.206482
"2012-11-16" 34.549999 34.779999 33.84 30.153811
"2012-11-19" 34.619999 35.48 34.119999 30.926311
"2012-11-20" 35.07 35.900002 34.799999 31.435459
"2012-11-21" 35.77 36.389999 34.82 30.978983
"2012-11-23" 35.389999 35.599998 35.119999 30.978983
"2012-11-26" 33.299999 34.349998 31.860001 28.099665
"2012-11-27" 33.700001 34.400002 33.119999 29.802675
"2012-11-28" 33.75 34.75 33.43 30.250374
"2012-11-29" 32.509998 33.41 32.419998 28.564922
"2012-11-30" 32.639999 32.880001 32.450001 28.643927
"2012-12-03" 32.869999 33.23 32.509998 28.714153
"2012-12-04" 32.84 33.110001 32.73 28.898499
"2012-12-05" 32.93 33.040001 32.16 28.380575
"2012-12-06" 32.330002 32.68 32.209999 28.39813
"2012-12-07" 32.549999 33.75 32.400002 28.942392
"2012-12-10" 32.93 33.150002 32.5 28.573698
"2012-12-11" 32.889999 33 32.52 28.679039
"2012-12-12" 32.709999 32.919998 32.259998 28.380575
"2012-12-13" 32.27 32.669998 32.25 28.608812
"2012-12-14" 32.490002 33.32 32.490002 28.73171
"2012-12-17" 32.75 32.880001 32.139999 28.608812
"2012-12-18" 32.939999 33.790001 32.540001 29.469095
"2012-12-19" 33.529999 34.380001 33.5 30.145033
"2012-12-20" 34.360001 34.5 33.759998 30.00458
"2012-12-21" 33.810001 34.040001 33.259998 29.469095
"2012-12-24" 33.490002 33.650002 33.169998 29.39887
"2012-12-26" 33.450001 34.389999 33.07 29.346199
"2012-12-27" 33.529999 34.130001 33.099998 29.425205
"2012-12-28" 33.32 33.619999 33.169998 29.117958
"2012-12-31" 33.09 34.32 33 30.1187
"2013-01-02" 34.919998 35.639999 34.740002 30.899977
"2013-01-03" 35.209999 35.43 34.419998 30.399609
"2013-01-04" 34.93 35.009998 34.59 30.469833
"2013-01-07" 34.529999 34.860001 33.93 30.434719
"2013-01-08" 34.419998 34.700001 34.07 30.408384
"2013-01-09" 34.860001 34.900002 34.439999 30.49617
"2013-01-10" 35 35.299999 34.119999 30.355717
"2013-01-11" 34.669998 35.439999 34.509998 30.970201
"2013-01-14" 35.279999 35.459999 35.009998 30.935091
"2013-01-15" 35.139999 36.5 35.049999 31.75148
"2013-01-16" 36.009998 36.18 35.580002 31.716368
"2013-01-17" 36.360001 36.68 35.990002 32.023609
"2013-01-18" 36.439999 36.549999 35.869999 31.944605
"2013-01-22" 36.330002 36.84 36.200001 32.164066
"2013-01-23" 36.599998 37.220001 36.220001 32.550316
"2013-01-24" 37.139999 37.150002 36.439999 32.357189
"2013-01-25" 36.889999 37 36.48 32.269405
"2013-01-28" 36.919998 36.919998 35.830002 32.076283
"2013-01-29" 36.610001 37.049999 36.18 32.47131
"2013-01-30" 36.860001 37 36.209999 31.962162
"2013-01-31" 36.290001 37.259998 35.509998 32.6381
"2013-02-01" 37.220001 38.080002 37.02 33.13847
"2013-02-04" 37.669998 37.75 36.779999 32.673214
"2013-02-05" 37.43 38.77 37.400002 33.884632
"2013-02-06" 38.5 39.41 38.099998 34.376225
"2013-02-07" 39.66 39.860001 38.970001 34.885372
"2013-02-08" 40.830002 41.400002 39.610001 35.587643
"2013-02-11" 40.41 40.41 38.139999 34.323551
"2013-02-12" 39.029999 39.740002 38.790001 34.323551
"2013-02-13" 39.099998 39.610001 38.93 34.481564
"2013-02-14" 38.990002 38.990002 35.450001 31.303782
"2013-02-15" 35.650002 37.400002 34.759998 32.523979
"2013-02-19" 37.110001 37.560001 36.419998 32.515202
"2013-02-20" 36.889999 37.110001 35.799999 31.549576
"2013-02-21" 34.66 34.700001 33.349998 29.94313
"2013-02-22" 34.25 34.540001 34.119999 30.224039
"2013-02-25" 34.639999 34.950001 34.049999 29.925573
"2013-02-26" 34.200001 34.369999 32.720001 29.627108
"2013-02-27" 33.77 34.459999 33.630001 29.793896
"2013-02-28" 34.099998 34.950001 33.91 30.241596
"2013-03-01" 34.240002 34.77 33.77 30.408384
"2013-03-04" 34.619999 34.990002 34.130001 30.452276
"2013-03-05" 34.689999 35.240002 34.32 30.715631
"2013-03-06" 35.02 35.169998 34.529999 30.59273
"2013-03-07" 34.849998 34.849998 33.77 29.969465
"2013-03-08" 34.150002 34.59 33.470001 30.329378
"2013-03-11" 34.43 34.52 33.860001 29.978245
"2013-03-12" 34.130001 34.68 34.009998 30.16259
"2013-03-13" 34.299999 34.52 34.150002 30.232817
"2013-03-14" 34.439999 35.220001 34.400002 30.856085
"2013-03-15" 35.16 35.16 34.75 30.785856
"2013-03-18" 35.080002 35.220001 34.619999 30.724407
"2013-03-19" 35.009998 35.060001 34.23 30.37327
"2013-03-20" 34.68 34.919998 34.18 30.153811
"2013-03-21" 34.220001 34.560001 33.43 29.916796
"2013-03-22" 34.110001 34.790001 33.709999 30.443499
"2013-03-25" 34.799999 35.34 34.610001 30.680517
"2013-03-26" 34.939999 35.18 34.68 30.768299
"2013-03-27" 34.889999 35.369999 34.790001 30.899977
"2013-03-28" 35.299999 35.490002 35.18 31.022873
"2013-04-01" 35.389999 35.389999 34.849998 31.005316
"2013-04-02" 35.349998 35.869999 35.25 31.128214
"2013-04-03" 35.330002 35.34 34.200001 30.127476
"2013-04-04" 34.439999 34.490002 33.919998 30.1187
"2013-04-05" 33.740002 34.439999 33.360001 30.180147
"2013-04-08" 34.400002 35.169998 34.32 30.856085
"2013-04-09" 35.240002 35.66 35.07 31.110657
"2013-04-10" 35.540001 35.810001 35.119999 31.154551
"2013-04-11" 35.380001 35.59 35.310001 31.075544
"2013-04-12" 35.18 35.400002 35.040001 31.031651
"2013-04-15" 35 35.290001 34.330002 30.294264
"2013-04-16" 34.52 35.029999 34.470001 30.425941
"2013-04-17" 34.470001 34.610001 34 29.94313
"2013-04-18" 34.200001 34.200001 33.41 29.425205
"2013-04-19" 33.57 33.68 33.049999 29.372534
"2013-04-22" 33.380001 33.919998 32.41 29.61833
"2013-04-23" 34 34.59 33.919998 30.33816
"2013-04-24" 34.610001 35.130001 34.509998 30.759521
"2013-04-25" 35.200001 35.529999 34.919998 30.873638
"2013-04-26" 35.189999 35.389999 34.849998 30.820971
"2013-04-29" 35.119999 35.990002 35.119999 31.338896
"2013-04-30" 35.790001 35.959999 35.400002 31.5408
"2013-05-01" 35.900002 35.93 34.560001 30.513725
"2013-05-02" 37.939999 39.380001 37.82 33.533497
"2013-05-03" 38.799999 39.25 38.619999 33.902187
"2013-05-06" 38.790001 39.360001 38.040001 33.50716
"2013-05-07" 36.959999 37.150002 36.389999 32.076283
"2013-05-08" 36.57 36.889999 36.48 32.313301
"2013-05-09" 36.709999 36.849998 35.779999 31.593472
"2013-05-10" 36.060001 36.419998 35.919998 31.672478
"2013-05-13" 36.029999 36.549999 35.709999 31.742702
"2013-05-14" 36.139999 36.419998 35.77 31.777817
"2013-05-15" 36.049999 37.02 35.959999 32.480087
"2013-05-16" 37.009998 37.150002 36.82 32.488865
"2013-05-17" 37.09 37.369999 36.860001 32.787331
"2013-05-20" 37.380001 37.43 37.09 32.831226
"2013-05-21" 37.419998 37.919998 37.400002 33.112133
"2013-05-22" 37.43 37.91 37.029999 32.796112
"2013-05-23" 36.959999 37.610001 36.82 32.901451
"2013-05-24" 37.48 37.900002 37.34 33.085796
"2013-05-28" 37.889999 38.459999 37.799999 33.752956
"2013-05-29" 38.290001 38.790001 37.93 34.016308
"2013-05-30" 38.799999 39.849998 38.68 34.929264
"2013-05-31" 40 41.029999 39.75 35.552528
"2013-06-03" 41.080002 41.27 39.73 35.192616
"2013-06-04" 40.189999 40.990002 38.75 34.692245
"2013-06-05" 39.41 40.09 39.139999 35.113609
"2013-06-06" 39.900002 40.610001 39.799999 35.622757
"2013-06-07" 40.869999 41.48 40.580002 35.93
"2013-06-10" 36.330002 36.900002 36.119999 36.450001
"2013-06-11" 36.18 36.330002 35.68 36.049999
"2013-06-12" 36.18 36.32 35.419998 35.560001
"2013-06-13" 35.470001 35.75 35.220001 35.639999
"2013-06-14" 34.52 34.900002 34.52 34.84
"2013-06-17" 34.93 35.110001 34.75 35
"2013-06-18" 35.02 35.400002 34.970001 35.279999
"2013-06-19" 35.349998 35.349998 34.349998 34.470001
"2013-06-20" 34.07 34.540001 33.540001 33.860001
"2013-06-21" 34.23 34.849998 34.009998 34.849998
"2013-06-24" 34.650002 35.27 34.5 35.07
"2013-06-25" 35.400002 36 35.400002 36
"2013-06-26" 36.139999 36.48 35.889999 35.950001
"2013-06-27" 36.369999 37.400002 36.349998 37.099998
"2013-06-28" 37.049999 37.43 36.91 37.009998
"2013-07-01" 37.330002 39.110001 37.110001 38.98
"2013-07-02" 39 39.509998 38.740002 39.16
"2013-07-03" 39.02 39.48 38.709999 38.93
"2013-07-05" 39.5 39.720001 39 39.720001
"2013-07-08" 39.900002 40 39.240002 39.59
"2013-07-09" 39.73 39.880001 39.080002 39.209999
"2013-07-10" 39.279999 39.279999 38.439999 39.009998
"2013-07-11" 39.57 40.549999 39.139999 40.470001
"2013-07-12" 40.509998 40.919998 40.360001 40.68
"2013-07-15" 40.830002 41.560001 40.830002 41.25
"2013-07-16" 41.25 41.580002 40.68 41.490002
"2013-07-17" 41.810001 42 41.279999 41.540001
"2013-07-18" 41.52 41.75 41.049999 41.119999
"2013-07-19" 41.080002 41.16 40.599998 41.009998
"2013-07-22" 41.200001 41.5 41.07 41.220001
"2013-07-23" 41.32 41.509998 40.889999 41.119999
"2013-07-24" 41.240002 41.240002 40.73 40.959999
"2013-07-25" 41 41.650002 40.490002 41.639999
"2013-07-26" 41.290001 41.389999 40.400002 41.150002
"2013-07-29" 41.18 41.650002 40.880001 41.029999
"2013-07-30" 43.900002 44.299999 42.41 43.200001
"2013-07-31" 43.57 43.610001 42.84 43.349998
"2013-08-01" 43.619999 43.689999 43.029999 43.450001
"2013-08-02" 42.5 42.5 41.380001 42.240002
"2013-08-05" 42.299999 42.57 42.23 42.470001
"2013-08-06" 42.279999 42.41 41.919998 42.209999
"2013-08-07" 42.119999 42.150002 41.639999 41.759998
"2013-08-08" 41.599998 42.439999 41.599998 42.23
"2013-08-09" 41.330002 42.560001 39.290001 42.34
"2013-08-12" 42.200001 42.759998 42.169998 42.650002
"2013-08-13" 42.490002 42.740002 42.490002 42.689999
"2013-08-14" 42.630001 43.169998 42.630001 42.91
"2013-08-15" 42.360001 42.630001 42 42.299999
"2013-08-16" 42.060001 42.970001 42.009998 42.779999
"2013-08-19" 42.689999 42.84 42.299999 42.299999
"2013-08-20" 42.59 42.700001 42.23 42.279999
"2013-08-21" 42.27 42.450001 41.709999 41.709999
"2013-08-22" 41.93 42.299999 41.709999 42.299999
"2013-08-23" 42.34 42.349998 41.5 42.220001
"2013-08-26" 42.209999 42.720001 42.16 42.259998
"2013-08-27" 41.990002 42.16 41.099998 41.099998
"2013-08-28" 41.200001 41.200001 40.23 40.360001
"2013-08-29" 40.419998 41.540001 40.150002 40.880001
"2013-08-30" 40.880001 40.91 39.540001 39.59
"2013-09-03" 39.990002 40.200001 39.369999 39.700001
"2013-09-04" 39.790001 40.110001 39.560001 39.950001
"2013-09-05" 39.860001 40.389999 39.860001 40.290001
"2013-09-06" 40.5 40.610001 39.619999 39.689999
"2013-09-09" 39.880001 40.040001 39.110001 39.990002
"2013-09-10" 40.310001 40.669998 40.279999 40.630001
"2013-09-11" 40.630001 40.799999 40.25 40.77
"2013-09-12" 40.84 41.639999 40.77 41.400002
"2013-09-13" 41.540001 41.779999 41.380001 41.650002
"2013-09-16" 42.200001 42.279999 41.5 41.57
"2013-09-17" 41.610001 41.91 41.439999 41.869999
