"Index" "Open" "High" "Low" "Price"
"2012-09-17" 17.636644 17.755447 17.559183 17.68322
"2012-09-18" 17.628424 17.899408 17.603518 17.889944
"2012-09-19" 17.870518 18.145985 17.843369 18.119583
"2012-09-20" 18.044115 18.216221 17.963169 18.135025
"2012-09-21" 18.236895 18.304392 18.184839 18.281227
"2012-09-24" 18.206757 18.680979 18.188078 18.664541
"2012-09-25" 18.755947 19.050842 18.6217 18.659061
"2012-09-26" 18.676247 18.959934 18.455824 18.766159
"2012-09-27" 18.927805 18.999784 18.721079 18.841875
"2012-09-28" 18.783344 18.911615 18.708626 18.792063
"2012-10-01" 18.905388 19.053581 18.834654 18.973383
"2012-10-02" 19.058563 19.078239 18.686708 18.85408
"2012-10-03" 18.822449 19.026684 18.734777 18.991316
"2012-10-04" 18.997543 19.175377 18.914104 19.129547
"2012-10-05" 19.195799 19.287207 19.053831 19.119585
"2012-10-08" 18.953957 19.018215 18.783344 18.875252
"2012-10-09" 18.92083 18.961926 18.493931 18.532785
"2012-10-10" 18.477243 18.618464 18.388327 18.544491
"2012-10-11" 18.752213 18.891689 18.687206 18.716845
"2012-10-12" 18.726061 18.801277 18.533033 18.549223
"2012-10-15" 18.479235 18.526308 18.199286 18.455324
"2012-10-16" 18.434155 18.605015 18.342747 18.547977
"2012-10-17" 18.529299 18.837891 18.437391 18.816719
"2012-10-18" 18.817966 18.914602 16.836891 17.310118
"2012-10-19" 17.573629 17.601524 16.737265 16.9811
"2012-10-22" 16.961674 17.051836 16.679979 16.903393
"2012-10-23" 16.737514 17.119083 16.737265 16.945234
"2012-10-24" 17.105883 17.110865 16.818708 16.86927
"2012-10-25" 16.936518 16.986332 16.774874 16.880728
"2012-10-26" 16.849344 17.011986 16.717339 16.815722
"2012-10-31" 16.933031 16.961424 16.811985 16.943991
"2012-11-01" 16.924065 17.208 16.904636 17.125559
"2012-11-02" 17.304888 17.323816 17.120081 17.133778
"2012-11-05" 17.048597 17.107376 16.825932 17.010241
"2012-11-06" 17.073006 17.098412 16.875496 16.979357
"2012-11-07" 16.811985 16.892433 16.600029 16.615721
"2012-11-08" 16.692432 16.724562 16.219954 16.246355
"2012-11-09" 16.305134 16.646107 16.196791 16.513851
"2012-11-12" 16.531784 16.68247 16.460054 16.585335
"2012-11-13" 16.513105 16.627674 16.3943 16.414724
"2012-11-14" 16.454823 16.492682 16.201773 16.252831
"2012-11-15" 16.189318 16.438385 16.037388 16.121075
"2012-11-16" 16.089443 16.264538 15.840625 16.119081
"2012-11-19" 16.331285 16.660551 16.327051 16.642868
"2012-11-20" 16.675247 16.886703 16.552208 16.686705
"2012-11-21" 16.662296 16.68247 16.448347 16.584587
"2012-11-23" 16.686705 16.68745 16.590315 16.63689
"2012-11-26" 16.598783 16.612732 16.413977 16.467028
"2012-11-27" 16.442619 16.811985 16.388573 16.705135
"2012-11-28" 16.637886 17.058809 16.535273 17.027925
"2012-11-29" 17.130291 17.282721 16.986332 17.232658
"2012-11-30" 17.218212 17.415222 17.078238 17.394053
"2012-12-03" 17.490442 17.58135 17.287951 17.316343
"2012-12-04" 17.310118 17.322821 17.078485 17.211239
"2012-12-05" 17.239134 17.297665 16.994551 17.131289
"2012-12-06" 17.125559 17.32531 17.048847 17.21373
"2012-12-07" 17.310118 17.356941 16.996792 17.041374
"2012-12-10" 17.070765 17.226681 17.030914 17.071512
"2012-12-11" 17.185583 17.482471 17.128798 17.356941
"2012-12-12" 17.415474 17.522074 17.272259 17.373878
"2012-12-13" 17.831163 17.844864 17.423443 17.5019
"2012-12-14" 17.413979 17.629421 17.395548 17.483467
"2012-12-17" 17.571636 17.980604 17.534775 17.952211
"2012-12-18" 17.848101 18.159433 17.809496 17.959435
"2012-12-19" 17.950466 18.007504 17.850094 17.935522
"2012-12-20" 18.013979 18.048599 17.857315 17.991564
"2012-12-21" 17.782597 17.903395 17.696669 17.82394
"2012-12-24" 17.796045 17.812735 17.620703 17.671265
"2012-12-26" 17.635647 17.755447 17.494677 17.655573
"2012-12-27" 17.612484 17.654825 17.40003 17.591312
"2012-12-28" 17.476744 17.606756 17.4349 17.4349
"2012-12-31" 17.43465 17.697914 17.335024 17.618462
"2013-01-02" 17.918339 18.10713 17.846855 18.013729
"2013-01-03" 18.055573 18.229919 17.950716 18.024191
"2013-01-04" 18.165413 18.467529 18.124067 18.380356
"2013-01-07" 18.317591 18.415474 18.196297 18.300158
"2013-01-08" 18.319834 18.338762 18.043119 18.264042
"2013-01-09" 18.238388 18.38982 18.14698 18.384092
"2013-01-10" 18.501402 18.55545 18.269024 18.467777
"2013-01-11" 18.48073 18.49144 18.338762 18.430668
"2013-01-14" 18.356195 18.48571 17.991314 18.013729
"2013-01-15" 17.916096 18.306383 17.736021 18.055573
"2013-01-16" 17.992559 18.040878 17.775124 17.812983
"2013-01-17" 17.875748 17.923817 17.709122 17.716595
