"Index" "Open" "High" "Low" "Price"
"2012-09-17" 62.759998 62.990002 61.849998 46.6376
"2012-09-18" 61.990002 62.099998 61.599998 46.509911
"2012-09-19" 61.919998 62.610001 61.650002 46.825394
"2012-09-20" 62.32 62.610001 61.98 46.968102
"2012-09-21" 62.650002 62.790001 62.099998 46.660133
"2012-09-24" 62 62.529999 61.810001 46.825394
"2012-09-25" 62.540001 62.580002 61.82 46.479866
"2012-09-26" 61.959999 62.119999 61.369999 46.171906
"2012-09-27" 61.77 61.77 60.75 45.811359
"2012-09-28" 60.75 61.119999 60.389999 45.841415
"2012-10-01" 61.099998 61.18 60.580002 45.676167
"2012-10-02" 61 61.049999 60.75 45.811359
"2012-10-03" 61.139999 61.41 60.959999 45.818878
"2012-10-04" 61.200001 63.02 61.009998 46.990635
"2012-10-05" 62.849998 63.18 62.490002 46.998138
"2012-10-08" 62.400002 63.009998 62.259998 46.885464
"2012-10-09" 62.389999 62.610001 61.700001 46.449821
"2012-10-10" 61.77 61.889999 61.150002 46.059227
"2012-10-11" 61.77 62.200001 61.34 46.074261
"2012-10-12" 61.439999 62.110001 61.240002 46.036705
"2012-10-15" 61.419998 61.59 60.799999 46.089283
"2012-10-16" 61.529999 62.150002 61.369999 46.547466
"2012-10-17" 62.18 62.310001 61.490002 46.615067
"2012-10-18" 64 64.580002 59.529999 46.472355
"2012-10-19" 62.060001 62.360001 61.049999 46.231991
"2012-10-22" 60.990002 61.360001 60.389999 45.773811
"2012-10-23" 60.5 61.610001 60.139999 46.164391
"2012-10-24" 61.709999 61.790001 60.5 45.510918
"2012-10-25" 61.049999 61.459999 60.619999 45.728741
"2012-10-26" 60.779999 61.540001 60.529999 45.999149
"2012-10-31" 61.25 62.66 60.970001 47.005661
"2012-11-01" 62.5 64.339996 62.310001 47.771801
"2012-11-02" 63.759998 64.389999 62.709999 47.185928
"2012-11-05" 62.610001 63.299999 62.529999 47.411274
"2012-11-06" 63.189999 64.300003 62.880001 48.012169
"2012-11-07" 63.400002 63.57 62.48 47.215965
"2012-11-08" 62.720001 62.860001 61.75 46.389732
"2012-11-09" 61.549999 62.57 61.509998 46.404751
"2012-11-12" 61.799999 62.099998 61.299999 46.089283
"2012-11-13" 61.110001 61.77 60.82 45.713715
"2012-11-14" 61.150002 61.299999 60.200001 45.323132
"2012-11-15" 60.099998 60.959999 60.009998 45.375702
"2012-11-16" 60.5 60.759998 59.93 45.323132
"2012-11-19" 61.130001 61.330002 60.650002 46.06675
"2012-11-20" 61.360001 61.860001 60.990002 46.457329
"2012-11-21" 61.98 62.299999 61.709999 46.75779
"2012-11-23" 62.450001 62.970001 61.82 47.276066
"2012-11-26" 62.740002 62.959999 62.23 47.148373
"2012-11-27" 62.860001 63.32 62.41 47.133335
"2012-11-28" 62.369999 63.869999 62.369999 47.95208
"2012-11-29" 63.84 64.410004 63.529999 48.365192
"2012-11-30" 64.470001 65.150002 64.290001 48.890991
"2012-12-03" 65.550003 66.900002 64.389999 48.560513
"2012-12-04" 64.300003 64.879997 64.059998 48.55299
"2012-12-05" 64.519997 64.599998 63.52 48.617336
"2012-12-06" 64.209999 64.290001 63.68 48.435661
"2012-12-07" 64.040001 64.220001 63.66 48.481071
"2012-12-10" 63.950001 64.239998 63.490002 48.178307
"2012-12-11" 64.040001 64.040001 63.349998 48.049633
"2012-12-12" 63.790001 64.220001 62.990002 47.799847
"2012-12-13" 63.189999 63.599998 62.900002 47.686298
"2012-12-14" 62.869999 63.220001 62.459999 47.315414
"2012-12-17" 62.990002 63.599998 62.630001 47.928528
"2012-12-18" 63.389999 63.84 63.27 48.185871
"2012-12-19" 63.73 64.230003 63.580002 48.443233
"2012-12-20" 64 64.690002 63.68 48.950363
"2012-12-21" 63.68 64.93 63.68 48.526493
"2012-12-24" 63.990002 64.110001 62.889999 48.306984
"2012-12-26" 63.84 64.029999 63.139999 47.792274
"2012-12-27" 63.169998 63.689999 62.759998 48.110188
"2012-12-28" 63.310001 63.580002 62.66 47.519783
"2012-12-31" 62.599998 63.639999 62.599998 48.125328
"2013-01-02" 64.699997 65.190002 64.43 49.313698
"2013-01-03" 65.449997 65.919998 65.269997 49.502926
"2013-01-04" 65.620003 65.699997 64.57 49.677017
"2013-01-07" 65.459999 65.459999 64.980003 49.359104
"2013-01-08" 65 65.489998 64.470001 49.306126
"2013-01-09" 65.160004 65.739998 65.139999 49.745144
"2013-01-10" 66.040001 66.5 64.980003 49.684593
"2013-01-11" 65.580002 65.709999 64.75 49.230438
"2013-01-14" 65.160004 65.510002 64.959999 49.427235
"2013-01-15" 65.190002 65.709999 64.989998 49.684593
"2013-01-16" 65.330002 65.489998 65.190002 49.434799
"2013-01-17" 65.589996 65.889999 65.419998 49.51807
"2013-01-18" 65.599998 65.709999 65.230003 49.51807
"2013-01-22" 65.440002 66.07 65.18 50.002495
"2013-01-23" 65.970001 66.410004 65.589996 49.866245
"2013-01-24" 66.139999 66.879997 65.830002 50.41124
"2013-01-25" 66.860001 67 66.459999 50.69886
"2013-01-28" 66.940002 66.989998 66.349998 50.456646
"2013-01-29" 67.029999 68.419998 66.849998 51.652599
"2013-01-30" 68.300003 68.419998 67.529999 51.168159
"2013-01-31" 67.519997 68.139999 67.110001 51.493626
"2013-02-01" 68.510002 69.010002 68.220001 52.182446
"2013-02-04" 68.529999 68.760002 68.400002 51.925095
"2013-02-05" 68.889999 69.470001 68.639999 52.37925
"2013-02-06" 69.199997 69.410004 68.860001 52.538204
"2013-02-07" 69.699997 70.07 69.169998 52.606327
"2013-02-08" 69.57 69.989998 69.57 52.924232
"2013-02-11" 69.919998 70.110001 69.470001 52.901508
"2013-02-12" 69.870003 70.230003 69.839996 53.128605
"2013-02-13" 70.199997 70.620003 69.889999 53.39352
"2013-02-14" 70.550003 70.870003 70.360001 53.582764
"2013-02-15" 70.919998 71.440002 70.839996 54.074753
"2013-02-19" 70.910004 70.910004 68.290001 52.038631
"2013-02-20" 68.790001 69.639999 68.75 52.227844
"2013-02-21" 68.919998 68.980003 68.300003 51.955353
"2013-02-22" 69 69.580002 68.849998 52.659294
"2013-02-25" 69.870003 69.93 68.589996 52.10675
"2013-02-26" 69.150002 69.419998 68.620003 52.424671
"2013-02-27" 69.230003 70.489998 69 53.355663
"2013-02-28" 70.580002 71.470001 70.370003 53.764416
"2013-03-01" 70.800003 71.160004 70.43 53.741707
"2013-03-04" 71 71.989998 70.839996 54.475929
"2013-03-05" 72.290001 73.019997 72.220001 55.081463
"2013-03-06" 72.209999 72.639999 72.010002 55.376575
"2013-03-07" 73.260002 73.339996 72.470001 55.826496
"2013-03-08" 73.519997 74.720001 73.220001 56.37553
"2013-03-11" 73.690002 75.360001 73.580002 57.275322
"2013-03-12" 75.089996 75.5 75 57.526974
"2013-03-13" 75.629997 75.809998 75.25 57.763344
"2013-03-14" 75.870003 76.559998 75.650002 58.381027
"2013-03-15" 76.120003 76.599998 75.720001 57.847244
"2013-03-18" 75.190002 76.139999 75.099998 57.74049
"2013-03-19" 75.75 76 74.900002 57.725231
"2013-03-20" 76.160004 76.739998 76.120003 58.44965
"2013-03-21" 76.339996 77.349998 76.269997 58.876678
"2013-03-22" 77.510002 77.779999 76.480003 59.021591
"2013-03-25" 77.779999 77.980003 76.209999 58.213264
"2013-03-26" 76.540001 77.410004 76.18 58.945335
"2013-03-27" 76.830002 77.419998 76.779999 58.991077
"2013-03-28" 77.339996 78.120003 77.099998 59.479126
"2013-04-01" 77.370003 77.629997 76.650002 58.808075
"2013-04-02" 77.68 78.220001 77.290001 59.486721
"2013-04-03" 78.230003 78.269997 76.25 58.426773
"2013-04-04" 76.830002 77.529999 76.699997 59.097839
"2013-04-05" 76.730003 77.400002 76.519997 58.76231
"2013-04-08" 77.050003 77.879997 77.040001 59.387615
"2013-04-09" 78 78 76.839996 59.059689
"2013-04-10" 77.639999 78.25 77.309998 59.479126
"2013-04-11" 78.040001 78.239998 77.68 59.479126
"2013-04-12" 77.68 78.059998 77.269997 59.280838
"2013-04-15" 77.290001 77.449997 75.419998 57.565121
"2013-04-16" 75.910004 76.150002 75.5 57.969242
"2013-04-17" 75.699997 75.800003 74.150002 57.412579
"2013-04-18" 75.610001 76.239998 74.519997 57.420223
"2013-04-19" 73.43 74.82 71.870003 56.169617
"2013-04-22" 73.879997 73.910004 72.120003 55.597721
"2013-04-23" 73.25 74.349998 73.25 56.550911
"2013-04-24" 74.370003 74.739998 73.75 56.581409
"2013-04-25" 74.550003 76.150002 74.199997 57.587971
"2013-04-26" 75.550003 75.730003 74.849998 57.221943
"2013-04-29" 75.360001 75.519997 74.93 57.328716
"2013-04-30" 75.18 76.349998 74.419998 58.205662
"2013-05-01" 76.190002 76.209999 74.519997 56.90168
"2013-05-02" 74.760002 76.050003 74.709999 57.892998
"2013-05-03" 76.489998 77.510002 76.489998 58.792812
"2013-05-06" 77.160004 77.629997 76.910004 58.952934
"2013-05-07" 77.620003 78.290001 77.370003 59.700253
"2013-05-08" 78.139999 78.32 77.629997 59.364708
"2013-05-09" 77.870003 78.050003 77.360001 59.219837
"2013-05-10" 77.75 78.080002 77.510002 59.372356
"2013-05-13" 77.879997 78.279999 77.290001 59.402847
"2013-05-14" 78.089996 78.940002 77.68 60.165401
"2013-05-15" 78.910004 80.080002 78.889999 61.057594
"2013-05-16" 79.889999 80.379997 79.449997 60.889824
"2013-05-17" 79.980003 81.269997 79.809998 61.957401
"2013-05-20" 81.110001 81.870003 81.110001 61.934536
"2013-05-21" 81.410004 82.910004 81.410004 63.017349
"2013-05-22" 82.720001 84.269997 81.730003 62.61322
"2013-05-23" 81.400002 82.68 81.18 62.506443
"2013-05-24" 81.449997 81.699997 81.029999 62.071762
"2013-05-28" 82.309998 82.709999 81.160004 62.445446
"2013-05-29" 81.440002 81.620003 79.389999 60.691551
"2013-05-30" 79.830002 80.169998 78.339996 59.883278
"2013-05-31" 78.330002 79.5 77.739998 59.280838
"2013-06-03" 78.129997 78.129997 76.57 59.097839
"2013-06-04" 77.540001 78.080002 76.5 58.571663
"2013-06-05" 76.410004 76.699997 75.139999 57.855209
"2013-06-06" 75.559998 76 75.120003 58.285244
"2013-06-07" 76.790001 77.559998 76.269997 59.490856
"2013-06-10" 77.769997 78.120003 77.300003 59.844116
"2013-06-11" 76.970001 77.800003 76.93 59.367992
"2013-06-12" 79.139999 79.139999 77.260002 59.467838
"2013-06-13" 77.57 78.690002 77.300003 60.373989
"2013-06-14" 78.459999 79.110001 78.010002 60.389317
"2013-06-17" 79.040001 79.489998 78.559998 60.642769
"2013-06-18" 79.120003 79.690002 78.510002 61.157265
"2013-06-19" 79.639999 79.779999 78.510002 60.289516
"2013-06-20" 77.940002 78 76.330002 58.722942
"2013-06-21" 77.080002 77.480003 75.580002 58.60009
"2013-06-24" 75.57 76.800003 75.139999 58.331318
"2013-06-25" 76.669998 77.449997 76.18 59.360336
"2013-06-26" 77.970001 78 76.610001 58.899567
"2013-06-27" 77.110001 77.650002 76.860001 59.398716
"2013-06-28" 77.260002 78.400002 76.870003 59.951614
"2013-07-01" 78.110001 79.830002 77.620003 61.257095
"2013-07-02" 82.57 84 81.019997 63.91412
"2013-07-03" 84.019997 84.25 82.75 63.629959
"2013-07-05" 83.57 83.809998 82.139999 64.305733
"2013-07-08" 84.75 85.269997 83.160004 64.259689
"2013-07-09" 84.160004 84.639999 83.300003 64.22126
"2013-07-10" 83.629997 83.730003 82.779999 64.121445
"2013-07-11" 84.330002 84.860001 84 65.119759
"2013-07-12" 84.730003 85.07 84.029999 65.296371
"2013-07-15" 85.25 85.410004 84.379997 64.904716
"2013-07-16" 84.620003 84.949997 83.669998 64.651299
"2013-07-17" 84.510002 85 83.68 64.605217
"2013-07-18" 83 84.610001 81.099998 63.23064
"2013-07-19" 82.209999 82.760002 81.330002 63.276737
"2013-07-22" 82.379997 82.540001 81.349998 62.846691
"2013-07-23" 82.160004 82.529999 81.580002 62.723824
"2013-07-24" 81.919998 82.360001 80.949997 62.42432
"2013-07-25" 81.07 81.93 80.82 62.900452
"2013-07-26" 81.459999 82.110001 81.260002 63.046333
"2013-07-29" 82.050003 82.57 81.459999 62.616325
"2013-07-30" 82.029999 82.540001 81.809998 62.838993
"2013-07-31" 82.099998 82.739998 81.870003 62.961876
"2013-08-01" 82.660004 84.040001 82.529999 64.482346
"2013-08-02" 83.93 84.580002 83.330002 64.943115
"2013-08-05" 84.300003 84.669998 83.639999 64.797195
"2013-08-06" 84.150002 84.599998 83.029999 63.990894
