"Index" "Open" "High" "Low" "Price"
"2012-09-17" 21.695 21.885 21.565001 21.337124
"2012-09-18" 21.725 21.780001 21.514999 21.161068
"2012-09-19" 21.67 21.92 21.629999 21.41048
"2012-09-20" 21.825001 21.995001 21.665001 21.322456
"2012-09-21" 21.940001 22.094999 21.809999 21.532742
"2012-09-24" 21.940001 22.01 21.715 21.390919
"2012-09-25" 22.035 22.215 21.715 21.307787
"2012-09-26" 21.865 21.905001 21.485001 21.156181
"2012-09-27" 21.68 21.91 21.540001 21.420259
"2012-09-28" 21.68 21.940001 20.68 20.456837
"2012-10-01" 21.040001 21.094999 20.594999 20.437283
"2012-10-02" 20.940001 21.594999 20.940001 21.009464
"2012-10-03" 21.48 21.57 21.18 20.916555
"2012-10-04" 21.535 22.01 21.459999 21.464279
"2012-10-05" 22.025 22.1 21.875 21.430044
"2012-10-08" 21.870001 21.875 21.620001 21.190414
"2012-10-09" 21.615 21.74 21.42 20.960566
"2012-10-10" 21.43 21.465 21.209999 20.843185
"2012-10-11" 21.5 21.565001 21.334999 21.024134
"2012-10-12" 21.455 21.645 21.385 21.092607
"2012-10-15" 21.57 21.76 21.450001 21.117058
"2012-10-16" 21.625 21.745001 21.584999 21.258881
"2012-10-17" 21.725 21.975 21.674999 21.434935
"2012-10-18" 21.875 21.98 21.715 21.298004
"2012-10-19" 21.75 21.795 21.625 21.234428
"2012-10-22" 21.709999 21.76 21.6 21.234428
"2012-10-23" 21.540001 21.575001 21.25 21.048594
"2012-10-24" 21.584999 21.615 21.235001 20.882313
"2012-10-25" 21.495001 21.57 21.375 20.994793
"2012-10-26" 21.48 21.545 21.280001 21.058371
"2012-10-31" 21.405001 21.530001 21.075001 20.906767
"2012-11-01" 21.42 22.105 21.02 21.46917
"2012-11-02" 21.959999 22.055 21.625 21.161068
"2012-11-05" 21.68 21.735001 21.440001 20.999687
"2012-11-06" 21.455 21.815001 21.375 21.141506
"2012-11-07" 21.51 21.584999 21.049999 20.588886
"2012-11-08" 21.059999 21.139999 20.75 20.295456
"2012-11-09" 20.709999 20.870001 20.504999 20.275892
"2012-11-12" 20.785 21.025 20.780001 20.427496
"2012-11-13" 20.785 21.155001 20.785 20.486185
"2012-11-14" 20.955 21.184999 20.625 20.256231
