"Index" "Open" "High" "Low" "Price"
"2012-09-17" 38.900002 39.299999 38.73 29.222773
"2012-09-18" 39.07 39.23 38.610001 29.012753
"2012-09-19" 38.009998 38.5 37.560001 28.802734
"2012-09-20" 38.380001 38.5 37.900002 28.652729
"2012-09-21" 38.330002 38.580002 37.939999 28.510204
"2012-09-24" 37.990002 38.43 37.830002 28.577719
"2012-09-25" 38.040001 38.099998 37.5 28.150169
"2012-09-26" 37.810001 37.959999 37.220001 27.985167
"2012-09-27" 37.5 37.700001 37.310001 28.240183
"2012-09-28" 37.619999 38.279999 37.470001 28.63022
"2012-10-01" 38.130001 38.150002 37.630001 28.435204
"2012-10-02" 37.93 38.189999 37.77 28.352694
"2012-10-03" 37.939999 38.080002 37.200001 28.060154
"2012-10-04" 37.669998 38 37.290001 28.09767
"2012-10-05" 37.639999 37.950001 37.509998 28.322691
"2012-10-08" 37.75 38.259998 37.689999 28.667727
"2012-10-09" 38.240002 38.360001 37.470001 28.180182
"2012-10-10" 37.560001 37.720001 37.220001 27.992661
"2012-10-11" 37.689999 38.029999 37.509998 28.360191
"2012-10-12" 37.959999 39.400002 37.860001 29.477793
"2012-10-15" 38.119999 38.330002 37.610001 28.315191
"2012-10-16" 38.380001 38.59 37.93 28.787733
"2012-10-17" 38.59 39.389999 38.25 29.222773
"2012-10-18" 39.130001 39.299999 38.720001 29.290277
"2012-10-19" 39.110001 39.470001 38.34 29.290277
"2012-10-22" 39.32 39.959999 37.759998 28.795231
"2012-10-23" 38.110001 38.25 36.759998 27.587616
"2012-10-24" 36.830002 37.310001 36.540001 27.640125
"2012-10-25" 37.220001 37.439999 36.540001 27.430111
"2012-10-26" 36.740002 36.810001 36.139999 27.265091
"2012-10-31" 37 37.040001 35.939999 27.265095
"2012-11-01" 36.84 36.84 35.860001 27.522661
"2012-11-02" 36.630001 36.720001 35.470001 26.954489
"2012-11-05" 35.790001 36.34 35.73 27.401445
"2012-11-06" 37.560001 38.66 36.75 28.628721
"2012-11-07" 37.509998 37.630001 36.950001 28.189329
"2012-11-08" 37.029999 37.580002 36.93 28.219633
"2012-11-09" 37.049999 37.689999 37.029999 28.196913
"2012-11-12" 37.419998 37.619999 36.810001 27.992357
"2012-11-13" 36.990002 37.509998 36.950001 28.015097
"2012-11-14" 36.98 37.23 36.369999 27.636303
"2012-11-15" 36.400002 36.759998 36.07 27.530245
"2012-11-16" 36.419998 36.939999 36.119999 27.613586
"2012-11-19" 37.139999 37.650002 36.77 28.325697
"2012-11-20" 37.25 37.48 36.91 28.227205
"2012-11-21" 37.439999 37.740002 37.200001 28.545393
"2012-11-23" 37.810001 38.25 37.740002 28.977205
"2012-11-26" 38.25 38.490002 38.099998 29.030233
"2012-11-27" 38.360001 38.700001 38.220001 29.015078
"2012-11-28" 38.009998 38.560001 38 29.196896
"2012-11-29" 38.490002 38.860001 38.080002 29.242359
"2012-11-30" 38.700001 39.009998 38.279999 29.136297
"2012-12-03" 38.599998 38.889999 37.549999 28.560535
"2012-12-04" 37.689999 37.82 36.650002 28.272665
"2012-12-05" 37.150002 37.290001 36.630001 28.030237
"2012-12-06" 37.009998 37.330002 36.990002 28.196913
"2012-12-07" 37.259998 37.5 36.759998 28.378727
"2012-12-10" 37.48 37.630001 37.049999 28.484787
"2012-12-11" 37.709999 38.360001 37.32 28.795387
"2012-12-12" 38.07 38.240002 37.68 28.613567
"2012-12-13" 37.48 37.869999 37.040001 28.452951
"2012-12-14" 37.23 37.310001 36.830002 28.277033
"2012-12-17" 36.970001 37.169998 36.560001 28.108759
"2012-12-18" 36.919998 37.110001 36.650002 28.085819
"2012-12-19" 36.880001 37.07 36.549999 27.97109
"2012-12-20" 36.759998 36.84 36.130001 27.994034
"2012-12-21" 36.330002 36.470001 35.970001 27.565716
"2012-12-24" 36.299999 36.880001 35.630001 27.450974
"2012-12-26" 35.830002 35.970001 35.27 27.068541
"2012-12-27" 35.439999 35.639999 34.91 27.19858
"2012-12-28" 35.509998 35.599998 35.060001 27.007362
"2012-12-31" 35.200001 35.919998 35.040001 27.45863
"2013-01-02" 36.369999 36.380001 35.299999 27.39744
"2013-01-03" 35.610001 36.18 35.5 27.6269
"2013-01-04" 36.279999 36.439999 35.650002 27.336248
"2013-01-07" 35.619999 35.75 35 27.037951
"2013-01-08" 35.259998 35.490002 35.009998 27.060898
"2013-01-09" 35.599998 36.02 35.470001 27.290363
"2013-01-10" 35.98 37.349998 35.68 28.353512
"2013-01-11" 37.16 37.16 36.41 28.215841
"2013-01-14" 36.830002 36.889999 35.959999 27.963442
"2013-01-15" 36.619999 37.290001 36.389999 28.460598
"2013-01-16" 37.209999 37.880001 37 28.735947
"2013-01-17" 37.880001 38.299999 37.610001 29.018951
"2013-01-18" 38.150002 39.099998 37.959999 29.837353
"2013-01-22" 39.049999 39.099998 38.689999 29.730268
"2013-01-23" 38.900002 39 38 29.156628
"2013-01-24" 38.200001 38.73 38.169998 29.409039
"2013-01-25" 37.419998 37.66 36.599998 28.53709
"2013-01-28" 37.27 37.27 37.009998 28.315275
"2013-01-29" 36.98 37.27 36.799999 28.468246
"2013-01-30" 37.349998 37.459999 37.169998 28.483553
"2013-01-31" 37.209999 37.43 37.029999 28.582975
"2013-02-01" 37.689999 37.720001 37.220001 28.797142
"2013-02-04" 37.43 37.619999 37.25 28.628876
"2013-02-05" 37.73 38.060001 37.650002 28.9807
"2013-02-06" 37.799999 38.279999 37.720001 29.194868
"2013-02-07" 38.990002 38.990002 37.91 29.615551
"2013-02-08" 38.860001 39.84 38.759998 30.472191
"2013-02-11" 40.040001 40.130001 39.400002 30.35746
