"Index" "Open" "High" "Low" "Price"
"2012-09-17" 7.23 7.24 7.05 5.055425
"2012-09-18" 7.05 7.12 6.92 5.041124
"2012-09-19" 6.96 7.11 6.93 5.033973
"2012-09-20" 6.99 7 6.91 4.991069
"2012-09-21" 7.09 7.09 6.93 4.962469
"2012-09-24" 6.91 7.02 6.86 4.983919
"2012-09-25" 6.97 7.01 6.81 4.87666
"2012-09-26" 6.82 6.87 6.77 4.869511
"2012-09-27" 6.82 6.92 6.8 4.933867
"2012-09-28" 6.86 6.93 6.82 4.933867
"2012-10-01" 6.95 7.01 6.9 4.955317
"2012-10-02" 6.98 7 6.88 4.941016
"2012-10-03" 6.95 7.04 6.92 5.01967
"2012-10-04" 7.05 7.21 7.03 5.148381
"2012-10-05" 7.21 7.25 7.15 5.141231
"2012-10-08" 7.16 7.19 7.12 5.112628
"2012-10-09" 7.16 7.2 7.09 5.076878
"2012-10-10" 7.12 7.15 7.05 5.062575
"2012-10-11" 7.13 7.19 7.1 5.112628
"2012-10-12" 7.06 7.08 6.88 4.955317
"2012-10-15" 6.99 7.05 6.93 4.998221
"2012-10-16" 7.01 7.06 6.87 4.933867
"2012-10-17" 6.91 7.07 6.88 5.041124
"2012-10-18" 6.97 6.99 6.53 4.726501
"2012-10-19" 6.63 6.68 6.42 4.612093
"2012-10-22" 6.53 6.58 6.41 4.619242
"2012-10-23" 6.35 6.39 6.28 4.540585
"2012-10-24" 6.44 6.45 6.27 4.490533
"2012-10-25" 6.34 6.39 6.28 4.519135
"2012-10-26" 6.41 6.41 6.28 4.526285
"2012-10-31" 6.35 6.45 6.35 4.576338
"2012-11-01" 6.39 6.42 6.34 4.554887
"2012-11-02" 6.42 6.44 6.3 4.540585
"2012-11-05" 6.31 6.4 6.28 4.554887
"2012-11-06" 6.4 6.57 6.4 4.697897
"2012-11-07" 6.45 6.45 6.21 4.44048
"2012-11-08" 6.23 6.35 6.15 4.397576
"2012-11-09" 6.14 6.25 6.1 4.404727
"2012-11-12" 6.18 6.21 6.12 4.411877
"2012-11-13" 6.13 6.23 6.06 4.354672
"2012-11-14" 6.1 6.15 5.91 4.240263
"2012-11-15" 5.9 5.97 5.81 4.218813
"2012-11-16" 5.93 6.03 5.9 4.297469
"2012-11-19" 6.1 6.17 6.08 4.368974
"2012-11-20" 6.1 6.17 6.05 4.390425
"2012-11-21" 6.14 6.16 6.05 4.368974
"2012-11-23" 6.17 6.23 6.14 4.454781
"2012-11-26" 6.17 6.32 6.13 4.511984
"2012-11-27" 6.3 6.33 6.17 4.411877
"2012-11-28" 6.18 6.23 6.13 4.404727
"2012-11-29" 6.2 6.23 6.13 4.404727
"2012-11-30" 6.18 6.19 6.13 4.411877
"2012-12-03" 6.18 6.2 6.1 4.376124
"2012-12-04" 6.11 6.16 5.99 4.297469
"2012-12-05" 6.04 6.17 6.04 4.361823
"2012-12-06" 6.09 6.16 6.05 4.404727
"2012-12-07" 6.16 6.18 6.08 4.419028
"2012-12-10" 6.17 6.3 6.14 4.461931
"2012-12-11" 6.25 6.31 6.24 4.476232
"2012-12-12" 6.28 6.35 6.22 4.469081
"2012-12-13" 6.19 6.23 6.11 4.411877
"2012-12-14" 6.13 6.21 6.12 4.433468
"2012-12-17" 6.16 6.31 6.16 4.541426
"2012-12-18" 6.33 6.42 6.3 4.606199
"2012-12-19" 6.51 6.51 6.35 4.606199
"2012-12-20" 6.39 6.44 6.33 4.599004
"2012-12-21" 6.27 6.37 6.19 4.584609
"2012-12-24" 6.38 6.38 6.29 4.55582
"2012-12-26" 6.34 6.39 6.29 4.563018
"2012-12-27" 6.34 6.36 6.24 4.563018
"2012-12-28" 6.27 6.34 6.27 4.519835
"2012-12-31" 6.25 6.4 6.25 4.599004
"2013-01-02" 6.59 6.6 6.48 4.728552
"2013-01-03" 6.58 6.67 6.53 4.786129
"2013-01-04" 6.65 6.73 6.63 4.814919
"2013-01-07" 6.7 6.71 6.63 4.822116
"2013-01-08" 6.69 6.71 6.59 4.786129
"2013-01-09" 6.64 6.73 6.56 4.73575
"2013-01-10" 6.67 6.7 6.62 4.800526
"2013-01-11" 6.68 6.7 6.56 4.742948
"2013-01-14" 6.59 6.61 6.54 4.742948
"2013-01-15" 6.54 6.66 6.54 4.778934
"2013-01-16" 6.62 6.72 6.61 4.83651
"2013-01-17" 6.86 7.03 6.8 5.038032
"2013-01-18" 7.07 7.1 6.91 5.038032
"2013-01-22" 7.05 7.09 7.03 5.095609
"2013-01-23" 7.1 7.1 7 5.059624
"2013-01-24" 7.05 7.08 6.95 5.030836
"2013-01-25" 7 7.04 6.92 4.987652
"2013-01-28" 6.96 6.98 6.9 4.99485
"2013-01-29" 6.91 6.97 6.86 4.958862
"2013-01-30" 6.9 7 6.86 5.01644
"2013-01-31" 6.94 6.98 6.88 5.009242
"2013-02-01" 7.02 7.11 6.96 5.095609
"2013-02-04" 7.05 7.1 7.01 5.052426
"2013-02-05" 7.08 7.15 7.05 5.124399
"2013-02-06" 7.08 7.14 7.07 5.117202
"2013-02-07" 7.13 7.15 7.05 5.138792
"2013-02-08" 7.15 7.2 7.09 5.181977
"2013-02-11" 7.19 7.19 7.11 5.124399
"2013-02-12" 7.12 7.22 7.12 5.196372
"2013-02-13" 7.23 7.24 7.1 5.131595
"2013-02-14" 7.1 7.18 7.08 5.160385
"2013-02-15" 7.12 7.18 7.09 5.110005
"2013-02-19" 7.12 7.17 7.09 5.138792
"2013-02-20" 7.13 7.17 7 5.045229
"2013-02-21" 7.01 7.02 6.83 4.937272
"2013-02-22" 6.92 6.98 6.9 5.023637
"2013-02-25" 7.04 7.07 6.8 4.894088
"2013-02-26" 6.81 6.89 6.75 4.894088
"2013-02-27" 6.82 7.06 6.81 5.059624
"2013-02-28" 7.02 7.09 6.99 5.059624
"2013-03-01" 7 7.1 6.94 5.088412
"2013-03-04" 7.03 7.23 7.02 5.189174
"2013-03-05" 7.23 7.25 7.11 5.167581
"2013-03-06" 7.22 7.25 7.19 5.196372
"2013-03-07" 7.23 7.36 7.2 5.282738
"2013-03-08" 7.42 7.46 7.32 5.297131
"2013-03-11" 7.33 7.43 7.29 5.32592
"2013-03-12" 7.38 7.43 7.34 5.311526
"2013-03-13" 7.37 7.47 7.36 5.3763
"2013-03-14" 7.46 7.5 7.43 5.426952
"2013-03-15" 7.5 7.55 7.45 5.434186
"2013-03-18" 7.38 7.49 7.29 5.3763
"2013-03-19" 7.48 7.51 7.41 5.41248
"2013-03-20" 7.5 7.53 7.46 5.426952
"2013-03-21" 7.46 7.53 7.42 5.390772
"2013-03-22" 7.45 7.48 7.34 5.34012
"2013-03-25" 7.41 7.42 7.32 5.318412
"2013-03-26" 7.41 7.48 7.36 5.405243
"2013-03-27" 7.4 7.44 7.36 5.361828
"2013-03-28" 7.42 7.46 7.36 5.332884
"2013-04-01" 7.4 7.44 7.31 5.303942
"2013-04-02" 7.33 7.36 7.26 5.260526
"2013-04-03" 7.27 7.32 7.14 5.202638
"2013-04-04" 7.19 7.26 7.15 5.246054
"2013-04-05" 7.14 7.24 7.1 5.217111
"2013-04-08" 7.23 7.38 7.18 5.318412
"2013-04-09" 7.38 7.43 7.33 5.347358
"2013-04-10" 7.43 7.5 7.43 5.390772
"2013-04-11" 7.46 7.51 7.41 5.405243
"2013-04-12" 7.43 7.47 7.35 5.347358
"2013-04-15" 7.33 7.38 7.15 5.173694
"2013-04-16" 7.26 7.27 7.15 5.224346
"2013-04-17" 7.14 7.19 6.93 5.072392
"2013-04-18" 6.95 6.99 6.82 4.963851
"2013-04-19" 6.91 7.02 6.84 5.065155
"2013-04-22" 7 7.03 6.93 5.050683
"2013-04-23" 7.01 7.08 6.97 5.108572
"2013-04-24" 7.07 7.1 7.02 5.137515
"2013-04-25" 7.14 7.19 7.1 5.14475
"2013-04-26" 7.12 7.15 7.05 5.14475
"2013-04-29" 7.15 7.16 7.11 5.159221
"2013-04-30" 7.14 7.18 7.1 5.188166
"2013-05-01" 7.15 7.19 7.06 5.108572
"2013-05-02" 7.07 7.17 7.05 5.151985
"2013-05-03" 7.2 7.28 7.17 5.260526
"2013-05-06" 7.29 7.35 7.26 5.303942
"2013-05-07" 7.34 7.47 7.32 5.398007
"2013-05-08" 7.45 7.48 7.38 5.398007
"2013-05-09" 7.48 7.5 7.42 5.3763
"2013-05-10" 7.49 7.5 7.43 5.419716
"2013-05-13" 7.49 7.52 7.43 5.419716
"2013-05-14" 7.48 7.7 7.48 5.564434
"2013-05-15" 7.68 7.81 7.66 5.57167
"2013-05-16" 7.68 7.69 7.57 5.492075
"2013-05-17" 7.68 7.75 7.65 5.600614
"2013-05-20" 7.7 7.78 7.69 5.593377
"2013-05-21" 7.7 7.75 7.65 5.564434
"2013-05-22" 7.69 7.81 7.52 5.470368
"2013-05-23" 7.5 7.55 7.43 5.441425
"2013-05-24" 7.44 7.55 7.44 5.455896
"2013-05-28" 7.62 7.68 7.6 5.513783
"2013-05-29" 7.53 7.74 7.53 5.578906
"2013-05-30" 7.7 7.95 7.7 5.709152
"2013-05-31" 7.88 7.91 7.75 5.60785
"2013-06-03" 7.75 7.79 7.61 5.586141
"2013-06-04" 7.74 7.78 7.6 5.513783
"2013-06-05" 7.58 7.67 7.47 5.434186
"2013-06-06" 7.48 7.58 7.44 5.463132
"2013-06-07" 7.61 7.69 7.56 5.557198
"2013-06-10" 7.7 7.82 7.69 5.651265
"2013-06-11" 7.72 7.77 7.66 5.557198
"2013-06-12" 7.73 7.77 7.59 5.492075
"2013-06-13" 7.54 7.75 7.52 5.63047
"2013-06-14" 7.72 7.74 7.53 5.48479
"2013-06-17" 7.56 7.68 7.5 5.506643
"2013-06-18" 7.55 7.64 7.53 5.550346
"2013-06-19" 7.62 7.62 7.47 5.441086
"2013-06-20" 7.4 7.65 7.38 5.470222
"2013-06-21" 7.61 7.72 7.52 5.579481
"2013-06-24" 7.63 7.7 7.56 5.543063
"2013-06-25" 7.69 7.82 7.63 5.666889
"2013-06-26" 7.93 7.96 7.81 5.725162
"2013-06-27" 7.91 7.92 7.84 5.739728
"2013-06-28" 7.85 7.91 7.8 5.732445
"2013-07-01" 7.95 8.12 7.9 5.848988
"2013-07-02" 8.06 8.25 8.05 5.987382
"2013-07-03" 8.16 8.24 8.15 5.972814
"2013-07-05" 8.31 8.5 8.28 6.191331
"2013-07-08" 8.6 8.66 8.45 6.176763
"2013-07-09" 8.52 8.55 8.34 6.162197
"2013-07-10" 8.47 8.49 8.16 6.023801
"2013-07-11" 8.38 8.4 8.11 5.958246
"2013-07-12" 8.19 8.33 8.16 6.067505
"2013-07-15" 8.38 8.43 8.32 6.09664
"2013-07-16" 8.38 8.41 8.17 6.016517
"2013-07-17" 8.31 8.35 8.24 6.001948
"2013-07-18" 8.17 8.49 8.12 6.118492
"2013-07-19" 8.4 8.42 8.32 6.103925
"2013-07-22" 8.44 8.53 8.39 6.213184
"2013-07-23" 8.56 8.56 8.45 6.162197
"2013-07-24" 8.49 8.62 8.42 6.256888
"2013-07-25" 8.56 8.62 8.51 6.235036
"2013-07-26" 8.49 8.6 8.48 6.264173
"2013-07-29" 8.54 8.59 8.4 6.169479
"2013-07-30" 8.46 8.54 8.42 6.147629
"2013-07-31" 8.45 8.62 8.43 6.227751
"2013-08-01" 8.6 8.78 8.58 6.344294
"2013-08-02" 8.66 8.75 8.62 6.344294
"2013-08-05" 8.71 8.77 8.65 6.358862
"2013-08-06" 8.72 8.73 8.59 6.293306
"2013-08-07" 8.6 8.63 8.46 6.2059
"2013-08-08" 8.62 8.66 8.5 6.264173
"2013-08-09" 8.59 8.63 8.52 6.227751
"2013-08-12" 8.51 8.63 8.5 6.256888
"2013-08-13" 8.58 8.61 8.47 6.256888
"2013-08-14" 8.56 8.66 8.56 6.271453
"2013-08-15" 8.53 8.6 8.41 6.169479
"2013-08-16" 8.49 8.6 8.46 6.235036
"2013-08-19" 8.49 8.56 8.41 6.154912
"2013-08-20" 8.43 8.6 8.42 6.242319
"2013-08-21" 8.56 8.59 8.45 6.176763
"2013-08-22" 8.49 8.7 8.49 6.278737
"2013-08-23" 8.68 8.68 8.55 6.264173
"2013-08-26" 8.58 8.61 8.45 6.154912
"2013-08-27" 8.36 8.4 8.14 5.958246
"2013-08-28" 8.21 8.3 8.15 5.980097
"2013-08-29" 8.2 8.31 8.18 6.016517
"2013-08-30" 8.3 8.3 8.2 6.001948
"2013-09-03" 8.33 8.45 8.19 6.001948
"2013-09-04" 8.25 8.39 8.19 6.111209
"2013-09-05" 8.37 8.5 8.37 6.169479
"2013-09-06" 8.54 8.54 8.33 6.2059
"2013-09-09" 8.5 8.58 8.41 6.242319
"2013-09-10" 8.65 8.72 8.57 6.344294
"2013-09-11" 8.69 8.74 8.54 6.271453
"2013-09-12" 8.62 8.67 8.48 6.198616
"2013-09-13" 8.46 8.54 8.45 6.242577
"2013-09-16" 8.6 8.61 8.52 6.257229
"2013-09-17" 8.57 8.67 8.52 6.345154
"2013-09-18" 8.67 8.73 8.56 6.271885
"2013-09-19" 8.57 8.6 8.32 6.103366
"2013-09-20" 8.32 8.42 8.3 6.14
"2013-09-23" 8.38 8.38 8.21 6.030095
"2013-09-24" 8.22 8.33 8.19 6.052075
"2013-09-25" 8.26 8.38 8.2 6.125345
"2013-09-26" 8.35 8.4 8.24 6.059403
"2013-09-27" 8.23 8.32 8.2 6.030095
"2013-09-30" 8.13 8.29 8.1 6.052075
