"Index" "Open" "High" "Low" "Price"
"2012-09-17" 59.200001 59.470001 58.669998 47.170815
"2012-09-18" 58.970001 59.049999 58.509998 47.130775
"2012-09-19" 59.18 60 59 47.619221
"2012-09-20" 59.189999 59.299999 58.759998 47.467079
"2012-09-21" 59.580002 59.93 59.310001 47.579182
"2012-09-24" 59.349998 59.52 58.880001 47.555145
"2012-09-25" 59.830002 60.580002 59.619999 47.819393
"2012-09-26" 59.580002 59.950001 59.130001 47.378998
"2012-09-27" 59.419998 60.200001 59.240002 47.94751
"2012-09-28" 59.68 60.419998 59.400002 48.33987
"2012-10-01" 60.77 60.849998 60.34 48.500011
"2012-10-02" 60.869999 60.889999 60.150002 48.307842
"2012-10-03" 60.450001 61.779999 60.380001 49.460892
"2012-10-04" 61.84 62.419998 61.52 49.436871
"2012-10-05" 61.970001 63.200001 61.900002 50.60593
"2012-10-08" 62.98 63.099998 61.740002 49.548965
"2012-10-09" 61.59 61.669998 60.950001 48.804291
"2012-10-10" 60.509998 61.060001 59.610001 47.835411
"2012-10-11" 59.950001 59.990002 58.75 47.250889
"2012-10-12" 59.25 59.82 59.16 47.691284
"2012-10-15" 59.880001 60.75 59.75 48.564072
"2012-10-16" 60.860001 61 60.43 48.732239
"2012-10-17" 61.290001 62.119999 61.150002 49.156605
"2012-10-18" 61.389999 61.900002 61.349998 49.484905
"2012-10-19" 61.759998 62.029999 61.509998 49.556984
"2012-10-22" 61.75 62.049999 61.43 49.677086
"2012-10-23" 61.549999 61.779999 61.060001 49.444881
"2012-10-24" 61.950001 62.23 61.23 49.068539
"2012-10-25" 61.700001 61.889999 60.310001 48.427952
"2012-10-26" 60.380001 60.459999 59.439999 48.07563
"2012-10-31" 62.759998 63 60.889999 49.148613
"2012-11-01" 61.950001 62.389999 61.720001 49.853245
"2012-11-02" 62.549999 62.91 61.98 49.661072
"2012-11-05" 62.02 62.529999 61.93 49.949329
"2012-11-06" 62.59 62.900002 62.330002 50.14151
