"Index" "Open" "High" "Low" "Price"
"2012-09-17" 55.75 56.43 55.110001 47.207767
"2012-09-18" 55.259998 55.650002 54.669998 47.216278
"2012-09-19" 54.950001 55.459999 54.639999 46.87598
"2012-09-20" 54.82 55.5 54.25 47.16523
"2012-09-21" 55.93 56.32 55.52 47.335377
"2012-09-24" 54.82 55.09 54.400002 46.603737
"2012-09-25" 54.990002 55.400002 53.580002 45.599865
"2012-09-26" 53.349998 53.349998 51.869999 44.578979
"2012-09-27" 52.82 53.950001 52.57 45.744495
"2012-09-28" 53.459999 53.889999 53.02 45.70195
"2012-10-01" 53.849998 54.599998 53.759998 45.897617
"2012-10-02" 54.09 54.349998 53.220001 45.51479
"2012-10-03" 53.549999 53.549999 52.119999 44.783146
"2012-10-04" 52.84 54.099998 52.73 45.923138
"2012-10-05" 54.369999 54.470001 53.349998 45.565845
"2012-10-08" 53.209999 53.91 52.799999 45.625385
"2012-10-09" 53.740002 54.389999 53.619999 45.710457
"2012-10-10" 53.549999 53.939999 52.439999 44.757633
"2012-10-11" 53.209999 54.169998 53.099998 45.370163
"2012-10-12" 53.07 53.560001 52.75 45.327629
"2012-10-15" 53.099998 53.279999 52.16 45.038372
"2012-10-16" 53.580002 55.09 53.41 46.782387
"2012-10-17" 55.25 55.790001 54.970001 47.318363
"2012-10-18" 55.389999 55.720001 54.849998 47.063156
"2012-10-19" 55.279999 55.540001 54.150002 46.17836
"2012-10-22" 54.34 55.09 53.650002 46.374043
"2012-10-23" 53.41 53.41 51.709999 44.553425
"2012-10-24" 52.470001 53.02 51.599998 44.68956
"2012-10-25" 53.27 53.939999 52.540001 45.855095
"2012-10-26" 53.77 54.169998 52.84 45.293606
"2012-10-31" 53.82 54.23 51.970001 44.459862
"2012-11-01" 52.209999 53.18 52.110001 44.791664
"2012-11-02" 54.68 55.349998 52.470001 45.4212
"2012-11-05" 53.880001 54.98 53.84 46.705837
"2012-11-06" 55.060001 55.959999 54.639999 47.233295
"2012-11-07" 54.639999 54.639999 52.82 45.19149
"2012-11-08" 53.009998 53.470001 52.18 44.408817
"2012-11-09" 52.02 52.16 50.549999 43.158215
"2012-11-12" 50.709999 50.709999 50.080002 43.022106
"2012-11-13" 50.119999 51.029999 49.639999 42.503155
"2012-11-14" 50.099998 50.419998 49.139999 42.137337
"2012-11-15" 49.48 49.849998 48.380001 41.592861
"2012-11-16" 49.099998 49.34 48.200001 41.609875
"2012-11-19" 49.779999 50.490002 49.759998 42.954044
"2012-11-20" 50.130001 50.459999 49.279999 42.154366
"2012-11-21" 49.939999 50.119999 49.400002 42.622265
"2012-11-23" 50.299999 51.16 50.049999 43.490021
"2012-11-26" 50.610001 50.619999 49.48 42.452114
"2012-11-27" 49.830002 50.259998 49.330002 42.009716
"2012-11-28" 48.759998 49.889999 48.400002 42.409557
"2012-11-29" 50.209999 50.650002 50.200001 42.962551
"2012-11-30" 50.32 50.490002 49.27 42.205399
"2012-12-03" 50.110001 50.5 49.279999 42.171364
"2012-12-04" 49.610001 49.82 48.689999 41.575848
"2012-12-05" 49.130001 49.849998 49.040001 42.086292
"2012-12-06" 49.310001 49.470001 48.299999 41.780018
"2012-12-07" 49.240002 49.720001 48.950001 42.273449
"2012-12-10" 49.669998 50.290001 49.490002 42.554195
"2012-12-11" 50.25 51.060001 50.18 43.022106
"2012-12-12" 50.82 52.740002 50.77 44.255692
"2012-12-13" 51.84 52.549999 51.25 44.187485
"2012-12-14" 51.360001 52.009998 50.990002 43.79541
"2012-12-17" 51.509998 52.470001 51.389999 44.536976
"2012-12-18" 52.119999 54.150002 52.119999 46.071262
"2012-12-19" 54 54.080002 53.02 45.21035
"2012-12-20" 53.040001 53.540001 53.040001 45.568359
"2012-12-21" 52.830002 53.540001 52.470001 45.508682
"2012-12-24" 53.23 53.299999 52.5 44.869392
"2012-12-26" 52.869999 53.32 52.290001 44.596638
"2012-12-27" 52.290001 52.619999 51.77 44.707451
"2012-12-28" 52.040001 52.18 51.25 43.710167
"2012-12-31" 51.009998 53 50.900002 45.142162
"2013-01-02" 54.130001 54.130001 53.060001 45.781452
"2013-01-03" 53.599998 54.700001 53.32 46.199123
"2013-01-04" 54.16 55.040001 54.099998 46.898083
"2013-01-07" 55.619999 55.939999 55.099998 47.597027
"2013-01-08" 55.75 55.790001 54.82 47.230499
"2013-01-09" 55.790001 56.549999 55.200001 47.392452
"2013-01-10" 56.41 56.709999 55.889999 48.253368
"2013-01-11" 56.799999 56.869999 55.98 47.946495
"2013-01-14" 56.490002 56.849998 56.119999 48.091408
"2013-01-15" 56.099998 56.779999 55.830002 48.304501
"2013-01-16" 56.41 57.169998 56.369999 48.611359
"2013-01-17" 57.189999 57.599998 56.650002 48.841499
"2013-01-18" 57.48 57.68 56.860001 49.148361
"2013-01-22" 57.77 58.98 57.419998 50.179749
"2013-01-23" 58.57 58.580002 57.599998 49.293266
"2013-01-24" 57.84 58.68 57.799999 49.813213
"2013-01-25" 58.470001 58.990002 58.400002 50.205318
"2013-01-28" 63.150002 63.759998 61.509998 53.256836
"2013-01-29" 67.830002 70.769997 67.129997 58.055752
"2013-01-30" 67.620003 68.489998 66.050003 57.859703
"2013-01-31" 65.720001 67.790001 64.610001 57.246002
"2013-02-01" 67.370003 68.949997 67.050003 58.140999
"2013-02-04" 66.959999 67.839996 66.800003 57.527271
"2013-02-05" 67.919998 67.919998 66 56.274281
"2013-02-06" 65.779999 66.839996 65.779999 56.811272
"2013-02-07" 66.5 66.839996 65.980003 56.743088
"2013-02-08" 66.690002 67.68 66.690002 57.424999
"2013-02-11" 67.120003 67.120003 66.339996 56.887993
"2013-02-12" 66.709999 67.379997 66.480003 57.092575
"2013-02-13" 67 68.440002 66.989998 57.927887
"2013-02-14" 67.760002 68.959999 67.529999 58.260326
"2013-02-15" 68.18 68.389999 67.019997 57.467598
"2013-02-19" 67.690002 68.459999 67.419998 58.140999
"2013-02-20" 68.110001 68.169998 65.839996 56.265751
"2013-02-21" 65.720001 65.93 63.900002 54.893417
