"Index" "Open" "High" "Low" "Price"
"2012-09-17" 20.24 20.33 19.91 16.264845
"2012-09-18" 19.93 20 19.559999 15.988619
"2012-09-19" 19.799999 19.98 19.65 15.980499
"2012-09-20" 19.440001 19.469999 19.139999 15.639277
"2012-09-21" 19.450001 19.530001 19.23 15.75302
"2012-09-24" 19.27 19.530001 19.27 15.720519
"2012-09-25" 19.389999 19.49 18.76 15.281812
"2012-09-26" 18.809999 18.879999 18.57 15.176198
"2012-09-27" 19.209999 19.450001 19 15.679898
"2012-09-28" 19.58 19.9 19.379999 15.793643
"2012-10-01" 19.690001 19.99 19.370001 15.76927
"2012-10-02" 19.540001 19.709999 19.450001 15.996741
"2012-10-03" 19.719999 19.870001 19.57 16.126734
"2012-10-04" 19.950001 20.780001 19.950001 16.85792
"2012-10-05" 21.02 21.68 21.02 17.22352
"2012-10-08" 21.030001 21.360001 20.940001 17.296637
"2012-10-09" 21.299999 21.41 20.9 17.044783
"2012-10-10" 21 21.200001 20.870001 17.077282
"2012-10-11" 21.309999 21.690001 21.16 17.467245
"2012-10-12" 21.34 21.549999 21.07 17.32913
"2012-10-15" 21.469999 21.59 21.280001 17.515993
"2012-10-16" 21.75 22.049999 21.65 17.792215
"2012-10-17" 21.92 22.24 21.82 17.946581
"2012-10-18" 22.02 22.629999 22.01 18.295925
"2012-10-19" 22.48 22.52 21.889999 17.938457
"2012-10-22" 22.07 22.209999 21.700001 17.93033
"2012-10-23" 21.620001 21.940001 21.48 17.751596
"2012-10-24" 22.110001 22.4 21.950001 17.946581
"2012-10-25" 22.43 22.67 22.09 18.26342
"2012-10-26" 22.42 22.42 21.58 17.637854
"2012-10-31" 21.5 21.85 21.280001 17.637854
"2012-11-01" 21.870001 22.200001 21.73 17.80846
"2012-11-02" 21.41 22.1 20.85 17.272266
"2012-11-05" 21.25 21.52 20.98 17.418503
"2012-11-06" 21.5 21.91 21.48 17.645975
"2012-11-07" 21.32 21.33 20.76 16.882296
"2012-11-08" 20.860001 21.24 20.440001 16.606073
"2012-11-09" 20.459999 21.02 20.309999 16.906672
"2012-11-12" 20.959999 20.98 20.68 16.971664
"2012-11-13" 20.639999 20.99 20.51 16.69544
"2012-11-14" 20.65 20.74 20.139999 16.435465
"2012-11-15" 20.290001 20.75 20.219999 16.606073
"2012-11-16" 20.42 20.48 20.120001 16.541073
"2012-11-19" 20.719999 20.950001 20.540001 16.947296
"2012-11-20" 20.780001 21.059999 20.59 17.020412
"2012-11-21" 21.01 21.25 20.84 17.207266
"2012-11-23" 21.27 21.370001 21.129999 17.312881
"2012-11-26" 21.15 21.34 21 17.22352
"2012-11-27" 21.17 21.33 20.85 16.971664
"2012-11-28" 20.799999 21.059999 20.540001 17.109774
"2012-11-29" 21.15 21.200001 20.92 17.256708
"2012-11-30" 21.07 21.299999 21.01 17.289368
"2012-12-03" 21.290001 21.33 21.09 17.240389
"2012-12-04" 21.049999 21.110001 20.809999 17.085285
"2012-12-05" 21.02 21.639999 20.92 17.583237
"2012-12-06" 21.49 21.67 21.379999 17.66486
"2012-12-07" 21.700001 21.969999 21.629999 17.868944
"2012-12-10" 21.75 21.98 21.66 17.811804
"2012-12-11" 21.92 22.110001 21.77 18.024042
"2012-12-12" 22.120001 22.25 21.9 17.901598
"2012-12-13" 21.93 22.09 21.469999 17.550581
"2012-12-14" 21.49 21.52 21.110001 17.37916
"2012-12-17" 21.48 22.08 21.389999 17.999548
"2012-12-18" 22.120001 22.559999 22.1 18.36689
"2012-12-19" 22.629999 22.780001 22.49 18.383217
"2012-12-20" 22.52 22.879999 22.42 18.677084
"2012-12-21" 22.23 22.700001 22.059999 18.15465
"2012-12-24" 22.129999 22.379999 22.129999 18.219955
"2012-12-26" 22.35 22.43 22.23 18.203617
"2012-12-27" 22.42 22.6 22.15 18.375055
"2012-12-28" 22.24 22.450001 22.139999 18.089342
"2012-12-31" 22.07 22.48 22 18.317907
"2013-01-02" 23 23.709999 23 19.354622
"2013-01-03" 23.77 24.23 23.610001 19.730122
"2013-01-04" 24.190001 24.719999 24.07 20.015827
"2013-01-07" 24.379999 24.4 24.09 19.76277
"2013-01-08" 24.120001 24.18 23.540001 19.468897
"2013-01-09" 23.98 24.1 23.75 19.485226
"2013-01-10" 24.290001 24.4 23.85 19.648489
"2013-01-11" 24.030001 24.1 23.74 19.509716
"2013-01-14" 23.91 23.969999 23.549999 19.44441
"2013-01-15" 23.59 23.950001 23.51 19.501554
"2013-01-16" 23.84 24.16 23.719999 19.697468
"2013-01-17" 24.219999 24.48 24.16 19.885223
"2013-01-18" 24.34 24.42 24.17 19.909704
"2013-01-22" 24.370001 24.719999 24.139999 20.105625
"2013-01-23" 24.27 24.690001 24.08 20.048479
"2013-01-24" 24.610001 24.84 24.290001 19.909704
"2013-01-25" 24.52 24.82 24.34 20.260714
"2013-01-28" 24.870001 25.040001 24.73 20.236225
"2013-01-29" 24.719999 25 24.620001 20.317858
"2013-01-30" 24.860001 24.9 24.530001 20.089294
"2013-01-31" 24.540001 24.84 24.25 20.244387
"2013-02-01" 25.030001 25.370001 24.790001 20.579079
"2013-02-04" 24.959999 24.98 24.549999 20.162764
"2013-02-05" 25.33 25.33 24.219999 19.909704
"2013-02-06" 24.219999 24.58 24.040001 19.975012
"2013-02-07" 24.51 24.559999 23.889999 19.787264
"2013-02-08" 24.26 24.35 24.040001 19.730122
"2013-02-11" 24.110001 24.49 23.950001 19.926033
"2013-02-12" 24.35 24.51 24.209999 19.917871
"2013-02-13" 24.459999 24.549999 24.34 19.958687
"2013-02-14" 24.309999 24.559999 24.209999 19.991337
"2013-02-15" 24.459999 24.67 24.139999 19.754612
"2013-02-19" 24.42 24.799999 24.280001 20.211735
"2013-02-20" 24.799999 24.85 24.299999 19.844404
"2013-02-21" 24.200001 24.290001 23.58 19.346458
"2013-02-22" 24.02 24.200001 23.91 19.664812
"2013-02-25" 24.290001 24.35 23.02 18.815859
"2013-02-26" 23.25 23.389999 22.639999 19.060749
"2013-02-27" 23.299999 23.82 23.17 19.370945
"2013-02-28" 23.690001 23.889999 23.559999 19.272987
"2013-03-01" 23.379999 23.75 23.110001 19.330132
"2013-03-04" 23.4 23.76 23.25 19.338295
"2013-03-05" 23.870001 24.360001 23.799999 19.713791
"2013-03-06" 24.34 24.540001 24.200001 19.803589
"2013-03-07" 24.219999 24.42 24.030001 19.959328
"2013-03-08" 24.469999 25.549999 24.459999 20.860977
"2013-03-11" 25.440001 25.83 25.16 21.000332
"2013-03-12" 25.620001 25.98 25.57 21.024916
"2013-03-13" 25.74 25.879999 25.57 21.106892
"2013-03-14" 25.940001 26.5 25.870001 21.688864
"2013-03-15" 26.450001 26.6 26.16 21.557713
"2013-03-18" 25.92 26.190001 25.68 21.246235
"2013-03-19" 26.01 26.08 25.379999 20.918358
"2013-03-20" 25.85 26.280001 25.85 21.434759
"2013-03-21" 25.99 26.23 25.92 21.311804
"2013-03-22" 26.129999 26.42 25.959999 21.639685
"2013-03-25" 26.6 26.690001 25.809999 21.320005
"2013-03-26" 26.17 26.290001 25.870001 21.516726
"2013-03-27" 26.01 26.08 25.68 21.270823
"2013-03-28" 25.91 25.969999 25.549999 21.147869
"2013-04-01" 25.84 26.07 25.48 20.967537
"2013-04-02" 25.629999 25.709999 25.360001 20.942949
"2013-04-03" 25.51 25.540001 24.74 20.344578
"2013-04-04" 25.030001 25.93 24.959999 21.188856
"2013-04-05" 25.219999 25.42 24.67 20.631472
"2013-04-08" 25.15 26.1 25.15 21.377382
"2013-04-09" 26.15 26.370001 26.040001 21.442953
"2013-04-10" 26.32 27.15 26.209999 22.14789
"2013-04-11" 27.4 28.120001 27.23 22.442974
"2013-04-12" 27.25 27.860001 27.209999 22.53314
"2013-04-15" 27.41 27.42 26.16 21.565905
"2013-04-16" 26.690001 27.4 26.690001 22.434776
"2013-04-17" 27.01 27.1 26.68 22.123297
"2013-04-18" 26.969999 27.059999 26.41 21.746235
"2013-04-19" 26.709999 26.93 26.200001 22.00034
"2013-04-22" 26.9 26.950001 26.24 21.861002
"2013-04-23" 26.9 27.469999 26.780001 22.459368
