"Index" "Open" "High" "Low" "Price"
"2012-09-17" 41.779999 42.080002 41.529999 35.698524
"2012-09-18" 41.439999 41.470001 40.330002 34.864925
"2012-09-19" 40.66 41.509998 40.52 35.612579
"2012-09-20" 41.34 41.860001 41.169998 35.827419
"2012-09-21" 41.860001 42.75 41.599998 35.750084
"2012-09-24" 41.360001 41.91 41.209999 35.432102
"2012-09-25" 41.34 41.779999 41.150002 35.793056
"2012-09-26" 41.720001 41.959999 41.139999 35.655548
"2012-09-27" 41.599998 42.32 41.380001 36.325867
"2012-09-28" 42.110001 42.349998 41.650002 36.136799
"2012-10-01" 42.060001 42.529999 41.610001 36.119606
"2012-10-02" 42.080002 42.73 41.990002 36.712582
"2012-10-03" 42.18 42.209999 40.57 35.552422
"2012-10-04" 41.369999 42.189999 41.299999 36.257111
"2012-10-05" 42.299999 42.889999 42.200001 36.557877
"2012-10-08" 42.490002 42.490002 42 36.145393
"2012-10-09" 42.02 42.380001 41.490002 35.681328
"2012-10-10" 41.52 41.790001 41.400002 35.81023
"2012-10-11" 41.91 43 41.650002 36.669601
"2012-10-12" 42.939999 42.939999 41.150002 35.475079
"2012-10-15" 41.16 41.310001 40.34 34.985214
"2012-10-16" 40.779999 41.189999 40.450001 35.225849
"2012-10-17" 41.82 42.279999 40.700001 36.214142
"2012-10-18" 42.080002 42.25 41.869999 36.085236
"2012-10-19" 41.959999 42.189999 41.369999 36.119606
"2012-10-22" 41.990002 42.099998 40.950001 35.466488
"2012-10-23" 40.950001 42 40.84 35.93914
"2012-10-24" 41.900002 42.200001 41.279999 35.552422
"2012-10-25" 41.560001 42.580002 41.560001 36.506332
"2012-10-26" 42 42.459999 41.540001 35.990696
"2012-10-31" 41.84 42.75 41.639999 36.420376
"2012-11-01" 40.830002 43.75 40.689999 37.37429
"2012-11-02" 43.720001 43.720001 42.84 37.082108
"2012-11-05" 43.450001 44.099998 43.25 37.821182
"2012-11-06" 44.259998 45 44.09 38.637596
"2012-11-07" 42.93 48.93 42.529999 37.348511
"2012-11-08" 42.459999 43.459999 40.77 35.483677
"2012-11-09" 40.84 41.560001 39.57 34.546947
"2012-11-12" 40.23 40.290001 39.77 34.263359
"2012-11-13" 39.529999 40.59 39.16 34.71883
"2012-11-14" 40.48 40.509998 39.849998 34.332115
"2012-11-15" 39.950001 40.619999 39.77 34.546947
"2012-11-16" 40.389999 40.75 40.02 34.632904
"2012-11-19" 40.689999 40.75 40.169998 34.882114
"2012-11-20" 40.450001 40.889999 40.259998 34.90789
"2012-11-21" 40.630001 40.98 40.459999 35.131325
"2012-11-23" 40.91 41.25 40.689999 35.234447
"2012-11-26" 40.75 41.549999 40.75 35.475079
"2012-11-27" 41.279999 41.330002 40.75 35.328983
"2012-11-28" 40.779999 41.110001 40.57 35.242836
"2012-11-29" 41 41.349998 40.869999 35.320362
"2012-11-30" 40.990002 41.040001 40.16 35.191143
"2012-12-03" 40.849998 40.860001 39.91 34.553669
"2012-12-04" 40.110001 40.630001 39.919998 34.69149
"2012-12-05" 40.240002 40.689999 40 34.665649
"2012-12-06" 40.139999 40.540001 39.900002 34.545048
"2012-12-07" 40.189999 40.779999 40.150002 35.070538
"2012-12-10" 40.630001 41.25 40.389999 35.311745
"2012-12-11" 41.080002 41.330002 40.68 35.354828
"2012-12-12" 41.25 42.150002 41.110001 36.121548
"2012-12-13" 41.75 41.869999 41.119999 35.716648
"2012-12-14" 41.360001 41.740002 41.009998 35.733868
"2012-12-17" 41.43 41.900002 41.169998 35.863102
"2012-12-18" 41.610001 42.470001 41.360001 36.535042
"2012-12-19" 42.23 42.549999 41.630001 36.423058
"2012-12-20" 42.240002 43.290001 41.860001 37.215618
"2012-12-21" 42.259998 43.27 42.099998 37.00024
"2012-12-24" 43.220001 43.290001 42.619999 36.862404
"2012-12-26" 42.970001 43.540001 42.290001 36.802094
"2012-12-27" 42.849998 43.189999 42.119999 36.569508
"2012-12-28" 42.34 43.099998 42.119999 36.302456
"2012-12-31" 42.009998 43.470001 41.639999 37.336216
"2013-01-02" 43.720001 44.07 43.389999 37.95647
"2013-01-03" 44.110001 44.200001 43.689999 37.775562
"2013-01-04" 43.82 44.080002 43.490002 37.939255
"2013-01-07" 43.810001 44.150002 43.529999 37.629116
"2013-01-08" 43.549999 43.720001 43.099998 37.30175
"2013-01-09" 43.52 43.720001 43.130001 37.215618
"2013-01-10" 43.450001 43.549999 43.189999 37.439594
"2013-01-11" 43.540001 43.540001 43.150002 37.284527
"2013-01-14" 43.240002 43.630001 43.029999 37.362064
"2013-01-15" 43.200001 44.119999 43.200001 37.698032
"2013-01-16" 43.580002 43.779999 43.110001 37.189766
"2013-01-17" 43.450001 44.41 43.43 38.128777
"2013-01-18" 44.369999 44.75 44.060001 38.4389
"2013-01-22" 44.700001 45.16 44.5 38.766258
"2013-01-23" 45.049999 45.77 44.849998 39.291752
"2013-01-24" 45.709999 45.950001 45.389999 39.257301
"2013-01-25" 45.610001 45.689999 45.23 39.171146
"2013-01-28" 45.34 45.380001 44.720001 38.67149
"2013-01-29" 44.84 44.98 44.630001 38.550888
"2013-01-30" 44.650002 44.709999 44.139999 38.232147
"2013-01-31" 44.259998 44.700001 44.009998 38.163216
"2013-02-01" 44.759998 44.759998 44.380001 38.36137
"2013-02-04" 44.400002 44.869999 44.119999 38.085701
"2013-02-05" 44.279999 44.59 43.959999 38.051235
"2013-02-06" 43.990002 44.630001 43.990002 38.240768
"2013-02-07" 44.389999 45 44.380001 38.662888
"2013-02-08" 44.810001 45.400002 44.610001 39.102234
"2013-02-11" 45.23 45.400002 45 38.964394
"2013-02-12" 45.27 45.400002 45.150002 38.981636
"2013-02-13" 45.330002 45.82 45.130001 39.240059
"2013-02-14" 45.389999 45.48 45.040001 38.938564
"2013-02-15" 45.099998 45.59 45.029999 39.067772
"2013-02-19" 45.349998 45.549999 45.23 39.231445
"2013-02-20" 45.450001 45.950001 45.380001 39.145302
"2013-02-21" 45.349998 45.439999 44.599998 38.447502
"2013-02-22" 44.849998 45.189999 44.799999 38.723179
"2013-02-25" 45.099998 45.59 44.27 38.154606
"2013-02-26" 44.349998 45.740002 44.349998 39.259804
"2013-02-27" 45.470001 47.139999 44.77 40.684433
"2013-02-28" 46.77 48.52 46.759998 41.478783
"2013-03-01" 47.779999 48.57 47.290001 41.366543
"2013-03-04" 47.73 47.790001 47.18 40.796688
"2013-03-05" 47.470001 48.099998 47.259998 41.504681
"2013-03-06" 48.369999 49.18 48.349998 42.454449
"2013-03-07" 49.16 49.200001 48.810001 42.350838
"2013-03-08" 49.349998 50.759998 49.349998 43.654602
"2013-03-11" 50.25 50.98 50.009998 43.948185
"2013-03-12" 50.700001 51.43 50.66 44.328083
"2013-03-13" 51.380001 53.110001 51.380001 45.631847
"2013-03-14" 52.889999 54.119999 52.59 46.693859
"2013-03-15" 54.209999 54.220001 53.610001 46.642044
"2013-03-18" 53.529999 53.900002 53.25 46.313934
"2013-03-19" 52.91 53.330002 52.27 45.329655
"2013-03-20" 52.59 52.98 52.48 45.605938
"2013-03-21" 52.639999 52.959999 51.830002 44.941109
"2013-03-22" 52.439999 53.060001 52.189999 45.251934
"2013-03-25" 52.630001 53.189999 52.110001 45.208775
"2013-03-26" 52.400002 53.34 52.400002 45.934048
"2013-03-27" 52.889999 53.080002 52.630001 45.726822
"2013-03-28" 53.080002 53.470001 52.939999 46.046288
"2013-04-01" 53.52 54.16 53.189999 46.43483
"2013-04-02" 53.939999 53.959999 52.290001 45.312378
"2013-04-03" 52.560001 53.310001 51.889999 44.854774
"2013-04-04" 52.189999 52.669998 51.790001 44.820236
"2013-04-05" 51.189999 51.779999 50.880001 44.535294
"2013-04-08" 51.919998 51.919998 50.91 44.293556
"2013-04-09" 51.259998 51.439999 50.41 44.103596
"2013-04-10" 50.98 51.860001 50.959999 44.777058
"2013-04-11" 51.860001 52.299999 51.799999 45.010181
"2013-04-12" 52.169998 53.68 52.169998 46.322598
"2013-04-15" 53.279999 53.580002 51.5 44.785683
"2013-04-16" 52.419998 52.630001 50.66 44.466221
"2013-04-17" 51.119999 51.310001 50.029999 43.715054
"2013-04-18" 50.869999 50.869999 49.84 43.266064
"2013-04-19" 50.23 50.619999 49.900002 43.404209
"2013-04-22" 50.23 50.310001 49.73 43.274712
"2013-04-23" 50.279999 51.009998 50.279999 44.017262
"2013-04-24" 51 51.389999 50.889999 44.276264
"2013-04-25" 51.509998 52.509998 51.360001 45.312378
"2013-04-26" 52.52 52.75 51.709999 44.794334
"2013-04-29" 52.080002 52.990002 52.080002 45.683647
"2013-04-30" 52.91 53.110001 52.639999 45.675026
"2013-05-01" 52.73 53.060001 51.880001 44.837498
"2013-05-02" 52.049999 53.02 51.43 45.718193
"2013-05-03" 53.259998 53.66 53.119999 46.054924
"2013-05-06" 53.23 53.75 52.84 46.141262
"2013-05-07" 53.57 54.099998 53.380001 46.624779
"2013-05-08" 54 54.450001 52.549999 46.210342
"2013-05-09" 53.740002 53.919998 52.860001 46.331223
"2013-05-10" 53.700001 54.049999 53.490002 46.460728
"2013-05-13" 53.639999 53.799999 53.389999 46.201698
"2013-05-14" 53.560001 54.240002 53.5 46.754292
"2013-05-15" 54 54.700001 53.849998 47.125568
"2013-05-16" 54.669998 55.389999 54.490002 47.634979
"2013-05-17" 55.540001 56 55.310001 48.196224
"2013-05-20" 55.82 55.82 55.150002 47.712688
"2013-05-21" 55.27 56.110001 55.119999 48.35162
"2013-05-22" 56.150002 56.540001 55.349998 47.98035
"2013-05-23" 55.18 56.040001 54.84 48.35162
"2013-05-24" 55.84 56 55.099998 47.781761
"2013-05-28" 55.93 56.720001 55.509998 48.1185
"2013-05-29" 55.310001 55.490002 54.5 47.426506
"2013-05-30" 54.700001 55.810001 54.700001 47.824413
"2013-05-31" 55.23 56.220001 54.799999 47.763851
"2013-06-03" 55.330002 55.560001 54.169998 47.106487
"2013-06-04" 54.43 55.139999 53.869999 47.461117
"2013-06-05" 54.66 55.049999 53.98 47.08918
"2013-06-06" 54.48 55.209999 54.029999 47.746559
"2013-06-07" 55.189999 56.139999 52.41 48.455845
"2013-06-10" 56.209999 56.669998 55.68 49.009426
"2013-06-11" 56.040001 56.470001 55.34 48.464489
"2013-06-12" 56.48 56.790001 55.07 47.80711
"2013-06-13" 55.09 56.080002 55.02 48.429893
"2013-06-14" 55.939999 56.59 55.52 48.516384
"2013-06-17" 56.490002 56.700001 55.619999 48.70668
"2013-06-18" 56.240002 57.700001 56.09 49.857098
"2013-06-19" 57.639999 57.639999 56.57 49.000767
"2013-06-20" 56 56.639999 55.720001 48.377987
"2013-06-21" 55.950001 56.130001 54.849998 47.616817
"2013-06-24" 54.66 55.5 54.32 47.608166
"2013-06-25" 55.389999 55.5 54.619999 47.296776
"2013-06-26" 55.009998 55.57 54.790001 47.859009
"2013-06-27" 55.700001 56.82 55.700001 48.948883
"2013-06-28" 56.459999 56.950001 56.029999 48.853725
"2013-07-01" 56.82 57.52 56.369999 49.234306
"2013-07-02" 56.939999 57.34 56.139999 48.95752
"2013-07-03" 56.5 57.34 56.5 49.563015
"2013-07-05" 57.360001 58.130001 57.360001 50.211735
"2013-07-08" 58.310001 58.84 57.66 49.978188
"2013-07-09" 58.16 58.810001 57.84 50.402031
"2013-07-10" 58.259998 59.32 58.259998 51.171867
"2013-07-11" 59.849998 60.759998 59.740002 52.408764
"2013-07-12" 60.639999 60.869999 59.27 52.062778
"2013-07-15" 60.389999 60.959999 60.110001 52.650959
"2013-07-16" 60.82 61.23 59.970001 51.91573
"2013-07-17" 60.18 60.669998 60.060001 52.330921
"2013-07-18" 60.669998 62.060001 60.669998 53.61974
"2013-07-19" 61.759998 62.900002 61.759998 54.311714
"2013-07-22" 62.93 63.189999 62.490002 54.4328
"2013-07-23" 63.07 63.400002 62.860001 54.718243
"2013-07-24" 63.360001 63.790001 63.23 54.787453
"2013-07-25" 63.310001 63.310001 62.41 54.571205
"2013-07-26" 62.740002 63.18 62.310001 54.069523
"2013-07-29" 62.27 62.599998 62.029999 53.706234
"2013-07-30" 62.450001 62.91 61.740002 53.567841
"2013-07-31" 62.150002 62.509998 61.849998 53.784092
"2013-08-01" 62.959999 63.990002 62.720001 54.666351
"2013-08-02" 62.98 63.5 62.939999 54.796089
"2013-08-05" 63.119999 63.630001 62.580002 54.969101
"2013-08-06" 63.32 63.619999 62.77 54.657696
"2013-08-07" 62.860001 63.599998 62.130001 54.778809
"2013-08-08" 63.700001 63.990002 63.189999 54.951797
"2013-08-09" 63.259998 64.139999 62.900002 55.453487
"2013-08-12" 63.970001 64.68 63.77 55.704323
"2013-08-13" 64.550003 65.160004 63.759998 56.050308
"2013-08-14" 64.849998 64.889999 63.84 55.289131
"2013-08-15" 63.48 63.639999 62.959999 54.700954
"2013-08-16" 63.240002 63.900002 63.240002 54.899895
"2013-08-19" 63.360001 63.709999 63.25 54.92585
"2013-08-20" 63.5 64.459999 63.450001 55.323727
"2013-08-21" 63.700001 64.550003 63.700001 55.297791
"2013-08-22" 64.129997 65.699997 64.029999 56.404949
"2013-08-23" 65.57 65.690002 65.110001 56.526043
"2013-08-26" 65.269997 66.410004 65.010002 56.759575
"2013-08-27" 65.120003 65.610001 63.919998 55.289131
"2013-08-28" 63.950001 64.75 63.759998 55.635658
"2013-08-29" 64.050003 65.010002 64.050003 55.973534
"2013-08-30" 64.580002 64.709999 63.220001 54.855968
"2013-09-03" 64.269997 64.650002 63.290001 55.089878
"2013-09-04" 63.450001 64.300003 63.369999 55.652981
"2013-09-05" 64.089996 64.339996 63.900002 55.557682
"2013-09-06" 64.279999 64.980003 63.459999 56.112148
"2013-09-09" 64.629997 65.93 64.629997 57.108425
"2013-09-10" 66.139999 66.879997 65.830002 57.896797
"2013-09-11" 66.68 67.559998 66.559998 58.529198
"2013-09-12" 67.669998 68.279999 67.220001 58.910393
"2013-09-13" 68 68.18 66.779999 58.78043
"2013-09-16" 68.809998 68.860001 68.050003 59.516823
"2013-09-17" 68.730003 69.400002 68.32 60.05394
"2013-09-18" 69.150002 69.809998 68.5 60.201214
"2013-09-19" 69.519997 69.730003 68.779999 59.854694
"2013-09-20" 69.239998 69.559998 67.760002 58.728451
"2013-09-23" 67.910004 68.190002 67.440002 58.581188
"2013-09-24" 67.599998 68.120003 67.129997 58.451237
"2013-09-25" 67.510002 67.779999 67.089996 58.373253
"2013-09-26" 67.5 67.800003 67.120003 58.399258
"2013-09-27" 66.93 67.5 66.57 58.407909
"2013-09-30" 67.029999 67.82 66.489998 58.390606
"2013-10-01" 67.25 68.93 67.25 59.534153
"2013-10-02" 68.370003 68.550003 67.919998 58.971035
"2013-10-03" 67.959999 68.040001 67.169998 58.589844
"2013-10-04" 67.75 68.089996 67.410004 58.797783
"2013-10-07" 67.419998 67.889999 66.769997 58.537861
"2013-10-08" 67.480003 68.050003 66.82 58.312614
"2013-10-09" 67.529999 68.019997 66.699997 58.399258
"2013-10-10" 68.25 70.389999 68.139999 60.946247
"2013-10-11" 69.959999 70.959999 69.720001 61.301468
"2013-10-14" 70.370003 71.400002 70.330002 61.769272
"2013-10-15" 71.239998 71.550003 70.889999 61.673992
"2013-10-16" 71.540001 71.980003 71.230003 61.96854
"2013-10-17" 71.220001 72.209999 71.220001 62.332386
"2013-10-18" 72.32 73.059998 71.68 63.268044
"2013-10-21" 73.029999 73.230003 72.150002 62.609604
"2013-10-22" 72.43 72.790001 72.169998 62.566284
"2013-10-23" 71.940002 72.5 71.790001 62.436344
"2013-10-24" 72.309998 72.510002 71.900002 62.739559
"2013-10-25" 72.489998 72.489998 71.57 62.323727
"2013-10-28" 71.769997 71.849998 71.470001 62.081146
"2013-10-29" 71.650002 72.019997 71.470001 62.375683
"2013-10-30" 72 72.599998 71.32 62.046509
"2013-10-31" 71.870003 72.330002 71.519997 61.985867
"2013-11-01" 71.690002 72.309998 71.059998 62.228424
"2013-11-04" 71.970001 72.839996 71.809998 63.060135
"2013-11-05" 72.550003 72.889999 72.110001 62.592285
"2013-11-06" 72.410004 72.980003 72.18 62.938816
"2013-11-07" 75 75.709999 72.620003 63.207367
"2013-11-08" 73.779999 76.089996 72.980003 65.910332
"2013-11-11" 76.330002 76.919998 75.910004 66.473434
"2013-11-12" 76.75 77.580002 76.550003 66.923927
"2013-11-13" 77.099998 78.610001 77.099998 67.954857
"2013-11-14" 78.599998 79.43 78.489998 68.414009
"2013-11-15" 79 79.660004 78.68 68.751907
"2013-11-18" 79.919998 80.349998 78.940002 68.535316
"2013-11-19" 79 79.43 78.699997 68.578606
"2013-11-20" 79.400002 80.089996 78.830002 68.829842
"2013-11-21" 79.660004 81.209999 79.660004 69.748199
"2013-11-22" 80.410004 80.610001 80.239998 69.713516
"2013-11-25" 80.5 81.25 80.190002 70.163994
"2013-11-26" 80.970001 82 80.610001 71.093262
"2013-11-27" 81.940002 83.080002 81.879997 71.857544
"2013-11-29" 82.809998 83.019997 82 71.414604
