"Index" "Open" "High" "Low" "Price"
"2012-09-17" 57.936268 58.8801 57.888599 47.852985
"2012-09-18" 58.756165 58.918236 58.088806 47.597111
"2012-09-19" 58.441551 58.651295 58.088806 47.511841
"2012-09-20" 57.917198 58.107872 57.440514 46.945839
"2012-09-21" 58.107872 58.308079 57.678856 46.922585
"2012-09-24" 57.345177 57.516785 56.820824 46.620209
"2012-09-25" 57.430981 57.678856 56.52528 45.984444
"2012-09-26" 56.639683 56.878025 55.90559 46.085251
"2012-09-27" 57.106834 57.669323 56.906628 46.705505
"2012-09-28" 57.049633 57.345177 56.553879 46.3256
"2012-10-01" 57.554916 58.441551 57.297508 47.139683
"2012-10-02" 58.355747 58.689426 58.050671 47.643642
"2012-10-03" 58.603626 58.851501 58.050671 47.263729
"2012-10-04" 58.546421 58.7943 58.289013 47.50407
"2012-10-05" 58.822899 59.042175 58.36528 47.628136
"2012-10-08" 58.193676 58.555958 57.812328 47.511841
"2012-10-09" 58.451084 58.498753 57.688389 47.04665
"2012-10-10" 57.76466 57.936268 57.364243 46.705505
"2012-10-11" 57.86953 58.136475 57.478649 46.74427
"2012-10-12" 57.755127 58.212742 57.24984 46.674492
"2012-10-15" 57.554916 58.079269 57.364243 47.17844
"2012-10-16" 58.346214 58.727562 58.184143 47.697906
"2012-10-17" 58.317616 59.061241 58.317616 47.984787
"2012-10-18" 58.918236 58.98497 58.079269 47.620377
"2012-10-19" 57.964867 60.519897 57.964867 48.449978
"2012-10-22" 59.242382 60.519897 58.746632 48.287159
"2012-10-23" 58.622692 58.813366 58.136475 47.721149
"2012-10-24" 58.603626 58.8801 58.003002 47.310249
"2012-10-25" 59.356789 59.366322 58.231812 47.628136
"2012-10-26" 58.527355 58.956371 58.184143 47.674648
"2012-10-31" 58.851501 59.042175 58.022068 47.480816
"2012-11-01" 58.403416 60.090881 58.403416 48.558521
"2012-11-02" 60.109947 60.233887 59.356789 48.40345
"2012-11-05" 59.452126 60.03368 59.280518 48.690331
"2012-11-06" 59.814404 60.910778 59.814404 49.25631
"2012-11-07" 59.814404 59.976479 58.841969 48.163105
"2012-11-08" 59.156578 59.576061 58.432018 47.527336
