"Index" "Open" "High" "Low" "Price"
"2015-10-19" 10.752331 10.752331 9.578292 7.968978
"2015-10-20" 9.444615 9.839836 9.444615 8.12306
"2015-10-21" 10.025822 10.083943 9.531796 7.935271
"2015-10-22" 9.71197 9.90958 9.438803 8.161582
"2015-10-23" 10.025822 10.025822 9.793339 8.185653
"2015-10-26" 9.944453 9.944453 9.479487 7.906381
"2015-10-27" 9.624789 9.735218 9.06683 7.574138
"2015-10-28" 9.241192 9.502736 9.209226 7.838971
"2015-10-29" 9.305125 9.456239 9.03777 7.680072
"2015-10-30" 9.241192 9.357434 8.555368 7.087816
"2015-11-02" 8.712294 8.816911 8.05553 6.977066
"2015-11-03" 8.177583 8.549556 7.948007 6.914471
"2015-11-04" 8.36357 8.433315 7.910228 6.577416
"2015-11-05" 7.927664 8.072966 7.625437 6.394442
"2015-11-06" 7.660309 8.415878 7.642873 6.933732
"2015-11-09" 8.288013 8.415878 8.212456 6.83743
"2015-11-10" 8.212456 8.39263 8.142711 6.938546
"2015-11-11" 8.25314 8.317073 8.189208 6.794094
"2015-11-12" 8.02647 8.032282 7.898604 6.596674
"2015-11-13" 7.910228 7.997409 7.642873 6.447408
"2015-11-16" 7.770738 7.910228 7.637061 6.442593
"2015-11-17" 7.776551 7.840483 7.625437 6.36555
"2015-11-18" 7.834671 7.979973 7.66554 6.567784
"2015-11-19" 7.863732 8.072966 7.85792 6.635196
"2015-11-20" 8.009033 8.503059 7.950913 6.842245
"2015-11-23" 8.235704 8.258952 7.88698 6.668902
"2015-11-24" 7.892792 8.151429 7.846295 6.59186
"2015-11-25" 8.08459 8.636737 8.043906 6.79891
"2015-11-27" 8.206644 8.508871 8.165959 6.909656
"2015-11-30" 8.270577 8.718106 8.241516 7.155227
"2015-12-01" 8.648361 9.229568 8.630925 7.516356
"2015-12-02" 8.933153 9.031958 8.642549 7.198561
"2015-12-03" 8.718106 8.915716 8.473999 7.039663
"2015-12-04" 8.36357 8.889562 8.276389 7.32857
"2015-12-07" 8.718106 8.997085 8.671609 7.466297
"2015-12-08" 8.770415 8.886656 8.497247 7.330985
"2015-12-09" 8.712294 8.944777 8.53212 7.176345
"2015-12-10" 8.596052 8.607677 8.444939 7.113522
"2015-12-11" 8.712294 8.950589 8.218268 6.852562
"2015-12-14" 8.311261 8.427502 8.090402 6.978209
"2015-12-15" 8.433315 8.706482 8.418784 7.0362
"2015-12-16" 8.497247 8.607677 8.456563 7.103857
"2015-12-17" 8.491435 8.555368 8.264764 6.915386
"2015-12-18" 8.293825 8.360664 8.136899 6.842897
"2015-12-21" 8.206644 8.369382 8.061342 6.775241
"2015-12-22" 8.160147 8.218268 8.090402 6.794572
"2015-12-23" 8.247328 8.70067 8.165959 7.205338
"2015-12-24" 8.607677 8.816911 8.596052 7.258497
"2015-12-28" 8.654173 8.880844 8.613489 7.35998
"2015-12-29" 8.886656 8.972093 8.822723 7.345481
"2015-12-30" 8.886656 8.997085 8.805287 7.384144
"2015-12-31" 8.851784 8.89828 8.776227 7.345481
"2016-01-04" 8.70067 8.805287 8.566992 7.311654
"2016-01-05" 8.793663 8.863408 8.683234 7.26333
"2016-01-06" 8.497247 8.718106 8.433315 7.152181
"2016-01-07" 8.427502 8.462375 7.933476 6.625433
"2016-01-08" 8.003221 8.148523 7.735866 6.543281
"2016-01-11" 7.805611 7.968349 7.596376 6.407969
