"Index" "Open" "High" "Low" "Price"
"2012-09-17" 8.283379 8.315168 8.188011 6.206269
"2012-09-18" 8.206176 8.301544 8.192552 6.2199
"2012-09-19" 8.365123 8.383288 8.188011 6.168779
"2012-09-20" 8.147139 8.160763 7.951862 6.052901
"2012-09-21" 8.138056 8.147139 7.924614 5.994963
"2012-09-24" 7.929155 7.929155 7.779292 5.865451
"2012-09-25" 7.820163 7.84287 7.584015 5.695043
"2012-09-26" 7.579473 7.833787 7.370572 5.83137
"2012-09-27" 7.633969 7.861035 7.606721 5.872269
"2012-09-28" 7.797457 7.865577 7.702089 5.814329
"2012-10-01" 7.811081 8.001817 7.788374 5.865451
"2012-10-02" 7.870118 7.924614 7.693006 5.838186
"2012-10-03" 7.824705 7.879201 6.743869 5.081573
"2012-10-04" 6.675749 6.802906 6.466848 5.091798
"2012-10-05" 6.771117 6.866485 6.662125 5.020226
"2012-10-08" 6.616712 6.730245 6.544051 4.928206
"2012-10-09" 6.53951 6.580381 6.430518 4.897532
"2012-10-10" 6.489555 6.53951 6.366939 4.832778
"2012-10-11" 6.457766 6.562216 6.421435 4.856635
"2012-10-12" 6.47139 6.584923 6.47139 4.911167
"2012-10-15" 6.557675 6.584923 6.47139 4.931615
"2012-10-16" 6.589464 6.71208 6.584923 4.965695
"2012-10-17" 6.630336 6.689373 6.50772 5.016818
"2012-10-18" 6.689373 6.743869 6.630336 5.044085
"2012-10-19" 6.71208 6.721163 6.566757 4.935023
"2012-10-22" 6.544051 6.684832 6.494096 5.01341
"2012-10-23" 6.562216 6.57584 6.47139 4.860043
"2012-10-24" 6.512262 6.521344 6.37148 4.785064
"2012-10-25" 6.425976 6.530427 6.385104 4.836186
"2012-10-26" 6.421435 6.498638 6.330609 4.802102
"2012-10-31" 6.4396 6.462307 6.26703 4.720309
"2012-11-01" 6.303361 6.40327 6.26703 4.77143
"2012-11-02" 6.412352 6.448683 6.212534 4.689637
