"Index" "Open" "High" "Low" "Price"
"2012-09-17" 14.49 14.59 14.48 12.071618
"2012-09-18" 14.565 14.635 14.535 12.092303
"2012-09-19" 14.6 14.775 14.58 12.15022
"2012-09-20" 14.66 14.77 14.635 12.175041
"2012-09-21" 14.75 14.755 14.615 12.096439
"2012-09-24" 14.61 14.74 14.565 12.141947
"2012-09-25" 14.665 14.7 14.495 12.009566
"2012-09-26" 14.535 14.63 14.505 12.026112
"2012-09-27" 14.56 14.625 14.445 12.088163
"2012-09-28" 14.56 14.655 14.44 12.096439
"2012-10-01" 14.63 14.78 14.585 12.220548
"2012-10-02" 14.805 14.925 14.785 12.307424
"2012-10-03" 14.855 14.875 14.73 12.228824
"2012-10-04" 14.825 14.87 14.67 12.158492
"2012-10-05" 14.775 14.85 14.675 12.183319
"2012-10-08" 14.68 14.715 14.57 12.133667
"2012-10-09" 14.635 14.69 14.515 12.0137
"2012-10-10" 14.525 14.625 14.475 12.009566
"2012-10-11" 14.59 14.655 14.555 12.046798
"2012-10-12" 14.635 14.685 14.395 11.926826
"2012-10-15" 14.45 14.555 14.43 12.021975
"2012-10-16" 14.605 14.705 14.575 12.15022
"2012-10-17" 14.72 14.845 14.685 12.266055
"2012-10-18" 14.75 14.795 14.66 12.266054
"2012-10-19" 14.725 14.79 14.445 12.016575
"2012-10-22" 14.47 14.5 14.345 12.02905
"2012-10-23" 14.365 14.405 14.255 11.904308
"2012-10-24" 14.36 14.42 14.225 11.891837
"2012-10-25" 14.55 14.645 14.445 12.178736
"2012-10-26" 14.68 14.765 14.595 12.199528
"2012-10-31" 14.775 14.88 14.66 12.278529
"2012-11-01" 14.755 15.03 14.725 12.494742
"2012-11-02" 15.035 15.045 14.85 12.370005
"2012-11-05" 14.88 14.945 14.75 12.4199
"2012-11-06" 14.99 15.105 14.965 12.503058
"2012-11-07" 14.955 14.985 14.8 12.370005
"2012-11-08" 14.855 14.97 14.775 12.303477
"2012-11-09" 14.755 14.95 14.73 12.311792
"2012-11-12" 14.805 14.995 14.77 12.449005
"2012-11-13" 14.865 15.165 14.865 12.590379
"2012-11-14" 15.15 15.19 15.06 12.582063
"2012-11-15" 15.11 15.325 15.045 12.72759
"2012-11-16" 15.3 15.44 15.02 12.835696
"2012-11-19" 15.5 15.745 15.465 13.014492
"2012-11-20" 15.5 15.5 14.905 12.494742
"2012-11-21" 14.92 15.23 14.765 12.656904
"2012-11-23" 15.215 15.34 15.18 12.740065
"2012-11-26" 15.215 15.305 15.115 12.677692
"2012-11-27" 15.28 15.38 15.23 12.702638
"2012-11-28" 15.275 15.365 15.17 12.769172
"2012-11-29" 15.375 15.425 15.265 12.823222
"2012-11-30" 15.435 15.56 15.385 12.893909
"2012-12-03" 15.545 15.585 15.46 12.893909
"2012-12-04" 15.505 15.535 15.44 12.881435
"2012-12-05" 15.495 15.605 15.49 12.898067
"2012-12-06" 15.53 15.605 15.425 12.898067
"2012-12-07" 15.525 15.58 15.395 12.902225
"2012-12-10" 15.495 15.545 15.375 12.823222
"2012-12-11" 15.485 15.57 15.455 12.914698
"2012-12-12" 15.545 15.645 15.48 12.910541
"2012-12-13" 15.495 15.595 15.47 12.956281
"2012-12-14" 15.66 15.66 15.535 12.931333
"2012-12-17" 15.58 15.695 15.545 13.051912
"2012-12-18" 15.74 15.805 15.6 13.114281
"2012-12-19" 15.785 15.81 15.665 13.026966
"2012-12-20" 15.62 15.78 15.5 13.035282
"2012-12-21" 15.615 15.65 15.42 12.885592
"2012-12-24" 15.43 15.555 15.43 12.910541
"2012-12-26" 15.53 15.555 15.29 12.769172
"2012-12-27" 15.35 15.42 15.305 12.773329
"2012-12-28" 15.32 15.45 15.255 12.756696
"2012-12-31" 15.3 15.61 15.285 12.977067
"2013-01-02" 15.76 16.01 15.73 13.309707
"2013-01-03" 16.125 16.91 16.125 13.804511
"2013-01-04" 16.775 17.165001 16.745001 14.266046
"2013-01-07" 17.15 17.195 16.905001 14.199515
"2013-01-08" 17.1 17.174999 16.98 14.266046
"2013-01-09" 17.190001 17.290001 17.155001 14.349205
"2013-01-10" 17.299999 17.299999 17.16 14.345042
"2013-01-11" 17.334999 17.334999 17.125 14.340892
"2013-01-14" 17.25 17.285 17.115 14.286837
"2013-01-15" 17.165001 17.27 17.115 14.324259
"2013-01-16" 17.195 17.225 17.139999 14.311779
"2013-01-17" 17.205 17.370001 17.094999 14.407889
"2013-01-18" 17.305 17.450001 17.290001 14.49564
"2013-01-22" 17.370001 17.469999 17.309999 14.575036
"2013-01-23" 17.465 17.465 17.365 14.591747
"2013-01-24" 17.469999 17.655001 17.43 14.738001
"2013-01-25" 17.684999 17.690001 17.530001 14.767257
"2013-01-28" 17.725 17.725 17.485001 14.687858
"2013-01-29" 17.58 17.620001 17.48 14.629358
"2013-01-30" 17.51 17.549999 17.405001 14.579217
"2013-01-31" 17.360001 17.559999 17.299999 14.462212
"2013-02-01" 17.424999 17.715 17.424999 14.800677
"2013-02-04" 17.584999 17.620001 17.52 14.666963
"2013-02-05" 17.6 17.795 17.594999 14.804854
"2013-02-06" 17.635 17.775 17.625 14.850824
"2013-02-07" 17.73 17.844999 17.655001 14.867539
"2013-02-08" 17.790001 17.92 17.764999 14.972002
"2013-02-11" 17.9 17.924999 17.809999 14.888428
"2013-02-12" 17.799999 17.870001 17.73 14.888428
"2013-02-13" 17.795 17.955 17.795 14.976185
"2013-02-14" 17.91 18.07 17.895 15.005432
"2013-02-15" 18 18.07 17.885 15.07647
"2013-02-19" 18.075001 18.27 18.049999 15.268685
"2013-02-20" 18.295 18.360001 18.045 15.093184
"2013-02-21" 18.059999 18.57 18.049999 15.256148
"2013-02-22" 18.315001 18.57 18.25 15.515225
"2013-02-25" 18.6 18.615 18.275 15.27704
"2013-02-26" 18.365 18.52 18.305 15.460898
"2013-02-27" 18.495001 18.709999 18.389999 15.607147
"2013-02-28" 18.67 18.83 18.65 15.632231
"2013-03-01" 18.705 18.745001 18.565001 15.657292
"2013-03-04" 18.74 18.99 18.709999 15.870402
"2013-03-05" 19 19.155001 18.98 15.9498
"2013-03-06" 19.08 19.139999 19 15.91219
"2013-03-07" 19.115 19.344999 19.084999 15.991584
"2013-03-08" 19.254999 19.355 19.190001 16.108593
"2013-03-11" 19.24 19.315001 19.184999 16.100231
"2013-03-12" 19.235001 19.309999 19.174999 16.121128
"2013-03-13" 19.299999 19.754999 19.245001 16.472126
"2013-03-14" 19.735001 19.75 19.42 16.288269
"2013-03-15" 19.424999 19.799999 19.360001 16.413624
"2013-03-18" 19.549999 19.57 19.424999 16.296627
"2013-03-19" 19.545 19.764999 19.525 16.518093
"2013-03-20" 19.815001 19.945 19.790001 16.626743
"2013-03-21" 19.795 19.885 19.639999 16.447058
"2013-03-22" 19.76 19.83 19.625 16.572414
"2013-03-25" 19.915001 20.035 19.764999 16.572414
"2013-03-26" 19.950001 20.075001 19.860001 16.77717
"2013-03-27" 19.98 20.110001 19.855 16.77717
"2013-03-28" 20.125 20.66 20.055 17.266069
"2013-04-01" 20.639999 20.65 20.245001 17.01535
"2013-04-02" 20.42 20.625 20.375 17.128166
"2013-04-03" 20.459999 20.504999 20.184999 16.902523
"2013-04-04" 20.215 20.379999 20.155001 16.902523
"2013-04-05" 20.084999 20.105 19.844999 16.7521
"2013-04-08" 20.045 20.15 19.865 16.839857
"2013-04-09" 20.165001 20.219999 19.99 16.789709
"2013-04-10" 20.135 20.389999 20.1 16.981924
"2013-04-11" 20.35 20.440001 20.285 17.032064
"2013-04-12" 20.325001 20.485001 20.285 17.103094
"2013-04-15" 20.450001 20.535 20.195 16.87746
"2013-04-16" 20.315001 20.555 20.205 17.157423
"2013-04-17" 20.459999 20.5 20.24 17.094742
"2013-04-18" 20.405001 20.49 20.33 17.094742
"2013-04-19" 20.42 20.85 20.355 17.29196
"2013-04-22" 20.58 20.700001 20.525 17.266781
"2013-04-23" 20.615 20.934999 20.615 17.560507
"2013-04-24" 21.02 21.045 20.584999 17.304548
"2013-04-25" 20.67 20.77 20.535 17.371687
"2013-04-26" 20.705 20.780001 20.57 17.29196
"2013-04-29" 20.6 20.645 20.51 17.304548
"2013-04-30" 20.584999 20.645 20.440001 17.317137
"2013-05-01" 20.615 20.754999 20.540001 17.275177
"2013-05-02" 20.690001 21.129999 20.59 17.631842
"2013-05-03" 21.105 21.195 20.834999 17.514351
